simplified	TH	example_TH
挨	อดทน	เขาอดทนทั้งคืนและในที่สุดก็รอจนถึงรุ่งเช้า
癌症	มะเร็ง	การตรวจพบมะเร็งตั้งแต่เนิ่นๆ สำคัญมาก
暧昧	คลุมเครือ	คำตอบของเขาคลุมเครือมาก
爱不释手	ชอบจนวางไม่ลง	เธอชอบหนังสือเล่มนี้จนแทบวางไม่ลง
爱戴	รักและเคารพ	ครูคนนี้เป็นที่รักและเคารพของนักเรียนมาก
安宁	สงบ	กลางคืนที่นี่สงบมาก
安详	สงบนิ่ง	สีหน้าของผู้สูงอายุดูสงบนิ่งมาก
安置	จัดที่อยู่ให้	รัฐบาลจัดที่อยู่ให้ประชาชนที่ได้รับผลกระทบจากภัยพิบัติ
按摩	นวด	ฉันจองนวดไว้แล้ว
暗示	บอกเป็นนัย	เธอบอกเป็นนัยว่าฉันควรหยุดถาม
案件	คดี	ตำรวจกำลังสืบสวนคดีนี้
案例	กรณีตัวอย่าง	กรณีตัวอย่างนี้มีความเป็นตัวแทนมาก
昂贵	แพง	อุปกรณ์ชิ้นนี้แพงมาก
凹凸	ขรุขระ	พื้นถนนเส้นนี้ขรุขระ
熬	ทนผ่าน	เขาทนผ่านสามวันที่ยากลำบากก่อนจะทำรายงานเสร็จ
奥秘	ความลี้ลับ	นักวิทยาศาสตร์ต้องการเปิดเผยความลี้ลับนี้
巴不得	แทบอดใจรอไม่ไหว	ฉันแทบอดใจรอไม่ไหวที่จะออกเดินทางทันที
巴结	ประจบ	เขาไม่ยอมประจบผู้นำ
扒	เกาะ	เด็กเกาะประตูแล้วมองออกไปข้างนอก
疤	แผลเป็น	บนแขนของเขามีแผลเป็น
拔苗助长	เร่งจนเสียเรื่อง	การบังคับให้เด็กเรียนแบบนี้มีแต่จะเร่งจนเสียเรื่อง
把关	ตรวจสอบ	สัญญาฉบับนี้ต้องให้ทนายความตรวจสอบ
把手	ที่จับ	ที่จับประตูเสียแล้ว
罢工	นัดหยุดงาน	คนงานตัดสินใจนัดหยุดงานพรุ่งนี้
霸道	เอาแต่ใจ	เขาพูดจาเอาแต่ใจมาก
掰	หัก	เธอหักขนมปังออกเป็นสองส่วน
摆脱	หลุดพ้น	ในที่สุดเขาก็หลุดพ้นจากนิสัยไม่ดีนั้น
拜访	ไปเยี่ยม	สุดสัปดาห์นี้เราจะไปเยี่ยมครู
拜年	อวยพรปีใหม่	ช่วงตรุษจีนเราจะไปอวยพรปีใหม่ปู่ย่าตายาย
拜托	ฝากด้วย	เรื่องนี้ฉันต้องฝากคุณด้วย
败坏	ทำลาย	พฤติกรรมแบบนี้จะทำลายชื่อเสียงของบริษัท
斑	จุด	บนตัวแมวมีจุดสีดำ
颁布	ประกาศใช้	กฎใหม่จะประกาศใช้สัปดาห์หน้า
颁发	มอบ	โรงเรียนมอบใบรับรองให้นักเรียนดีเด่น
版本	เวอร์ชัน	ซอฟต์แวร์นี้มีเวอร์ชันใหม่
伴侣	เพื่อนคู่ใจ	เธอมองว่าสุนัขเป็นเพื่อนคู่ใจของเธอ
伴随	มาพร้อมกับ	ความสำเร็จมักมาพร้อมกับความกดดัน
半途而废	ล้มเลิกกลางคัน	ทำวิจัยแล้วจะล้มเลิกกลางคันไม่ได้
扮演	รับบท	เขารับบทเป็นหมอในภาพยนตร์
榜样	แบบอย่าง	พ่อแม่เป็นแบบอย่างของลูก
绑架	ลักพาตัว	ตำรวจหยุดคดีลักพาตัวได้
磅	ปอนด์	กล่องใบนี้หนักยี่สิบปอนด์
包庇	ปกป้องผู้กระทำผิด	ไม่มีใครมีสิทธิ์ปกป้องอาชญากรรม
包袱	ภาระ	หลังจากวางภาระลง เขารู้สึกผ่อนคลายขึ้นมาก
包围	ล้อม	นักข่าวล้อมนักแสดงไว้
包装	บรรจุภัณฑ์	บรรจุภัณฑ์ของของขวัญชิ้นนี้สวยมาก
保管	เก็บรักษา	เอกสารเหล่านี้ฉันเป็นคนเก็บรักษา
保密	เก็บเป็นความลับ	เนื้อหาการประชุมต้องเก็บเป็นความลับ
保姆	พี่เลี้ยง	พวกเขาจ้างพี่เลี้ยงหนึ่งคน
保守	อนุรักษ์นิยม	ความคิดของเขาค่อนข้างอนุรักษ์นิยม
保卫	ปกป้อง	ทหารปกป้องชายแดน
保养	บำรุงรักษา	รถคันนี้ต้องบำรุงรักษาเป็นประจำ
保障	คุ้มครอง	กฎหมายคุ้มครองสิทธิของพลเมือง
保重	ดูแลตัวเอง	ระหว่างอยู่ข้างนอก โปรดดูแลตัวเองให้ดี
饱和	อิ่มตัว	ตลาดนี้ใกล้อิ่มตัวแล้ว
饱经沧桑	ผ่านความเปลี่ยนแปลงมามาก	ผู้สูงอายุคนนี้ผ่านความยากลำบากและความเปลี่ยนแปลงมามาก
报酬	ค่าตอบแทน	เขาได้รับค่าตอบแทนที่เหมาะสม
报仇	แก้แค้น	เขาไม่อยากแก้แค้น แค่อยากเริ่มต้นใหม่
报答	ตอบแทน	ฉันจะตอบแทนความช่วยเหลือของคุณด้วยการกระทำ
报复	แก้เผ็ด	การแก้เผ็ดมีแต่จะทำให้ความขัดแย้งลึกขึ้น
报警	แจ้งตำรวจ	หลังพบไฟไหม้ ควรแจ้งตำรวจทันที
报销	เบิกค่าใช้จ่าย	ค่าเดินทางสามารถเบิกได้
抱负	ความทะเยอทะยาน	เขามีความทะเยอทะยานใหญ่ตั้งแต่เด็ก
暴力	ความรุนแรง	เราคัดค้านความรุนแรงทุกรูปแบบ
暴露	เผยให้เห็น	ปัญหานี้ค่อยๆ เผยให้เห็น
曝光	ถูกเปิดเผย	หลังจากภาพนี้ถูกเปิดเผย ก็ได้รับความสนใจ
爆发	ปะทุ	ภูเขาไฟปะทุอย่างกะทันหัน
爆炸	ระเบิด	เกิดการระเบิดในห้องปฏิบัติการ
