source_headword	ID	example_ID
hunt	berburu; mencari	Mereka mencari jamur pada musim gugur.
hurricane	badai topan	Badai topan itu merusak banyak rumah.
hurry	terburu-buru	Tidak perlu terburu-buru hari ini.
identity	identitas	Identitasnya tetap dirahasiakan.
ignore	mengabaikan	Jangan abaikan peringatan ini.
illegal	ilegal	Parkir di sini adalah ilegal.
imaginary	khayalan	Cerita itu memiliki pulau khayalan.
immediate	segera	Kami membutuhkan jawaban segera.
immigrant	imigran	Imigran itu belajar bahasa Inggris dengan cepat.
impact	dampak	Berita itu memiliki dampak kuat.
import	mengimpor	Negara itu akan mengimpor lebih banyak beras.
importance	pentingnya	Dia memahami pentingnya tidur.
impression	kesan	Kesan pertamanya positif.
impressive	mengesankan	Museum itu memiliki pintu masuk yang mengesankan.
improvement	perbaikan	Ada perbaikan jelas bulan ini.
incredibly	sangat	Tes itu sangat sulit.
indeed	memang	Itu memang hari yang aneh.
indicate	menunjukkan	Tanda itu akan menunjukkan pintu keluar.
indirect	tidak langsung	Dia memberikan jawaban tidak langsung.
indoor	dalam ruangan	Hotel itu memiliki kolam renang dalam ruangan.
indoors	di dalam rumah	Kami tinggal di dalam rumah selama badai.
influence	pengaruh	Gurunya memiliki pengaruh kuat.
ingredient	bahan	Tepung adalah bahan utama.
injure	melukai	Jangan melukai punggungmu.
injured	terluka	Pemain yang terluka meninggalkan lapangan.
innocent	tidak bersalah; polos	Anak itu tampak sangat polos.
intelligence	kecerdasan	Dia menunjukkan kecerdasan besar di kelas.
intend	berniat	Saya berniat belajar di luar negeri.
intention	niat	Niatnya adalah membantu.
invest	berinvestasi	Mereka berinvestasi uang dalam pendidikan.
investigate	menyelidiki	Polisi akan menyelidiki kecelakaan itu.
involved	terlibat	Beberapa siswa terlibat.
iron	besi	Gerbang itu terbuat dari besi.
issue	masalah	Ini adalah masalah serius.
IT	teknologi informasi	Dia bekerja di teknologi informasi.
journal	jurnal	Dia menulis di jurnal.
judge	hakim	Hakim mendengarkan dengan hati-hati.
keen	bersemangat	Dia bersemangat untuk belajar.
keyboard	papan ketik	Papan ketik saya berhenti bekerja.
kick	menendang	Tendang bola itu dengan lembut.
killing	pembunuhan	Pembunuhan itu mengejutkan desa.
kind (caring)	baik hati	Itu adalah tindakan baik hati.
kiss	ciuman	Dia memberi bayi itu sebuah ciuman.
label	label	Baca label sebelum digunakan.
laboratory	laboratorium	Laboratorium tutup hari ini.
lack	kekurangan	Kekurangan tidur merusak ingatan.
latest	terbaru	Apakah kamu sudah membaca laporan terbaru.
lay	meletakkan	Letakkan buku itu di atas meja.
layer	lapisan	Tambahkan lapisan cat lain.
leading	terkemuka	Dia adalah ilmuwan terkemuka.
leaf	daun	Sehelai daun jatuh di mantel saya.
leather	kulit	Tasnya terbuat dari kulit.
legal	hukum; legal	Kami membutuhkan nasihat hukum.
leisure	waktu luang	Membaca adalah kegiatan waktu luang favorit saya.
length	panjang	Ukur panjang ruangan itu.
lie2 (tell a lie)	berbohong	Jangan berbohong kepada orang tuamu.
limit	batas	Batas kecepatan adalah lima puluh.
lip	bibir	Dia menggigit bibirnya.
liquid	cairan	Air adalah cairan bening.
literature	sastra	Dia mempelajari sastra Prancis.
live2	langsung	Band itu bermain langsung tadi malam.
living	hidup	Tanaman hidup membutuhkan cahaya.
locate	menemukan lokasi	Bisakah kamu menemukan lokasi file itu.
located	terletak	Kantor itu terletak di pusat kota.
location	lokasi	Ini adalah lokasi yang bagus.
lonely	kesepian	Dia merasa kesepian setelah pindah.
loss	kehilangan	Kehilangan itu berat bagi semua orang.
luxury	kemewahan	Hotel itu menawarkan kemewahan nyata.
mad	marah	Dia marah tentang keterlambatan itu.
magic	sihir	Pertunjukan itu penuh dengan sihir.
mainly	terutama	Kelompok itu terutama siswa.
mall	mal	Kami bertemu di mal.
management	manajemen	Manajemen yang baik menghemat waktu.
marketing	pemasaran	Pemasaran membantu menjual produk.
marriage	pernikahan	Pernikahan mereka berlangsung tiga puluh tahun.
meanwhile	sementara itu	Saya memasak makan malam sementara itu.
measure	mengukur	Ukur meja itu dengan hati-hati.
medium	sedang	Saya memesan pizza ukuran sedang.
mental	mental	Stres memengaruhi kesehatan mental.
mess	kekacauan	Bersihkan kekacauan ini.
mild	ringan	Sup itu memiliki rasa ringan.
