hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
2002:哎呀	哎呀	哎呀	ai; nossa; opa	Nossa, deixei minhas chaves em casa.	ay; caramba; vaya	¡Ay, dejé mis llaves en casa!
2005:安	安	安	calmo; tranquilo	Depois que a criança adormeceu, a casa ficou tranquila de repente.	tranquilo; en calma	Después de que el niño se durmió, la casa quedó en calma.
2006:安全带	安全带	安全带	cinto de segurança	Afivele o cinto de segurança antes de dirigir.	el cinturón de seguridad	Abrocha tu cinturón de seguridad antes de manejar.
2013:半夜	半夜	半夜	meia-noite; tarde da noite	Alguém ligou para ele no meio da noite.	medianoche; muy tarde en la noche	Alguien lo llamó en medio de la noche.
2020:宝	宝	宝	tesouro; querido	Esta jade antiga é o tesouro da família.	tesoro; querido	Este jade antiguo es el tesoro de la familia.
2021:保	保	保	proteger; preservar	Precisamos preservar esta área de bosque.	proteger; conservar	Tenemos que conservar esta zona de bosque.
2022:保安	保安	保安	segurança; guarda de segurança	O segurança da entrada verificou meu documento.	el guardia de seguridad; la seguridad	El guardia de seguridad de la entrada revisó mi documento.
2029:保质期	保质期	保质期	validade; prazo de validade	Confira a validade antes de comprar leite.	fecha de caducidad; periodo de conservación	Revisa la fecha de caducidad antes de comprar leche.
2034:暴雨	暴雨	暴雨	temporal; chuva forte	Depois do temporal, muita água se acumulou na rua.	tormenta fuerte; aguacero	Después del aguacero, se acumuló mucha agua en la calle.
2037:背后	背后	背后	por trás; bastidores	Por trás do sucesso há muito esforço.	detrás; trasfondo	Detrás del éxito hay mucho esfuerzo.
2041:本地	本地	本地	local; da região	Esta loja vende principalmente frutas da região.	local; de la zona	Esta tienda vende principalmente fruta de la zona.
2046:比分	比分	比分	placar; pontuação	Quando a partida terminou, o placar era três a dois.	el marcador; el resultado	Cuando terminó el partido, el marcador era tres a dos.
2049:必	必	必	deve; necessariamente	Documentos importantes devem ser assinados pela própria pessoa.	debe; necesariamente	Los documentos importantes deben ser firmados por la persona interesada.
2052:闭幕式	闭幕式	闭幕式	cerimônia de encerramento	A cerimônia de encerramento dos jogos será realizada à noite.	la ceremonia de clausura	La ceremonia de clausura de los juegos se realizará por la noche.
2054:必需	必需	必需	necessário; essencial	Água e comida são itens necessários durante uma viagem.	necesario; esencial	El agua y la comida son cosas necesarias durante un viaje.
2057:变动	变动	变动	mudança; alteração	Houve mudanças na escala de trabalho deste mês.	cambio; modificación	Hay cambios en el horario de trabajo de este mes.
2059:便利店	便利店	便利店	loja de conveniência	A loja de conveniência lá embaixo fica aberta vinte e quatro horas.	la tienda de conveniencia	La tienda de conveniencia de abajo está abierta veinticuatro horas.
2067:饼	饼	饼	panqueca; pão achatado	De manhã, minha mãe preparou uma panqueca de ovo para mim.	panqueque; torta plana	Mi mamá me preparó un panqueque de huevo en la mañana.
2068:病房	病房	病房	enfermaria; quarto hospitalar	A enfermeira levou o paciente para a enfermaria.	la sala de hospital; el cuarto de hospital	La enfermera llevó al paciente a la sala de hospital.
2069:病情	病情	病情	estado da doença; quadro clínico	O médico disse que o quadro clínico dele já melhorou.	el estado de salud; la condición médica	El médico dijo que su estado de salud ya mejoró.
2070:拨打	拨打	拨打	discar; ligar	Em caso de incêndio, ligue para o número de emergência.	marcar; llamar	Si hay un incendio, llama al número de emergencia.
2073:不利	不利	不利	desfavorável	O vento forte é desfavorável para a competição.	desfavorable	El viento fuerte es desfavorable para la competencia.
2074:不幸	不幸	不幸	infeliz; desgraça	Ele teve uma experiência infeliz na infância.	desafortunado; desgracia	Tuvo una experiencia desafortunada en la infancia.
2078:不符	不符	不符	não corresponder; não bater	O nome no bilhete não bate com o documento.	no coincidir; no corresponder	El nombre del boleto no coincide con el documento.
2079:不良	不良	不良	ruim; prejudicial	Ficar acordado até tarde por muito tempo é um mau hábito.	malo; perjudicial	Desvelarse durante mucho tiempo es un mal hábito.
2081:步行	步行	步行	caminhar; ir a pé	Dá para ir a pé daqui até a escola.	caminar; ir a pie	Se puede ir a pie de aquí a la escuela.
2083:才2	才2	才	talento; habilidade	Desde pequeno, ele mostrou talento musical.	talento; habilidad	Desde pequeño mostró talento musical.
2087:彩色	彩色	彩色	colorido; multicolorido	As crianças desenharam um mapa colorido.	a color; colorido	Los niños dibujaron un mapa a color.
2088:采用	采用	采用	adotar; usar	A empresa decidiu adotar um novo método de gestão.	adoptar; usar	La empresa decidió adoptar un nuevo método de gestión.
2090:餐饮	餐饮	餐饮	alimentação; serviços de comida e bebida	A área de alimentação deste shopping fica no quinto andar.	comida y bebidas; servicios de alimentación	La zona de comida y bebidas de este centro comercial está en el quinto piso.
2092:藏	藏	藏	esconder; guardar	Ela escondeu o presente no armário.	esconder; guardar	Ella escondió el regalo en el armario.
