simplified	NO	example_NO
啊	modalpartikkel for samtykke eller bekreftelse	Ok, la oss gå nå.
阿姨	en tante; en barnepasser; en eldre kvinne	Tanten jobber i supermarkedet.
矮	lav; kort	Dette bordet er litt lavt.
爱好	en hobby; en interesse	Hobbyen min er å høre på musikk.
安静	stille; rolig	Det er veldig stille på biblioteket.
把	å holde; objektpartikkel	Lukk døren, er du snill.
搬	å flytte; å bære bort	Vi flytter i morgen.
班	en klasse; en gruppe	Det er tjue elever i klassen vår.
办法	en metode; en løsning	Denne metoden er veldig god.
办公室	et kontor	Sjefen er på kontoret.
半	halv; halvparten	Jeg ventet i en halv time.
帮忙	å hjelpe; å gi en hånd	Kan du hjelpe?
包	en veske; å pakke inn; å dekke til	Hun kjøpte en ny veske.
饱	mett	Jeg er allerede mett.
北方	nord; den nordlige delen	Vinteren i nord er veldig kald.
被	passivpartikkel; av	Sykkelen min ble lånt av en venn.
鼻子	en nese	Nesen hans er litt rød.
比较	å sammenligne; ganske	I dag er det ganske varmt.
比赛	en kamp; en konkurranse	Denne kampen er veldig viktig.
笔记本	en notatbok; en skrivebok	Jeg la notatboken på bordet.
必须	å måtte; være nødvendig	Du må repetere nøye.
变化	en forandring; å forandre seg	Denne byen har forandret seg mye.
别人	andre mennesker	Ikke ta andres ting.
冰箱	et kjøleskap	Frukten ligger i kjøleskapet.
不但…而且…	ikke bare... men også...	Han er ikke bare smart, men også flittig.
菜单	en meny	Gi meg en meny, er du snill.
参加	å delta; å være med	Jeg vil delta på dette møtet.
草	gress	Valpen løper på gresset.
层	en etasje; et lag	Denne bygningen har tre etasjer.
差	dårlig; å skille seg; å mangle	Været er dårlig i dag.
超市	et supermarked	Jeg går til supermarkedet for å kjøpe brød.
衬衫	en skjorte; en bluse	Denne skjorten er veldig ren.
城市	en by	Beijing er en stor by.
成绩	en karakter; et resultat	Karakterene hans i matematikk er veldig gode.
迟到	å komme for sent	Ikke kom for sent til timen.
除了	foruten; i tillegg til	I tillegg til kaffe vil jeg også ha te.
船	en båt; et skip	Vi drar til den byen med båt.
春	vår	Det er mange blomster om våren.
