source_headword	FR	example_FR
strengthen	renforcer	La nouvelle politique renforcera la sécurité en ligne.
strictly	strictement	Les billets sont strictement limités à deux par personne.
striking	frappant	Le tableau a des couleurs frappantes.
stroke	le trait	Elle a peint un trait sur le papier.
stunning	magnifique	La vue sur la montagne était magnifique.
subsequent	ultérieur	La réunion ultérieure a confirmé le budget.
subsequently	par la suite	La route a fermé ; par la suite, la circulation a ralenti.
suburb	la banlieue	Ils vivent dans une banlieue calme.
suffering	la souffrance	Le médicament a réduit sa souffrance.
sufficient	suffisant	L'équipe a suffisamment de temps.
sufficiently	suffisamment	La pièce est suffisamment chaude.
super	super	La nouvelle tablette est super rapide.
surgeon	le chirurgien	Le chirurgien a réparé le genou endommagé.
survival	la survie	L'eau propre est essentielle à la survie.
survivor	le survivant	Le survivant a décrit l'inondation.
suspend	suspendre	L'école pourrait suspendre le voyage.
sustainable	durable	La ferme utilise des méthodes durables.
swallow	avaler	Avalez le comprimé avec de l'eau.
sympathetic	compatissant	Le directeur s'est montré compatissant face à son problème.
tackle	s'attaquer à	Nous devons nous attaquer au problème du logement.
tag	l'étiquette	Le sac avait une étiquette de prix.
tap	le robinet	Elle a fermé le robinet.
technological	technologique	Le changement technologique affecte chaque lieu de travail.
teens	les adolescents	Beaucoup d'adolescents utilisent les réseaux sociaux tous les jours.
temple	le temple	Le temple se dressait près de la rivière.
temporarily	temporairement	Le bureau est temporairement fermé.
tendency	la tendance	Il a tendance à arriver en retard.
tension	la tension	La tension est montée pendant la discussion.
terms	les termes	Les termes du contrat étaient clairs.
terribly	terriblement	L'enfant était terriblement contrarié.
terrify	terrifier	Les bruits forts terrifient le chien.
territory	le territoire	La carte montre le nouveau territoire.
terror	la terreur	La terreur s'est répandue après l'attaque.
terrorism	le terrorisme	Le terrorisme menace la sécurité publique.
terrorist	le terroriste	La police a arrêté le terroriste hier.
testing	les tests	Les tests de produits commencent lundi.
textbook	le manuel	Elle a oublié son manuel de biologie.
theft	le vol	Le vol a augmenté dans la région.
therapist	le thérapeute	Le thérapeute l'a aidé à gérer son anxiété.
thesis	la thèse	Sa thèse examine l'apprentissage en ligne.
thorough	approfondi	Un examen approfondi n'a trouvé aucune erreur.
thoroughly	soigneusement	Nettoyez la plaie soigneusement.
thumb	le pouce	Il a levé le pouce pour signaler son approbation.
timing	le moment	Le moment de l'appel était parfait.
tissue	le mouchoir en papier	Elle a essuyé le verre avec un mouchoir en papier.
ton	la tonne	Le camion transportait une tonne de sable.
tonne	la tonne	La cargaison pesait une tonne.
tournament	le tournoi	Le tournoi de tennis commence demain.
trace	retracer	Les scientifiques peuvent retracer l'origine du virus.
trading	le commerce	Le commerce des actions s'est arrêté à midi.
tragedy	la tragédie	L'accident était une terrible tragédie.
tragic	tragique	L'accident a eu des conséquences tragiques.
trait	le trait	La patience est un trait utile.
transmit	transmettre	Les moustiques peuvent transmettre des maladies.
transportation	le transport	Les transports publics sont bondés aujourd'hui.
trap	piéger	La boîte peut piéger les insectes en toute sécurité.
treasure	le trésor	Le vieux coffre contenait un trésor.
tribe	la tribu	La tribu a protégé ses traditions.
trigger	déclencher	La fumée peut déclencher l'alarme.
trillion	le billion	La dette a atteint un billion de dollars.
troop	la troupe	La troupe s'est dirigée vers la frontière.
tsunami	le tsunami	Le tsunami a détruit les maisons côtières.
ultimate	ultime	Le but ultime est la paix.
unacceptable	inacceptable	Le retard était inacceptable pour les passagers.
uncertainty	l'incertitude	L'incertitude a rendu les investisseurs nerveux.
undergo	subir	Le patient subira une opération demain.
undertake	entreprendre	L'équipe entreprendra une enquête.
unfold	se dérouler	Le drame a commencé à se dérouler lentement.
unfortunate	malheureux	L'erreur était malheureuse mais réparable.
unite	unir	Les dirigeants ont essayé d'unir le parti.
unity	l'unité	Le discours a appelé à l'unité nationale.
universal	universel	L'application utilise un design universel.
urgent	urgent	L'hôpital a reçu un appel urgent.
usage	l'usage	Le guide explique l'usage correct.
useless	inutile	Le chargeur cassé est inutile.
valid	valide	Votre passeport est toujours valide.
variation	la variation	Il y a une grande variation des prix.
vertical	vertical	Le graphique a un axe vertical.
viewpoint	le point de vue	Son point de vue a changé après le débat.
visa	le visa	Il a demandé un visa d'étudiant.
visible	visible	Le panneau est visible d'ici.
voluntary	facultatif	Le cours comprend des ateliers facultatifs.
voting	le vote	Le vote anticipé commence la semaine prochaine.
wander	flâner	Les touristes flânent dans le vieux marché.
warming	le réchauffement	Le réchauffement climatique affecte le niveau de la mer.
weekly	hebdomadaire	L'équipe tient une réunion hebdomadaire.
weird	bizarre	Le bruit semblait bizarre.
welfare	le bien-être	Le programme soutient le bien-être des enfants.
wheat	le blé	L'agriculteur cultive du blé.
whoever	quiconque	Quiconque arrive en premier doit attendre dehors.
widespread	généralisé	La tempête a causé des dégâts généralisés.
wisdom	la sagesse	Sa grand-mère a partagé une sagesse pratique.
withdraw	retirer	Il a décidé de retirer sa candidature.
workforce	la main-d'œuvre	La main-d'œuvre a besoin de nouvelles compétences.
workplace	le lieu de travail	Le lieu de travail a des règles de sécurité claires.
workshop	l'atelier	L'atelier commence à dix heures.
worm	le ver	Un ver s'est déplacé sur le sol.
wrist	le poignet	Elle s'est blessée au poignet.
