source_headword	KN	example_KN
clothes	ಬಟ್ಟೆಗಳು	ನನ್ನ ಬಟ್ಟೆಗಳು ಸ್ವಚ್ಛವಾಗಿವೆ.
club	ಕ್ಲಬ್; ಸಂಘ	ಅವಳು ಸಂಗೀತ ಕ್ಲಬ್‌ಗೆ ಹೋಗುತ್ತಾಳೆ.
coat	ಕೋಟ್	ನನ್ನ ಕೋಟ್ ಬೆಚ್ಚಗಿದೆ.
coffee	ಕಾಫಿ	ನಾನು ಬೆಳಿಗ್ಗೆ ಕಾಫಿ ಕುಡಿಯುತ್ತೇನೆ.
cold	ತಣ್ಣನೆಯ; ಚಳಿ	ನೀರು ತಣ್ಣಗಿದೆ.
college	ಕಾಲೇಜು	ನನ್ನ ಅಕ್ಕ ಕಾಲೇಜಿನಲ್ಲಿ ಇದ್ದಾಳೆ.
colour	ಬಣ್ಣ	ನನಗೆ ಇಷ್ಟವಾದ ಬಣ್ಣ ನೀಲಿ.
come	ಬಾ; ಬರು	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಬಾ.
common	ಸಾಮಾನ್ಯ	ಈ ಹೆಸರು ಸಾಮಾನ್ಯವಾಗಿದೆ.
company	ಕಂಪನಿ	ನನ್ನ ಅಮ್ಮ ಒಂದು ಕಂಪನಿಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
compare	ಹೋಲಿಸು	ಈ ಎರಡು ಚಿತ್ರಗಳನ್ನು ಹೋಲಿಸು.
complete	ಪೂರ್ಣ; ಪೂರ್ಣಗೊಳಿಸು	ಫಾರ್ಮ್ ಪೂರ್ಣವಾಗಿದೆ.
computer	ಕಂಪ್ಯೂಟರ್	ಈ ಕಂಪ್ಯೂಟರ್ ಹೊಸದು.
concert	ಸಂಗೀತ ಕಚೇರಿ	ನಾವು ಇಂದು ರಾತ್ರಿ ಸಂಗೀತ ಕಚೇರಿಗೆ ಹೋಗುತ್ತೇವೆ.
conversation	ಸಂಭಾಷಣೆ	ನಾವು ಚಿಕ್ಕ ಸಂಭಾಷಣೆ ಮಾಡಿದೆವು.
cook	ಅಡುಗೆ ಮಾಡು; ಅಡುಗೆಗಾರ	ನಾನು ಮನೆಯಲ್ಲಿ ರಾತ್ರಿ ಊಟ ಮಾಡುತ್ತೇನೆ.
cooking	ಅಡುಗೆ	ಅಪ್ಪನ ಜೊತೆ ಅಡುಗೆ ಮಾಡುವುದು ನನಗೆ ಇಷ್ಟ.
cool	ತಣ್ಣನೆಯ; ಚೆನ್ನಾಗಿದೆ	ಕೊಠಡಿ ತಣ್ಣಗಿದೆ.
correct	ಸರಿಯಾದ; ಸರಿಪಡಿಸು	ನಿನ್ನ ಉತ್ತರ ಸರಿಯಾಗಿದೆ.
cost	ಬೆಲೆ; ಖರ್ಚಾಗು	ಇದರ ಬೆಲೆ ಎಷ್ಟು?
could modal	ಮಾಡಬಹುದಿತ್ತು; ಮಾಡಬಹುದು	ನಾನು ನಿನಗೆ ಸಹಾಯ ಮಾಡಬಹುದಿತ್ತು.
country	ದೇಶ	ಕೆನಡಾ ದೊಡ್ಡ ದೇಶ.
course	ಕೋರ್ಸ್; ಪಠ್ಯಕ್ರಮ	ನಾನು ಇಂಗ್ಲಿಷ್ ಕೋರ್ಸ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ.
cousin	ಸೋದರ ಸಂಬಂಧಿ	ನನ್ನ ಸೋದರ ಸಂಬಂಧಿ ನನ್ನ ಹತ್ತಿರ ವಾಸಿಸುತ್ತಾನೆ.
cow	ಹಸು	ಹಸು ಹುಲ್ಲು ತಿನ್ನುತ್ತದೆ.
cream	ಕ್ರೀಮ್	ನಾನು ಕಾಫಿಗೆ ಕ್ರೀಮ್ ಹಾಕುತ್ತೇನೆ.
create	ಸೃಷ್ಟಿಸು	ಅವರು ಹೊಸ ಆಟವನ್ನು ಸೃಷ್ಟಿಸುತ್ತಾರೆ.
culture	ಸಂಸ್ಕೃತಿ	ನಾವು ಸ್ಥಳೀಯ ಸಂಸ್ಕೃತಿಯ ಬಗ್ಗೆ ಕಲಿಯುತ್ತೇವೆ.
cup	ಕಪ್	ಈ ಕಪ್ ಖಾಲಿಯಾಗಿದೆ.
customer	ಗ್ರಾಹಕ	ಗ್ರಾಹಕ ಒಂದು ಪ್ರಶ್ನೆ ಕೇಳುತ್ತಾನೆ.
cut	ಕತ್ತರಿಸು	ಸೇಬನ್ನು ಅರ್ಧಕ್ಕೆ ಕತ್ತರಿಸು.
dad	ಅಪ್ಪ	ನನ್ನ ಅಪ್ಪ ಕೆಲಸದಲ್ಲಿದ್ದಾನೆ.
dance	ನೃತ್ಯ; ನೃತ್ಯ ಮಾಡು	ನಾವು ರಾತ್ರಿ ಊಟದ ನಂತರ ನೃತ್ಯ ಮಾಡುತ್ತೇವೆ.
dancer	ನೃತ್ಯಗಾರ; ನೃತ್ಯಗಾತಿ	ನೃತ್ಯಗಾತಿ ಬೇಗ ಚಲಿಸುತ್ತಾಳೆ.
dancing	ನೃತ್ಯ ಮಾಡುವುದು	ನೃತ್ಯ ಮಾಡುವುದು ಮೋಜಾಗಿದೆ.
dangerous	ಅಪಾಯಕಾರಿ	ಈ ರಸ್ತೆ ಅಪಾಯಕಾರಿ.
dark	ಕತ್ತಲೆ; ಗಾಢ	ಕೊಠಡಿ ಕತ್ತಲಾಗಿದೆ.
date	ದಿನಾಂಕ	ಇಂದು ದಿನಾಂಕ ಏನು?
daughter	ಮಗಳು	ಅವಳ ಮಗಳಿಗೆ ಆರು ವರ್ಷ.
day	ದಿನ	ನಿನಗೆ ಒಳ್ಳೆಯ ದಿನವಾಗಲಿ.
dear	ಪ್ರಿಯ	ಪ್ರಿಯ ಸ್ನೇಹಿತನೇ, ಧನ್ಯವಾದಗಳು.
December	ಡಿಸೆಂಬರ್	ನನ್ನ ಹುಟ್ಟುಹಬ್ಬ ಡಿಸೆಂಬರ್‌ನಲ್ಲಿ ಇದೆ.
decide	ನಿರ್ಧರಿಸು	ದಯವಿಟ್ಟು ಈಗ ನಿರ್ಧರಿಸು.
delicious	ರುಚಿಕರವಾದ	ಈ ಸೂಪ್ ರುಚಿಕರವಾಗಿದೆ.
describe	ವಿವರಿಸು	ನಿನ್ನ ಕೊಠಡಿಯನ್ನು ವಿವರಿಸು.
description	ವಿವರಣೆ	ಚಿಕ್ಕ ವಿವರಣೆಯನ್ನು ಓದು.
design	ವಿನ್ಯಾಸ; ವಿನ್ಯಾಸ ಮಾಡು	ನಾನು ಸರಳ ಕಾರ್ಡ್ ವಿನ್ಯಾಸ ಮಾಡುತ್ತೇನೆ.
desk	ಡೆಸ್ಕ್; ಮೇಜು	ಪುಸ್ತಕ ನನ್ನ ಡೆಸ್ಕ್ ಮೇಲೆ ಇದೆ.
detail	ವಿವರ	ಒಂದು ವಿವರ ಕಾಣೆಯಾಗಿದೆ.
dialogue	ಸಂಭಾಷಣೆ	ಈಗ ಸಂಭಾಷಣೆಯನ್ನು ಓದು.
dictionary	ನಿಘಂಟು	ತರಗತಿಯಲ್ಲಿ ನಿಘಂಟನ್ನು ಬಳಸು.
die	ಸಾಯು	ನೀರಿಲ್ಲದೆ ಹೂಗಳು ಸಾಯುತ್ತವೆ.
diet	ಆಹಾರ ಕ್ರಮ	ನನ್ನ ಆಹಾರ ಕ್ರಮದಲ್ಲಿ ಹಣ್ಣುಗಳು ಇವೆ.
difference	ವ್ಯತ್ಯಾಸ	ಒಂದು ವ್ಯತ್ಯಾಸ ಇದೆ.
different	ಬೇರೆ	ನಮಗೆ ಬೇರೆ ಹೆಸರುಗಳಿವೆ.
difficult	ಕಷ್ಟವಾದ	ಈ ಪ್ರಶ್ನೆ ಕಷ್ಟವಾಗಿದೆ.
dinner	ರಾತ್ರಿ ಊಟ	ರಾತ್ರಿ ಊಟ ಸಿದ್ಧವಾಗಿದೆ.
dirty	ಕೊಳಕು	ನನ್ನ ಶೂಗಳು ಕೊಳಕಾಗಿವೆ.
discuss	ಚರ್ಚಿಸು	ನಾವು ಯೋಜನೆಯನ್ನು ಚರ್ಚಿಸುತ್ತೇವೆ.
dish	ತಿನಿಸು; ಪಾತ್ರೆ	ಈ ತಿನಿಸು ಬಿಸಿಯಾಗಿದೆ.
