source_headword	JA	example_JA
institute	研究所	その機関は新しい研究プログラムを開始した。
institution	機関	その機関は入学規則を変更した。
insurance	保険	彼女の保険は病院の費用をカバーした。
intended	意図された	メッセージは意図した読者に届いた。
intense	激しい	議論はすぐに非常に激しくなった。
internal	内部の	会社は内部監査を開始した。
interpret	解釈する	結果を注意深く解釈してください。
interrupt	遮る	今話者の邪魔をしないでください。
investigation	調査	調査によって深刻な間違いが明らかになった。
investment	投資	その投資は多くの地元の雇用を生み出した。
joy	喜び	彼らの成功は大きな喜びをもたらした。
judgement	判断力	彼の判断力は経験とともに向上した。
junior	若手の	彼女は若手アナリストとしてチームに加わった。
justice	正義	裁判の後家族は正義を求めた。
justify	正当化する	あなたはその決定を明確に正当化しなければならない。
labour	労働力	そのプロジェクトには熟練した労働力が必要だ。
landscape	風景	嵐の後風景が一変した。
largely	主に	計画は大部分において成功だった。
launch	発売する	彼らは明日その製品を発売する。
leadership	リーダーシップ	強力なリーダーシップがチームの回復を助けた。
league	リーグ	私たちのクラブは地域のリーグに参加した。
lean	寄りかかる	濡れた壁に寄りかからないでください。
licence	免許	その免許は来月失効する。
limited	限られた	今日は限られた時間しかない。
lively	活発な	会議は昼食後に活発になった。
load	荷物	トラックは重い荷物を運んでいた。
loan	ローン	銀行はそのローンを承認した。
logical	論理的な	彼女の主張は明確で論理的だった。
long-term	長期的な	これは長期的な解決策である。
loose	緩い	取っ手が緩く感じる。
lord	領主	その領主はいくつかの村を所有していた。
lower	下げる	彼らは冬の間に価格を下げる。
lung	肺	喫煙は肺にダメージを与える可能性がある。
maintain	維持する	私たちは定期的な連絡を維持している。
majority	大多数	大多数がその提案を支持した。
mass	塊	雲の塊が空を覆った。
massive	大規模な	地震は大規模な被害をもたらした。
master	達人	彼女は交渉の達人になった。
matching	お揃いの	彼は靴とベルトをお揃いにしていた。
maximum	最大の	部屋は最大収容人数に達した。
means	手段	電子メールは私たちの主な連絡手段だ。
measurement	測定	その測定値はわずかに間違っていた。
melt	溶ける	雪は正午までに溶けるだろう。
military	軍事の	その軍事基地は昨年閉鎖された。
mineral	鉱物	鉄は重要な鉱物だ。
minimum	最低の	最低年齢は十八歳である。
minister	大臣	大臣は難しい質問に答えた。
minor	軽微な	事故による被害は軽微だった。
minority	少数派	少数派が新しい規則に反対した。
mission	任務	彼らの任務は無事に終わった。
mixed	混ざった	そのニュースは賛否両論の反応を受けた。
modify	修正する	デザインは後で修正できます。
monitor	モニター	看護師が彼の状態を観察します。
moral	道徳的な	その物語には道徳的な教訓があります。
motor	モーター	モーターが警告なしに止まった。
mount	設置する	彼らは入り口近くにカメラを設置します。
multiple	複数の	複数の要因が遅れを引き起こしました。
multiply	掛ける	その数に10を掛けなさい。
mysterious	神秘的な	外に神秘的な光が現れた。
neat	きちんとした	彼女の机はいつもきちんとしています。
nerve	神経	その怪我は神経を損傷した。
nevertheless	それにもかかわらず	その課題は困難でしたが、それにもかかわらず私たちは完了しました。
nightmare	悪夢	その旅は悪夢のようになった。
notion	概念	変化は不可能だという概念を捨てなさい。
numerous	多数の	多数の研究がこの考えを支持しています。
obey	従う	運転手は標識に従わなければなりません。
objective	目的	私たちの目的は無駄を減らすことです。
obligation	義務	親には子供を保護する義務があります。
observation	観察	彼の観察が議論を変えました。
observe	観察する	科学者たちは毎年春に鳥を観察します。
obtain	取得する	書面による許可を取得する必要があります。
occasionally	時折	彼女は時折自宅で仕事をします。
offence	侮辱	そのコメントは深刻な侮辱を引き起こした。
offend	気分を害する	誰の気分を害するつもりもありませんでした。
offensive	不快な	そのポスターには不快な言葉が含まれていました。
opening	空き	その求人の空きには多くの応募者が集まりました。
operate	稼働する	その機械は自動的に稼働できます。
opponent	相手	彼女の対戦相手はその政策を批判した。
oppose	反対する	多くの住民がその計画に反対しています。
opposed	対立する	そのグループは対立する見解を持っていました。
opposition	反対	その提案は強い反対に直面しました。
organ	臓器	心臓は生命維持に不可欠な臓器です。
origin	起源	火災の出火原因は不明です。
otherwise	さもなければ	今すぐ出発しなさい。さもなければ遅刻しますよ。
outcome	結果	その結果は皆を驚かせました。
outer	外側の	外側の壁は修理が必要です。
outline	概要を述べる	あなたの主な主張の概要を述べてください。
overall	全体的な	全体的な結果は肯定的でした。
owe	借りがある	あなたに謝罪しなければなりません。
pace	ペース	一定のペースで歩きなさい。
panel	委員会	委員会は気候政策について議論しました。
parliament	議会	議会は新しい法律を承認しました。
participant	参加者	各参加者がフォームに署名しました。
partly	部分的に	遅れは部分的に私たちの責任でした。
passage	文章	答える前にその文章を読んでください。
pension1	年金	彼の年金は退職後の彼を支えています。
permanent	永久的な	彼らは永久的な解決策を必要としています。
permit	許可する	規則は短時間の訪問を許可しています。
perspective	視点	彼女の視点を理解しようと努めてください。
phase	段階	プロジェクトは最終段階に入りました。
phenomenon	現象	その現象は多くの文化で起こります。
philosophy	哲学	彼女の考え方は実践的な行動を重視しています。
pile	山	書類の一山が机を覆っていました。
pitch	ピッチ	チームは慎重にピッチの準備をしました。
plain	わかりやすい	指示はわかりやすく直接的でした。
pointed	鋭い	彼は鋭い指摘をしました。
popularity	人気	その歌手はネット上で人気を集めました。
pose	もたらす	その質問は問題を引き起こす可能性があります。
possess	備える	そのスキルを持っている学生はほとんどいません。
potential	可能性	そのアイデアには本当の可能性があります。
praise	称賛	先生は率直な称賛を与えました。
pregnant	妊娠している	彼女は妊娠6ヶ月です。
preparation	準備	良い準備はストレスを減らします。
presence	存在	彼の存在が雰囲気を変えました。
preserve	保護する	私たちはこの歴史的建造物を保護しなければなりません。
prime	主な	主な原因は計画不足でした。
principle	原則	その決定は明確な原則に従っていました。
priority	優先事項	安全が私たちの最優先事項です。
privacy	プライバシー	顧客はオンラインでのプライバシーを期待しています。
procedure	手順	その手順には30分かかります。
proof	証拠	行動を起こす前に証拠が必要です。
proposal	提案	その提案にはさらに詳細が必要です。
propose	提案する	私は別の解決策を提案します。
prospect	可能性	失敗の可能性が彼らを不安にさせました。
protection	保護	ヘルメットは基本的な保護を提供します。
psychologist	心理学者	心理学者がテストの結果を説明しました。
psychology	心理学	彼女は大学で心理学を学んでいます。
publication	出版物	その出版物は世間の注目を集めました。
pupil	生徒	各生徒は新しい教科書を受け取りました。
purchase	購入する	彼らは毎月備品を購入します。
pure	純粋な	水は純粋で冷たかった。
pursue	進む	彼は医療の道を志すでしょう。
rank	地位	彼女は高い地位に就いています。
rapid	急速な	その国は急速な成長を遂げました。
rapidly	急速に	今年は物価が急速に上昇しました。
raw	生の	シェフは生野菜を準備しました。
realistic	現実的な	現実的な期限を設定しなさい。
reasonable	妥当な	それは妥当な要求に思えます。
recall	思い出す	私は彼の正確な言葉を覚えています。
recover	回復する	彼女は治療後に回復するでしょう。
reduction	削減	その削減により資金が節約されました。
regard	見なす	多くの人が彼女を正直だと見なしています。
regional	地域の	今日、地域オフィスは閉鎖されました。
register	登録する	会議の前に登録してください。
regret	後悔する	私は以前の決定を後悔しています。
regulation	規制	新しい規制はすべての運転手に影響します。
relatively	比較的	試験は比較的簡単でした。
relevant	関連のある	関連する詳細だけを選びなさい。
relief	安心	その知らせは大きな安心をもたらしました。
rely	頼る	子供は大人からのサポートに頼ります。
remark	発言	彼の発言で議論は終わった。
representative	代表者	代表者は地元の労働者と会った。
reputation	評判	そのホテルは評判が良い。
requirement	要件	経験は基本的な要件だ。
rescue	救助する	彼らは洪水から人々を救助する。
reserve	予約する	ゲストのために席を予約する。
resident	住民	各住民が通知を受け取った。
resist	抵抗する	プレッシャーに抵抗するように努めなさい。
resolve	解決する	彼らは紛争を平和的に解決した。
resort	リゾート	その島のリゾートは5月にオープンした。
retain	保持する	会社はスタッフを維持したいと考えている。
reveal	明らかにする	報告書は真実を明らかにするだろう。
revolution	革命	革命が国を変えた。
reward	報酬	努力は報われるべきだ。
rhythm	リズム	その歌は一定のリズムを持っている。
rid	取り除く	それらの古いファイルを処分しなさい。
root	根本	問題の根本は金だ。
rub	こする	布で表面をこすりなさい。
rubber	ゴム	ゴム製のシールが水漏れを防ぐ。
rural	田舎の	多くの田舎の学校が支援を必要としている。
rush	急ぐ	この決定を急がないでください。
satellite	衛星	衛星が新しい画像を送ってきた。
satisfied	満足した	顧客は満足しているようだった。
satisfy	満足させる	その答えは彼を満足させなかった。
saving	節約	省エネは月々のコストを削減する。
scale	規模	被害の規模は巨大だった。
scheme	計画	その制度は若い労働者を助ける。
scream	悲鳴	彼らは外で悲鳴を聞いた。
sector	部門	テクノロジー分野は成長している。
secure	安全にする	ドアをロックして安全を確保しなさい。
seek	求める	彼らは専門家に助言を求める。
select	選択する	最良の選択肢を選びなさい。
selection	品揃え	その店は幅広い品揃えを提供している。
self	自己	彼女は本当の自分を見せた。
senior	上級の	ベテランの医師が患者を診察した。
sensitive	敏感な	この話題は非常に敏感だ。
sequence	順序	手順の順序に従いなさい。
session	セッション	トレーニングのセッションは正午に始まる。
settle	解決する	彼らは口論をすぐに解決した。
severe	深刻な	嵐は深刻な洪水を引き起こした。
shade	日陰	日陰に座りなさい。
shadow	影	影が窓を横切った。
shallow	浅い	ここの湖は浅い。
shame	恥	嘘をついた後、彼は恥ずかしさを感じた。
shelter	避難所	学校は緊急の避難所を提供した。
shock	ショック	その決定はショックだった。
shocked	ショックを受けた	彼女はその知らせにショックを受けた様子だった。
shooting	銃撃	銃撃事件は駅の近くで起きた。
shot	ショット	勝利のショットは皆を驚かせた。
significant	重要な	その発見は重要だった。
significantly	著しく	昨年はコストが大幅に増加しました。
silence	沈黙	部屋は沈黙に包まれました。
silk	絹	そのドレスは絹で作られていました。
sincere	誠実な	心からの感謝をお受け取りください。
