source_headword	LO	example_LO
crawl	ຄານ	ເດັກນ້ອຍເລີ່ມຄານໄປຕາມຜ້າພົມ.
creator	ຜູ້ສ້າງ	ຜູ້ສ້າງໄດ້ຂອບໃຈທຸກຄົນສຳລັບການສະໜັບສະໜູນຂອງພວກເຂົາ.
credibility	ຄວາມໜ້າເຊື່ອຖື	ພະຍານໄດ້ສູນເສຍຄວາມໜ້າເຊື່ອຖືໃນລະຫວ່າງການສອບສວນ.
credible	ທີ່ໜ້າເຊື່ອຖື	ບົດລາຍງານໄດ້ສະໜອງຫຼັກຖານທີ່ໜ້າເຊື່ອຖື.
creep	ເລືອ	ໝອກເລີ່ມເລືອຜ່ານຮ່ອມພູ.
critique	ການວິຈານ	ສາດສະດາຈານໄດ້ໃຫ້ການວິຈານຢ່າງລະອຽດ.
crown	ມຸງກຸດ	ລາຊິນີສວມມຸງກຸດເງິນ.
crude	ຫຍາບ	ຮູບແຕ້ມນັ້ນຫຍາບແຕ່ຈະແຈ້ງ.
crush	ບົດ	ຫີນໜັກສາມາດບົດທໍ່ໄດ້.
crystal	ຄຣິສຕັລ	ຄຣິສຕັລໄດ້ສະທ້ອນແສງແດດຍາມເຊົ້າ.
cult	ລັດທິ	ລັດທິນັ້ນໄດ້ແຍກສະມາຊິກຂອງຕົນອອກຈາກສັງຄົມ.
cultivate	ປູກຝັງ	ຊາວກະສິກອນປູກຝັງເຂົ້າໃນພາກພື້ນນີ້.
curiosity	ຄວາມຢາກຮູ້ຢາກເຫັນ	ຄວາມຢາກຮູ້ຢາກເຫັນໄດ້ນຳພາລາວເຂົ້າສູ່ວິທະຍາສາດ.
custody	ການຄຸ້ມຄອງ	ເດັກນ້ອຍຍັງຄົງຢູ່ໃນການຄຸ້ມຄອງຂອງພໍ່ຂອງນາງ.
cutting	ຂ່າວຕັດຈາກໜັງສືພິມ	ໜັງສືພິມໄດ້ຕີພິມຂ່າວຕັດກ່ຽວກັບລາວ.
cynical	ເຍາະເຍີ້ຍ	ຄຳເວົ້າເຍາະເຍີ້ຍຂອງລາວເຮັດໃຫ້ທີມງານເສຍໃຈ.
dam	ເຂື່ອນ	ເຂື່ອນກັກເກັບນ້ຳໃນແມ່ນ້ຳໄວ້.
