source_headword	RO	example_RO
ability	capacitate; abilitate	Abilitatea ei de a înota este clară.
able	capabil; în stare	El poate veni azi.
abroad	în străinătate	Ea vrea să studieze în străinătate.
accept	a accepta	Te rog, acceptă acest mic cadou.
accident	un accident	Accidentul s-a întâmplat lângă școală.
according to	conform; potrivit	Conform raportului, vine ploaia.
achieve	a realiza; a obține	Îți poți atinge scopul.
act	a juca; a acționa	El poate juca într-o piesă.
active	activ	Ea este activă în fiecare zi.
actually	de fapt	De fapt, am nevoie de mai mult timp.
advantage	un avantaj	Acest plan are un avantaj.
adventure	o aventură	Călătoria lor a fost o aventură.
advertise	a face reclamă; a anunța	Ei fac reclamă noului post.
advertisement	o reclamă; un anunț	Am văzut o reclamă.
advertising	publicitate	Publicitatea ajută la vânzarea mâncării.
affect	a afecta	Somnul îți poate afecta sănătatea.
against	împotriva; de	Nu te sprijini de perete.
ah	ah	Ah, acum înțeleg.
airline	o companie aeriană	Compania aeriană este foarte ocupată.
alive	viu; în viață	Peștele mic este viu.
all right	în regulă; bine	Totul este în regulă acum.
allow	a permite	Ei permit câini aici.
almost	aproape	Suntem aproape gata.
alone	singur	Ea locuiește singură.
along	de-a lungul	Mergi de-a lungul acestui drum.
already	deja	Știu deja răspunsul.
alternative	o alternativă	Acest tren este o alternativă.
although	deși	Deși este târziu, putem sta.
among	printre	El stătea printre copaci.
amount	o cantitate; o sumă	Cantitatea este prea mică.
ancient	antic; străvechi	Acest zid antic este faimos.
ankle	o gleznă	Mă doare glezna azi.
anybody	cineva; oricine	Poate cineva să răspundă?
any more	mai mult; deloc	Nu mai am nevoie.
anyway	oricum	Oricum, putem începe acum.
anywhere	oriunde	Stai oriunde dorești.
app	o aplicație	Această aplicație este utilă.
appear	a apărea	Numele ei va apărea aici.
appearance	aspect; înfățișare	Înfățișarea lui este diferită.
apply	a aplica; a cere	Aplică pentru post azi.
architect	un arhitect; o arhitectă	Arhitectul are un plan.
architecture	arhitectură	Îmi place arhitectura modernă.
argue	a se certa; a argumenta	Nu te certa cu sora ta.
argument	o ceartă; un argument	Cearta a fost scurtă.
army	o armată	Armata este mare.
arrange	a aranja; a organiza	Te rog, organizează întâlnirea.
arrangement	un aranjament; un acord	Aranjamentul funcționează bine.
asleep	adormit	Bebelușul este adormit.
assistant	un asistent; o asistentă	Asistentul m-a ajutat.
athlete	un atlet; o atletă	Atletul aleargă repede.
attack	un atac; a ataca	Câinele poate ataca.
attend	a participa; a frecventa	Particip la curs azi.
attention	atenție	Te rog, fii atent acum.
attractive	atractiv	Grădina este atractivă.
audience	public; audiență	Publicul era liniștit.
author	un autor; o autoare	Autoarea a scris această carte.
available	disponibil	Mâncarea este disponibilă acum.
average	mediu; o medie	Scorul mediu a fost bun.
avoid	a evita	Evită drumul aglomerat.
award	un premiu; a premia	Ea a câștigat un premiu.
awful	groaznic	Vremea a fost groaznică.
background	un fundal; context	Imaginea are un fundal întunecat.
badly	prost; rău	El a jucat prost azi.
bar	un bar	Ne-am întâlnit la barul hotelului.
baseball	baseball	Baseballul este popular aici.
based	bazat	Filmul este bazat pe o carte.
basketball	baschet	Jucăm baschet după școală.
bean	o fasole; un bob	Bobul acesta este verde.
bear (animal)	un urs	Un urs trăiește în pădure.
beat	a învinge; a bate	Echipa noastră îi poate învinge.
beef	carne de vită	Am mâncat carne de vită la cină.
behave	a se comporta	Te rog, comportă-te frumos la clasă.
behaviour	comportament	Comportamentul lui a fost politicos.
belong	a aparține	Acești pantofi îmi aparțin.
belt	o curea	Cureaua lui este neagră.
benefit	un beneficiu; a beneficia	Exercițiile au un beneficiu real.
billion	un miliard	Un miliard este un număr uriaș.
bin	un coș de gunoi	Pune hârtia în coș.
biology	biologie	Biologia este cel mai bun curs al meu.
birth	naștere	Nașterea ei a fost în mai.
biscuit	un biscuit	Ea mănâncă un biscuit.
bit	puțin; o bucățică	Am nevoie de puțin mai mult timp.
blank	gol; un spațiu gol	Scrie numele în spațiul gol.
blood	sânge	Sângele este roșu.
blow	a sufla	Vântul poate sufla puternic.
board	o tablă; un panou	Scrie pe tablă.
boil	a fierbe	Fierbe apa mai întâi.
bone	un os	Câinele are un os.
borrow	a împrumuta	Pot să împrumut pixul tău?
boss	un șef; o șefă	Șeful meu este prietenos.
bottom	partea de jos; fund	Semnează în partea de jos.
bowl	un bol; un castron	Bolul este plin.
brain	creier	Creierul tău are nevoie de odihnă.
bridge	un pod	Podul este vechi.
bright	luminos; strălucitor	Camera este luminoasă.
brilliant	genial; strălucit	Ideea aceea este genială.
broken	stricat; rupt	Scaunul este stricat.
brush	a peria; o perie	Periază-ți dinții acum.
burn	a arde	Nu arde pâinea.
businessman	un om de afaceri	Omul de afaceri a sosit devreme.
button	un buton	Apasă butonul roșu.
camp	o tabără; a campa	Campăm lângă lac.
camping	camping; campare	Campingul este distractiv vara.
can2	o conservă; o cutie metalică	Deschide conserva cu grijă.
care	grijă; îngrijire	Ai grijă de sănătatea ta.
careful	atent; grijuliu	Fii atent pe scări.
carefully	cu atenție	Citește întrebarea cu atenție.
carpet	un covor	Covorul este moale.
cartoon	un desen animat	Acest desen animat este amuzant.
case	o cutie; un caz	Pune obiectul în cutie.
cash	numerar	Am plătit în numerar.
castle	un castel	Castelul este foarte vechi.
catch	a prinde	Prinde mingea acum.
cause	o cauză; a cauza	Ploaia poate cauza probleme.
celebrate	a sărbători	Sărbătorim ziua mea.
celebrity	o celebritate	Celebritatea a fost foarte amabilă.
certain	sigur; anumit	Sunt sigur de asta.
certainly	cu siguranță	Cu siguranță te voi ajuta.
chance	o șansă	Ai o șansă.
character	un personaj; caracter	Acest personaj este curajos.
charity	o organizație caritabilă; caritate	Organizația caritabilă ajută copiii.
chat	a discuta; o discuție	Discutăm după curs.
chef	un bucătar; o bucătăreasă	Bucătarul a făcut supă.
chemistry	chimie	Chimia este dificilă pentru mine.
