source_headword	PT-BR	example_PT-BR
heal	curar	O descanso ajuda o corpo a se curar.
healthcare	a assistência médica	Os custos de saúde aumentaram este ano.
helmet	o capacete	Use um capacete na bicicleta.
hence	portanto	Portanto, mudamos o cronograma.
herb	a erva	O manjericão é uma erva útil.
hidden	escondido	A chave estava escondida sob o tapete.
highway	a rodovia	A rodovia foi fechada após a neve.
hilarious	hilário	O filme era hilário.
hip	o quadril	Ela machucou o quadril durante o treino.
historian	o historiador	O historiador estudou cartas antigas.
homeless	sem-teto	O abrigo ajuda famílias sem-teto.
honesty	a honestidade	A honestidade constrói confiança.
hook	o gancho	Pendure o casaco no gancho.
hopefully	com sorte	Com sorte, o trem chegará em breve.
hunger	a fome	A fome pode afetar a concentração.
hypothesis	a hipótese	O experimento testou a hipótese.
icon	o ícone	O ícone do aplicativo mudou hoje.
ID	a identidade	Mostre sua identidade na recepção.
identical	idêntico	Os gêmeos usavam jaquetas idênticas.
illusion	a ilusão	O espelho cria uma ilusão.
immigration	a imigração	A política de imigração mudou no ano passado.
immune	imune	A vacinação pode tornar as pessoas imunes.
implement	implementar	A escola implementará a política.
implication	a implicação	A implicação era clara.
incentive	o incentivo	O bônus deu aos trabalhadores um incentivo.
incorporate	incorporar	Incorpore mais vegetais às refeições.
incorrect	incorreto	A resposta estava incorreta.
independence	a independência	O país celebrou a independência.
index	o índice	Verifique o índice para o tópico.
indication	a indicação	O sorriso foi uma indicação de alívio.
inevitable	inevitável	Algum atraso era inevitável.
inevitably	inevitavelmente	Inevitavelmente, os preços subiram após a escassez.
infer	inferir	Podemos inferir a resposta pelo contexto.
inflation	a inflação	A inflação aumentou os preços dos alimentos.
info	a informação	O site lista informações úteis.
infrastructure	a infraestrutura	A tempestade danificou a infraestrutura local.
inhabitant	o habitante	Cada habitante recebeu água limpa.
inherit	herdar	Ela herdará a casa da família.
ink	a tinta	A impressora precisa de tinta preta.
innovation	a inovação	A inovação impulsiona a indústria para a frente.
innovative	inovador	A empresa lançou um produto inovador.
input	a opinião	O gerente pediu opiniões.
insert	inserir	Insira o cartão na máquina.
inspector	o inspetor	O inspetor inspecionou o prédio.
installation	a instalação	A instalação levou duas horas.
instant	instantâneo	O aplicativo enviou uma resposta instantânea.
instantly	instantaneamente	A tela ligou instantaneamente.
integrate	integrar	O software pode integrar novas ferramentas.
intellectual	intelectual	O debate foi intelectual, mas amigável.
interact	interagir	Os alunos interagem durante o trabalho em grupo.
interaction	a interação	A interação foi educada.
interpretation	a interpretação	A interpretação dela do poema foi original.
interval	o intervalo	Houve um curto intervalo entre os atos.
invade	invadir	O exército tentou invadir a ilha.
invasion	a invasão	A invasão danificou muitas cidades.
investor	o investidor	O investidor financiou uma nova startup.
isolate	isolar	Os médicos isolam pacientes com infecções graves.
isolated	isolado	A vila ficou isolada pela neve.
jail	a prisão	O ladrão foi para a cadeia.
jet	o jato	O jato pousou ao meio-dia.
joint	conjunto	Eles anunciaram um projeto conjunto.
journalism	o jornalismo	O jornalismo exige fatos precisos.
jury	o júri	O júri chegou a uma decisão.
kit	o kit	O kit de reparo inclui parafusos.
ladder	a escada	A escada estava encostada na parede.
landing	o pouso	O avião fez um pouso suave.
lane	a faixa	Fique na faixa da direita.
lately	ultimamente	Tenho dormido mal ultimamente.
leaflet	o folheto	O folheto explica o serviço.
legend	a lenda	A lenda fala de uma cidade escondida.
lens	a lente	Limpe a lente da câmera com cuidado.
lifetime	a vida toda	Ele guardou dinheiro a vida toda.
lighting	a iluminação	Uma boa iluminação melhora o quarto.
likewise	igualmente	Ela sorriu; ele fez o mesmo.
limitation	a limitação	O plano tem uma limitação.
literally	literalmente	Ela literalmente correu para o ônibus.
literary	literário	O festival homenageia o trabalho literário.
litre	o litro	Compre um litro de leite.
litter	o lixo	Não jogue lixo no chão.
logo	o logotipo	O logotipo aparece em todas as páginas.
lottery	a loteria	Ele ganhou um pequeno prêmio na loteria.
loyal	leal	O cachorro era leal ao seu dono.
lyric	a letra	A letra repetia a ideia principal.
magnificent	magnífico	O palácio parecia magnífico.
make-up	a maquiagem	Ela usava uma maquiagem simples.
making	a produção	A produção do filme foi difícil.
manufacture	fabricar	A fábrica vai fabricar telefones.
manufacturing	a manufatura	Os empregos na manufatura aumentaram localmente.
marathon	a maratona	Ela terminou a maratona.
margin	a margem	Escreva notas na margem.
marker	o marcador	Use um marcador para o rótulo.
martial	marcial	Ele estuda artes marciais.
mate	o colega	Meu velho colega de escola ligou ontem.
mayor	o prefeito	O prefeito inaugurou a biblioteca.
mechanic	o mecânico	O mecânico consertou o ônibus.
mechanical	mecânico	O relógio tem uma falha mecânica.
mechanism	o mecanismo	O mecanismo da fechadura é simples.
medal	a medalha	Ela ganhou uma medalha de ouro.
medication	a medicação	Tome a medicação com água.
membership	a assinatura	A assinatura da academia custa menos online.
memorable	memorável	A viagem foi memorável.
metaphor	a metáfora	O poema usa uma metáfora forte.
miner	o mineiro	O mineiro trabalhava no subsolo.
miserable	miserável	A chuva tornou o piquenique miserável.
mode	o modo	Mude a câmera para o modo noturno.
modest	modesto	Eles moram em uma casa modesta.
monster	o monstro	A história tem um monstro assustador.
monthly	mensal	Pagamos o aluguel mensalmente.
monument	o monumento	O monumento fica perto do rio.
moreover	além disso	Além disso, o plano economiza dinheiro.
mortgage	a hipoteca	Eles solicitaram uma hipoteca.
mosque	a mesquita	A mesquita fica perto do mercado.
motion	o movimento	O sensor detecta movimento.
motivate	motivar	Elogios podem motivar os alunos.
motivation	a motivação	A motivação dela permaneceu forte.
moving	comovente	O discurso foi comovente.
myth	o mito	O mito explica o nome da montanha.
naked	nu	O bebê estava nu após o banho.
nasty	feio	O corte parecia feio.
navigation	a navegação	O aplicativo melhora a navegação.
nearby	próximo	Um café próximo abre cedo.
necessity	a necessidade	Água limpa é uma necessidade.
negotiate	negociar	Eles negociam o contrato amanhã.
negotiation	a negociação	A negociação durou a manhã toda.
neutral	neutro	O juiz permaneceu neutro.
newly	recentemente	A porta recém-pintada parecia brilhante.
norm	a norma	O trabalho remoto tornou-se a norma.
notebook	o caderno	Escreva as anotações no seu caderno.
novelist	o romancista	A romancista autografou seu livro.
nowadays	hoje em dia	Hoje em dia, muitas pessoas trabalham online.
nursing	a enfermagem	Ela está estudando enfermagem.
nutrition	a nutrição	Uma boa nutrição favorece a saúde.
obesity	a obesidade	A obesidade aumenta os riscos à saúde.
observer	o observador	O observador registrou os resultados.
obstacle	o obstáculo	A árvore caída era um obstáculo.
occupation	a profissão	Por favor, escreva sua profissão aqui.
occupy	ocupar	A família ocupará o apartamento.
offender	o infrator	O infrator pediu desculpas no tribunal.
ongoing	em andamento	A investigação está em andamento.
openly	abertamente	Ela falou abertamente sobre seus medos.
opera	a ópera	Vimos uma ópera em Milão.
operator	o operador	O operador conectou a chamada.
optimistic	otimista	Ela se sente otimista em relação ao futuro.
orchestra	a orquestra	A orquestra tocou suavemente.
organic	orgânico	Eles compraram vegetais orgânicos.
outfit	a roupa	A roupa dela combinava com a ocasião.
output	a produção	A produção da máquina aumentou.
outstanding	excepcional	O desempenho dele foi excepcional.
overcome	superar	Eles superam os problemas juntos.
overnight	durante a noite	O pacote chegou durante a noite.
overseas	no exterior	Ele encontrou trabalho no exterior.
ownership	a propriedade	A propriedade da terra mudou.
oxygen	o oxigênio	As plantas produzem oxigênio.
packet	o pacote	Abra o pacote com cuidado.
palm	a palma	Segure a moeda na palma da mão.
