hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
3606:白白	白白	白白	व्यर्थ; बेकार में	वह एक घंटा व्यर्थ इंतज़ार करता रहा।	ব্যর্থভাবে; অকারণে	সে এক ঘণ্টা অকারণে অপেক্ষা করেছিল।	walang saysay; sayang lang	Naghintay siya nang isang oras nang walang saysay.
3607:白领	白领	白领	कार्यालय कर्मचारी; श्वेतपोश कर्मचारी	इस शहर में बहुत से युवा कार्यालय कर्मचारी हैं।	অফিসকর্মী; সাদা-কলার কর্মী	এই শহরে অনেক তরুণ অফিসকর্মী আছে।	empleyadong opisina	Maraming batang empleyadong opisina sa lungsod na ito.
3609:摆放	摆放	摆放	रखना; सजाकर रखना	कृपया सामग्री को मेज़ पर साफ़-सुथरे ढंग से रख दें।	রাখা; সাজিয়ে রাখা	দয়া করে কাগজপত্রগুলো টেবিলে গুছিয়ে রাখুন।	ilagay; ayusin	Pakiayos nang maayos ang mga materyales sa mesa.
3610:百分点	百分点	百分点	प्रतिशत अंक	बेरोज़गारी दर दो प्रतिशत अंक घटी।	শতাংশ পয়েন্ট	বেকারত্বের হার দুই শতাংশ পয়েন্ট কমেছে।	puntos ng porsiyento	Bumaba ng dalawang puntos ng porsiyento ang antas ng kawalan ng trabaho.
3611:百货	百货	百货	सामान्य माल; डिपार्टमेंट स्टोर का सामान	यह डिपार्टमेंट स्टोर सप्ताहांत में बहुत भीड़भाड़ वाला होता है।	সাধারণ পণ্য; ডিপার্টমেন্ট স্টোরের পণ্য	সাপ্তাহিক ছুটির দিনে এই ডিপার্টমেন্ট স্টোরে খুব ভিড় হয়।	pangkalahatang paninda; paninda sa department store	Punong-puno ng tao ang department store na ito tuwing weekend.
3613:败	败	败	हारना; पराजित होना	हमारी टीम अंत में एक अंक से हार गई।	হারানো; পরাজিত হওয়া	আমাদের দল শেষ পর্যন্ত এক পয়েন্টে হেরে গেল।	matalo; magapi	Natalo ang aming koponan sa huli nang isang puntos.
3616:版	版	版	संस्करण; आवृत्ति	इस किताब का नया संस्करण आ गया है।	সংস্করণ; ভার্সন	এই বইয়ের নতুন সংস্করণ বের হয়েছে।	edisyon; bersyon	Lumabas na ang bagong edisyon ng aklat na ito.
3621:棒球	棒球	棒球	बेसबॉल	बच्चे पार्क में बेसबॉल खेल रहे हैं।	বেসবল	বাচ্চারা পার্কে বেসবল খেলছে।	beisbol	Naglalaro ng beisbol ang mga bata sa parke.
3623:保健	保健	保健	स्वास्थ्य देखभाल; स्वास्थ्य संरक्षण	बुज़ुर्ग लोग स्वास्थ्य देखभाल पर अधिक ध्यान दे रहे हैं।	স্বাস্থ্যসেবা; স্বাস্থ্যরক্ষা	বয়স্ক মানুষ স্বাস্থ্যরক্ষার দিকে ক্রমেই বেশি মনোযোগ দিচ্ছেন।	pangangalaga sa kalusugan	Lalong binibigyang-pansin ng matatanda ang pangangalaga sa kalusugan.
3624:保暖	保暖	保暖	गर्म रखना; गर्म रहना	सर्दियों में बाहर जाते समय गर्म रहने का ध्यान रखें।	গরম রাখা; উষ্ণ থাকা	শীতে বাইরে গেলে গরম থাকার দিকে খেয়াল রাখুন।	magpainit; panatilihing mainit	Kapag lalabas sa taglamig, siguraduhing mainit ang suot.
