source_headword	HY	example_HY
ability	կարողություն; ունակություն	Նրա լողալու կարողությունը պարզ է։
able	կարող; ունակ	Նա այսօր կարող է գալ։
abroad	արտասահմանում; արտասահման	Նա ցանկանում է արտասահմանում սովորել։
accept	ընդունել	Խնդրում եմ, ընդունեք այս փոքր նվերը։
accident	վթար; պատահար	Պատահարը դպրոցի մոտ եղավ։
according to	ըստ; համաձայն	Ըստ զեկույցի, անձրև է գալու։
achieve	հասնել	Դու կարող ես հասնել քո նպատակին։
act	գործել; դեր խաղալ	Նա կարող է ներկայացման մեջ դեր խաղալ։
active	ակտիվ	Նա ամեն օր ակտիվ է։
actually	իրականում	Իրականում, ինձ ավելի շատ ժամանակ է պետք։
advantage	առավելություն	Այս ծրագիրն առավելություն ունի։
adventure	արկած	Նրանց ճամփորդությունը արկած էր։
advertise	գովազդել	Նրանք նոր աշխատանքը գովազդում են։
advertisement	գովազդ	Ես գովազդ տեսա։
advertising	գովազդում; գովազդ	Գովազդը օգնում է սնունդ վաճառել։
affect	ազդել	Քունը կարող է ազդել առողջության վրա։
against	դեմ; հենված	Մի հենվեք պատին։
ah	ահ	Ահ, հիմա հասկանում եմ։
airline	ավիաընկերություն	Ավիաընկերությունը շատ զբաղված է։
alive	կենդանի	Փոքր ձուկը կենդանի է։
all right	լավ; կարգին	Հիմա ամեն ինչ կարգին է։
allow	թույլ տալ	Այստեղ շներին թույլ են տալիս։
almost	գրեթե	Մենք գրեթե պատրաստ ենք։
alone	մենակ	Նա մենակ է ապրում։
along	երկայնքով	Քայլեք այս ճանապարհի երկայնքով։
already	արդեն	Ես արդեն գիտեմ պատասխանը։
alternative	այլընտրանք	Այս գնացքն այլընտրանք է։
although	թեև	Թեև ուշ է, մենք կարող ենք մնալ։
among	միջև; մեջ	Նա կանգնած էր ծառերի մեջ։
amount	քանակ	Քանակը շատ փոքր է։
ancient	հին; հնագույն	Այս հնագույն պատը հայտնի է։
ankle	կոճ	Այսօր կոճս ցավում է։
anybody	որևէ մեկը	Կարո՞ղ է որևէ մեկը պատասխանել սրան։
any more	այլևս; ավելի	Ինձ այլևս պետք չէ։
anyway	ամեն դեպքում	Ամեն դեպքում, հիմա կարող ենք սկսել։
anywhere	որտեղ էլ լինի; ցանկացած տեղ	Նստեք ցանկացած տեղ, որտեղ ուզում եք։
app	հավելված	Այս հավելվածը օգտակար է։
appear	հայտնվել	Նրա անունը այստեղ կհայտնվի։
appearance	արտաքին տեսք	Նրա արտաքին տեսքը տարբեր է։
apply	դիմել	Այսօր դիմեք այդ աշխատանքին։
architect	ճարտարապետ	Ճարտարապետը ծրագիր ունի։
architecture	ճարտարապետություն	Ես սիրում եմ ժամանակակից ճարտարապետությունը։
argue	վիճել	Մի վիճիր քրոջդ հետ։
argument	վեճ	Վեճը կարճ էր։
army	բանակ	Բանակը մեծ է։
arrange	կազմակերպել; դասավորել	Խնդրում եմ, հանդիպումը կազմակերպեք։
arrangement	պայմանավորվածություն; դասավորություն	Այս պայմանավորվածությունը լավ է աշխատում։
asleep	քնած	Երեխան քնած է։
assistant	օգնական	Օգնականը ինձ օգնեց։
athlete	մարզիկ	Մարզիկը արագ է վազում։
attack	հարձակվել	Շունը կարող է հարձակվել։
attend	հաճախել; ներկա լինել	Ես այսօր դասի եմ հաճախում։
