hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
5001:物体	物体	物体	nesne; fiziksel cisim	Bu nesne suda yavaşça battı.	kitu; mwili wa kifizikia	Kitu hiki kilizama polepole majini.	obyekt; fiziki cisim	Bu obyekt suda yavaş-yavaş batdı.	obyekt; jism	Bu obyekt suvda sekin cho‘kdi.
5005:喜剧	喜剧	喜剧	komedi	Bu komedi tüm seyircileri durmadan güldürdü.	komedi; kichekesho	Kichekesho hiki kiliwafanya watazamaji wote wacheke bila kukoma.	komediya	Bu komediya bütün tamaşaçıları dayanmadan güldürdü.	komediya	Bu komediya butun tomoshabinlarni tinmay kuldirdi.
5006:喜事	喜事	喜事	mutlu olay; kutlama	Evde mutlu bir olay vardı, akrabalar kutlamaya geldi.	tukio la furaha; sherehe	Kulikuwa na tukio la furaha nyumbani, na jamaa wote walikuja kupongeza.	xoş hadisə; şənlik	Evdə xoş hadisə oldu, qohumlar təbrik etməyə gəldi.	quvonchli voqea; tantana	Uyda quvonchli voqea bo‘ldi, qarindoshlar tabriklashga keldi.
5007:洗漱	洗漱	洗漱	yıkanmak; el yüz yıkamak	O her sabah altıda kalkıp elini yüzünü yıkar.	kunawa; kujisafisha	Yeye huamka saa kumi na mbili asubuhi kila siku na kujisafisha.	yuyunmaq; əl-üzünü yumaq	O, hər səhər saat altıda qalxıb əl-üzünü yuyur.	yuvinish; yuz-qo‘lini yuvish	U har kuni ertalab soat oltida turib yuvinadi.
5011:戏曲	戏曲	戏曲	geleneksel Çin operası	Dedem yerel geleneksel operayı dinlemeyi özellikle sever.	opera ya jadi ya Kichina	Babu hupenda sana kusikiliza opera ya jadi ya eneo hilo.	ənənəvi Çin operası	Babam yerli ənənəvi operanı dinləməyi xüsusilə sevir.	an’anaviy xitoy operasi	Buvam mahalliy an’anaviy operani tinglashni juda yaxshi ko‘radi.
5014:下功夫	下功夫	下功夫	emek vermek; çaba göstermek	Çince karakterleri iyi yazmak için emek vermeye hazır.	kujitahidi; kuweka juhudi	Yuko tayari kuweka juhudi ili aandike herufi za Kichina vizuri.	zəhmət çəkmək; səy göstərmək	O, Çin heroqliflərini yaxşı yazmaq üçün səy göstərməyə hazırdır.	harakat qilish; mehnat sarflash	U xitoy ierogliflarini yaxshi yozish uchun mehnat qilishga tayyor.
5015:下单	下单	下单	sipariş vermek	Ders kitabını almak için internette sipariş verdim.	kuagiza	Nimeagiza kitabu cha masomo mtandaoni.	sifariş vermək	Mən dərsliyi almaq üçün artıq onlayn sifariş vermişəm.	buyurtma berish	Men darslikni sotib olish uchun allaqachon onlayn buyurtma berdim.
5017:下线	下线	下线	yayından kalkmak; kullanımdan kaldırılmak	Bu eski özellik yarın resmen kullanımdan kaldırılacak.	kuondolewa mtandaoni; kusitishwa	Kipengele hiki cha zamani kitaondolewa rasmi kesho.	oflayn olmaq; istifadədən çıxarılmaq	Bu köhnə funksiya sabah rəsmi olaraq istifadədən çıxarılacaq.	oflayn bo‘lish; bekor qilinmoq	Bu eski funksiya ertaga rasman bekor qilinadi.
5018:下旬	下旬	下旬	ayın son on günü	Sergi ağustosun sonlarında açılacak.	siku kumi za mwisho za mwezi	Maonyesho yatafunguliwa mwishoni mwa Agosti.	ayın son ongünlüyü	Sərgi avqustun son ongünlüyündə açılacaq.	oyning oxirgi o‘n kuni	Ko‘rgazma avgust oyining oxirgi o‘n kunligida ochiladi.
5023:显	显	显	göstermek; gibi görünmek	Bu kıyafet onu çok dinç gösteriyor.	kuonyesha; kuonekana	Nguo hii inamfanya aonekane mwenye nguvu.	göstərmək; görünmək	Bu geyim onu çox gümrah göstərir.	ko‘rsatmoq; ko‘rinmoq	Bu kiyim uni juda tetik ko‘rsatadi.
5024:险	险	险	tehlikeli; riskli	Dağ yolu tehlikelidir, bu yüzden daha yavaş sürmek gerekir.	hatari	Barabara ya mlimani ni hatari, kwa hiyo endesha polepole zaidi.	təhlükəli; riskli	Dağ yolu təhlükəlidir, ona görə maşını bir az yavaş sürmək lazımdır.	xavfli; tavakkalli	Tog‘ yo‘li xavfli, shuning uchun sekinroq haydash kerak.
5026:限	限	限	sınırlamak; kısıtlamak	Her kişi en fazla iki bilet alabilir.	kuweka kikomo; kuzuia	Kila mtu anaruhusiwa kununua tiketi mbili tu.	məhdudlaşdırmaq	Hər kəs ən çox iki bilet ala bilər.	cheklamoq	Har bir kishi ko‘pi bilan ikkita chipta sotib olishi mumkin.
5027:线	线	线	çizgi; ip	Lütfen bu çizgi boyunca kesin.	mstari; uzi	Tafadhali kata kando ya mstari huu.	xətt; ip	Zəhmət olmasa bu xətt boyunca kəsin.	chiziq; ip	Iltimos, shu chiziq bo‘ylab kesing.
5028:现存	现存	现存	mevcut; korunmuş	Mevcut belgeler bu sonucu kanıtlamak için yeterli değil.	uliopo; uliohifadhiwa	Taarifa zilizopo hazitoshi kuthibitisha hitimisho hili.	mövcud; qorunmuş	Mövcud materiallar bu nəticəni sübut etmək üçün kifayət deyil.	mavjud; saqlanib qolgan	Mavjud materiallar bu xulosani isbotlash uchun yetarli emas.
5029:限度	限度	限度	sınır; derece	Onun sabrı artık sınırına ulaştı.	kikomo; kiwango	Uvumilivu wake umefika kikomo.	hədd; dərəcə	Onun səbri artıq həddinə çatıb.	chegara; daraja	Uning sabri allaqachon chegarasiga yetdi.
5030:现货	现货	现货	stoktaki ürün	Bu telefon stokta var ve bugün gönderilebilir.	bidhaa iliyopo akibani	Simu hii ipo akibani na inaweza kutumwa leo.	anbarda olan mal; mövcud məhsul	Bu telefon anbarda var və bu gün göndərilə bilər.	omborda mavjud tovar	Bu telefon omborda bor va bugunoq jo‘natilishi mumkin.
5033:限于	限于	限于	ile sınırlı olmak	Kayıt otuz kişiyle sınırlıdır.	kuwa na kikomo cha	Usajili umewekewa kikomo cha watu thelathini.	ilə məhdudlaşmaq	Qeydiyyat otuz nəfərlə məhdudlaşır.	bilan cheklanmoq	Ro‘yxatdan o‘tish o‘ttiz kishi bilan cheklangan.
5036:相传	相传	相传	rivayete göre; denir ki	Rivayete göre bu köprünün üç yüz yıllık geçmişi var.	inasemekana; kwa mujibu wa hadithi	Inasemekana daraja hili lina historia ya miaka mia tatu.	rəvayətə görə; deyirlər ki	Rəvayətə görə, bu körpünün üç yüz illik tarixi var.	rivoyatga ko‘ra; aytishlaricha	Rivoyatga ko‘ra, bu ko‘prikning uch yuz yillik tarixi bor.
5038:相连	相连	相连	bağlı olmak; bağlanmak	İki şehir hızlı trenle birbirine bağlıdır.	kuunganishwa	Miji miwili imeunganishwa na reli ya kasi.	bağlı olmaq	İki şəhər sürətli dəmir yolu ilə bir-birinə bağlıdır.	bog‘langan bo‘lish	Ikki shahar tezyurar temiryo‘l orqali bog‘langan.
5039:香水	香水	香水	parfüm	O çok ağır kokulu parfümleri sevmez.	manukato	Yeye hapendi manukato yenye harufu kali sana.	ətir	O, qoxusu çox kəskin olan ətirləri sevmir.	atir	U hidi juda kuchli atirni yoqtirmaydi.
5052:小偷儿	小偷儿	小偷儿	hırsız	O hırsız polis tarafından kısa sürede yakalandı.	mwizi	Yule mwizi alikamatwa haraka na polisi.	oğru	O oğru polis tərəfindən tez tutuldu.	o‘g‘ri	O‘g‘ri politsiya tomonidan tezda qo‘lga olindi.
5053:笑容	笑容	笑容	gülümseme	Yüzündeki gülümseme herkesi rahatlattı.	tabasamu	Tabasamu usoni mwake liliwatuliza wote.	təbəssüm	Onun üzündəki təbəssüm hamını sakitləşdirdi.	tabassum	Uning yuzidagi tabassum hammani xotirjam qildi.
5054:效应	效应	效应	etki	Bu politikanın etkisi hâlâ gözlemlenmelidir.	athari	Athari ya sera hii bado inahitaji kuchunguzwa.	təsir; effekt	Bu siyasətin təsirini hələ müşahidə etmək lazımdır.	ta’sir; effekt	Bu siyosatning ta’sirini hali kuzatish kerak.
5060:心爱	心爱	心爱	sevgili; favori	Seyahate en sevdiği kamerasını götürdü.	pendwa; kipenzi	Alichukua kamera yake pendwa safarini.	sevimli; əziz	O, səfərə sevimli fotoaparatını apardı.	sevimli; qadrli	U sayohatga sevimli kamerasi bilan bordi.
5061:心底	心底	心底	kalbin derinliği	Öğretmenin yardımı için kalbinin derinliklerinden teşekkür etti.	moyoni kabisa	Alimshukuru mwalimu kwa msaada kutoka moyoni kabisa.	ürəyin dərinliyi	O, müəllimin köməyinə ürəyinin dərinliyindən təşəkkür etdi.	yurak tubi	U o‘qituvchining yordami uchun yurak tubidan minnatdor bo‘ldi.
5062:新款	新款	新款	yeni model; yeni tarz	Bu mağaza yeni tarz ayakkabılardan bir parti satışa çıkardı.	modeli mpya; mtindo mpya	Duka hili limeweka sokoni kundi la viatu vya mtindo mpya.	yeni model; yeni üslub	Bu mağaza yeni üslubda ayaqqabı partiyasını satışa çıxarıb.	yangi model; yangi uslub	Bu do‘kon yangi uslubdagi oyoq kiyimlar partiyasini sotuvga qo‘ydi.
5064:新媒体	新媒体	新媒体	yeni medya	Yeni medya insanların bilgi edinme şeklini değiştirdi.	vyombo vipya vya habari	Vyombo vipya vya habari vimebadilisha jinsi watu wanavyopata taarifa.	yeni media	Yeni media insanların məlumat əldə etmə üsulunu dəyişdi.	yangi media	Yangi media odamlarning axborot olish usulini o‘zgartirdi.
5065:心目	心目	心目	gözünde; zihninde	Benim gözümde o çok iyi bir yazardır.	akilini; machoni mwa mtu	Akilini mwangu, yeye ni mwandishi bora.	təsəvvüründə; gözündə	Mənim gözümdə o, əla yazıçıdır.	nazarida; xayolida	Mening nazarimda u ajoyib yozuvchi.
5066:新能源	新能源	新能源	yeni enerji	Yeni enerji sektörü hızla gelişiyor.	nishati mpya	Sekta ya nishati mpya inaendelea kwa kasi.	yeni enerji	Yeni enerji sənayesi sürətlə inkişaf edir.	yangi energiya	Yangi energiya sanoati tez rivojlanmoqda.
5069:新兴	新兴	新兴	yükselen; yeni ortaya çıkan	Yükselen sektörler birçok genci kendine çekiyor.	inayochipuka; inayoibuka	Sekta zinazoibuka zimewavutia vijana wengi.	yeni yaranan; inkişaf edən	Yeni yaranan sahələr çoxlu gənci cəlb edir.	yangi paydo bo‘layotgan	Yangi paydo bo‘layotgan sohalar ko‘plab yoshlarni jalb qilmoqda.
5071:心愿	心愿	心愿	dilek; içten arzu	Sonunda yıllardır taşıdığı dileği gerçekleştirdi.	tamanio la moyo; shauku	Hatimaye alitimiza tamanio lake la miaka mingi.	ürək arzusu; istək	O, nəhayət, illərdir ürəyində saxladığı arzusunu həyata keçirdi.	ko‘ngil istagi; orzu	U nihoyat ko‘p yillik orzusini amalga oshirdi.
5075:兴起	兴起	兴起	ortaya çıkmak; yükselmek	Çevrim içi öğrenme birçok bölgede ortaya çıktı.	kuibuka; kuenea	Kujifunza mtandaoni kumeibuka katika maeneo mengi.	yaranmaq; yüksəlmək	Onlayn təhsil bir çox bölgədə yayılmağa başlayıb.	paydo bo‘lmoq; rivojlanmoq	Onlayn ta’lim ko‘plab hududlarda paydo bo‘ldi.
5076:型号	型号	型号	model; tip numarası	Lütfen bilgisayarın modelini forma yazın.	modeli; nambari ya aina	Tafadhali andika modeli ya kompyuta kwenye fomu.	model; tip nömrəsi	Zəhmət olmasa kompüterin modelini formada yazın.	model; tur raqami	Iltimos, kompyuter modelini shaklga yozing.
5078:性价比	性价比	性价比	fiyat-performans oranı	Bu otelin fiyat-performans oranı çok iyi.	uwiano wa bei na ubora; thamani kwa fedha	Hoteli hii ina thamani nzuri sana kwa fedha.	qiymət-keyfiyyət nisbəti	Bu otelin qiymət-keyfiyyət nisbəti çox yaxşıdır.	narx-sifat nisbati	Bu mehmonxonaning narx-sifat nisbati juda yaxshi.
5081:修订	修订	修订	gözden geçirmek; düzeltmek	Editör bu ders kitabını gözden geçiriyor.	kurekebisha; kuhakiki	Mhariri anarekebisha kitabu hiki cha masomo.	yenidən nəzərdən keçirmək; düzəliş etmək	Redaktor bu dərsliyi yenidən nəzərdən keçirir.	qayta ko‘rib chiqmoq; tahrir qilmoq	Muharrir bu darslikni qayta ko‘rib chiqmoqda.
5083:袖子	袖子	袖子	kol; giysi kolu	Bu montun kolları biraz uzun.	mkono wa nguo	Mikono ya koti hili ni mirefu kidogo.	qol; paltar qolu	Bu paltonun qolları bir az uzundur.	yeng	Bu paltaning yenglari biroz uzun.
5088:选修	选修	选修	seçmeli ders almak	Gelecek dönem psikolojiyi seçmeli ders olarak almak istiyorum.	kuchukua somo la hiari	Muhula ujao nataka kuchukua saikolojia kama somo la hiari.	seçmə fənn götürmək	Növbəti semestr psixologiyanı seçmə fənn kimi götürmək istəyirəm.	tanlov fani sifatida o‘qimoq	Keyingi semestrda psixologiyani tanlov fani sifatida o‘qimoqchiman.
5089:学会	学会	学会	dernek; bilim topluluğu	Yerel dilbilim derneğine katıldı.	chama cha kitaaluma	Alijiunga na chama cha lugha cha eneo hilo.	cəmiyyət; elmi birlik	O, yerli dilçilik cəmiyyətinə qoşuldu.	ilmiy jamiyat; uyushma	U mahalliy tilshunoslik jamiyatiga qo‘shildi.
5092:学员	学员	学员	kursiyer; öğrenci	Eğitim sınıfında yirmi kursiyer var.	mwanafunzi; mshiriki wa mafunzo	Darasa la mafunzo lina wanafunzi ishirini.	kurs iştirakçısı; tələbə	Təlim qrupunda iyirmi kurs iştirakçısı var.	tinglovchi; o‘quvchi	O‘quv guruhida yigirma tinglovchi bor.
5093:血管	血管	血管	kan damarı	Doktor bu kan damarının daha fazla incelenmesi gerektiğini söyledi.	mshipa wa damu	Daktari alisema mshipa huu wa damu unahitaji uchunguzi zaidi.	qan damarı	Həkim dedi ki, bu qan damarı əlavə müayinəyə ehtiyac duyur.	qon tomiri	Shifokor bu qon tomirini qo‘shimcha tekshirish kerakligini aytdi.
5094:血型	血型	血型	kan grubu	Kayıt olurken kan grubunuzu yazmanız gerekir.	kundi la damu	Wakati wa kujisajili, unahitaji kuandika kundi lako la damu.	qan qrupu	Qeydiyyat zamanı öz qan qrupunu yazmaq lazımdır.	qon guruhi	Ro‘yxatdan o‘tishda qon guruhingizni yozishingiz kerak.
5096:血液	血液	血液	kan	Egzersiz kan dolaşımını destekleyebilir.	damu	Mazoezi yanaweza kusaidia mzunguko wa damu.	qan	İdman qan dövranını yaxşılaşdıra bilər.	qon	Jismoniy mashq qon aylanishini yaxshilashi mumkin.
5098:寻求	寻求	寻求	aramak; peşinde olmak	Onlar daha iyi bir çözüm arıyor.	kutafuta	Wanatafuta suluhisho bora zaidi.	axtarmaq	Onlar daha yaxşı həll yolu axtarırlar.	izlamoq	Ular yaxshiroq yechim izlamoqda.
5101:淹	淹	淹	su basmak; su altında bırakmak	Şiddetli yağmur alçak yoldaki bölümü su altında bıraktı.	kufurika; kuzamisha	Mvua kubwa ilifurika barabara ya eneo la chini.	su basmaq; batırmaq	Güclü yağış alçaq yerdəki yolu su altında qoydu.	suv bosmoq; cho‘ktirmoq	Kuchli yomg‘ir past joydagi yo‘lni suv bosdi.
5103:严	严	严	sıkı; katı	Okul sınav disiplininde çok sıkı.	kali; mkali	Shule ina masharti makali kuhusu nidhamu ya mitihani.	ciddi; sərt	Məktəb imtahan intizamına çox ciddi yanaşır.	qat’iy; qattiq	Maktab imtihon intizomiga juda qat’iy qaraydi.
5111:研讨	研讨	研讨	tartışıp incelemek	Uzmanlar yeni bir tedavi planını tartışıp inceliyor.	kujadili na kuchunguza	Wataalamu wanajadili mpango mpya wa matibabu.	müzakirə etmək və araşdırmaq	Mütəxəssislər yeni müalicə planını müzakirə edirlər.	muhokama qilib o‘rganmoq	Mutaxassislar yangi davolash rejasini muhokama qilmoqda.
5113:言语	言语	言语	sözler; konuşma	Onun sözleri çok samimiydi.	maneno; usemi	Maneno yake yalikuwa ya dhati sana.	sözlər; nitq	Onun sözləri çox səmimi idi.	so‘zlar; nutq	Uning so‘zlari juda samimiy edi.
5114:炎症	炎症	炎症	iltihap	Bu ilaç iltihabı azaltabilir.	uvimbe; uchochezi	Dawa hii inaweza kupunguza uvimbe.	iltihab	Bu dərman iltihabı azalda bilər.	yallig‘lanish	Bu dori yallig‘lanishni kamaytirishi mumkin.
5116:眼看	眼看	眼看	neredeyse; yakında	Hava neredeyse kararacak, geri dönmeliyiz.	karibu; hivi punde	Karibu giza liingie, tunapaswa kurudi.	az qala; tezliklə	Hava az qala qaralacaq, geri qayıtmalıyıq.	tez orada; ko‘z o‘ngida	Tez orada qorong‘i tushadi, qaytishimiz kerak.
5120:仰	仰	仰	yukarı bakmak; başını kaldırmak	Çocuk başını kaldırıp yıldızlara baktı.	kuangalia juu; kuelekeza juu	Mtoto aliangalia juu na kutazama nyota.	yuxarı baxmaq; başını qaldırmaq	Uşaq başını qaldırıb ulduzlara baxdı.	yuqoriga qaramoq; boshini ko‘tarmoq	Bola boshini ko‘tarib yulduzlarga qaradi.
5122:养老	养老	养老	yaşlılık için hazırlık; yaşlı bakımı	Emeklilikten sonraki yaşlılık yaşamlarını planlıyorlar.	kujitayarisha kwa uzee; kuwatunza wazee	Wanapanga maisha yao ya uzeeni baada ya kustaafu.	qocalıq üçün təminat; ahıllara baxmaq	Onlar təqaüddən sonrakı qocalıq həyatlarını planlaşdırırlar.	keksalik ta’minoti; qarilik hayoti	Ular nafaqadan keyingi keksalik hayotini rejalashtirmoqda.
5123:养老院	养老院	养老院	huzurevi; yaşlı bakım evi	Bu huzurevi hastaneye çok yakın.	nyumba ya wazee	Nyumba hii ya wazee iko karibu sana na hospitali.	qocalar evi	Bu qocalar evi xəstəxanaya çox yaxındır.	qariyalar uyi	Bu qariyalar uyi kasalxonaga juda yaqin.
5125:样	样	样	tür; çeşit	O üç çeşit atıştırmalık aldı.	aina; kitu	Alinunua aina tatu za vitafunwa.	növ; əşya	O, üç növ qəlyanaltı aldı.	tur; narsa	U uch tur gazak sotib oldi.
