simplified	RU	example_RU
吧	модальная частица предложения; давай; же	Пойдем.
白	белый	Этот предмет одежды белый.
百	сто	Этот телефон стоит сто юаней.
帮助	помогать; помощь	Пожалуйста, помогите мне.
报纸	газета	Папа читает газету.
比	чем; сравнивать	Сегодня жарче, чем вчера.
别	не надо; другой	Не уходи.
长	длинный	Эта дорога длинная.
唱歌	петь	Младшая сестра любит петь.
出	выходить; выходить наружу	Он вышел.
穿	носить; надевать	Я ношу белую одежду.
船	лодка; корабль	Лодка на воде.
次	раз	Я был в Пекине один раз.
从	из; от	Я иду из дома в школу.
错	неправильный; ошибка	Ты ошибся.
打篮球	играть в баскетбол	Старший брат играет в баскетбол.
大家	все	Все пришли.
但是	но; однако	Я очень занят, но очень рад.
到	прибывать; доходить	Я пришел в школу.
得	частица степени	Он бегает очень быстро.
等	ждать	Я жду тебя.
弟弟	младший брат	Младший брат дома.
第一	первый	Он первый.
懂	понимать	Теперь я понял.
对	правильный; верный; к	Ты прав.
房间	комната	Эта комната большая.
非常	очень; чрезвычайно	Сегодня очень холодно.
服务员	официант; работник обслуживания	Официант в ресторане.
高	высокий	Он высокий.
告诉	говорить; сообщать	Пожалуйста, скажите мне.
哥哥	старший брат	Старший брат работает.
给	давать; для	Я даю тебе книгу.
公共汽车	автобус	Я еду на работу на автобусе.
公斤	килограмм	Я покупаю килограмм яблок.
公司	компания; фирма	Я работаю в компании.
贵	дорогой	Эти часы дорогие.
过	частица прошедшего опыта	Я был в Китае.
还	еще; также	Он все еще в школе.
孩子	ребенок	Этот ребенок очень рад.
好吃	вкусный	Это блюдо очень вкусное.
号	номер; число месяца	Сегодня восьмое число.
黑	черный	Эта кошка черная.
红	красный	Я люблю красные яблоки.
欢迎	приветствовать; добро пожаловать	Добро пожаловать в Пекин.
回答	отвечать; ответ	Пожалуйста, ответьте на этот вопрос.
机场	аэропорт	Аэропорт далеко отсюда.
鸡蛋	яйцо	Я ем яйца.
