source_headword	ES	example_ES
prey	la presa	Los búhos cazan a sus presas de noche.
privatization	la privatización	La privatización cambió el sistema ferroviario.
privilege	el privilegio	La educación no debería ser un privilegio.
probe	la investigación	La investigación reveló errores graves.
problematic	problemático	El acuerdo sigue siendo problemático.
proceedings	los procedimientos	Los procedimientos judiciales comenzaron el lunes.
proceeds	las ganancias	Las ganancias apoyarán a las escuelas locales.
processing	el procesamiento	El procesamiento de imágenes lleva tiempo.
processor	el procesador	El procesador falló durante las pruebas.
proclaim	proclamar	Los líderes proclaman la victoria demasiado pronto.
productive	productivo	La reunión fue productiva.
productivity	la productividad	La productividad mejoró después del entrenamiento.
profitable	rentable	La tienda se volvió rentable este año.
profound	profundo	El discurso tuvo un efecto profundo.
projection	la proyección	La proyección muestra un crecimiento constante.
prominent	prominente	Ella se convirtió en una científica prominente.
pronounced	pronunciado	Su acento se volvió más pronunciado.
propaganda	la propaganda	La campaña utilizó propaganda en línea.
proposition	la propuesta	La propuesta es una proposición arriesgada.
prosecute	procesar	Los funcionarios procesan casos graves de fraude.
prosecution	la acusación	La acusación presentó nuevas pruebas.
prosecutor	el fiscal	El fiscal interrogó al testigo.
prospective	futuro	Los futuros estudiantes recorrieron el campus.
prosperity	la prosperidad	El comercio trajo prosperidad a la región.
protective	protector	Ella llevaba guantes protectores.
protocol	el protocolo	El protocolo requiere aprobación por escrito.
province	la provincia	La provincia invirtió en transporte.
provincial	provincial	Los funcionarios provinciales anunciaron el plan.
provision	la disposición	El contrato incluye una disposición de seguridad.
provoke	provocar	El discurso puede provocar reacciones fuertes.
psychiatric	psiquiátrico	El hospital abrió una unidad psiquiátrica.
pulse	el pulso	La enfermera le tomó el pulso.
pump	la bomba	La bomba mueve el agua hacia arriba.
punch	el puñetazo	Lanzó un puñetazo con ira.
query	la consulta	Envíe su consulta al servicio de soporte.
quest	la búsqueda	Su búsqueda de justicia continuó.
quota	la cuota	El equipo alcanzó su cuota de ventas.
radar	el radar	La tormenta apareció en el radar.
radical	radical	El grupo propuso reformas radicales.
rage	la rabia	Su rabia se desvaneció rápidamente.
raid	la redada	La policía llevó a cabo una redada al amanecer.
rally	la manifestación	Los partidarios se unieron a la manifestación en el centro.
ranking	la clasificación	La universidad mejoró su clasificación.
rape	la violación	Los casos de violación requieren una investigación cuidadosa.
ratio	la proporción	La clase tiene una baja proporción de profesores.
rational	racional	Su decisión fue racional.
ray	el rayo	Entró un rayo de luz solar.
readily	de buena gana	Él aceptó la oferta de buena gana.
realization	la comprensión	La comprensión de la situación cambió sus planes.
realm	el ámbito	Esta pregunta pertenece a otro ámbito.
rear	trasero	Usa la entrada trasera hoy.
reasoning	el razonamiento	Su razonamiento era claro.
reassure	tranquilizar	El médico intentó tranquilizarla.
rebel	el rebelde	El líder rebelde escapó de la captura.
rebellion	la rebelión	La rebelión terminó después de las negociaciones.
recipient	el destinatario	El destinatario firmó el formulario.
reconstruction	la reconstrucción	La reconstrucción comenzó después de la inundación.
recount1	relatar	Ella puede relatar los eventos con claridad.
referendum	el referéndum	El referéndum dividió al país.
reflection	la reflexión	El ensayo necesitaba una reflexión más profunda.
reform	la reforma	La reforma mejoró los servicios públicos.
refuge	el refugio	La familia buscó refugio en el extranjero.
refusal	la negativa	Su negativa sorprendió al comité.
regain	recuperar	Trabajó duro para recuperar la confianza.
regardless	sin importar	Continuaron sin importar las críticas.
regime	el régimen	El régimen restringió la libertad de expresión.
regulator	el regulador	El regulador multó a la empresa.
regulatory	regulador	La aprobación reguladora tomó meses.
rehabilitation	la rehabilitación	La rehabilitación lo ayudó a caminar de nuevo.
reign	el reinado	El reinado del rey duró décadas.
rejection	el rechazo	El rechazo hirió su confianza.
relevance	la relevancia	Los datos tienen una relevancia limitada.
reliability	la fiabilidad	La fiabilidad es importante en los sistemas de emergencia.
reluctant	reacio	Se mostraba reacio a hablar.
remainder	el resto	El resto se destinó a obras de caridad.
remains	los restos	Los restos fueron examinados cuidadosamente.
remedy	el remedio	La ley proporciona un remedio.
reminder	el recordatorio	El correo electrónico fue un recordatorio útil.
removal	la eliminación	La eliminación de las barreras ayudó al comercio.
render	volver	El error volvió inválido el contrato.
renew	renovar	Renueva tu pasaporte pronto.
renowned	renombrado	Ella es renombrada por sus investigaciones.
rental	el alquiler	El alquiler incluye un seguro.
replacement	el reemplazo	La pieza de reemplazo llegó hoy.
reportedly	según se informa	Según se informa, el ministro dimitió ayer.
representation	la representación	La representación justa sigue siendo importante.
reproduce	reproducirse	Estas plantas se reproducen rápidamente.
reproduction	la reproducción	La reproducción digital mejoró el acceso.
republic	la república	La república celebró elecciones.
resemble	parecerse	Los dos diseños se parecen mucho entre sí.
reside	residir	Ellos residen cerca de la frontera.
residence	la residencia	Su residencia oficial está custodiada.
residential	residencial	La zona es principalmente residencial.
residue	el residuo	El limpiador dejó un residuo pegajoso.
resignation	la dimisión	Su dimisión sorprendió a la junta.
resistance	la resistencia	La resistencia al cambio fue fuerte.
respective	respectivo	Regresaron a sus respectivas oficinas.
respectively	respectivamente	Las puntuaciones fueron 80 y 90, respectivamente.
restoration	la restauración	La restauración del edificio tomó años.
restraint	la moderación	La policía mostró moderación.
resume	reanudarse	Las clases se reanudan la próxima semana.
retreat	la retirada	El ejército comenzó la retirada.
retrieve	recuperar	Ella recuperó el archivo.
revelation	la revelación	La revelación dañó su reputación.
revenge	la venganza	Él quería venganza por el insulto.
reverse	revocar	El tribunal revocó la decisión.
revival	el resurgimiento	La ciudad experimentó un resurgimiento económico.
revive	revivir	El festival ayudó a revivir las tradiciones locales.
revolutionary	revolucionario	La invención fue revolucionaria.
rhetoric	la retórica	Su retórica sonaba agresiva.
rifle	el rifle	El rifle estaba guardado de forma segura.
riot	el disturbio	El disturbio duró varias horas.
rip	rasgar	Rasga el papel con cuidado.
ritual	el ritual	El ritual marca la cosecha.
robust	robusto	El sistema es robusto.
rock	sacudir	La explosión sacudió el pueblo.
rod	la barra	La cortina cuelga de una barra.
rotate	girar	Gira el asa lentamente.
rotation	la rotación	La rotación de cultivos protege el suelo.
ruling	el fallo	El tribunal emitió un fallo.
rumour	el rumor	El rumor se difundió rápidamente.
sack	despedir	La junta podría despedir al entrenador.
sacred	sagrado	El templo es sagrado.
sacrifice	el sacrificio	Los padres suelen hacer sacrificios.
saint	el santo	La iglesia honra a un santo local.
sake	el bien	Se quedó por el bien de ella.
sanction	la sanción	La sanción afectó al comercio internacional.
say	la voz	Los empleados tenían voz en la programación.
scattered	esparcido	Papeles esparcidos cubrían el escritorio.
sceptical	escéptico	Ella se mantuvo escéptica ante la afirmación.
scope	el alcance	El alcance del proyecto se amplió.
screw	el tornillo	Aprieta el tornillo con cuidado.
scrutiny	el escrutinio	El acuerdo enfrentó el escrutinio público.
seal	sellar	Sella el sobre antes de enviarlo por correo.
secular	laico	La escuela sigue un plan de estudios laico.
seemingly	aparentemente	La tarea era aparentemente sencilla.
segment	el segmento	El último segmento fue más corto.
seize	confiscar	La policía confiscó los documentos.
seldom	raramente	Ella raramente falta a clase.
selective	selectivo	El programa es muy selectivo.
senator	el senador	El senador apoyó el proyecto de ley.
sensation	la sensación	El descubrimiento causó sensación.
sensitivity	la sensibilidad	El asunto requiere sensibilidad.
sentiment	el sentimiento	El sentimiento público cambió rápidamente.
separation	la separación	La separación fue difícil.
serial	de serie	Falta el número de serie.
settlement	el acuerdo	El acuerdo puso fin a la disputa.
set-up	la configuración	La configuración llevó toda la mañana.
sexuality	la sexualidad	El curso trata sobre identidad y sexualidad.
shareholder	el accionista	Un accionista cuestionó a la junta.
shatter	destrozar	La noticia destrozó su confianza.
shed	deshacerse de	La empresa recortará puestos de trabajo.
sheer	puro	El mero tamaño sorprendió a todos.
shipping	el envío	Los costos de envío aumentaron.
shoot	la sesión	La sesión de fotos terminó temprano.
