source_headword	ID	example_ID
incur	mendatangkan / menanggung	Keterlambatan dapat mendatangkan biaya tambahan.
indicator	indikator	Pengangguran adalah salah satu indikator ekonomi.
indictment	dakwaan	Dakwaan tersebut mencantumkan tiga tuntutan.
indigenous	asli / pribumi	Tanaman asli tumbuh dengan baik di sini.
induce	menyebabkan / memicu	Obat tersebut dapat memicu rasa kantuk.
indulge	memanjakan diri dalam / menuruti	Dia tidak menuruti kebiasaan mahal.
inequality	ketidaksetaraan	Ketidaksetaraan pendapatan tetap menjadi masalah utama.
infamous	terkenal buruk / jahat	Penjara itu menjadi terkenal buruk di seluruh dunia.
infant	bayi	Bayi itu tidur di ranjang bayinya.
infect	menginfeksi	Virus tersebut dapat menginfeksi sel-sel sehat.
inflict	menimpakan / mengakibatkan	Jangan menimpakan rasa sakit pada hewan.
influential	berpengaruh	Dia adalah seorang sarjana hukum yang berpengaruh.
inherent	melekat	Desain itu memiliki risiko yang melekat.
inhibit	menghambat	Ketakutan dapat menghambat diskusi yang jujur.
initiate	memulai	Manajer akan memulai peninjauan.
inject	menyuntikkan	Perawat akan menyuntikkan vaksin tersebut.
injection	suntikan	Suntikan tersebut mengurangi rasa sakit.
injustice	ketidakadilan	Putusan tersebut mengungkap ketidakadilan yang jelas.
inmate	narapidana / tahanan	Tahanan itu meminta nasihat hukum.
insertion	penyisipan	Formulir tersebut membutuhkan satu penyisipan teks.
insider	orang dalam	Orang dalam membocorkan laporan tersebut.
inspect	memeriksa	Pejabat memeriksa jembatan itu setiap tahun.
inspection	pemeriksaan	Pemeriksaan tersebut menemukan kerusakan serius.
inspiration	inspirasi	Pidatonya memberi saya inspirasi.
instinct	naluri / insting	Naluri pertamanya adalah membantu.
institutional	institusional / kelembagaan	Aturan institusional membentuk keputusan tersebut.
instruct	menginstruksikan / mengajari	Buku panduan ini akan mengajari staf baru.
instrumental	sangat berperan	Nasihatnya sangat berperan dalam negosiasi.
insufficient	tidak cukup	Bukti tidak cukup untuk tuntutan.
insult	hinaan	Hinaannya mengakhiri percakapan tersebut.
intact	utuh	Tembok kuno itu tetap utuh.
intake	asupan	Asupan gula harus tetap sedang.
integral	integral / tak terpisahkan	Kepercayaan adalah hal yang tak terpisahkan dari tim.
integrated	terpadu	Sekolah ini menawarkan dukungan terpadu.
integration	integrasi	Integrasi memperbaiki keseluruhan sistem.
integrity	integritas	Hakim tersebut menunjukkan integritas yang tinggi.
intensify	mengintensifkan / meningkat	Badai itu mungkin meningkat semalaman.
intensity	intensitas	Intensitas pelatihan meningkat.
intensive	intensif	Mereka menyelesaikan pelatihan bahasa yang intensif.
intent	niat	Niatnya sulit untuk dibuktikan.
interactive	interaktif	Museum itu memiliki pameran interaktif.
interface	antarmuka	Antarmuka itu mudah dinavigasi.
interfere	ikut campur	Jangan ikut campur dengan penyelidikan tersebut.
