hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
303:白色	白色	白色	kolor biały	Podoba mi się biały kubek.	de kleur wit	Ik vind de witte beker mooi.	vit färg	Jag tycker om den vita muggen.	hvit farge	Jeg liker den hvite koppen.	hvid farve	Jeg kan lide den hvide kop.	valkoinen väri	Pidän valkoisesta kupista.
305:帮	帮	帮	pomagać	Pomóż mi proszę otworzyć drzwi.	helpen	Help me alsjeblieft de deur te openen.	hjälpa	Hjälp mig att öppna dörren.	hjelpe	Hjelp meg å åpne døren.	hjælpe	Hjælp mig med at åbne døren.	auttaa	Auta minua avaamaan ovi.
308:本子	本子	本子	zeszyt; notes	Ten zeszyt jest mój.	het schrift; het notitieboek	Dit schrift is van mij.	anteckningsbok	Den här anteckningsboken är min.	notatbok; kladdebok	Denne notatboken er min.	hæfte; notesbog	Dette hæfte er mit.	vihko; muistikirja	Tämä vihko on minun.
310:笔	笔	笔	długopis; ołówek	Mam długopis.	de pen; het potlood	Ik heb een pen.	penna; blyertspenna	Jag har en penna.	penn; blyant	Jeg har en penn.	kuglepen; blyant	Jeg har en kuglepen.	kynä; lyijykynä	Minulla on kynä.
312:不错	不错	不错	nieźle; całkiem dobrze	Ta restauracja jest całkiem dobra.	niet slecht; best goed	Dit restaurant is best goed.	inte dåligt; ganska bra	Den här restaurangen är ganska bra.	ikke dårlig; ganske bra	Denne restauranten er ganske bra.	ikke dårligt; ret godt	Denne restaurant er ret god.	ei hullumpi; melko hyvä	Tämä ravintola on melko hyvä.
313:不好意思	不好意思	不好意思	przepraszam; jest mi niezręcznie	Przepraszam, spóźniłem się.	sorry; verlegen	Sorry, ik ben te laat gekomen.	ursäkta; generad	Ursäkta, jag kom för sent.	unnskyld; flau	Unnskyld, jeg kom for sent.	undskyld; flov	Undskyld, jeg kom for sent.	anteeksi; nolo	Anteeksi, tulin myöhässä.
315:车站	车站	车站	stacja; przystanek	Przystanek jest z przodu.	het station; de halte	De halte is verderop.	station; hållplats	Hållplatsen ligger framför oss.	stasjon; holdeplass	Holdeplassen er foran oss.	station; stoppested	Stoppestedet ligger længere fremme.	asema; pysäkki	Pysäkki on edessä.
317:出国	出国	出国	wyjechać za granicę	W przyszłym roku wyjedzie za granicę na studia.	naar het buitenland gaan	Hij gaat volgend jaar naar het buitenland om te studeren.	åka utomlands	Han ska åka utomlands och studera nästa år.	reise til utlandet	Han skal reise til utlandet for å studere neste år.	rejse til udlandet	Han rejser til udlandet for at studere næste år.	lähteä ulkomaille	Hän lähtee ensi vuonna ulkomaille opiskelemaan.
318:出来	出来	出来	wyjść; wyjść na zewnątrz	Wyjdź proszę na chwilę.	naar buiten komen	Kom alsjeblieft even naar buiten.	komma ut	Kom ut en stund.	komme ut	Kom ut et øyeblikk.	komme ud	Kom ud et øjeblik.	tulla ulos	Tule hetkeksi ulos.
319:出门	出门	出门	wyjść z domu	Wychodzę z domu o ósmej rano.	het huis uitgaan	Ik ga 's ochtends om acht uur het huis uit.	gå hemifrån	Jag går hemifrån klockan åtta på morgonen.	gå hjemmefra	Jeg går hjemmefra klokken åtte om morgenen.	gå hjemmefra	Jeg går hjemmefra klokken otte om morgenen.	lähteä kotoa	Lähden kotoa aamulla kahdeksalta.
320:出去	出去	出去	wyjść; pójść na zewnątrz	Chcę wyjść na spacer.	naar buiten gaan	Ik wil naar buiten gaan wandelen.	gå ut	Jag vill gå ut och promenera.	gå ut	Jeg vil gå ut og gå en tur.	gå ud	Jeg vil gå ud og gå en tur.	mennä ulos	Haluan mennä ulos kävelylle.
321:床	床	床	łóżko	Łóżko stoi w pokoju.	het bed	Het bed staat in de kamer.	säng	Sängen står i rummet.	seng	Sengen står på rommet.	seng	Sengen står i værelset.	sänky	Sänky on huoneessa.
322:词	词	词	słowo	Nie rozumiem tego słowa.	het woord	Ik begrijp dit woord niet.	ord	Jag förstår inte det här ordet.	ord	Jeg forstår ikke dette ordet.	ord	Jeg forstår ikke dette ord.	sana	En ymmärrä tätä sanaa.
325:从小	从小	从小	od dziecka	Od dziecka lubię rysować.	van jongs af aan	Ik hou al van jongs af aan van tekenen.	sedan barndomen	Jag har tyckt om att rita sedan barndomen.	siden barndommen	Jeg har likt å tegne siden barndommen.	siden barndommen	Jeg har kunnet lide at tegne siden barndommen.	lapsesta asti	Olen pitänyt piirtämisestä lapsesta asti.
327:打1	打1	打	dzwonić	Dzwonię do taty.	bellen	Ik bel mijn vader.	ringa	Jag ringer min pappa.	ringe	Jeg ringer pappa.	ringe	Jeg ringer til min far.	soittaa	Soitan isälle.
328:打车	打车	打车	wziąć taksówkę	Jedziemy na lotnisko taksówką.	een taxi nemen	We nemen een taxi naar de luchthaven.	ta taxi	Vi tar taxi till flygplatsen.	ta taxi	Vi tar taxi til flyplassen.	tage en taxa	Vi tager en taxa til lufthavnen.	ottaa taksi	Menemme lentokentälle taksilla.
329:打开	打开	打开	otworzyć	Otwórz proszę książkę.	openen	Doe het boek alsjeblieft open.	öppna	Öppna boken.	åpne	Åpne boken.	åbne	Åbn bogen.	avata	Avaa kirja.
330:但	但	但	ale	Jestem zajęty, ale szczęśliwy.	maar	Ik ben druk, maar blij.	men	Jag är upptagen, men glad.	men	Jeg er travel, men glad.	men	Jeg har travlt, men jeg er glad.	mutta	Olen kiireinen, mutta iloinen.
338:动	动	动	ruszać się	Nie ruszaj się.	bewegen	Beweeg niet.	röra sig	Rör dig inte.	bevege seg	Ikke rør deg.	bevæge sig	Bevæg dig ikke.	liikkua	Älä liiku.
340:飞	飞	飞	latać; lecieć	Ptak leci po niebie.	vliegen	De vogel vliegt in de lucht.	flyga	Fågeln flyger på himlen.	fly	Fuglen flyr på himmelen.	flyve	Fuglen flyver på himlen.	lentää	Lintu lentää taivaalla.
342:高中	高中	高中	szkoła średnia wyższego stopnia	Mój starszy brat uczy się w liceum.	de bovenbouw van de middelbare school	Mijn oudere broer zit op de bovenbouw van de middelbare school.	gymnasium	Min äldre bror går på gymnasiet.	videregående skole	Storebroren min går på videregående skole.	gymnasium	Min storebror går i gymnasiet.	lukio	Vanhempi veljeni opiskelee lukiossa.
346:公交车	公交车	公交车	autobus	Jadę do szkoły autobusem.	de bus	Ik ga met de bus naar school.	buss	Jag åker buss till skolan.	buss	Jeg tar buss til skolen.	bybus	Jeg tager bybus til skole.	bussi	Menen kouluun bussilla.
348:过来	过来	过来	podejść; przyjść tutaj	Podejdź proszę na chwilę.	hierheen komen	Kom alsjeblieft even hierheen.	komma hit	Kom hit en stund.	komme hit	Kom hit et øyeblikk.	komme herhen	Kom herhen et øjeblik.	tulla tänne	Tule hetkeksi tänne.
349:过年	过年	过年	świętować Nowy Rok	Wracamy do domu świętować Nowy Rok.	Nieuwjaar vieren	We gaan naar huis om Nieuwjaar te vieren.	fira nyår	Vi åker hem för att fira nyår.	feire nyttår	Vi drar hjem for å feire nyttår.	fejre nytår	Vi tager hjem for at fejre nytår.	juhlia uuttavuotta	Menemme kotiin juhlimaan uuttavuotta.
353:黑色	黑色	黑色	kolor czarny	Czarny plecak leży na łóżku.	de kleur zwart	De zwarte schooltas ligt op het bed.	svart färg	Den svarta skolväskan ligger på sängen.	svart farge	Den svarte skolesekken ligger på sengen.	sort farve	Den sorte skoletaske ligger på sengen.	musta väri	Musta koulureppu on sängyn päällä.
354:红茶	红茶	红茶	czarna herbata	Mama lubi pić czarną herbatę.	zwarte thee	Moeder drinkt graag zwarte thee.	svart te	Mamma tycker om att dricka svart te.	svart te	Mamma liker å drikke svart te.	sort te	Mor kan lide at drikke sort te.	musta tee	Äiti pitää mustan teen juomisesta.
355:红色	红色	红色	kolor czerwony	Mam czerwone ubranie.	de kleur rood	Ik heb een rood kledingstuk.	röd färg	Jag har ett rött plagg.	rød farge	Jeg har et rødt klesplagg.	rød farve	Jeg har et rødt stykke tøj.	punainen väri	Minulla on punainen vaate.
361:回来	回来	回来	wrócić; przyjść z powrotem	On wróci wieczorem.	terugkomen	Hij komt 's avonds terug.	komma tillbaka	Han kommer tillbaka på kvällen.	komme tilbake	Han kommer tilbake om kvelden.	komme tilbage	Han kommer tilbage om aftenen.	tulla takaisin	Hän tulee illalla takaisin.
362:回去	回去	回去	wrócić; pójść z powrotem	Po lekcji wracam.	teruggaan	Ik ga na de les terug.	gå tillbaka	Jag går tillbaka efter lektionen.	gå tilbake	Jeg går tilbake etter timen.	gå tilbage	Jeg går tilbage efter timen.	mennä takaisin	Menen takaisin oppitunnin jälkeen.
364:机票	机票	机票	bilet lotniczy	Kupiłem bilet lotniczy.	het vliegticket	Ik heb een vliegticket gekocht.	flygbiljett	Jag köpte en flygbiljett.	flybillett	Jeg kjøpte en flybillett.	flybillet	Jeg købte en flybillet.	lentolippu	Ostin lentolipun.
