simplified	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419
吧	partikeli ya pendekezo; basi	Twende.	a partícula de sugestão; vamos; né?	Vamos.	la partícula de sugerencia; vamos; ¿no?	Vamos.
白	nyeupe	Nguo hii ni nyeupe.	branco	Esta peça de roupa é branca.	blanco	Esta prenda es blanca.
百	mia moja	Simu hii ya mkononi inagharimu yuan mia moja.	cem	Este celular custa cem yuans.	cien	Este celular cuesta cien yuanes.
帮助	kusaidia; msaada	Tafadhali nisaidie.	ajudar; a ajuda	Por favor, me ajude.	ayudar; la ayuda	Por favor, ayúdame.
报纸	gazeti	Baba anasoma gazeti.	o jornal	Papai lê o jornal.	el periódico	Papá lee el periódico.
比	kuliko; kulinganisha	Leo kuna joto kuliko jana.	do que; comparar	Hoje está mais quente do que ontem.	que; comparar	Hoy hace más calor que ayer.
别	usifanye; nyingine	Usiende.	não; outro	Não vá embora.	no; otro	No te vayas.
长	ndefu	Barabara hii ni ndefu.	longo; comprido	Esta estrada é comprida.	largo	Este camino es largo.
唱歌	kuimba	Dada yangu mdogo anapenda kuimba.	cantar	Minha irmã mais nova gosta de cantar.	cantar	A mi hermana menor le gusta cantar.
出	kutoka; kwenda nje	Yeye alitoka nje.	sair	Ele saiu.	salir	Él salió.
穿	kuvaa	Ninavaa nguo nyeupe.	vestir; pôr	Eu visto roupa branca.	llevar puesto; ponerse	Llevo ropa blanca.
船	mashua; meli	Mashua iko juu ya maji.	o barco; o navio	O barco está na água.	el barco; la barca	El barco está en el agua.
次	mara	Nimewahi kwenda Beijing mara moja.	a vez	Já fui a Pequim uma vez.	la vez	He estado en Pekín una vez.
从	kutoka	Ninaenda shuleni kutoka nyumbani.	de; desde	Vou de casa para a escola.	de; desde	Voy de casa a la escuela.
错	kosa; si sahihi	Umekosea.	errado; o erro	Você está enganado.	equivocado; el error	Te equivocas.
打篮球	kucheza mpira wa kikapu	Kaka yangu mkubwa anacheza mpira wa kikapu.	jogar basquete	Meu irmão mais velho está jogando basquete.	jugar básquetbol	Mi hermano mayor está jugando básquetbol.
大家	kila mtu; wote	Kila mtu amekuja.	todo mundo; todos	Todo mundo veio.	todos; todo el mundo	Todos vinieron.
但是	lakini	Nina kazi nyingi, lakini nina furaha sana.	mas; porém	Estou muito ocupado, mas muito contente.	pero; sin embargo	Estoy muy ocupado, pero muy contento.
到	kufika	Nimefika shuleni.	chegar; chegar a	Cheguei à escola.	llegar a	He llegado a la escuela.
得	partikeli ya kijalizo cha kiwango	Yeye anakimbia haraka.	a partícula de complemento de grau	Ele corre muito rápido.	la partícula de complemento de grado	Él corre muy rápido.
等	kusubiri	Ninakusubiri.	esperar	Estou esperando por você.	esperar	Te espero.
弟弟	kaka mdogo; mdogo wangu wa kiume	Kaka mdogo yuko nyumbani.	o irmão mais novo	O irmão mais novo está em casa.	el hermano menor	El hermano menor está en casa.
第一	wa kwanza	Yeye ni wa kwanza.	primeiro	Ele é o primeiro.	primero	Él es el primero.
懂	kuelewa	Sasa ninaelewa.	entender; compreender	Agora entendo.	entender	Ya entiendo.
对	sahihi; kuelekea	Ulichosema ni sahihi.	correto; para; em direção a	Você tem razão.	correcto; hacia	Tienes razón.
房间	chumba	Chumba hiki ni kikubwa.	o quarto; o cômodo	Este cômodo é grande.	la habitación	Esta habitación es grande.
非常	sana; mno	Leo kuna baridi sana.	muito; extremamente	Hoje está muito frio.	muy; extremadamente	Hoy hace mucho frío.
服务员	mhudumu; mhudumu wa mgahawa	Mhudumu yuko mgahawani.	o garçom; a garçonete; o atendente	O garçom está no restaurante.	el mesero; el empleado de servicio	El mesero está en el restaurante.
高	refu; juu	Yeye ni mrefu.	alto	Ele é alto.	alto	Él es alto.
告诉	kuambia; kueleza	Tafadhali niambie.	dizer; contar	Por favor, me diga.	decir; contar	Por favor, dímelo.
哥哥	kaka mkubwa	Kaka mkubwa anafanya kazi.	o irmão mais velho	O irmão mais velho trabalha.	el hermano mayor	El hermano mayor trabaja.
给	kupa; kwa	Ninakupa kitabu kimoja.	dar; a	Eu te dou um livro.	dar; a	Te doy un libro.
公共汽车	basi	Ninaenda kazini kwa basi.	o ônibus	Vou para o trabalho de ônibus.	el autobús	Voy al trabajo en autobús.
公斤	kilogramu	Ninanunua kilogramu moja ya matufaha.	o quilograma; o quilo	Compro um quilo de maçãs.	el kilogramo	Compro un kilogramo de manzanas.
公司	kampuni	Ninafanya kazi katika kampuni.	a empresa	Trabalho em uma empresa.	la empresa	Trabajo en una empresa.
贵	ghali	Saa hii ni ghali.	caro	Este relógio é caro.	caro	Este reloj es caro.
过	partikeli ya uzoefu	Nimewahi kwenda China.	a partícula de experiência passada	Já estive na China.	la partícula de experiencia pasada	He estado en China.
还	bado; pia	Yeye bado yuko shuleni.	ainda; também	Ele ainda está na escola.	todavía; también	Él todavía está en la escuela.
孩子	mtoto	Mtoto huyu ana furaha sana.	a criança	Esta criança está muito contente.	el niño; la niña	Este niño está muy contento.
好吃	kitamu	Chakula hiki ni kitamu.	gostoso; saboroso	Este prato está muito gostoso.	rico; sabroso	Este plato está muy rico.
号	nambari; tarehe	Leo ni tarehe nane.	o número; o dia do mês	Hoje é dia oito.	el número; la fecha	Hoy es día ocho.
黑	nyeusi	Paka huyu ni mweusi.	preto	Este gato é preto.	negro	Este gato es negro.
红	nyekundu	Ninapenda matufaha mekundu.	vermelho	Gosto de maçãs vermelhas.	rojo	Me gustan las manzanas rojas.
欢迎	kukaribisha; karibu	Karibu Beijing.	dar as boas-vindas; bem-vindo	Bem-vindo a Pequim.	dar la bienvenida; bienvenido	Bienvenido a Pekín.
回答	kujibu; jibu	Tafadhali jibu swali hili.	responder; a resposta	Por favor, responda a esta pergunta.	responder; la respuesta	Por favor, responde esta pregunta.
机场	uwanja wa ndege	Uwanja wa ndege uko mbali na hapa.	o aeroporto	O aeroporto fica longe daqui.	el aeropuerto	El aeropuerto está lejos de aquí.
鸡蛋	yai	Ninakula mayai.	o ovo	Como ovos.	el huevo	Como huevos.
件	kihesabio cha nguo na vitu	Nimenunua kipande kimoja cha nguo.	o classificador para roupas e objetos	Comprei uma peça de roupa.	el clasificador para ropa y objetos	Compré una prenda de ropa.
教室	darasa; chumba cha darasa	Wanafunzi wako darasani.	a sala de aula	Os alunos estão na sala de aula.	el salón de clases; el aula	Los estudiantes están en el salón de clases.
姐姐	dada mkubwa	Dada yangu mkubwa ni daktari.	a irmã mais velha	Minha irmã mais velha é médica.	la hermana mayor	Mi hermana mayor es médica.
介绍	kutambulisha	Ninamtambulisha rafiki yangu.	apresentar; introduzir	Apresento meu amigo.	presentar; introducir	Presento a mi amigo.
进	kuingia	Tafadhali ingia.	entrar	Entre, por favor.	entrar	Pasa, por favor.
近	karibu	Shule iko karibu na nyumbani.	perto; próximo	A escola fica perto de casa.	cerca; cercano	La escuela está cerca de casa.
就	basi; mara moja	Nitaenda sasa hivi.	então; logo; exatamente	Vou agora mesmo.	entonces; enseguida; justo	Ahora mismo voy.
觉得	kufikiri; kuhisi	Nafikiri chakula hiki ni kitamu.	achar; sentir	Acho este prato gostoso.	pensar; sentir	Creo que este plato está rico.
咖啡	kahawa	Ninakunywa kahawa.	o café	Bebo café.	el café	Bebo café.
开始	kuanza; mwanzo	Mtihani umeanza.	começar; o começo	O exame começou.	empezar; el comienzo	El examen empezó.
考试	mtihani	Kesho kuna mtihani.	a prova; o exame	Amanhã tem prova.	el examen	Mañana hay examen.
可能	labda; inawezekana	Labda yuko nyumbani.	talvez; possível	Talvez ele esteja em casa.	quizá; posible	Quizá esté en casa.
可以	kuweza; kuruhusiwa	Je, ninaweza kwenda?	poder; ser permitido	Posso ir?	poder; se puede	¿Puedo ir?
课	somo; darasa	Leo kuna somo la Kichina.	a aula; a lição	Hoje tem aula de chinês.	la clase; la lección	Hoy hay clase de chino.
快	haraka; hivi karibuni	Yeye anatembea haraka.	rápido; depressa; em breve	Ele anda muito rápido.	rápido; pronto	Él camina muy rápido.
快乐	furaha; mwenye furaha	Heri ya siku ya kuzaliwa.	feliz; alegre	Feliz aniversário.	feliz; alegre	Feliz cumpleaños.
累	chovu	Nimechoka sana.	cansado	Estou muito cansado.	cansado	Estoy muy cansado.
离	mbali na; kutoka	Shule haiko mbali na nyumbani.	de; afastado de	A escola não fica longe de casa.	de; a distancia de	La escuela no está lejos de casa.
两	mbili	Nina watoto wawili.	dois; duas	Tenho dois filhos.	dos	Tengo dos hijos.
路	barabara; njia	Barabara hii ni ndefu.	a estrada; o caminho	Esta estrada é comprida.	el camino; la carretera	Este camino es largo.
旅游	kusafiri; safari	Nataka kusafiri kwenda China.	viajar; o turismo	Quero viajar pela China.	viajar; el turismo	Quiero viajar a China.
