source_headword	NE	example_NE
fridge	फ्रिज	दूध फ्रिजमा छ।
frog	भ्यागुता	भ्यागुता पोखरीमा हाम्फाल्यो।
furniture	फर्निचर	यो फर्निचर पुरानो तर बलियो छ।
further	थप;अझ टाढा	हामीलाई थप जानकारी चाहिन्छ।
gallery	कला दीर्घा	कला दीर्घा आज खुला छ।
gap	खाली ठाउँ;अन्तर	भित्तामा खाली ठाउँ छ।
gas	ग्यास;पेट्रोल	कारलाई पेट्रोल चाहिन्छ।
gate	गेट	कृपया गेट बन्द गर्नुहोस्।
general	सामान्य	यो सामान्य नियम हो।
gift	उपहार	उनले उपहार किनिन्।
goal	लक्ष्य	हाम्रो लक्ष्य सरल छ।
god	भगवान्	धेरै मानिस भगवान्सँग प्रार्थना गर्छन्।
gold	सुन;सुनौलो	औँठी सुनको छ।
golf	गोल्फ	ऊ आज गोल्फ खेल्छ।
government	सरकार	सरकारले कानुन परिवर्तन गर्‍यो।
grass	घाँस	घाँस भिजेको छ।
greet	अभिवादन गर्नु	हरेक पाहुनालाई विनम्रतापूर्वक अभिवादन गर।
ground	जमिन	जमिनमा बस।
guest	पाहुना	हाम्रो पाहुना चाँडै आइपुग्यो।
guide	मार्गदर्शक;गाइड	मार्गदर्शकले हामीलाई संग्रहालय देखायो।
gun	बन्दुक	प्रहरीले बन्दुक भेट्यो।
guy	केटा;मानिस	त्यो केटा मेरो भाइ हो।
habit	बानी	दैनिक पढ्नु राम्रो बानी हो।
hall	हल;गल्ली	हलमा पर्ख।
happily	खुसीसाथ	उनीहरू खुसीसाथ सँगै बसे।
headache	टाउको दुखाइ	मलाई टाउको दुखेको छ।
heart	मुटु	उनको मुटु छिटो धड्किन्छ।
heat	तातो;तताउनु	सुप बिस्तारै तताऊ।
heavy	भारी	यो झोला भारी छ।
height	उचाइ	टेबलको उचाइ नाप।
helpful	सहयोगी	तिम्रो सल्लाह सहयोगी थियो।
hero	नायक	ऊ मेरो नायक हो।
hers	उनको	निलो कोट उनको हो।
herself	उनी आफैँ	उनले रातको खाना आफैँ बनाइन्।
hide	लुकाउनु	साँचो बाकसको मुनि लुकाऊ।
hill	डाँडा	हामी डाँडामा चढ्यौँ।
himself	ऊ आफैँ	उसले यो आफैँ मर्मत गर्‍यो।
hit	हिर्काउनु;ठोक्नु	ढोका नहिर्काऊ।
hockey	हक्की	हामीले हिजो राति हक्की हेर्‍यौँ।
hold	समात्नु	मेरो हात समात।
hole	प्वाल	मेरो मोजामा प्वाल छ।
huge	विशाल	कोठा विशाल छ।
human	मानव	हरेक मानवलाई पानी चाहिन्छ।
hurt	दुख्नु;चोट पुर्‍याउनु	मेरो घुँडा दुख्छ।
ideal	आदर्श;उपयुक्त	यो कोठा पढ्न उपयुक्त छ।
identify	पहिचान गर्नु	के तिमी यो चरा पहिचान गर्न सक्छौ।
ill	बिरामी	उनी आज बिरामी महसुस गर्छिन्।
illness	रोग	रोग एक हप्ता रह्यो।
image	छवि;तस्बिर	छवि स्पष्ट छ।
immediately	तुरुन्तै	यहाँ तुरुन्तै आऊ।
impossible	असम्भव	यो पहेली असम्भव जस्तो देखिन्छ।
included	समावेश	बिहानको खाना समावेश छ।
including	समेत	मसमेत दस जना आए।
increase	बढ्नु;बढाउनु	गर्मीमा मूल्य बढ्छ।
incredible	अविश्वसनीय	दृश्य अविश्वसनीय थियो।
independent	स्वतन्त्र	मेरी दिदी स्वतन्त्र छिन्।
individual	व्यक्ति;व्यक्तिगत	प्रत्येक व्यक्तिसँग नम्बर छ।
industry	उद्योग	स्थानीय उद्योग बढिरहेको छ।
informal	अनौपचारिक	यो इमेल अनौपचारिक छ।
injury	चोट	उसको चोट गम्भीर छैन।
insect	किरा	किरा कपमा बस्यो।
inside	भित्र	घरभित्र पर्ख।
instead	सट्टामा	सट्टामा पानी पिऊ।
instruction	निर्देशन	प्रत्येक निर्देशन ध्यानपूर्वक पढ।
instructor	प्रशिक्षक	प्रशिक्षकले अभ्यास व्याख्या गर्‍यो।
instrument	वाद्ययन्त्र	उनी वाद्ययन्त्र बजाउँछिन्।
intelligent	बुद्धिमान	ऊ बुद्धिमान विद्यार्थी हो।
international	अन्तर्राष्ट्रिय	यो अन्तर्राष्ट्रिय विमानस्थल हो।
