source_headword	SV	example_SV
strengthen	stärka	Den nya policyn kommer att stärka säkerheten på nätet.
strictly	strikt	Biljetterna är strikt begränsade till två per person.
striking	slående	Målningen har slående färger.
stroke	ett drag	Hon målade ett drag över papperet.
stunning	fantastisk	Utsikten över bergen var fantastisk.
subsequent	efterföljande	Det efterföljande mötet bekräftade budgeten.
subsequently	därefter	Vägen stängdes; därefter rörde sig trafiken långsamt.
suburb	en förort	De bor i en lugn förort.
suffering	ett lidande	Medicinen minskade hans lidande.
sufficient	tillräcklig	Laget har tillräckligt med tid.
sufficiently	tillräckligt	Rummet är tillräckligt varmt.
super	super	Den nya surfplattan är supersnabb.
surgeon	en kirurg	Kirurgen opererade det skadade knät.
survival	en överlevnad	Rent vatten är viktigt för överlevnad.
survivor	en överlevare	Överlevaren beskrev översvämningen.
suspend	ställa in	Skolan kanske ställer in resan.
sustainable	hållbar	Gården använder hållbara metoder.
swallow	svälja	Svälj tabletten med vatten.
sympathetic	sympatisk	Chefen var sympatisk mot hennes problem.
tackle	ta itu med	Vi måste ta itu med bostadsproblemet.
tag	en etikett	Väskan hade en prislapp.
tap	en kran	Hon stängde av kranen.
technological	teknologisk	Teknologisk förändring påverkar varje arbetsplats.
teens	tonåringar	Många tonåringar använder sociala medier dagligen.
temple	ett tempel	Templet stod nära floden.
temporarily	tillfälligt	Kontoret är tillfälligt stängt.
tendency	en tendens	Han har en tendens att komma för sent.
tension	en spänning	Spänningen steg under diskussionen.
terms	ett villkor	Avtalets villkor var tydliga.
terribly	fruktansvärt	Barnet var fruktansvärt upprört.
terrify	skrämma	Höga ljud skrämmer hunden.
territory	ett territorium	Kartan visar det nya territoriet.
terror	en terror	Terrorn spred sig efter attacken.
terrorism	en terrorism	Terrorism hotar den allmänna säkerheten.
terrorist	en terrorist	Polisen arresterade terroristen igår.
testing	en testning	Produkttestningen börjar på måndag.
textbook	en lärobok	Hon glömde sin biologilärobok.
theft	en stöld	Stölderna ökade i området.
therapist	en terapeut	Terapeuten hjälpte honom att hantera ångesten.
thesis	en avhandling	Hennes avhandling undersöker onlineinlärning.
thorough	grundlig	En grundlig genomgång hittade inga fel.
thoroughly	noggrant	Rengör såret noggrant.
thumb	en tumme	Han höjde tummen för att signalera godkännande.
timing	en tajming	Tajmingen för samtalet var perfekt.
tissue	en pappersnäsduk	Hon torkade av glaset med en pappersnäsduk.
ton	ett ton	Lastbilen bar ett ton sand.
tonne	ett ton	Försändelsen vägde ett ton.
tournament	en turnering	Tennisturneringen börjar imorgon.
trace	spåra	Forskare kan spåra viruskällan.
trading	en handel	Aktiehandeln stoppades vid lunchtid.
tragedy	en tragedi	Olyckan var en fruktansvärd tragedi.
tragic	tragisk	Kraschen fick tragiska konsekvenser.
trait	en egenskap	Tålamod är en användbar egenskap.
transmit	överföra	Myggor kan överföra sjukdomar.
transportation	en transport	Kollektivtrafiken är trång idag.
trap	fånga	Lådan kan fånga insekter säkert.
treasure	en skatt	Den gamla kistan innehöll en skatt.
tribe	en stam	Stammen skyddade sina traditioner.
trigger	utlösa	Rök kan utlösa larmet.
trillion	biljon	Skulden nådde en biljon dollar.
troop	en trupp	Truppen rörde sig mot gränsen.
tsunami	en tsunami	Tsunamin förstörde kusthus.
ultimate	slutgiltig	Det slutgiltiga målet är fred.
unacceptable	oacceptabel	Förseningen var oacceptabel för passagerarna.
uncertainty	en osäkerhet	Osäkerheten gjorde investerare nervösa.
undergo	genomgå	Patienten kommer att genomgå en operation imorgon.
undertake	genomföra	Laget kommer att genomföra en undersökning.
unfold	utvecklas	Dramat började långsamt utvecklas.
unfortunate	olycklig	Felet var olyckligt men gick att fixa.
unite	ena	Ledarna försökte ena partiet.
unity	en enighet	Talet krävde nationell enighet.
universal	universell	Appen använder en universell design.
urgent	brådskande	Sjukhuset tog emot ett brådskande samtal.
usage	en användning	Guiden förklarar korrekt användning.
useless	värdelös	Den trasiga laddaren är värdelös.
valid	giltig	Ditt pass är fortfarande giltigt.
variation	en variation	Det finns en stor variation i priserna.
vertical	vertikal	Diagrammet har en vertikal axel.
viewpoint	en synpunkt	Hennes synpunkt förändrades efter debatten.
visa	ett visum	Han ansökte om ett studentvisum.
visible	synlig	Skylten är synlig härifrån.
voluntary	frivillig	Kursen inkluderar frivilliga workshops.
voting	en röstning	Förtidsröstningen börjar nästa vecka.
wander	vandra	Turister vandrar genom den gamla marknaden.
warming	en uppvärmning	Global uppvärmning påverkar havsnivåerna.
weekly	veckovis	Laget håller ett möte varje vecka.
weird	konstig	Ljudet lät konstigt.
welfare	en välfärd	Programmet stödjer barns välfärd.
wheat	ett vete	Bonden odlar vete.
whoever	vem som än	Vem som än kommer först ska vänta utanför.
widespread	utbredd	Stormen orsakade utbredd skada.
wisdom	en visdom	Hennes mormor delade med sig av praktisk visdom.
withdraw	dra tillbaka	Han bestämde sig för att dra tillbaka sin ansökan.
workforce	en arbetskraft	Arbetskraften behöver nya färdigheter.
workplace	en arbetsplats	Arbetsplatsen har tydliga säkerhetsregler.
workshop	en workshop	Workshopen börjar klockan tio.
worm	en mask	En mask rörde sig över jorden.
wrist	en handled	Hon skadade sin handled.
