source_headword	ZH	example_ZH
crawl	爬行	婴儿开始在地毯上爬行。
creator	创作者	创作者感谢大家的支持。
credibility	可信度	证人在质询过程中失去了可信度。
credible	可靠的	报告提供了可靠的证据。
creep	蔓延	雾开始在山谷中蔓延。
critique	评论	教授给出了详细的评论。
crown	王冠	女王戴着一顶银色的王冠。
crude	粗糙的	这幅画很粗糙但很清晰。
crush	压碎	沉重的岩石会压碎管道。
crystal	水晶	水晶反射着晨光。
cult	邪教	这个邪教孤立了它的成员。
cultivate	种植	农民在这个地区种植水稻。
curiosity	好奇心	好奇心使她步入了科学领域。
custody	监护权	孩子由她的父亲继续监护。
cutting	剪报	报纸发表了一篇关于他的剪报。
cynical	愤世嫉俗的	他的冷嘲热讽让团队很不满。
dam	水坝	水坝拦截了河水。
damaging	有破坏性的	这篇具有破坏性的文章损害了竞选活动。
dawn	黎明	我们在黎明时离开了村庄。
debris	碎片	风暴产生的碎片堵塞了道路。
debut	初次登台	她的首次登台引起了全国的关注。
decision-making	决策	良好的决策需要清晰的信息。
decisive	果断的	她果断的行动防止了进一步的损害。
declaration	声明	部长宣读了一份正式声明。
dedicated	专注的	这位敬业的护士熬夜工作。
dedication	奉献	他的奉献精神激励了年轻球员。
deed	行为	这一勇敢的行为拯救了两条生命。
deem	认为	法院可能会认为该合同无效。
default	默认	暂时使用默认设置。
defect	缺陷	检查员发现了一个严重的缺陷。
defensive	防御的	他防御性的语气让每个人都很惊讶。
deficiency	缺乏	缺铁会影响健康。
deficit	赤字	预算赤字令官员们感到担忧。
defy	违抗	抗议者选择违抗禁令。
delegate	代表	每位代表都收到了一张投票卡。
delegation	代表团	代表团在中午前到达。
delicate	易碎的	易碎的玻璃很容易打破。
demon	恶魔	故事描述了一个古老的恶魔。
denial	否认	他的否认激怒了受害者。
denounce	谴责	领导人谴责校园暴力。
dense	茂密的	茂密的森林遮住了阳光。
density	密度	市中心的人口密度很高。
dependence	依赖	该国对石油的依赖度下降了。
depict	描绘	壁画描绘了村庄的生活。
deploy	部署	军队将部署额外的人员。
deployment	部署	军队的部署从周一开始。
deprive	剥夺	缺乏睡眠会剥夺学生的注意力。
deputy	副手	副手签署了协议。
descend	下降	小路开始急剧下降。
descent	降落	飞机开始降落。
designate	指定	城市将指定一个新公园。
desirable	理想的	教室里有良好的照明是理想的。
desktop	桌面	文件在我的桌面上。
destructive	破坏性的	风暴具有破坏性的力量。
detain	拘留	警察可能会将嫌疑人拘留过夜。
detection	发现	早期发现能改善癌症的治疗。
detention	拘留	学生们抗议拘留条件。
deteriorate	恶化	他的健康状况开始恶化。
devastate	摧毁	地震会摧毁沿海城镇。
devil	魔鬼	孩子画了一个微笑的魔鬼。
devise	设计	工程师设计了更安全的交通系统。
diagnose	诊断	医生通过血液检查来诊断这种疾病。
diagnosis	诊断	诊断结果解释了她的症状。
dictate	规定	合同将规定付款条件。
dictator	独裁者	独裁者控制了媒体。
differentiate	区分	你能区分事实与观点吗？
dignity	尊严	每个人在工作中都应该得到尊严。
dilemma	困境	经理面临一个严重的困境。
dimension	维度	这个问题具有政治层面的意义。
diminish	减少	疼痛应该会慢慢减轻。
dip	下降	气温可能会降到零度以下。
diplomat	外交官	这位外交官会见了外国领导人。
diplomatic	外交的	外交谈判持续了整夜。
directory	目录	在目录中搜索他的号码。
disastrous	灾难性的	这场灾难性的洪水摧毁了几座桥梁。
discard	丢弃	不要丢弃有用的记录。
discharge	出院	医院明天将允许他出院。
disclose	透露	官员们拒绝透露具体数字。
disclosure	披露	这一披露让董事会感到震惊。
discourse	话语	公众言论变得更加礼貌。
discretion	谨慎	处理敏感案件时要谨慎。
discrimination	歧视	法律禁止在招聘中存在歧视。
dismissal	解雇	他的解雇引起了公众的愤怒。
displace	迫使…流离失所	战争可能会导致数千人流离失所。
disposal	处理	废物处理仍然是一个局部问题。
dispose	处理	公司必须安全地处理化学品。
dispute	争端	争端持续了几个月。
disrupt	扰乱	噪音会扰乱注意力。
disruption	混乱	罢工造成了严重的混乱。
dissolve	溶解	糖会在热茶中溶解。
distinction	区别	它们之间的区别很重要。
distinctive	独特的	她的声音很独特。
distort	扭曲	镜子会扭曲你的倒影。
distress	痛苦	这通电话引起了极大的痛苦。
disturbing	令人不安的	这部纪录片展示了令人不安的画面。
divert	转移	警察不得不疏导交通。
divine	神圣的	教堂里有一种神圣的气氛。
doctrine	学说	该党拒绝了旧的学说。
documentation	文档	在发布前完成文档的编写。
domain	域名	这个网站使用的是安全域名。
dominance	统治地位	这支球队的统治地位持续了十年。
donor	捐献者	捐献者今天献了血。
dose	剂量 / 一剂	早餐后服用一剂。
drain	排出 / 流失	水会流入河中。
drift	漂移 / 飘动	烟开始飘过马路。
driving	驱动的 / 主要的	雨水是导致延误的主要因素。
drown	淹死 / 溺水	切勿在水流能将你淹死的地方游泳。
dual	双重的	该设备具有双重功能。
dub	被称为 / 给…起绰号	评论家将这座城市称为文化之都。
dumb	愚蠢的	那是一个愚蠢的错误。
duo	两人组合 / 搭档	这个喜剧二人组在欧洲巡演。
eager	渴望的 / 热切的	学生们渴望开始。
earnings	收益 / 利润	公司收益大幅上升。
ease	容易 / 减轻	新路将缓解交通。
echo	回响	她的声音在大厅里回荡。
ecological	生态的	生态影响仍不确定。
