source_headword	BG	example_BG
crawl	пълзя	Бебето започна да пълзи по килима.
creator	създател	Създателят благодари на всички за подкрепата.
credibility	достоверност	Свидетелят загуби достоверност по време на разпита.
credible	достоверен	Докладът предложи достоверни доказателства.
creep	промъквам се	Мъглата започна да се промъква през долината.
critique	критика	Професорът даде подробна критика.
crown	корона	Кралицата носеше сребърна корона.
crude	груб	Рисунката беше груба, но ясна.
crush	смачквам	Тежките скали могат да смажат тръбата.
crystal	кристал	Кристалът отразяваше сутрешната светлина.
cult	култ	Култът изолира своите членове.
cultivate	отглеждам	Фермерите отглеждат ориз в този регион.
curiosity	любопитство	Любопитството я отведе към науката.
custody	попечителство	Детето остана под попечителството на баща си.
cutting	изрезка	Вестникът публикува изрезка за него.
cynical	циничен	Неговата цинична забележка разстрои екипа.
dam	язовирна стена	Язовирната стена задържа речната вода.
damaging	вреден	Вредната статия навреди на кампанията.
dawn	зора	Тръгнахме от селото по зори.
debris	отломки	Отломките от бурята блокираха пътя.
debut	дебют	Неговият дебют привлече националното внимание.
decision-making	вземане на решения	Доброто вземане на решения изисква ясна информация.
decisive	решителен	Нейното решително действие предотврати по-нататъшни щети.
declaration	декларация	Министърът прочете официална декларация.
dedicated	всеотдаен	Всеотдайната медицинска сестра работи цяла нощ.
dedication	всеотдайност	Неговата всеотдайност вдъхнови по-младите играчи.
deed	постъпка	Смелата постъпка спаси два живота.
deem	считам	Съдът може да сметне договора за невалиден.
default	по подразбиране	Засега използвайте настройката по подразбиране.
defect	дефект	Инспекторите откриха сериозен дефект.
defensive	отбранителен	Неговият отбранителен тон изненада всички.
deficiency	дефицит	Дефицитът на желязо може да повлияе на здравето.
deficit	дефицит	Бюджетният дефицит разтревожи служителите.
defy	противопоставям се	Протестиращите избраха да се противопоставят на забраната.
delegate	делегат	Всеки делегат получи карта за гласуване.
delegation	делегация	Делегацията пристигна преди обяд.
delicate	крехък	Крехкото стъкло се счупи лесно.
demon	демон	Историята описва древен демон.
denial	отричане	Неговото отричане ядоса жертвите.
denounce	осъждам	Лидерите осъждат насилието в училищата.
dense	гъст	Гъстата гора блокира слънчевата светлина.
density	гъстота	Гъстотата на населението е висока в центъра.
dependence	зависимост	Зависимостта на страната от петрол намаля.
depict	изобразявам	Стенописът изобразява селския живот.
deploy	разполагам	Армията ще разположи допълнителен персонал.
deployment	разполагане	Разполагането на войските започна в понеделник.
deprive	лишавам	Липсата на сън може да лиши учениците от концентрация.
deputy	заместник	Заместникът подписа споразумението.
descend	спускам се	Пътеката започна да се спуска рязко.
descent	спускане	Самолетът започна своето спускане.
designate	определям	Градът ще определи нов парк.
desirable	желателен	Доброто осветление е желателно в класните стаи.
desktop	работен плот	Файлът е на моя работен плот.
destructive	разрушителен	Бурята имаше разрушителна сила.
detain	задържам	Полицията може да задържи заподозрените за една нощ.
detection	откриване	Ранното откриване подобрява лечението на рака.
detention	задържане	Учениците протестираха срещу условията за задържане.
deteriorate	влошавам се	Здравето му започна да се влошава.
devastate	опустошавам	Земетресението може да опустоши крайбрежните градове.
devil	дявол	Детето нарисува усмихнат дявол.
devise	разработвам	Инженерите разработват по-безопасни транспортни системи.
diagnose	диагностицирам	Лекарите диагностицират заболяването с кръвни тестове.
diagnosis	диагноза	Диагнозата обясни нейните симптоми.
dictate	диктувам	Договорът ще диктува условията за плащане.
dictator	диктатор	Диктаторът контролираше медиите.
differentiate	различавам	Можете ли да различите факт от мнение?
dignity	достойнство	Всеки заслужава достойнство по време на работа.
dilemma	дилема	Мениджърът се изправи пред сериозна дилема.
dimension	измерение	Проблемът има политическо измерение.
diminish	намалявам	Болката трябва бавно да намалее.
dip	спадам	Температурите могат да спаднат под нулата.
diplomat	дипломат	Дипломатът се срещна с чуждестранни лидери.
diplomatic	дипломатически	Дипломатическите преговори продължиха през нощта.
directory	указател	Потърсете номера му в указателя.
disastrous	катастрофален	Катастрофалното наводнение разруши няколко моста.
discard	изхвърлям	Не изхвърляйте полезните записи.
discharge	изписвам	Болницата ще го изпише утре.
disclose	разкривам	Служителите отказаха да разкрият цифрите.
disclosure	разкритие	Разкритието шокира борда.
discourse	дискурс	Общественият дискурс стана по-учтив.
discretion	преценка	Използвайте преценката си при чувствителни случаи.
discrimination	дискриминация	Законът забранява дискриминацията при наемане на работа.
dismissal	уволнение	Уволнението му предизвика обществен гняв.
displace	разселвам	Войната може да разсели хиляди хора.
disposal	изхвърляне	Изхвърлянето на отпадъци остава местен проблем.
