source_headword	TL	example_TL
abolish	buwagin	Aalisin ng batas ang lumang bayarin.
abortion	pagpapalaglag	Ang pagpapalaglag ay nananatiling isang sensitibong isyung medikal.
absence	pagliban	Naantala ang pinal na desisyon dahil sa pagliban niya.
absent	liban	Dalawang miyembro ang liban sa klase.
absurd	katawa-tawa	Ang pahayag ay tila walang katuturan sa lahat.
abundance	kasaganaan	May kasaganaan ng tubig sa lambak.
abuse	pang-aabuso	Inilarawan ng ulat ang pang-aabuso sa lugar ng trabaho.
academy	akademya	Sinasanay ng akademya ang mga batang musikero.
accelerate	pabilisin	Papabilisin ng bagong pondo ang pananaliksik.
acceptance	pagtanggap	Humanga ako sa kanyang pagtanggap ng pagpuna.
accessible	madaling mapuntahan	Ang museo ay madaling mapuntahan ng mga gumagamit ng wheelchair.
accomplishment	tagumpay	Ang pagtatapos sa aklat ay isang tunay na tagumpay.
accordance	pagsunod	Ang trabaho ay ginawa alinsunod sa patakaran.
accordingly	nang naaayon	Nagbago ang ebidensya, at kumilos kami nang naaayon.
accountability	pananagutan	Pinapataas ng patakaran ang pananagutan para sa mga tagapamahala.
accountable	may pananagutan	Ang mga tagapamahala ay may pananagutan para sa kaligtasan.
accumulate	maipon	Maaaring maipon ang alikabok sa likod ng screen.
accumulation	pag-ipon	Inabot ng ilang buwan ang pag-ipon ng datos.
accusation	akusasyon	Nagulat ang komite sa akusasyon.
accused	akusado	Humarap ang akusado sa korte.
acquisition	akwisisyon	Mabilis na pinalawak ng pagbili ang kumpanya.
acre	ektarya	Sinasaklaw ng sakahan ang isang ektarya.
activation	aktibasyon	Ang pagpapagana sa card ay aabutin ng ilang minuto.
activist	aktibista	Nagsalita ang aktibista sa rali.
acute	matindi	Nakaramdam siya ng matinding sakit pagkatapos tumakbo.
adaptation	adaptasyon	Binago ng adaptasyon ang wakas ng nobela.
adhere	sumunod	Dapat sumunod ang mga tauhan sa mga tuntunin sa kaligtasan.
adjacent	katabi	Ang hotel ay katabi ng istasyon.
adjustment	pagsasaayos	Isang maliit na pagsasaayos ang lumutas sa problema.
administer	mangasiwa	Maingat na ibinibigay ng mga nars ang bakuna.
administrative	administratibo	Ang mga administratibong tauhan ang nag-aasikaso ng mga form.
administrator	tagapangasiwa	I-reset ng tagapangasiwa ang aking password.
admission	pagpasok	Libre ang pagpasok sa museo.
adolescent	kabataan	Kailangan ng kabataan ng karagdagang suporta.
adoption	pag-ampon	Ang pag-ampon ay nagbigay sa bata ng matatag na tahanan.
adverse	masama	Ang gamot ay nagdulot ng masamang epekto.
advocate	tagapagtaguyod	Ipinagtanggol ng tagapagtaguyod ang mga karapatan ng nangungupahan.
aesthetic	estetiko	Ang silid ay may kalmadong istilong estetiko.
affection	pagmamahal	Nagpakita siya ng pagmamahal sa kanyang pamilya.
aftermath	kinahinatnan	Mahirap ang kinahinatnan ng bagyo.
aggression	agresyon	Napansin ng guro ang agresyon sa oras ng pahinga.
agricultural	agrikultural	Tumaas ang mga iniluluwas na agrikultural ngayong taon.
aide	katuwang	Inayos ng katuwang ang iskedyul ng ministro.
