source_headword	IS	example_IS
incur	hafa í för með sér	Tafir gætu haft í för með sér aukakostnað.
indicator	vísir	Atvinnuleysi er einn efnahagslegur vísir.
indictment	ákæra	Ákæran taldi upp þrjú brot.
indigenous	innlendur	Innlendar plöntur vaxa vel hér.
induce	kalla fram	Lyfið getur kallað fram svefn.
indulge	láta eftir sér	Hún lætur ekki eftir sér dýrar venjur.
inequality	ójöfnuður	Tekjuójöfnuður er enn stórt vandamál.
infamous	alræmdur	Fangelsið varð alræmt á heimsvísu.
infant	ungbarn	Ungbarnið svaf í vöggunni.
infect	smita	Vírusinn getur smitað heilbrigðar frumur.
inflict	valda	Ekki valda dýrum sársauka.
influential	áhrifamikill	Hún er áhrifamikill lögfræðingur.
inherent	eðlislægur	Hönnunin hefur eðlislæga áhættu.
inhibit	hindra	Ótti getur hindrað heiðarlegar umræður.
initiate	hefja	Framkvæmdastjórinn mun hefja endurskoðunina.
inject	sprauta	Hjúkrunarfræðingurinn mun sprauta bóluefninu.
injection	inndæling	Inndælingin minnkaði sársaukann.
injustice	óréttlæti	Úrskurðurinn afhjúpaði augljóst óréttlæti.
inmate	fangi	Fanginn óskaði eftir lögfræðiráðgjöf.
insertion	innsetning	Eyðublaðið þarfnast einnar textainnsetningar.
insider	innherji	Innherji lak skýrslunni.
inspect	skoða	Embættismenn skoða brúna árlega.
inspection	skoðun	Skoðunin leiddi í ljós alvarlegar skemmdir.
inspiration	innblástur	Ræða hennar veitti mér innblástur.
instinct	eðlishvöt	Fyrsta eðlishvöt hans var að hjálpa.
institutional	stofnana-	Stofnanareglur mótuðu ákvörðunina.
instruct	leiðbeina	Handbókin mun leiðbeina nýju starfsfólki.
instrumental	mikilvægur	Ráðleggingar hennar voru mikilvægar í viðræðunum.
insufficient	ófullnægjandi	Sönnunargögnin voru ófullnægjandi fyrir ákærur.
insult	móðgun	Móðgun hans batt enda á samtalið.
intact	ósnortinn	Forni veggurinn varð ósnortinn.
intake	inntaka	Sykurinntaka ætti að vera hófleg.
integral	ómissandi	Traust er ómissandi fyrir liðið.
integrated	samþættur	Skólinn býður upp á samþættan stuðning.
integration	samþætting	Samþætting bætti allt kerfið.
integrity	heiðarleiki	Dómarinn sýndi mikinn heiðarleika.
intensify	magnast	Stormurinn gæti magnast yfir nóttina.
intensity	ákefð	Ákefð þjálfunarinnar jókst.
intensive	ákafur	Þau luku ítarlegri tungumálaþjálfun.
intent	ásetningur	Erfitt var að sanna ásetning hans.
interactive	gagnvirkur	Safnið er með gagnvirkar sýningar.
interface	viðmót	Auðvelt er að vafra um viðmótið.
interfere	trufla	Ekki skipta þér af rannsókninni.
interference	truflun	Merkjatruflun eyðilagði símtalið.
interim	bráðabirgða-	Bráðabirgðaskýrsla kemur á morgun.
interior	innri	Innveggina þarf að mála.
intermediate	millistigs-	Hún gekk í millistigshópinn.
intervene	grípa inn í	Lögreglan varð að grípa hratt inn í.
intervention	inngrip	Snemmtækt inngrip hjálpaði sjúklingnum.
intimate	náinn	Þau héldu nána fjölskylduathöfn.
intriguing	forvitnilegur	Gögnin leiddu í ljós forvitnilegt mynstur.
investigator	rannsakandi	Rannsakandinn tók viðtal við hvert vitni.
invisible	ósýnilegur	Gasið er ósýnilegt og hættulegt.
invoke	bera fyrir sig	Lögfræðingurinn reyndi að bera fyrir sig fordæmi.
involvement	þátttaka	Þátttaka hans var óljós.
ironic	kaldhæðnislegur	Kaldhæðnislega athugasemdin fékk alla til að hlæja.
ironically	kaldhæðnislegt	Kaldhæðnislegt nokk þá tók leiðin lengri tíma.
irony	kaldhæðni	Kaldhæðnin var öllum augljós.
irrelevant	óviðkomandi	Sú smáatriði eru óviðkomandi hér.
isolation	einangrun	Einangrun getur skaðað geðheilsu.
judicial	dóms-	Dómstólaskoðunin byrjar á mánudaginn.
junction	gatnamót	Beygðu til vinstri á gatnamótunum.
jurisdiction	lögsaga	Dómstóllinn hefur takmarkaða lögsögu.
just	réttlátur	Dómarinn tók réttláta ákvörðun.
justification	réttlæting	Við þurfum skýra réttlætingu fyrir útgjöldum.
kidnap	ræna	Glæpamenn reyndu að ræna stjórnarerindrekanum.
kidney	nýra	Nýrnastarfsemi hennar batnaði.
kingdom	konungsríki	Konungsríkið stækkaði undir stjórn hans.
lad	piltur	Ungi pilturinn bar töskurnar.
landlord	leigusali	Leigusalinn gerði við hitunina.
landmark	kennileiti	Turninn varð kennileiti í borginni.
lap	kjöltu	Barnið sat í kjöltu hennar.
large-scale	stórtækur	Borgin skipulagði stórfelldar viðgerðir.
laser	leysir	Leysirinn mældi fjarlægðina.
latter	síðari	Síðari kosturinn virðist öruggari.
lawn	grasflöt	Börnin léku sér á grasflötinni.
lawsuit	málsókn	Fyrirtækið útkljáði málsóknina.
layout	uppsetning	Uppsetning síðunnar lítur skýrar út.
leak	leki	Pípuleki flæddi yfir eldhúsið.
leap	stökk	Salan tók snöggt stökk.
legacy	arfleifð	Arfleifð hennar mótaði háskólann.
legendary	goðsagnakenndur	Goðsagnakenndi söngvarinn sneri aftur á svið.
legislation	löggjöf	Ný löggjöf verndar leigjendur.
legislative	löggjafar-	Löggjafarnefndin kom saman í dag.
legislature	löggjafarþing	Löggjafarþingið samþykkti fjárlögin.
legitimate	lögmætur	Þau vöktu máls á réttmætum áhyggjum.
lengthy	langdreginn	Langdregnar umræður seinkuðu atkvæðagreiðslunni.
lesbian	lesbískur	Lesbískur aðgerðasinni talaði á málþinginu.
lesser	minni	Veldu minni áhættuna.
lethal	banvænn	Efnið getur verið banvænt.
liable	ábyrgur	Ökumenn eru ábyrgir fyrir tjóni.
liberal	frjálslyndur	Hann styður frjálslynda félagsmálastefnu.
liberation	frelsun	Frelsun breytti framtíð landsins.
liberty	frelsi	Lögin vernda persónufrelsi.
license	veita leyfi	Ríkið gæti veitt nýjum heilsugæslustöðvum leyfi.
lifelong	ævilangur	Hún eignaðist ævilanga vini þar.
likelihood	líkur	Líkurnar á rigningu jukust.
limb	útlimur	Slasaði útlimurinn greri hægt.
linear	línulegur	Línuritið sýnir línulega þróun.
line-up	dagskrá	Dagskrá hátíðarinnar inniheldur staðbundnar hljómsveitir.
linger	dvelja	Lyktin getur dvalið í margar klukkustundir.
listing	skráning	Íbúðaskráningin virtist nákvæm.
literacy	læsi	Læsisáætlanir fyrir fullorðna voru stækkaðar.
liver	lifur	Lifrin síar skaðleg efni.
lobby	anddyri	Anddyrið var troðfullt eftir hádegi.
log	dagbók	Kerfið heldur daglega dagbók.
logic	rökfræði	Rökfræði röksemdar hans brást.
long-standing	langvinnur	Þeir leystu langvinnan deilu.
long-time	til langs tíma	Hún er sjálfboðaliði til langs tíma.
loom	vofa yfir	Dökk ský vofa yfir dalnum.
loop	lykkja	Gönguleiðin myndar lykkju.
loyalty	hollusta	Hollusta hans heillaði liðið.
machinery	vélbúnaður	Verksmiðjan setti upp nýjan vélbúnað.
magical	töfrandi	Garðurinn leit töfrandi út á nóttunni.
magistrate	dómari	Dómarinn tók málið fyrir.
magnetic	segulmagnaður	Segulsviðið hafði áhrif á áttavitann.
magnitude	stærðargráða	Stærðargráða tjónsins var augljós.
mainland	meginland	Ferjan tengir eyjar við meginlandið.
mainstream	almennur	Hugmyndin komst í almenn stjórnmál.
maintenance	viðhald	Reglulegt viðhald kemur í veg fyrir bilanir.
mandate	umboð	Forsetinn lýsti yfir sterku umboði.
mandatory	skyldubundinn	Mæting er skyldubundin fyrir nema.
manifest	birtast	Einkenni gætu birst eftir vikur.
manipulate	handleika	Ekki handleika niðurstöður könnunarinnar.
manipulation	meðhöndlun	Gagnameðhöndlunin uppgötvaðist.
manuscript	handrit	Útgefandinn samþykkti handrit hennar.
march	ganga	Mótmælendurnir munu ganga í miðbæinn.
marginal	lítilfjörlegur	Breytingin hafði lítilfjörlegan ávinning.
marine	sjávar	Sjávarlíf þarfnast hreins vatns.
marketplace	markaðstorg	Markaðstorgið á netinu stækkaði hratt.
mask	gríma	Starfsmenn verða að bera grímu.
massacre	blóðbað	Blóðbaðið setti allt svæðið í áfall.
mathematical	stærðfræðilegur	Stærðfræðilega líkanið spáði fyrir um eftirspurn.
mature	þroskaður	Þroskuðu trén veita skugga.
maximize	hámarka	Uppfærslan mun hámarka endingu rafhlöðunnar.
meaningful	þýðingarmikill	Þau áttu þýðingarmiklar samræður.
meantime	millitíð	Í millitíðinni skaltu bíða úti.
medieval	miðalda	Kastalinn hefur miðaldaveggi.
meditation	hugleiðsla	Dagleg hugleiðsla róar huga hennar.
melody	laglína	Laglínan sat föst í hausnum á mér.
memo	minnisblað	Minnisblaðið útskýrði stefnuna.
memoir	ævisaga	Ævisaga hennar lýsir útlegð í æsku.
memorial	minnisvarði	Minnisvarðinn heiðrar staðbundna hermenn.
mentor	lærimeistari	Lærimeistari hennar fór yfir tillöguna.
merchant	kaupmaður	Kaupmaðurinn seldi silki og krydd.
mercy	miskunn	Dómarinn sýndi miskunn.
mere	einber	Einber svipur leiddi villuna í ljós.
merely	aðeins	Hún endurtók aðeins leiðbeiningarnar.
merge	sameinast	Fyrirtækin tvö munu sameinast.
merger	samruni	Samruninn bjó til stærri banka.
merit	verðleiki	Tillagan hefur skýran verðleika.
methodology	aðferðafræði	Rannsóknin útskýrir aðferðafræði sína.
midst	miðja	Þau unnu í miðri ringulreiðinni.
migration	fólksflutningar	Árstíðabundnir fólksflutningar hafa áhrif á staðbundin störf.
militant	herskár	Herskái hópurinn hafnaði samningaviðræðum.
militia	vopnaðir hópar	Vopnaðir hópar stjórnuðu veginum.
mill	mylla	Gamla myllan varð að safni.
minimal	lágmarks	Áætlunin krefst lágmarks fyrirhafnar.
minimize	lágmarka	Við verðum að lágmarka óþarfa áhættu.
mining	námuvinnsla	Námuvinnsla skemmdi árdalinn.
ministry	ráðuneyti	Ráðuneytið tilkynnti nýjar reglur.
minute2	pínulítill	Pínulítil sprunga birtist í glerinu.
miracle	kraftaverk	Bati hans virtist eins og kraftaverk.
misery	eymd	Flóttamennirnir þoldu eymd í mörg ár.
misleading	villandi	Villandi línuritið ruglaði lesendur.
missile	flugskeyti	Flugskeytatilraunin jók spennu.
mob	múgur	Reiði múgurinn lokaði fyrir umferð.
mobility	hreyfanleiki	Betri rútur bæta hreyfanleika í borgum.
mobilize	kalla saman	Leiðtogar kalla sjálfboðaliða fljótt saman.
moderate	hófsamur	Frambjóðandinn hefur hófsamar skoðanir.
modification	breyting	Hönnunin þarfnast einnar breytingar.
momentum	skriðþungi	Herferðin náði fljótt skriðþunga.
monk	munkur	Munkurinn bjó í þögn.
monopoly	einokun	Fyrirtækið var með einokun.
morality	siðferði	Námskeiðið skoðar almennt siðferði.
motive	ástæða	Lögreglan spurði um ástæðu hans.
motorist	ökumaður	Ökumaðurinn stoppaði á rauðu ljósi.
municipal	sveitarfélags	Þjónusta sveitarfélaga batnaði á þessu ári.
mutual	gagnkvæmur	Þau komust að gagnkvæmu samkomulagi.
namely	nefnilega	Eitt vandamál er eftir, nefnilega fjármögnun.
