source_headword	AZ	example_AZ
hunt	ovlamaq	Onlar payızda göbələk axtarırlar.
hurricane	qasırğa	Qasırğa bir çox evə zərər verdi.
hurry	tələsmə	Bu gün heç bir tələsmə yoxdur.
identity	kimlik	Onun kimliyi sirr olaraq qaldı.
ignore	məhəl qoymamaq	Bu xəbərdarlığa məhəl qoyma.
illegal	qanunsuz	Burada maşın saxlamaq qanunsuzdur.
imaginary	xəyali	Hekayədə xəyali ada var.
immediate	dərhal	Bizə dərhal cavab lazımdır.
immigrant	immiqrant	İmmiqrant ingilis dilini tez öyrəndi.
impact	təsir	Xəbərin güclü təsiri oldu.
import	idxal etmək	Ölkə daha çox düyü idxal edəcək.
importance	əhəmiyyət	O, yuxunun əhəmiyyətini başa düşdü.
impression	təəssürat	Onun ilk təəssüratı müsbət idi.
impressive	təsirli	Muzeyin girişi təsirlidir.
improvement	yaxşılaşma	Bu ay aydın yaxşılaşma oldu.
incredibly	son dərəcə	Test son dərəcə çətin idi.
indeed	həqiqətən	Bu həqiqətən qəribə gün idi.
indicate	göstərmək	Nişan çıxışı göstərəcək.
indirect	dolayı	O, dolayı cavab verdi.
indoor	qapalı	Otelin qapalı hovuzu var.
indoors	içəridə	Fırtına zamanı biz içəridə qaldıq.
influence	təsir	Onun müəllimi güclü təsir göstərdi.
ingredient	inqrediyent	Un əsas inqrediyentdir.
injure	yaralamaq	Belini yaralama.
injured	yaralı	Yaralı oyunçu meydanı tərk etdi.
innocent	günahsız	Uşaq tamamilə günahsız görünürdü.
intelligence	zəka	O, sinifdə böyük zəka göstərdi.
intend	niyyət etmək	Mən xaricdə oxumağı niyyət edirəm.
intention	niyyət	Onun niyyəti kömək etmək idi.
invest	sərmayə qoymaq	Onlar təhsilə pul sərmayə qoyurlar.
investigate	araşdırmaq	Polis qəzanı araşdıracaq.
involved	qatılmış	Bir neçə tələbə qatılmışdı.
iron	dəmir	Darvaza dəmirdən hazırlanıb.
issue	məsələ	Bu ciddi məsələdir.
IT	informasiya texnologiyaları	O, informasiya texnologiyaları sahəsində işləyir.
journal	gündəlik	O, gündəliyə yazır.
judge	hakim	Hakim diqqətlə dinlədi.
keen	həvəsli	O, öyrənməyə həvəslidir.
keyboard	klaviatura	Klaviaturam işləməyi dayandırdı.
kick	təpik vurmaq	Topa yavaşca təpik vur.
killing	öldürmə	Öldürmə kəndi sarsıtdı.
kind (caring)	mehirli	Bu, mehirli bir iş idi.
kiss	öpüş	O, körpəyə öpüş verdi.
label	etiket	İstifadədən əvvəl etiketi oxu.
laboratory	laboratoriya	Laboratoriya bu gün bağlıdır.
lack	çatışmazlıq	Yuxu çatışmazlığı yaddaşa zərər verir.
latest	ən son	Ən son hesabatı oxumusan?
lay	qoymaq	Kitabı masanın üstünə qoy.
layer	qat	Başqa bir boya qatı əlavə et.
leading	aparıcı	O, aparıcı alimdir.
leaf	yarpaq	Bir yarpaq paltoma düşdü.
leather	dəri	Onun çantası dəridən hazırlanıb.
legal	hüquqi	Bizə hüquqi məsləhət lazımdır.
