source_headword	TR	example_TR
abolish	kaldırmak	Yasa eski ücreti kaldıracak.
abortion	kürtaj	Kürtaj hassas bir tıbbi sorun olmaya devam ediyor.
absence	yokluk	Onun yokluğu nihai kararı geciktirdi.
absent	yok	Sınıfta iki üye yoktu.
absurd	saçma	İddia herkese saçma geldi.
abundance	bolluk	Vadide su bolluğu var.
abuse	istismar	Rapor işyerindeki istismarı anlattı.
academy	akademi	Akademi genç müzisyenleri eğitiyor.
accelerate	hızlandırmak	Yeni fonlar araştırmayı hızlandıracak.
acceptance	kabul	Eleştiriyi kabul etmesi beni etkiledi.
accessible	erişilebilir	Müze tekerlekli sandalye kullanıcıları için erişilebilirdir.
accomplishment	başarı	Kitabı bitirmek gerçek bir başarıydı.
accordance	uygunluk	Çalışma, politikaya uygun olarak yapıldı.
accordingly	buna göre	Kanıtlar değişti ve biz de buna göre hareket ettik.
accountability	hesap verebilirlik	Politika, yöneticiler için hesap verebilirliği artırıyor.
accountable	sorumlu	Yöneticiler güvenlikten sorumludur.
accumulate	birikmek	Ekranın arkasında toz birikebilir.
accumulation	birikim	Verilerin birikimi aylar sürdü.
accusation	suçlama	Suçlama komiteyi şok etti.
accused	sanık	Sanık mahkemeye çıktı.
acquisition	edinim	Bu satın alma şirketi hızla büyüttü.
acre	dönüm	Çiftlik bir dönümlük bir alanı kaplıyor.
activation	aktivasyon	Kartın aktivasyonu birkaç dakika sürer.
activist	aktivist	Aktivist mitingde konuştu.
acute	şiddetli	Koştuktan sonra şiddetli bir ağrı hissetti.
adaptation	uyarlama	Uyarlama, romanın sonunu değiştirdi.
adhere	uymak	Personel güvenlik kurallarına uymak zorundadır.
adjacent	bitişik	Otel istasyona bitişiktir.
adjustment	ayarlama	Küçük bir ayarlama sorunu çözdü.
administer	uygulamak	Hemşireler aşıyı dikkatle uyguluyorlar.
administrative	idari	İdari personel formlarla ilgileniyor.
administrator	yönetici	Yönetici şifremi sıfırladı.
admission	giriş	Müzeye giriş ücretsizdir.
adolescent	ergen	Ergenin ekstra desteğe ihtiyacı vardı.
adoption	evlat edinme	Evlat edinme, çocuğa kalıcı bir yuva sağladı.
adverse	olumsuz	İlaç olumsuz etkilere neden oldu.
advocate	savunucu	Savunucu kiracı haklarını korudu.
