source_headword	TH	example_TH
stranger	คนแปลกหน้า	มีคนแปลกหน้ามาถามทาง.
strength	ความแข็งแกร่ง	ความแข็งแกร่งของเธอช่วยทีมไว้.
string	เชือก	ผูกกล่องด้วยเชือก.
strongly	อย่างยิ่ง	ฉันไม่เห็นด้วยอย่างยิ่งกับความคิดนั้น.
studio	สตูดิโอ	ศิลปินทำงานในสตูดิโอเล็กๆ.
stuff	ของ	วางของของคุณไว้บนชั้นวาง.
substance	สาร	ตำรวจพบสารแปลกประหลาด.
successfully	อย่างประสบความสำเร็จ	พวกเขาทำโครงการเสร็จอย่างประสบความสำเร็จ.
sudden	กะทันหัน	เสียงดังกะทันหันปลุกเรา.
suffer	ทนทุกข์	พืชหลายชนิดเหี่ยวเฉาในสภาพอากาศแห้งแล้ง.
suitable	เหมาะสม	เสื้อแจ็คเก็ตตัวนี้เหมาะสมสำหรับไปโรงเรียน.
summarize	สรุป	คุณช่วยสรุปบทความนี้ได้ไหม?
summary	บทสรุป	คืนนี้เขียนบทสรุปสั้นๆ.
supply	การจัดหา	เมืองต้องการแหล่งน้ำสะอาด.
supporter	ผู้สนับสนุน	ผู้สนับสนุนทุกคนโห่ร้องอย่างดัง.
surely	อย่างแน่นอน	เราสามารถแก้ปัญหนี้ได้อย่างแน่นอน.
surface	พื้นผิว	พื้นผิวรู้สึกเย็นและเรียบเนียน.
survive	รอดชีวิต	สัตว์เหล่านี้รอดชีวิตจากฤดูหนาวที่หนาวเหน็บ.
switch	สวิตช์	ปิดไฟห้องครัว.
symptom	อาการ	การไออาจเป็นอาการอย่างหนึ่ง.
tail	หาง	สุนัขมีหางยาว.
talent	พรสวรรค์	เธอมีพรสวรรค์ด้านดนตรี.
talented	มีพรสวรรค์	เขาเป็นนักแสดงรุ่นเยาว์ที่มีพรสวรรค์.
tape	เทปกาว	ใช้เทปกาวปิดกล่อง.
tax	ภาษี	ทุกคนต้องจ่ายภาษีนี้.
technical	ทางเทคนิค	เรามีปัญหาทางเทคนิค.
technique	เทคนิค	เทคนิคนี้ช่วยประหยัดเวลา.
tend	มักจะ	เด็กๆมักจะเรียนรู้ได้เร็ว.
tent	เต็นท์	เรานอนในเต็นท์เล็กๆ.
theirs	ของพวกเขา	จักรยานสีฟ้าเป็นของพวกเขา.
theme	ธีม	งานปาร์ตี้มีธีมชายหาด.
theory	ทฤษฎี	ทฤษฎีของเขาอธิบายปัญหานี้.
therefore	ดังนั้น	ฝนตกดังนั้นเราจึงอยู่ข้างใน.
though	แม้ว่า	แม้ว่าจะเหนื่อยแต่เธอก็ยังคงทำงานต่อไป.
throat	ลำคอ	เช้านี้ฉันเจ็บคอ.
throughout	ตลอด	ผู้คนเต้นรำกันตลอดทั้งคืน.
tight	แน่น	รองเท้าคู่นี้รู้สึกแน่นเกินไป.
till	จนกระทั่ง	รอที่นี่จนกระทั่งฉันกลับมา.
tin	กระป๋อง	เปิดกระป๋องถั่ว.
tiny	เล็กจิ๋ว	นกตัวเล็กจิ๋วบินมาเกาะใกล้ๆ.
toe	นิ้วเท้า	เมื่อวานฉันทำนิ้วเท้าเจ็บ.
tongue	ลิ้น	ลิ้นของเธอพองเพราะชา.
total	ทั้งหมด	ค่าใช้จ่ายทั้งหมดนั้นต่ำ.
totally	อย่างสิ้นเชิง	ฉันเข้าใจความกังวลของคุณอย่างสิ้นเชิง.
trade	การค้า	การค้าระหว่างประเทศสร้างงาน.
translate	แปล	โปรดแปลประโยคนี้.
translation	คำแปล	คำแปลฟังดูเป็นธรรมชาติ.
treat	ปฏิบัติ	ปฏิบัติต่อทุกคนด้วยความเคารพ.
treatment	การรักษา	ผู้ป่วยต้องการการรักษาในวันนี้.
trend	แนวโน้ม	แนวโน้มนี้กำลังเติบโตไปทั่วโลก.
trick	กล	กลไพ่นั้นทำให้ฉันประหลาดใจ.
truth	ความจริง	โปรดบอกความจริง.
tube	หลอด	บีบหลอดเบาๆ.
typically	โดยทั่วไป	นักเรียนมักจะมาถึงก่อนเก้าโมงเช้า.
tyre	ยางรถยนต์	รถต้องการยางเส้นใหม่.
ugly	น่าเกลียด	สีผนังนั้นดูน่าเกลียด.
unable	ไม่สามารถ	เขาไม่สามารถตอบได้.
uncomfortable	ไม่สบาย	เก้าอี้ตัวนี้นั่งไม่สบาย.
underwear	ชุดชั้นใน	จัดชุดชั้นในสะอาดสำหรับทริปนี้.
