source_headword	HI	example_HI
absolutely	बिलकुल	मैं तुमसे बिलकुल सहमत हूँ.
academic	शैक्षणिक	शैक्षणिक वर्ष सितंबर में शुरू होता है.
access	पहुँच	छात्रों को पुस्तकालय तक पहुँच चाहिए.
accommodation	आवास	हमने स्टेशन के पास आवास बुक किया.
account	खाता	उसने नया बैंक खाता खोला.
achievement	उपलब्धि	पाठ्यक्रम पूरा करना बड़ी उपलब्धि थी.
ad	विज्ञापन	विज्ञापन ने नया फोन दिखाया.
addition	जोड़	तालाब एक उपयोगी जोड़ है.
admire	प्रशंसा करना	मैं उसके शांत रवैये की प्रशंसा करता हूँ.
admit	स्वीकार करना	उसने अपनी गलती स्वीकार की.
advanced	उन्नत	यह उन्नत अंग्रेज़ी कक्षा है.
advise	सलाह देना	डॉक्टर नियमित व्यायाम की सलाह देते हैं.
afford	खर्च उठा पाना	हम टैक्सी का खर्च नहीं उठा सकते.
aged	उम्र का	यह पाठ्यक्रम दस वर्ष के बच्चों के लिए है.
agent	एजेंट	यात्रा एजेंट ने हमारे टिकट बदले.
agreement	समझौता	वे आज समझौते पर पहुँचे.
ahead	आगे	आगे की सड़क साफ है.
aim	लक्ष्य रखना	हम जल्द खत्म करने का लक्ष्य रखते हैं.
alarm	अलार्म	अलार्म छह बजे बजा.
album	एल्बम	इस एल्बम में दस गीत हैं.
alcohol	शराब	होटल शराब नहीं परोसता.
alcoholic	मादक	यह पेय मादक नहीं है.
amazed	हैरान	वह परिणाम से हैरान थी.
ambition	महत्वाकांक्षा	उसकी महत्वाकांक्षा पायलट बनना है.
ambitious	महत्वाकांक्षी	उसके पास महत्वाकांक्षी योजना है.
analyse	विश्लेषण करना	हमें परिणामों का विश्लेषण करना है.
analysis	विश्लेषण	उसका विश्लेषण स्पष्ट और सावधान था.
announce	घोषणा करना	वे कल विजेता की घोषणा करेंगे.
announcement	घोषणा	घोषणा ने सबको चौंका दिया.
annoy	चिढ़ाना	तेज़ संगीत पड़ोसियों को चिढ़ा सकता है.
annoyed	चिढ़ा हुआ	देरी के बाद वह चिढ़ा हुआ दिखा.
annoying	चिढ़ाने वाला	वह आवाज़ सचमुच चिढ़ाने वाली है.
apart	अलग	घर दो मीटर अलग हैं.
apologize	माफ़ी माँगना	मैं देर से आने के लिए माफ़ी माँगता हूँ.
