source_headword	MS	example_MS
absorb	menyerap	Tuala itu menyerap air dengan cepat.
abstract	abstrak	Kuliah itu membincangkan idea-idea abstrak.
accent	loghat	Loghatnya mudah difahami.
accidentally	secara tidak sengaja	Saya memadam fail itu secara tidak sengaja.
accommodate	menampung	Hotel itu boleh menampung keluarga yang besar.
accomplish	mencapai	Dia mencapai matlamatnya sebelum bulan Jun.
accountant	akauntan	Akauntan itu menyemak invois.
accuracy	ketepatan	Ujian itu mengukur ketepatan membaca.
accurately	dengan tepat	Peta itu menunjukkan laluan dengan tepat.
acid	asid	Asid itu merosakkan permukaan logam.
activate	mengaktifkan	Tekan butang untuk mengaktifkan penggera.
addiction	ketagihan	Ketagihannya menjejaskan kerjanya.
additionally	tambahan pula	Tambahan pula, kami memerlukan lebih banyak kerusi.
adequate	memadai	Bilik itu mempunyai cahaya yang mencukupi.
adequately	dengan secukupnya	Laporan itu menerangkan masalah dengan secukupnya.
adjust	melaraskan	Laras tempat duduk sebelum memandu.
affordable	mampu milik	Pangsapuri itu mampu milik bagi pelajar.
agriculture	pertanian	Pertanian menyara banyak keluarga luar bandar.
AIDS	AIDS	Doktor merawat AIDS dengan ubat moden.
alien	makhluk asing	Filem itu menunjukkan planet makhluk asing.
alongside	di sebelah	Laluan basikal itu terbentang di sepanjang sungai.
altogether	sepenuhnya	Secara keseluruhan, projek itu mengambil masa enam minggu.
ambulance	ambulans	Ambulans tiba dalam masa beberapa minit.
amusing	melucukan	Cerita itu melucukan dan ringan.
analyst	penganalisis	Penganalisis itu menyemak data jualan.
ancestor	nenek moyang	Nenek moyang saya tinggal berhampiran kampung ini.
animation	animasi	Animasi itu menjadikan pelajaran lebih jelas.
annually	setiap tahun	Festival ini diadakan setiap tahun.
anticipate	menjangkakan	Kami menjangkakan lalu lintas yang sesak esok.
anxiety	kebimbangan	Kebimbangan boleh menyukarkan tidur.
apology	permohonan maaf	Dia menawarkan permohonan maaf yang ikhlas.
applicant	pemohon	Pemohon menghantar resume baharu.
appropriately	dengan sewajarnya	Sila berpakaian dengan sewajarnya untuk temu duga.
arrow	anak panah	Anak panah menunjuk ke arah pintu keluar.
artwork	karya seni	Muzium itu mempamerkan karya seni tempatan.
aside	ke tepi	Dia melangkah ke tepi untuk membiarkannya lalu.
asset	aset	Pengalaman ialah aset yang berharga.
assign	menugaskan	Guru memberi kerja rumah hari ini.
assistance	bantuan	Sila minta bantuan daripada kakitangan.
assumption	andaian	Andaian itu mungkin salah.
assure	memberi jaminan	Saya meyakinkan anda bahawa pintu dikunci.
astonishing	menakjubkan	Pemandangan dari tebing itu sangat menakjubkan.
attachment	lampiran	E-mel ini termasuk satu lampiran.
auction	lelongan	Lukisan itu telah dijual di lelongan.
audio	audio	Rakaman audio itu kedengaran jelas.
automatic	automatik	Pintu ini mempunyai kunci automatik.
automatically	secara automatik	Lampu menyala secara automatik.
awareness	kesedaran	Kempen itu meningkatkan kesedaran orang awam.
awkward	canggung	Kesunyian itu terasa kekok.
badge	lencana	Pelawat mesti memakai lencana.
balanced	seimbang	Diet yang seimbang termasuklah sayur-sayuran.
ballet	balet	Dia belajar balet selepas sekolah.
balloon	belon	Belon itu terapung di atas meja.
barely	hampir tidak	Dia hampir tidak mendengar pengumuman itu.
bargain	tawaran murah	Jaket itu memang barang murah.
basement	ruang bawah tanah	Kotak-kotak itu berada di ruang bawah tanah.
basket	bakul	Dia meletakkan epal ke dalam bakul.
bat	kelawar / pemukul	Kelawar itu terbang keluar dari gua.
beneficial	bermanfaat	Senaman yang kerap adalah bermanfaat untuk kesihatan.
beside	di sebelah	Lampu itu berdiri di sebelah sofa.
besides	selain itu	Selain daripada matematik, dia belajar kimia.
bias	berat sebelah	Artikel itu menunjukkan berat sebelah yang jelas.
bid	bidaan	Syarikat itu membuat bidaan yang lebih tinggi.
biological	biologi	Ujian biologi itu mengesahkan keputusan.
blanket	selimut	Kanak-kanak itu tidur di bawah selimut.
blow	tiupan / tamparan	Pukulan kuat itu memecahkan tingkap.
bold	berani	Tajuk utama menggunakan huruf tebal.
bombing	pengeboman	Pengeboman itu merosakkan beberapa bangunan.
booking	tempahan	Saya telah mengesahkan tempahan hotel.
boost	rangsangan	Kemenangan itu meningkatkan keyakinan pasukan.
bound	terikat	Bungkusan itu diikat dengan tali.
brick	bata	Dinding itu diperbuat daripada bata.
briefly	secara ringkas	Dia bercakap secara ringkas selepas makan tengah hari.
broadcaster	penyiar	Penyiar itu menemu ramah datuk bandar.
broadly	secara umum	Kedua-dua pelan tersebut adalah serupa secara umum.
bug	pepijat	Aplikasi itu tergendala kerana pepijat.
cabin	kabin	Kami tinggal di sebuah kabin kecil.
canal	terusan	Bot bergerak perlahan di sepanjang terusan.
candle	lilin	Lilin itu menyala di atas meja.
carbon	karbon	Pokok menyerap karbon dari udara.
casual	kasual	Dia memakai pakaian kasual ke tempat kerja.
cave	gua	Pendaki itu memasuki gua.
certainty	kepastian	Kami tidak dapat tahu dengan pasti.
certificate	sijil	Dia menerima sijil latihan.
challenging	mencabar	Kursus itu mencabar tetapi berguna.
championship	kejuaraan	Pasukan kami mara ke peringkat akhir kejohanan.
charming	menawan	Jalan lama itu kelihatan menawan.
chase	kejar	Anjing itu mengejar bola.
cheek	pipi	Air mata mengalir di pipinya.
cheer	sorakan	Orang ramai mula bersorak dengan kuat.
choir	koir	Koir itu menyanyi dengan merdu.
chop	potong / cincang	Potong bawang menjadi kepingan kecil.
circuit	litar	Pelari itu melengkapkan litar tersebut.
civilization	tamadun	Tamadun purba membentuk rantau ini.
