source_headword	BG	example_BG
fridge	хладилник	Млякото е в хладилника.
frog	жаба	Жаба скочи в езерото.
furniture	мебели	Тези мебели са стари, но здрави.
further	допълнителен; по-нататъшен	Нуждаем се от допълнителна информация.
gallery	галерия	Галерията е отворена днес.
gap	пролука; празнина	Има пролука в стената.
gas	бензин; газ	Колата има нужда от бензин.
gate	порта	Затвори портата, моля.
general	общ	Това е общо правило.
gift	подарък	Тя купи подарък.
goal	цел	Нашата цел е проста.
god	Бог; бог	Много хора се молят на Бог.
gold	злато	Пръстенът е златен.
golf	голф	Той играе голф днес.
government	правителство	Правителството промени закона.
grass	трева	Тревата е мокра.
greet	поздравявам	Поздрави всеки гост учтиво.
ground	земя	Седни на земята.
guest	гост	Нашият гост пристигна рано.
guide	гид; водач	Гидът ни показа музея.
gun	оръжие; пистолет	Полицията намери оръжие.
guy	тип; човек	Онзи тип е брат ми.
habit	навик	Ежедневното четене е добър навик.
hall	коридор; зала	Чакай в коридора.
happily	щастливо	Те живяха щастливо заедно.
headache	главоболие	Имам главоболие.
heart	сърце	Сърцето й бие бързо.
heat	загрявам; топлина	Загрей супата бавно.
heavy	тежък	Тази чанта е тежка.
height	височина	Измери височината на масата.
helpful	полезен	Съветът ти беше полезен.
hero	герой	Той е моят герой.
hers	нейният; нейна	Синьото палто е нейно.
herself	самата тя	Тя сама приготви вечерята.
hide	крия	Скрий ключа под кутията.
hill	хълм	Изкачихме хълма.
himself	самият той	Той сам го поправи.
hit	удрям	Не удряй вратата.
hockey	хокей	Снощи гледахме хокей.
hold	държа	Дръж ръката ми.
hole	дупка	Има дупка в чорапа ми.
huge	огромен	Стаята е огромна.
human	човек; човешки	Всеки човек има нужда от вода.
hurt	боля; наранявам	Коляното ме боли.
ideal	идеален	Тази стая е идеална за учене.
identify	разпознавам	Можеш ли да разпознаеш тази птица?
ill	болен	Тя се чувства болна днес.
illness	болест	Болестта продължи една седмица.
image	изображение	Изображението е ясно.
immediately	незабавно	Ела тук незабавно.
impossible	невъзможен	Този пъзел изглежда невъзможен.
included	включен	Закуската е включена.
including	включително	Дойдоха десет души, включително аз.
increase	увеличавам; увеличение	Цените се увеличават през лятото.
incredible	невероятен	Гледката беше невероятна.
independent	независим	Сестра ми е независима.
individual	отделен; човек	Всеки отделен човек има номер.
industry	индустрия	Местната индустрия расте.
informal	неофициален	Този имейл е неофициален.
injury	нараняване	Нараняването му не е сериозно.
insect	насекомо	Насекомо кацна върху чашата.
inside	вътре	Чакай вътре в къщата.
instead	вместо това	Пий вода вместо това.
instruction	инструкция; указание	Прочети всяка инструкция внимателно.
instructor	инструктор; преподавател	Инструкторът обясни упражнението.
instrument	инструмент	Тя свири на инструмент.
intelligent	умен; интелигентен	Той е умен ученик.
international	международен	Това е международно летище.
introduction	въведение	Въведението беше кратко.
invent	изобретявам	Децата могат да измислят нови игри.
invention	изобретение	Изобретението спести време.
invitation	покана	Получих покана.
invite	каня	Покани и приятеля си.
involve	включвам	Работата ще включва пътуване.
item	предмет; артикул	Избери един предмет.
itself	самото то	Машината се изключва сама.
jam	сладко; конфитюр	Сложи сладко върху хляба.
jazz	джаз	Джазът звучи чудесно тази вечер.
jewellery	бижута	Тя държи бижутата в кутия.
joke	шега	Разкажи ми шега.
journalist	журналист	Журналистът зададе въпроси.
jump	скачам	Скочи над линията.
kid	дете	Детето се смее.
kill	убивам	Не убивай насекомото.
king	крал	Кралят живееше в дворец.
knee	коляно	Коляното ме боли.
knife	нож	Използвай остър нож.
knock	чукам	Почукайте, преди да влезете.
knowledge	знание	Знанието расте с практика.
lab	лаборатория	Лабораторията е затворена.
lady	дама; жена	Дамата ни се усмихна.
lake	езеро	Езерото е спокойно.
lamp	лампа	Включи лампата.
laptop	лаптоп	Лаптопът ми е нов.
last1 (taking time)	продължавам	Филмът продължава два часа.
laughter	смях	Чухме смях навън.
law	закон	Законът се промени вчера.
lawyer	адвокат	Адвокатът ми се обади.
lazy	мързелив	Не бъди мързелив.
lead1	водя	Добрите лидери водят с пример.
leader	лидер; ръководител	Тя е лидерът на отбора.
learning	учене	Ученето отнема време.
least	най-малък; най-малко	Избери най-евтиния вариант.
lecture	лекция	Лекцията започва в десет.
lemon	лимон	Добави лимон към чая.
