source_headword	KN	example_KN
institute	ಸಂಸ್ಥೆ	ಸಂಸ್ಥೆಯು ಹೊಸ ಸಂಶೋಧನಾ ಕಾರ್ಯಕ್ರಮವನ್ನು ಪ್ರಾರಂಭಿಸಿತು.
institution	ಸಂಸ್ಥೆ	ಸಂಸ್ಥೆಯು ತನ್ನ ಪ್ರವೇಶ ನಿಯಮಗಳನ್ನು ಬದಲಾಯಿಸಿದೆ.
insurance	ವಿಮೆ	ಅವಳ ವಿಮೆಯು ಆಸ್ಪತ್ರೆಯ ವೆಚ್ಚವನ್ನು ಭರಿಸಿತು.
intended	ಉದ್ದೇಶಿತ	ಸಂದೇಶವು ಉದ್ದೇಶಿತ ಪ್ರೇಕ್ಷಕರನ್ನು ತಲುಪಿತು.
intense	ತೀವ್ರ	ಚರ್ಚೆ ಬಹಳ ಬೇಗನೆ ತೀವ್ರವಾಯಿತು.
internal	ಆಂತರಿಕ	ಕಂಪನಿಯು ಆಂತರಿಕ ವಿಮರ್ಶೆಯನ್ನು ಪ್ರಾರಂಭಿಸಿತು.
interpret	ವಿವರಿಸು	ದಯವಿಟ್ಟು ಫಲಿತಾಂಶಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ವಿವರಿಸಿ.
interrupt	ಅಡ್ಡಿಪಡಿಸು	ಈಗ ಮಾತನಾಡುವವರಿಗೆ ಅಡ್ಡಿಪಡಿಸಬೇಡಿ.
investigation	ತನಿಖೆ	ತನಿಖೆಯು ಗಂಭೀರ ತಪ್ಪುಗಳನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
investment	ಹೂಡಿಕೆ	ಹೂಡಿಕೆಯು ಅನೇಕ ಸ್ಥಳೀಯ ಉದ್ಯೋಗಗಳನ್ನು ಸೃಷ್ಟಿಸಿತು.
joy	ಸಂತೋಷ	ಅವರ ಯಶಸ್ಸು ಅಪಾರ ಸಂತೋಷವನ್ನು ತಂದಿತು.
judgement	ತೀರ್ಪು	ಅನುಭವದೊಂದಿಗೆ ಅವರ ತೀರ್ಪು ಸುಧಾರಿಸಿತು.
junior	ಕಿರಿಯ	ಅವಳು ಕಿರಿಯ ವಿಶ್ಲೇಷಕಿಯಾಗಿ ತಂಡವನ್ನು ಸೇರಿಕೊಂಡಳು.
justice	ನ್ಯಾಯ	ವಿಚಾರಣೆಯ ನಂತರ ಕುಟುಂಬವು ನ್ಯಾಯವನ್ನು ಕೋರಿತು.
justify	ಸಮರ್ಥಿಸು	ನೀವು ಆ ನಿರ್ಧಾರವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಸಮರ್ಥಿಸಿಕೊಳ್ಳಬೇಕು.
labour	ಕಾರ್ಮಿಕ	ಯೋಜನೆಗೆ ನುರಿತ ಕಾರ್ಮಿಕರ ಅಗತ್ಯವಿದೆ.
landscape	ಭೂದೃಶ್ಯ	ಚಂಡಮಾರುತದ ನಂತರ ಭೂದೃಶ್ಯವು ಬದಲಾಯಿತು.
largely	ಹೆಚ್ಚಾಗಿ	ಯೋಜನೆಯು ಹೆಚ್ಚಾಗಿ ಯಶಸ್ವಿಯಾಯಿತು.
launch	ಬಿಡುಗಡೆ ಮಾಡು	ಅವರು ನಾಳೆ ಉತ್ಪನ್ನವನ್ನು ಬಿಡುಗಡೆ ಮಾಡುತ್ತಾರೆ.
leadership	ನಾಯಕತ್ವ	ಬಲವಾದ ನಾಯಕತ್ವವು ತಂಡವು ಚೇತರಿಸಿಕೊಳ್ಳಲು ಸಹಾಯ ಮಾಡಿತು.
league	ಲೀಗ್	ನಮ್ಮ ಕ್ಲಬ್ ಪ್ರಾದೇಶಿಕ ಲೀಗ್‌ಗೆ ಸೇರಿತು.
lean	ಒರಗು	ಒದ್ದೆಯಾದ ಗೋಡೆಗೆ ಒರಗಬೇಡಿ.
licence	ಪರವಾನಗಿ	ಪರವಾನಗಿ ಮುಂದಿನ ತಿಂಗಳು ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತದೆ.
limited	ಸೀಮಿತ	ಇಂದು ನಮಗೆ ಸೀಮಿತ ಸಮಯವಿದೆ.
lively	ಉತ್ಸಾಹಭರಿತ	ಊಟದ ನಂತರ ಸಭೆಯು ಉತ್ಸಾಹಭರಿತವಾಯಿತು.
load	ಹೊರೆ	ಟ್ರಕ್ ಭಾರವಾದ ಹೊರೆಯನ್ನು ಹೊತ್ತೊಯ್ದಿತು.
loan	ಸಾಲ	ಬ್ಯಾಂಕ್ ಸಾಲವನ್ನು ಅನುಮೋದಿಸಿತು.
logical	ತಾರ್ಕಿಕ	ಅವಳ ವಾದವು ಸ್ಪಷ್ಟ ಮತ್ತು ತಾರ್ಕಿಕವಾಗಿತ್ತು.
long-term	ದೀರ್ಘಕಾಲೀನ	ಇದು ದೀರ್ಘಕಾಲೀನ ಪರಿಹಾರವಾಗಿದೆ.
loose	ಸಡಿಲ	ಹ್ಯಾಂಡಲ್ ಸಡಿಲವಾಗಿದೆ.
lord	ಪ್ರಭು	ಪ್ರಭುವು ಹಲವಾರು ಹಳ್ಳಿಗಳನ್ನು ಹೊಂದಿದ್ದನು.
lower	ಕಡಿಮೆ ಮಾಡು	ಅವರು ಚಳಿಗಾಲದಲ್ಲಿ ಬೆಲೆಗಳನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತಾರೆ.
lung	ಶ್ವಾಸಕೋಶ	ಧೂಮಪಾನವು ಶ್ವಾಸಕೋಶವನ್ನು ಹಾನಿಗೊಳಿಸುತ್ತದೆ.
maintain	ನಿರ್ವಹಿಸು	ನಾವು ನಿಯಮಿತ ಸಂಪರ್ಕವನ್ನು ನಿರ್ವಹಿಸುತ್ತೇವೆ.
majority	ಬಹುಮತ	ಬಹುಮತವು ಪ್ರಸ್ತಾಪವನ್ನು ಬೆಂಬಲಿಸಿತು.
mass	ಸಮೂಹ	ಮೋಡಗಳ ಸಮೂಹವು ಆಕಾಶವನ್ನು ಆವರಿಸಿತು.
massive	ಬೃಹತ್	ಭೂಕಂಪವು ಬೃಹತ್ ಹಾನಿಯನ್ನು ಉಂಟುಮಾಡಿತು.
master	ನಿಪುಣ	ಅವಳು ಮಾತುಕತೆಯಲ್ಲಿ ನಿಪುಣಳಾದಳು.
matching	ಹೊಂದಾಣಿಕೆಯ	ಅವನು ಹೊಂದಾಣಿಕೆಯ ಬೂಟುಗಳು ಮತ್ತು ಬೆಲ್ಟ್ ಧರಿಸಿದ್ದನು.
maximum	ಗರಿಷ್ಠ	ಕೊಠಡಿಯು ಗರಿಷ್ಠ ಸಾಮರ್ಥ್ಯವನ್ನು ತಲುಪಿತು.
means	ಸಾಧನ	ಇಮೇಲ್ ನಮ್ಮ ಸಂಪರ್ಕದ ಮುಖ್ಯ ಸಾಧನವಾಗಿದೆ.
measurement	ಅಳತೆ	ಅಳತೆಯು ಸ್ವಲ್ಪ ತಪ್ಪಾಗಿದೆ.
melt	ಕರಗು	ಮಧ್ಯಾಹ್ನದ ವೇಳೆಗೆ ಹಿಮ ಕರಗುತ್ತದೆ.
military	ಮಿಲಿಟರಿ	ಮಿಲಿಟರಿ ನೆಲೆ ಕಳೆದ ವರ್ಷ ಮುಚ್ಚಲ್ಪಟ್ಟಿತು.
mineral	ಖನಿಜ	ಕಬ್ಬಿಣವು ಒಂದು ಪ್ರಮುಖ ಖನಿಜವಾಗಿದೆ.
minimum	ಕನಿಷ್ಠ	ಕನಿಷ್ಠ ವಯಸ್ಸು ಹದಿನೆಂಟು.
minister	ಮಂತ್ರಿ	ಮಂತ್ರಿಗಳು ಕಷ್ಟಕರ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸಿದರು.
minor	ಸಣ್ಣ	ಅಪಘಾತವು ಸಣ್ಣ ಹಾನಿಯನ್ನು ಉಂಟುಮಾಡಿತು.
minority	ಅಲ್ಪಸಂಖ್ಯಾತ	ಅಲ್ಪಸಂಖ್ಯಾತರು ಹೊಸ ನಿಯಮವನ್ನು ವಿರೋಧಿಸಿದರು.
mission	ಕಾರ್ಯಾಚರಣೆ	ಅವರ ಕಾರ್ಯಾಚರಣೆ ಸುರಕ್ಷಿತವಾಗಿ ಕೊನೆಗೊಂಡಿತು.
mixed	ಮಿಶ್ರ	ಸುದ್ದಿಯು ಮಿಶ್ರ ಪ್ರತಿಕ್ರಿಯೆಗಳನ್ನು ಪಡೆಯಿತು.
modify	ಮಾರ್ಪಡಿಸು	ನಾವು ವಿನ್ಯಾಸವನ್ನು ನಂತರ ಮಾರ್ಪಡಿಸಬಹುದು.
monitor	ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡು	ನರ್ಸ್ ಅವನ ಸ್ಥಿತಿಯನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ.
moral	ನೈತಿಕ	ಕಥೆಯು ನೈತಿಕ ಪಾಠವನ್ನು ಹೊಂದಿದೆ.
motor	ಮೋಟಾರ್	ಮೋಟಾರ್ ಯಾವುದೇ ಮುನ್ಸೂಚನೆಯಿಲ್ಲದೆ ನಿಂತಿತು.
mount	ಅಳವಡಿಸು	ಅವರು ಪ್ರವೇಶದ್ವಾರದ ಬಳಿ ಕ್ಯಾಮೆರಾಗಳನ್ನು ಅಳವಡಿಸುತ್ತಾರೆ.
multiple	ಬಹು	ಬಹು ಅಂಶಗಳು ವಿಳಂಬಕ್ಕೆ ಕಾರಣವಾದವು.
multiply	ಗುಣಿಸು	ಸಂಖ್ಯೆಯನ್ನು ಹತ್ತರಿಂದ ಗುಣಿಸಿ.
mysterious	ನಿಗೂಢ	ಹೊರಗೆ ಒಂದು ನಿಗೂಢ ಬೆಳಕು ಕಾಣಿಸಿಕೊಂಡಿತು.
neat	ಅಚ್ಚುಕಟ್ಟಾದ	ಅವಳ ಮೇಜು ಯಾವಾಗಲೂ ಅಚ್ಚುಕಟ್ಟಾಗಿರುತ್ತದೆ.
nerve	ನರ	ಗಾಯವು ನರವನ್ನು ಹಾನಿಗೊಳಿಸಿದೆ.
nevertheless	ಆದಾಗ್ಯೂ	ಕೆಲಸವು ಕಷ್ಟಕರವಾಗಿತ್ತು; ಆದಾಗ್ಯೂ, ನಾವು ಮುಗಿಸಿದೆವು.
nightmare	ದುಃಸ್ವಪ್ನ	ಪ್ರಯಾಣವು ದುಃಸ್ವಪ್ನವಾಯಿತು.
notion	ಕಲ್ಪನೆ	ಬದಲಾವಣೆ ಅಸಾಧ್ಯ ಎಂಬ ಕಲ್ಪನೆಯನ್ನು ತಿರಸ್ಕರಿಸಿ.
numerous	ಹಲವಾರು	ಹಲವಾರು ಅಧ್ಯಯನಗಳು ಈ ধারণೆಯನ್ನು ಬೆಂಬಲಿಸುತ್ತವೆ.
obey	ಪಾಲಿಸು	ಚಾಲಕರು ಚಿಹ್ನೆಗಳನ್ನು ಪಾಲಿಸಬೇಕು.
objective	ಉದ್ದೇಶ	ತ್ಯಾಜ್ಯವನ್ನು ಕಡಿಮೆ ಮಾಡುವುದು ನಮ್ಮ ಉದ್ದೇಶವಾಗಿದೆ.
obligation	ಜವಾಬ್ದಾರಿ	ಮಕ್ಕಳನ್ನು ರಕ್ಷಿಸುವ ಜವಾಬ್ದಾರಿ ಪೋಷಕರಿಗೆ ಇದೆ.
observation	ವೀಕ್ಷಣೆ	ಅವನ ವೀಕ್ಷಣೆಯು ಚರ್ಚೆಯನ್ನು ಬದಲಾಯಿಸಿತು.
observe	ಗಮನಿಸು	ವಿಜ್ಞಾನಿಗಳು ಪ್ರತಿ ವಸಂತಕಾಲದಲ್ಲಿ ಪಕ್ಷಿಗಳನ್ನು ಗಮನಿಸುತ್ತಾರೆ.
