source_headword	RU	example_RU
strengthen	укреплять	Новая политика укрепит безопасность в интернете.
strictly	строго	Количество билетов строго ограничено до двух на человека.
striking	поразительный	На картине поразительные цвета.
stroke	мазок	Она сделала один мазок по бумаге.
stunning	потрясающий	Вид на горы был потрясающим.
subsequent	последующий	Последующее собрание подтвердило бюджет.
subsequently	впоследствии	Дорогу закрыли; впоследствии движение замедлилось.
suburb	пригород	Они живут в тихом пригороде.
suffering	страдание	Лекарство уменьшило его страдания.
sufficient	достаточный	У команды достаточно времени.
sufficiently	достаточно	В комнате достаточно тепло.
super	супер	Новый планшет супер быстрый.
surgeon	хирург	Хирург вылечил поврежденное колено.
survival	выживание	Чистая вода необходима для выживания.
survivor	выживший	Выживший описал наводнение.
suspend	отложить	Школа может отложить поездку.
sustainable	устойчивый	На ферме используются экологичные методы.
swallow	проглотить	Проглотите таблетку, запив водой.
sympathetic	сочувствующий	Менеджер с сочувствием отнесся к ее проблеме.
tackle	решать	Нам нужно решить жилищную проблему.
tag	бирка	На сумке была бирка с ценой.
tap	кран	Она закрыла кран.
technological	технологический	Технологические изменения затрагивают каждое рабочее место.
teens	подростки	Многие подростки ежедневно пользуются социальными сетями.
temple	храм	Храм стоял у реки.
temporarily	временно	Офис вреременно закрыт.
tendency	склонность	У него есть склонность опаздывать.
tension	напряжение	Во время обсуждения возросло напряжение.
terms	условия	Условия контракта были ясны.
terribly	ужасно	Ребенок был ужасно расстроен.
terrify	пугать	Громкие звуки пугают собаку.
territory	территория	На карте показана новая территория.
terror	ужас	После нападения распространился ужас.
terrorism	терроризм	Терроризм угрожает общественной безопасности.
terrorist	террорист	Вчера полиция арестовала террориста.
testing	тестирование	Тестирование продукта начнется в понедельник.
textbook	учебник	Она забыла свой учебник по биологии.
theft	кража	В этом районе участились кражи.
therapist	психотерапевт	Психотерапевт помог ему справиться с тревогой.
thesis	диссертация	В ее диссертации рассматривается онлайн-обучение.
thorough	тщательный	Тщательная проверка не выявила ошибок.
thoroughly	тщательно	Тщательно промойте рану.
thumb	большой палец	Он поднял большой палец в знак одобрения.
timing	время	Время для звонка было идеальным.
tissue	салфетка	Она протерла стакан салфеткой.
ton	тонна	Грузовик вез одну тонну песка.
tonne	тонна	Груз весил одну тонну.
tournament	турнир	Теннисный турнир начинается завтра.
trace	отследить	Ученые могут отследить источник вируса.
trading	торговля	Торговля акциями остановилась в полдень.
tragedy	трагедия	Авария стала ужасной трагедией.
tragic	трагический	Авария имела трагические последствия.
trait	черта	Терпение - полезная черта.
transmit	передавать	Комары могут передавать болезни.
transportation	транспорт	Сегодня в общественном транспорте много людей.
trap	ловить	Коробка может безопасно ловить насекомых.
treasure	сокровище	В старом сундуке хранились сокровища.
tribe	племя	Племя защищало свои традиции.
trigger	спровоцировать	Дым может вызвать срабатывание сигнализации.
trillion	триллион	Долг достиг одного триллиона долларов.
troop	отряд	Отряд двинулся к границе.
tsunami	цунами	Цунами разрушило прибрежные дома.
ultimate	конечный	Конечная цель - это мир.
unacceptable	неприемлемый	Задержка была неприемлемой для пассажиров.
uncertainty	неопределенность	Неопределенность заставила инвесторов нервничать.
undergo	перенести	Завтра пациент перенесет операцию.
undertake	провести	Команда проведет опрос.
unfold	разворачиваться	Драма начала медленно разворачиваться.
unfortunate	досадный	Ошибка была досадной, но поправимой.
unite	объединить	Лидеры пытались объединить партию.
unity	единство	Речь призывала к национальному единству.
universal	универсальный	Приложение использует универсальный дизайн.
urgent	срочный	В больницу поступил срочный звонок.
usage	использование	В руководстве объясняется правильное использование.
useless	бесполезный	Сломанное зарядное устройство бесполезно.
valid	действительный	Ваш паспорт все еще действителен.
variation	вариация	Существует большой разброс в ценах.
vertical	вертикальный	На графике есть вертикальная ось.
viewpoint	точка зрения	Ее точка зрения изменилась после дебатов.
visa	виза	Он подал заявление на получение студенческой визы.
visible	видимый	Знак виден отсюда.
voluntary	добровольный	Курс включает добровольные семинары.
voting	голосование	Досрочное голосование начнется на следующей неделе.
wander	бродить	Туристы бродят по старому рынку.
warming	потепление	Глобальное потепление влияет на уровень моря.
weekly	еженедельный	Команда проводит еженедельные собрания.
weird	странный	Шум казался странным.
welfare	благополучие	Программа поддерживает благополучие детей.
wheat	пшеница	Фермер выращивает пшеницу.
whoever	кто бы ни	Тот, кто придет первым, должен подождать снаружи.
widespread	широко распространенный	Шторм нанес огромный ущерб.
wisdom	мудрость	Ее бабушка поделилась жизненной мудростью.
withdraw	отозвать	Он решил отозвать свое заявление.
workforce	рабочая сила	Рабочей силе нужны новые навыки.
workplace	рабочее место	На рабочем месте действуют четкие правила безопасности.
workshop	семинар	Семинар начинается в десять.
worm	червь	Червь полз по земле.
wrist	запястье	Она повредила запястье.
