simplified	ES	example_ES	ES-419	example_ES-419
爱	amar; gustar	Amo a mamá.	amar; gustar	Amo a mamá.
八	ocho	Tengo ocho libros.	ocho	Tengo ocho libros.
爸爸	papá; el padre	Papá está en casa.	papá; el padre	Papá está en casa.
杯子	la taza; el vaso	Esta taza es grande.	la taza; el vaso	Esta taza es grande.
北京	Pekín	Trabajo en Pekín.	Beijing	Trabajo en Beijing.
本	el clasificador para libros; el tomo	Tengo un libro.	el clasificador para libros; el tomo	Tengo un libro.
不	no	No como arroz.	no	No como arroz.
不客气	de nada	Gracias. De nada.	de nada	Gracias. De nada.
菜	el plato; la verdura; la cocina	Este plato está muy rico.	el plato; la verdura; la cocina	Este plato está muy rico.
茶	el té	Bebo té.	el té	Bebo té.
吃	comer	Como una manzana.	comer	Como una manzana.
出租车	el taxi	Voy a la escuela en taxi.	el taxi	Voy a la escuela en taxi.
打电话	llamar por teléfono	Llamo por teléfono.	llamar por teléfono	Llamo por teléfono.
大	grande	Esta escuela es grande.	grande	Esta escuela es grande.
的	de; la partícula posesiva	Este es mi libro.	de; la partícula posesiva	Este es mi libro.
点	la hora; el punto; un poco	Ahora son las ocho.	la hora; el punto; un poco	Ahora son las ocho.
电脑	el ordenador	Mi ordenador está en la mesa.	la computadora	Mi computadora está en la mesa.
电视	la televisión; el televisor	Veo la televisión.	la televisión; el televisor	Veo televisión.
电影	la película; el cine	Me gustan las películas.	la película; el cine	Me gustan las películas.
东西	la cosa; el objeto	¿Qué es esta cosa?	la cosa; el objeto	¿Qué es esta cosa?
都	todos; ambos	Todos somos estudiantes.	todos; ambos	Todos somos estudiantes.
读	leer; estudiar	Leo un libro.	leer; estudiar	Leo un libro.
对不起	lo siento; perdón	Lo siento, no te conozco.	lo siento; perdón	Lo siento, no te conozco.
多	mucho; muchos	Tengo muchos amigos.	mucho; muchos	Tengo muchos amigos.
多少	cuánto; cuántos	¿Cuánto cuesta esta taza?	cuánto; cuántos	¿Cuánto cuesta esta taza?
儿子	el hijo	Mi hijo es estudiante.	el hijo	Mi hijo es estudiante.
二	dos	Febrero es frío.	dos	Febrero es frío.
饭馆	el restaurante	El restaurante está delante de la escuela.	el restaurante	El restaurante está delante de la escuela.
飞机	el avión	Voy a Pekín en avión.	el avión	Voy a Beijing en avión.
分钟	el minuto	Estudio cinco minutos.	el minuto	Estudio cinco minutos.
高兴	contento; feliz	Hoy estoy muy contento.	contento; feliz	Hoy estoy muy contento.
个	el clasificador general	Tengo un amigo.	el clasificador general	Tengo un amigo.
工作	trabajar; el trabajo	Trabajo en Pekín.	trabajar; el trabajo	Trabajo en Beijing.
狗	el perro	Me gustan los perros.	el perro	Me gustan los perros.
汉语	el chino; el idioma chino	Estudio chino.	el chino; el idioma chino	Estudio chino.
好	bueno; bien	Hoy hace buen tiempo.	bueno; bien	Hoy hace buen tiempo.
喝	beber	Bebo agua.	beber	Bebo agua.
和	y; con	Voy a la escuela con un amigo.	y; con	Voy a la escuela con un amigo.
很	muy	Ella es muy bonita.	muy	Ella es muy bonita.
后面	detrás; atrás	La escuela está detrás del restaurante.	detrás; atrás	La escuela está detrás del restaurante.
回	volver; regresar	Vuelvo a casa.	volver; regresar	Vuelvo a casa.
会	saber; poder	Sé hablar chino.	saber; poder	Sé hablar chino.
火车站	la estación de tren	La estación de tren es grande.	la estación de tren	La estación de tren es grande.
几	cuántos; varios	¿Cuántos amigos tienes?	cuántos; varios	¿Cuántos amigos tienes?
