source_headword	HU	example_HU
rock (music)	rockzene	Szeretem a rockzenét.
role	szerep	A szerepe fontos.
roof	tető	A tetőt javítani kell.
round	kerek	Az asztal kerek.
route	útvonal	Ez az útvonal rövidebb.
rubbish	szemét	Vidd ki a szemetet.
rude	udvariatlan	Az a megjegyzés udvariatlan volt.
runner	futó	A futó fáradtnak tűnik.
running	futás	A futás egészségesen tart.
sadly	sajnos	Sajnos lekéstük a vonatot.
safe	biztonságos	Ez az utca biztonságosnak tűnik.
sail	vitorlázni	Szombaton vitorlázni fogunk.
sailing	vitorlázás	Itt népszerű a vitorlázás.
salary	fizetés	A fizetése most magasabb.
sale	leárazás	A leárazás holnap kezdődik.
sauce	szósz	Adj szószt a rizshez.
save	menteni	Mentsd el most a munkád.
scared	ijedt	A gyerek ijedt.
scary	ijesztő	Ez a történet ijesztő.
scene	jelenet	Az utolsó jelenet vicces volt.
schedule	beosztás; menetrend	Ellenőrizd ma a menetrendet.
score	eredmény	Mennyi az eredmény?
screen	képernyő	Óvatosan tisztítsd meg a képernyőt.
search	keresni	Keress képeket az interneten.
season	évszak	A nyár mozgalmas évszak.
seat	ülés	Foglald el ezt az ülést, kérlek.
second1 (next after the first)	második	Másodszor, moss kezet.
secondly	másodszor	Másodszor, ellenőrizd a választ.
secret	titok	Tartsd biztonságban ezt a titkot.
secretary	titkár	A titkár ma telefonált.
seem	tűnik	Fáradtnak tűnsz.
sense	értelem	Ennek a tervnek van értelme.
separate	külön	Tartsd külön a papírokat.
series	sorozat	Ez a sorozat népszerű.
serious	komoly	Ez a probléma komoly.
serve	felszolgálni	Délben ebédet szolgálnak fel.
service	szolgáltatás	A szolgáltatás gyors volt.
several	több	Több diák korán érkezett.
shake	rázni	Először rázd fel az üveget.
shall modal	kellene	Kezdjük el most?
shape	forma	Rajzolj négyzet alakú formát.
sheet	lepedő	Tedd a lepedőt az ágyra.
ship	hajó	A hajó ma elindult.
shoulder	váll	Fáj a vállam.
shout	kiabálni	Ne kiabálj az osztályban.
shut	bezárni	Csukd be az ablakot, kérlek.
side	oldal	Ülj erre az oldalra.
sign	tábla	Olvasd el figyelmesen a táblát.
silver	ezüst	Az ezüst világos fém.
simple	egyszerű	Ez a feladat egyszerű.
since	óta	Dél óta várok.
singing	éneklés	Az éneklés segít pihenni.
single	egyetlen	Vettem egy jegyet.
sir	uram	Uram, a táskája kész.
site	webhely	Ez a webhely biztonságos.
size	méret	Milyen méretre van szükséged?
ski	síelni	Télen síelünk.
skiing	síelés	Télen jó móka a síelés.
skin	bőr	Száraz a bőre.
sky	ég	Az ég tiszta.
slowly	lassan	Menj lassan a jégen.
smartphone	okostelefon	Az okostelefonom új.
smell	illat	A leves jó illatú.
smile	mosoly	Mosolyogj a kamerába.
smoke	füst	Füst töltötte be a szobát.
smoking	dohányzás	A dohányzás tilos.
soap	szappan	Használj szappant és vizet.
soccer	foci	Itt népszerű a foci.
social	társas	Ez társas esemény.
society	társadalom	A társadalom idővel változik.
sock	zokni	Hiányzik egy zokni.
soft	puha	Ez a takaró puha.
soldier	katona	A katona hazatért.
solution	megoldás	Találtunk megoldást.
solve	megoldani	Oldd meg ezt a rejtvényt.
somewhere	valahol	Tedd valahova biztonságos helyre.
sort	fajta	Milyen fajtát szeretnél?
source	forrás	Először ellenőrizd a forrást.
speaker	beszélő; hangszóró	A beszélő hangos volt.
specific	konkrét	Konkrét válaszra van szükségem.
speech	beszéd	A beszéde rövid volt.
speed	sebesség	Itt csökkentsd a sebességet.
spider	pók	Pók van a falon.
spoon	kanál	Használj kanalat a leveshez.
square	négyzet alakú	Rajzolj négyzet alakú dobozt.
stage	színpad	A zenekar a színpadon van.
stair	lépcsőfok	A lépcsőfok eltört.
stamp	bélyeg	Tegyél bélyeget a levélre.
state	kijelenteni	Mondd ki világosan a neved.
steal	lopni	Ne lopj pénzt.
step	lépés	Tegyél egy lépést előre.
stomach	gyomor	Fáj a gyomrom.
stone	kő	A kő nehéz.
store	bolt	A bolt korán zár.
storm	vihar	Vihar közeledik.
straight	egyenesen	Menj egyenesen haza.
strange	furcsa	Az a hang furcsa.
strategy	stratégia	Stratégiára van szükségünk.
stress	stressz	A munka stresszt okozhat.
structure	szerkezet	Ez a szerkezet erős.
stupid	buta	Ez buta hiba volt.
succeed	sikerül	Itt sikerülhet neked.
successful	sikeres	Sikeres lett.
such	ilyen	Az ilyen segítség hasznos.
suddenly	hirtelen	Hirtelen a kutya elszaladt.
suggest	javasolni	Rövid szünetet javaslok.
suggestion	javaslat	A javaslatod hasznos.
suit	öltöny	Ez az öltöny drága.
support	támogatni	Támogatjuk a csapatunkat.
suppose	feltételezni	Feltételezem, hogy igazad van.
surprise	meglepetés	A meglepetés örömet okozott neki.
surprised	meglepett	Ma meglepett volt.
surprising	meglepő	Az eredmény meglepő volt.
survey	felmérés	Kérlek, töltsd ki a felmérést.
sweet	édes	Ez a tea édes.
symbol	szimbólum	Ez a szimbólum veszélyt jelent.
system	rendszer	A rendszer jól működik.
tablet	táblagép	A táblagépem az asztalon van.
target	cél	Óvatosan találd el a célt.
task	feladat	Ez a feladat könnyű.
taste	íz	Először kóstold meg a levest.
teaching	tanítás	A tanítás nehéz munka.
technology	technológia	A technológia gyorsan változik.
teenage	tizenéves	A tizenéves testvérem szorgalmasan tanul.
temperature	hőmérséklet	A hőmérséklet alacsony.
term	félév	Ez a félév hamarosan véget ér.
themselves	maguk	Maguk főzték a vacsorát.
thick	vastag	Ez a könyv vastag.
thief	tolvaj	A tolvaj elfutott.
thin	vékony	A papír vékony.
thinking	gondolkodás	A gondolkodás időt igényel.
thought	gondolat	Furcsa gondolatom támadt.
throw	dobni	Dobd finoman a labdát.
tidy	rendezett	Tartsd rendben a szobádat.
tie	megkötni	Kösd be most a cipődet.
tip	tipp; borravaló	Hagyj borravalót a szolgáltatásért.
tool	eszköz	Használd a megfelelő eszközt.
top	tető; felső rész	A felső polc tele van.
touch	megérinteni	Ne érintsd meg az üveget.
tour	túra	Városnéző túrára mentünk.
tourism	turizmus	A turizmus segíti ezt a várost.
towards	felé	Menj az állomás felé.
towel	törölköző	Vegyél egy tiszta törölközőt.
tower	torony	A torony nagyon régi.
toy	játék	A játékautó piros.
track	sín; nyom	A sín észak felé vezet.
tradition	hagyomány	Ez a hagyomány régi.
traditional	hagyományos	Hagyományos ruhát viselt.
trainer	edző	Az edzőm segítőkész.
training	edzés	Az edzés holnap kezdődik.
transport	közlekedés	A tömegközlekedés késik.
traveller	utazó	Az utazó segítséget kért.
trouble	baj	Tegnap bajunk volt.
truck	teherautó	A teherautó kint van.
twin	iker	Az ikertestvérem magasabb.
typical	tipikus	Ez egy tipikus nap.
underground	földalatti	A vonat a föld alatt megy.
understanding	megértés	A megértésed helyes.
unfortunately	sajnos	Sajnos a bolt zárva van.
unhappy	boldogtalan	Boldogtalannak tűnik.
uniform	egyenruha	Iskolai egyenruhát visel.
unit	egység	Ez az egység kicsi.
united	egységes	A csapat egységes maradt.
unusual	szokatlan	Az a hang szokatlan.
used to modal	régen	Régen itt laktunk.
user	felhasználó	Minden felhasználónak van száma.
usual	szokásos	A szokásos helyemre ültem.
valley	völgy	A völgy zöld.
van	kisteherautó	A kisteherautó tele van.
variety	változatosság	Több változatosságra van szükségünk.
vehicle	jármű	Ez a jármű lassú.
view	kilátás	A kilátás gyönyörű.
virus	vírus	A vírus betegséget okozott neki.
voice	hang	A hangja halk.
war	háború	A háború évekkel ezelőtt véget ért.
washing	mosás	A mosás kint szárad.
wave	hullám	A hullám elérte a hajót.
weak	gyenge	Gyengék a lábaim.
web	web	A weboldal nyitva van.
wedding	esküvő	Az esküvő hamarosan kezdődik.
weight	súly	Először ellenőrizd a súlyt.
wet	nedves	Nedves a cipőm.
wheel	kerék	A kerék eltört.
while	egy ideig	Várj itt egy ideig.
whole	egész	Megettem az egész almát.
whose	kié	Kié ez a telefon?
wide	széles	Az út széles.
wild	vad	Vad állatok élnek itt.
wind1	szél	Erős a szél.
winner	győztes	A győztes mosolygott.
wish	kívánság	Kívánj valamit.
wood	fa	A szék fából van.
wooden	fából készült	A fából készült doboz nehéz.
working	munka-	A munkanap véget ért.
worried	aggódó	Ma aggódom.
worry	aggódni	Ne aggódj most.
worse	rosszabb	Ez a fájdalom rosszabb.
worst	legrosszabb	Ez volt a legrosszabb nap.
wow	hűha	Hűha, ez csodálatos!
yet	még; már	Már ott vagyunk?
yours	tiéd	Ez a könyv a tiéd.
zero	nulla	Számolj vissza nulláig.
