source_headword	MY	example_MY
rock (music)	ရော့ခ်ဂီတ	ကျွန်တော် ရော့ခ်ဂီတကို ကြိုက်တယ်။
role	အခန်းကဏ္ဍ	သူမရဲ့ အခန်းကဏ္ဍက အရေးကြီးတယ်။
roof	ခေါင်မိုး	ခေါင်မိုးကို ပြင်ဖို့ လိုတယ်။
round	ဝိုင်းသော	စားပွဲက ဝိုင်းတယ်။
route	လမ်းကြောင်း	ဒီလမ်းကြောင်းက ပိုတိုတယ်။
rubbish	အမှိုက်	အမှိုက်ကို အပြင်မှာ ထားပါ။
rude	ရိုင်းသော	အဲဒီမှတ်ချက်က ရိုင်းတယ်။
runner	အပြေးသမား	အပြေးသမားက ပင်ပန်းနေပုံရတယ်။
running	ပြေးခြင်း	ပြေးခြင်းက ကျွန်တော့်ကို ကျန်းမာစေတယ်။
sadly	ဝမ်းနည်းစွာ	ဝမ်းနည်းစွာပဲ ရထားကို မမီခဲ့ဘူး။
safe	လုံခြုံသော	ဒီလမ်းက လုံခြုံတယ်လို့ ခံစားရတယ်။
sail	ရွက်လွှင့်သည်	ကျွန်တော်တို့ စနေနေ့မှာ ရွက်လွှင့်မယ်။
sailing	ရွက်လွှင့်ခြင်း	ဒီမှာ ရွက်လွှင့်ခြင်းက လူကြိုက်များတယ်။
salary	လစာ	သူ့လစာက အခု ပိုမြင့်တယ်။
sale	လျှော့ဈေးရောင်းပွဲ	လျှော့ဈေးရောင်းပွဲက မနက်ဖြန် စမယ်။
sauce	ဆော့စ်	ထမင်းထဲကို ဆော့စ် ထည့်ပါ။
save	သိမ်းဆည်းသည်	မင်းရဲ့ အလုပ်ကို အခု သိမ်းဆည်းပါ။
scared	ကြောက်သော	ကလေးက ကြောက်နေတယ်။
scary	ကြောက်စရာကောင်းသော	ဒီပုံပြင်က ကြောက်စရာကောင်းတယ်။
scene	မြင်ကွင်း	နောက်ဆုံး မြင်ကွင်းက ရယ်စရာကောင်းတယ်။
schedule	အချိန်ဇယား	ဒီနေ့ အချိန်ဇယားကို စစ်ပါ။
score	ရမှတ်	ရမှတ်က ဘယ်လောက်လဲ။
screen	မျက်နှာပြင်	မျက်နှာပြင်ကို သေချာ သန့်ရှင်းပါ။
search	ရှာဖွေသည်	ဓာတ်ပုံတွေကို ဝဘ်မှာ ရှာဖွေပါ။
season	ရာသီ	နွေရာသီက အလုပ်များတဲ့ ရာသီပါ။
seat	ထိုင်ခုံ	ကျေးဇူးပြု၍ ဒီထိုင်ခုံကို ယူပါ။
second1 (next after the first)	ဒုတိယ	ဒုတိယအနေနဲ့ လက်တွေကို ဆေးပါ။
secondly	ဒုတိယအနေဖြင့်	ဒုတိယအနေဖြင့် မင်းရဲ့ အဖြေကို စစ်ပါ။
secret	လျှို့ဝှက်ချက်	ဒီလျှို့ဝှက်ချက်ကို လုံခြုံအောင် ထိန်းပါ။
secretary	အတွင်းရေးမှူး	အတွင်းရေးမှူးက ဒီနေ့ ဖုန်းဆက်တယ်။
seem	ပုံရသည်	မင်း ပင်ပန်းနေပုံရတယ်။
sense	အဓိပ္ပါယ်	ဒီအစီအစဉ်က အဓိပ္ပါယ်ရှိတယ်။
separate	သီးခြားသော	စာရွက်တွေကို သီးခြား ထားပါ။
series	စီးရီး	ဒီစီးရီးက လူကြိုက်များတယ်။
serious	လေးနက်သော	ဒီပြဿနာက လေးနက်တယ်။
serve	တည်ခင်းသည်	သူတို့က နေ့လယ်မှာ အစားအစာ တည်ခင်းတယ်။
service	ဝန်ဆောင်မှု	ဝန်ဆောင်မှုက မြန်တယ်။
several	အချို့သော	ကျောင်းသားအချို့ စောစော ရောက်လာတယ်။
shake	လှုပ်သည်	ပုလင်းကို အရင် လှုပ်ပါ။
shall modal	ကြမလား	ကျွန်တော်တို့ အခု စမလား။
shape	ပုံသဏ္ဍာန်	လေးထောင့်ပုံကိုဆွဲပါ။
sheet	အိပ်ရာခင်း	အိပ်ရာခင်းကို ကုတင်ပေါ်မှာ တင်ပါ။
ship	သင်္ဘော	သင်္ဘောက ဒီနေ့ ထွက်သွားတယ်။
shoulder	ပခုံး	ကျွန်တော့် ပခုံး နာတယ်။
shout	အော်သည်	အတန်းထဲမှာ မအော်ပါနဲ့။
shut	ပိတ်သည်	ကျေးဇူးပြု၍ ပြတင်းပေါက်ကို ပိတ်ပါ။
side	ဘက်	ဒီဘက်မှာ ထိုင်ပါ။
sign	ဆိုင်းဘုတ်	ဆိုင်းဘုတ်ကို သေချာ ဖတ်ပါ။
silver	ငွေရောင်; ငွေ	ငွေက တောက်ပတဲ့ သတ္တုပါ။
simple	ရိုးရှင်းသော	ဒီလေ့ကျင့်ခန်းက ရိုးရှင်းတယ်။
since	ကတည်းက	ကျွန်တော် နေ့လယ်ကတည်းက စောင့်နေတယ်။
singing	သီချင်းဆိုခြင်း	သီချင်းဆိုခြင်းက ကျွန်တော့်ကို အနားယူစေတယ်။
single	တစ်ခုတည်းသော	ကျွန်တော် တစ်ဦးစာ လက်မှတ်တစ်စောင် ဝယ်ခဲ့တယ်။
