source_headword	HY	example_HY
absolutely	լիովին	Ես լիովին համաձայն եմ քեզ հետ։
academic	ակադեմիական	Ակադեմիական տարին սկսվում է սեպտեմբերին։
access	մուտք	Ուսանողներին գրադարան մուտք է պետք։
accommodation	կացարան	Մենք կայարանի մոտ կացարան պատվիրեցինք։
account	բանկային հաշիվ	Նա նոր բանկային հաշիվ բացեց։
achievement	ձեռքբերում	Դասընթացն ավարտելը մեծ ձեռքբերում էր։
ad	գովազդ	Գովազդը նոր հեռախոս էր ցույց տալիս։
addition	ավելացում	Նոր սենյակը օգտակար ավելացում էր։
admire	հիանալ	Ես հիանում եմ նրա հանգիստ վերաբերմունքով։
admit	խոստովանել	Նա խոստովանեց իր սխալը։
advanced	առաջադեմ	Սա անգլերենի առաջադեմ դաս է։
advise	խորհուրդ տալ	Բժիշկները խորհուրդ են տալիս կանոնավոր մարզվել։
afford	իրեն թույլ տալ	Մենք տաքսի չենք կարող մեզ թույլ տալ։
aged	տարիքով	Դասընթացը տասը տարեկան երեխաների համար է։
agent	գործակալ	Ճամփորդական գործակալը փոխեց մեր տոմսերը։
agreement	համաձայնություն	Նրանք այսօր համաձայնության եկան։
ahead	առջևում	Առջևում ճանապարհը պարզ է։
aim	նպատակ ունենալ	Մենք նպատակ ունենք շուտ ավարտել։
alarm	զարթուցիչ	Զարթուցիչը հնչեց վեցին։
album	ալբոմ	Այս ալբոմում տաս երգ կա։
alcohol	ալկոհոլ	Հյուրանոցը ալկոհոլ չի վաճառում։
alcoholic	ալկոհոլային	Այս խմիչքը ալկոհոլային չէ։
amazed	զարմացած	Նա արդյունքից շատ զարմացած էր։
ambition	ձգտում	Նրա ձգտումն է օդաչու դառնալ։
ambitious	հավակնոտ	Նա հավակնոտ ծրագիր ունի։
analyse	վերլուծել	Մենք պետք է արդյունքները վերլուծենք։
analysis	վերլուծություն	Նրա վերլուծությունը հստակ էր։
announce	հայտարարել	Նրանք հաղթողին վաղը կհայտարարեն։
announcement	հայտարարություն	Հայտարարությունը բոլորին զարմացրեց։
