source_headword	TA	example_TA
prey	இரை	ஆந்தைகள் இரவில் இரையை வேட்டையாடுகின்றன.
privatization	தனியார்மயம்	தனியார்மயம் ரயில்வே அமைப்பை மாற்றியது.
privilege	சலுகை	கல்வி ஒரு சலுகையாக இருக்கக்கூடாது.
probe	ஆய்வு	ஆய்வு தீவிரமான பிழைகளை வெளிப்படுத்தியது.
problematic	சிக்கலான	ஒப்பந்தம் இன்னும் சிக்கலாகவே உள்ளது.
proceedings	நடைமுறைகள்	நீதிமன்ற நடவடிக்கைகள் திங்களன்று தொடங்கின.
proceeds	வருமானம்	வருமானம் உள்ளூர் பள்ளிகளுக்கு ஆதரவளிக்கும்.
processing	செயலாக்கம்	பட செயலாக்கத்திற்கு நேரம் எடுக்கும்.
processor	செயலி	சோதனையின் போது செயலி தோல்வியடைந்தது.
proclaim	அறிவி	தலைவர்கள் வெற்றியைக் காலதாமதத்திற்கு முன்பே அறிவிக்கிறார்கள்.
productive	உற்பத்தித்திறன் மிக்க	கூட்டம் பயனுள்ளதாக இருந்தது.
productivity	உற்பத்தித்திறன்	பயிற்சிக்கு பிறகு உற்பத்தித்திறன் மேம்பட்டது.
profitable	லாபகரமான	இந்த ஆண்டு கடை லாபகரமானதாக மாறியது.
profound	ஆழமான	பேச்சு ஆழமான தாக்கத்தை ஏற்படுத்தியது.
projection	திட்டவட்டம்	திட்டவட்டம் நிலையான வளர்ச்சியைக் காட்டுகிறது.
prominent	முக்கியமான	அவர் ஒரு முக்கியமான விஞ்ஞானியாக மாறினார்.
pronounced	தெளிவான	அவரது உச்சரிப்பு மிகவும் தெளிவாக மாறியது.
propaganda	பிரச்சாரம்	இந்த பிரச்சாரம் இணையத்தில் பிரச்சாரத்தைப் பயன்படுத்தியது.
proposition	முன்மொழிவு	இந்த திட்டம் ஒரு ஆபத்தான முன்மொழிவாகும்.
prosecute	வழக்குத் தொடர்	அதிகாரிகள் தீவிர மோசடி வழக்குகளைத் தொடருகின்றனர்.
prosecution	வழக்குத் தொடுத்தல்	வழக்குத் தரப்பு புதிய ஆதாரங்களை முன்வைத்தது.
prosecutor	வழக்குரைஞர்	வழக்குரைஞர் சாட்சியை விசாரித்தார்.
prospective	எதிர்கால	எதிர்கால மாணவர்கள் வளாகத்தை சுற்றிப் பார்த்தனர்.
prosperity	செழிப்பு	வர்த்தகம் இப்பகுதிக்கு செழிப்பைக் கொண்டு வந்தது.
protective	பாதுகாப்பு	அவர் பாதுகாப்பு கையுறைகளை அணிந்திருந்தார்.
protocol	நெறிமுறை	நெறிமுறைக்கு எழுத்துப்பூர்வ ஒப்புதல் தேவை.
province	மாகாணம்	மாகாணம் போக்குவரத்தில் முதலீடு செய்தது.
provincial	மாகாண	மாகாண அதிகாரிகள் திட்டத்தை அறிவித்தனர்.
provision	ஏற்பாடு	ஒப்பந்தத்தில் ஒரு பாதுகாப்பு ஏற்பாடு உள்ளது.
provoke	தூண்டு	பேச்சு வலுவான எதிர்வினைகளைத் தூண்டலாம்.
psychiatric	மனநல	மருத்துவமனை ஒரு மனநலப் பிரிவைத் திறந்தது.
pulse	நாடி	செவிலியர் அவரது நாடியை பரிசோதித்தார்.
pump	பம்பு	பம்பு தண்ணீரை மேலே தள்ளுகிறது.
punch	குத்து	அவர் கோபத்தில் குத்தினார்.
query	வினவல்	உங்கள் வினவலை ஆதரவு குழுவிற்கு அனுப்பவும்.
quest	தேடல்	நீதிக்கான அவர்களின் தேடல் தொடர்ந்தது.
quota	ஒதுக்கீடு	குழு தனது விற்பனை ஒதுக்கீட்டை அடைந்தது.
radar	ரேடார்	புயல் ரேடாரில் தோன்றியது.
radical	தீவிர	இந்தக் குழு தீவிர சீர்திருத்தங்களை முன்மொழிந்தது.
rage	கோபம்	அவரது கோபம் விரைவில் மறைந்தது.
raid	சோதனை	காவல்துறையினர் அதிகாலையில் சோதனை நடத்தினர்.
rally	பேரணி	ஆதரவாளர்கள் நகரத்தில் நடந்த பேரணியில் இணைந்தனர்.
ranking	தரவரிசை	பல்கலைக்கழகம் தனது தரவரிசையை மேம்படுத்தியது.
rape	கற்பழிப்பு	கற்பழிப்பு வழக்குகளுக்கு கவனமாக விசாரணை தேவை.
ratio	விகிதம்	வகுப்பில் குறைந்த ஆசிரியர் விகிதம் உள்ளது.
rational	பகுத்தறிவுள்ள	அவரது முடிவு பகுத்தறிவுடையதாக இருந்தது.
ray	கதிர்	சூரிய ஒளியின் கதிர் உள்ளே நுழைந்தது.
readily	எளிதாக	அவர் அந்த சலுகையை எளிதாக ஏற்றுக்கொண்டார்.
realization	உணர்தல்	அந்த உணர்தல் அவளுடைய திட்டங்களை மாற்றியது.
realm	களம்	இந்த கேள்வி வேறொரு களத்தைச் சேர்ந்தது.
rear	பின்புறம்	இன்று பின்புற நுழைவாயிலைப் பயன்படுத்தவும்.
reasoning	பகுத்தறிவு	அவரது பகுத்தறிவு தெளிவாக இருந்தது.
reassure	உறுதியளி	மருத்துவர் அவளுக்கு உறுதியளிக்க முயன்றார்.
rebel	கலகக்காரர்	கலகக்காரத் தலைவர் பிடிபடுவதில் இருந்து தப்பினார்.
rebellion	கலகம்	பேச்சுவார்த்தைகளுக்குப் பிறகு கலகம் முடிந்தது.
recipient	பெறுநர்	பெறுநர் படிவத்தில் கையெழுத்திட்டார்.
reconstruction	மறுசீரமைப்பு	வெள்ளத்திற்குப் பிறகு மறுசீரமைப்பு தொடங்கியது.
recount1	விவரி	அவளால் நிகழ்வுகளைத் தெளிவாக விவரிக்க முடியும்.
referendum	பொதுவாக்கெடுப்பு	பொதுவாக்கெடுப்பு நாட்டைப் பிரித்தது.
reflection	பிரதிபலிப்பு	கட்டுரைக்கு ஆழமான பிரதிபலிப்பு தேவைப்பட்டது.
