source_headword	DE	example_DE
prey	die Beute	Eulen jagen nachts Beute.
privatization	die Privatisierung	Die Privatisierung hat das Bahnsystem verändert.
privilege	das Privileg	Bildung sollte kein Privileg sein.
probe	die Untersuchung	Die Untersuchung deckte schwere Fehler auf.
problematic	problematisch	Das Abkommen bleibt problematisch.
proceedings	das Verfahren	Das Gerichtsverfahren begann am Montag.
proceeds	der Erlös	Der Erlös wird lokale Schulen unterstützen.
processing	die Verarbeitung	Die Bildverarbeitung nimmt Zeit in Anspruch.
processor	der Prozessor	Der Prozessor ist beim Testen ausgefallen.
proclaim	verkünden	Die Führer verkünden den Sieg zu früh.
productive	produktiv	Das Treffen war produktiv.
productivity	die Produktivität	Die Produktivität verbesserte sich nach dem Training.
profitable	profitabel	Das Geschäft wurde dieses Jahr profitabel.
profound	tiefgreifend	Die Rede hatte eine tiefgreifende Wirkung.
projection	die Prognose	Die Prognose zeigt ein stetiges Wachstum.
prominent	prominent	Sie wurde eine prominente Wissenschaftlerin.
pronounced	ausgeprägt	Sein Akzent wurde ausgeprägter.
propaganda	die Propaganda	Die Kampagne nutzte Online-Propaganda.
proposition	das Vorhaben	Der Vorschlag ist ein riskantes Vorhaben.
prosecute	strafrechtlich verfolgen	Beamte verfolgen schwere Betrugsfälle strafrechtlich.
prosecution	die Anklage	Die Anklage präsentierte neue Beweise.
prosecutor	der Staatsanwalt	Der Staatsanwalt befragte den Zeugen.
prospective	zukünftig	Zukünftige Studenten besichtigten den Campus.
prosperity	der Wohlstand	Der Handel brachte der Region Wohlstand.
protective	schützend	Sie trug schützende Handschuhe.
protocol	das Protokoll	Das Protokoll erfordert eine schriftliche Genehmigung.
province	die Provinz	Die Provinz investierte in den Verkehr.
provincial	provinziell	Provinzbeamte kündigten den Plan an.
provision	die Bestimmung	Der Vertrag enthält eine Sicherheitsbestimmung.
provoke	provozieren	Die Rede könnte starke Reaktionen provozieren.
psychiatric	psychiatrisch	Das Krankenhaus eröffnete eine psychiatrische Abteilung.
pulse	der Puls	Die Krankenschwester überprüfte seinen Puls.
