source_headword	MS	example_MS
stranger	orang asing	Orang asing bertanya arah jalan.
strength	kekuatan	Kekuatannya membantu pasukan itu.
string	tali	Ikat kotak itu dengan tali.
strongly	sangat	Saya sangat tidak bersetuju dengan idea itu.
studio	studio	Artis itu bekerja di sebuah studio kecil.
stuff	barang	Letakkan barang anda di atas rak.
substance	bahan	Polis menemui bahan yang pelik.
successfully	dengan berjaya	Mereka berjaya menyiapkan projek tersebut.
sudden	tiba-tiba	Bunyi bising yang tiba-tiba mengejutkan kami.
suffer	menderita	Banyak tumbuhan terjejas dalam cuaca kering.
suitable	sesuai	Jaket ini sesuai untuk ke sekolah.
summarize	meringkaskan	Bolehkah anda meringkaskan artikel itu?
summary	ringkasan	Tulis satu ringkasan pendek malam ini.
supply	bekalan	Pekan ini memerlukan bekalan air bersih.
supporter	penyokong	Setiap penyokong bersorak dengan kuat.
surely	pasti	Pasti kita boleh menyelesaikan masalah ini.
surface	permukaan	Permukaannya terasa sejuk dan licin.
survive	bertahan hidup	Haiwan-haiwan ini bertahan hidup pada musim sejuk.
switch	matikan	Matikan lampu dapur.
symptom	gejala	Batuk boleh menjadi satu gejala.
tail	ekor	Anjing itu mempunyai ekor yang panjang.
talent	bakat	Dia mempunyai bakat dalam muzik.
talented	berbakat	Dia adalah seorang pelakon muda yang berbakat.
tape	pita pelekat	Gunakan pita pelekat untuk menutup kotak.
tax	cukai	Semua orang mesti membayar cukai ini.
technical	teknikal	Kami mengalami masalah teknikal.
technique	teknik	Teknik ini menjimatkan masa.
tend	cenderung	Kanak-kanak cenderung untuk belajar dengan cepat.
tent	khemah	Kami tidur di dalam sebuah khemah kecil.
theirs	milik mereka	Basikal biru itu adalah milik mereka.
theme	tema	Parti itu mempunyai tema pantai.
theory	teori	Teorinya menjelaskan masalah tersebut.
therefore	oleh itu	Hujan turun, oleh itu kami tinggal di dalam.
though	walaupun	Walaupun penat, dia terus bekerja.
throat	tekak	Tekak saya sakit pagi ini.
throughout	sepanjang	Orang ramai menari sepanjang malam.
tight	ketat	Kasut ini terasa terlalu ketat.
till	sehingga	Tunggu di sini sehingga saya kembali.
tin	tin	Buka satu tin kacang.
tiny	sangat kecil	Seekor burung kecil hinggap berhampiran.
toe	jari kaki	Saya mencederakan jari kaki saya semalam.
tongue	lidah	Lidahnya melecur terkena teh.
total	jumlah	Jumlah kos adalah rendah.
totally	sepenuhnya	Saya sepenuhnya memahami kebimbangan anda.
trade	perdagangan	Perdagangan antarabangsa mencipta peluang pekerjaan.
translate	terjemah	Tolong terjemahkan ayat ini.
translation	terjemahan	Terjemahan itu kedengaran semula jadi.
treat	layan	Layan semua orang dengan rasa hormat.
treatment	rawatan	Pesakit itu memerlukan rawatan hari ini.
trend	trend	Trend ini berkembang di seluruh dunia.
trick	silap mata	Silap mata kad itu mengejutkan saya.
truth	kebenaran	Tolong beritahu kebenaran.
tube	tiub	Picit tiub itu dengan perlahan.
typically	biasanya	Pelajar biasanya tiba sebelum pukul sembilan.
tyre	tayar	Kereta itu memerlukan tayar baharu.
ugly	buruk	Warna dinding itu kelihatan buruk.
unable	tidak mampu	Dia tidak mampu untuk menjawab.
uncomfortable	tidak selesa	Kerusi ini tidak selesa.
underwear	pakaian dalam	Bungkus pakaian dalam yang bersih untuk perjalanan itu.
unemployed	tidak bekerja	Dia tidak bekerja selama dua bulan.
unemployment	pengangguran	Pengangguran meningkat semasa musim sejuk.
unfair	tidak adil	Keputusan itu nampak tidak adil.
union	kesatuan	Kesatuan itu meminta persekitaran kerja yang lebih selamat.
unless	kecuali jika	Jangan pergi kecuali jika saya telefon.
unlike	tidak seperti	Tidak seperti Tom, Ana suka musim sejuk.
unlikely	tidak mungkin	Salji tidak mungkin turun minggu ini.
unnecessary	tidak perlu	Beg tambahan adalah tidak perlu.
unpleasant	tidak menyenangkan	Bilik itu mempunyai bau yang tidak menyenangkan.
update	kemas kini	Saya perlu mengemas kini telefon saya.
upon	pada zaman	Pada zaman dahulu, terdapat seorang raja.
upset	kecewa	Dia berasa kecewa selepas panggilan itu.
used1	digunakan	Bilik ini digunakan untuk mesyuarat.
used2	terbiasa	Saya sudah terbiasa dengan bangun pagi.
valuable	berharga	Jam tangan ini berharga.
value	nilai	Rumah itu hilang nilai tahun lepas.
various	pelbagai	Kami mencuba pelbagai hidangan tempatan.
version	versi	Versi ini berfungsi dengan lebih baik.
victim	mangsa	Mangsa itu menelefon polis.
viewer	penonton	Seorang penonton bertanyakan soalan.
violent	ganas	Filem itu terlalu ganas.
volunteer	bekerja sukarela	Saya bekerja sukarela di perpustakaan.
vote	mengundi	Ingat untuk mengundi esok.
warn	memberi amaran	Saya cuba untuk memberi amaran kepadanya.
warning	amaran	Amaran itu muncul di skrin.
waste	membazir	Jangan membazir air bersih.
weapon	senjata	Pisau itu menjadi senjata.
weigh	timbang	Timbang tepung itu dengan teliti.
western	barat	Mereka menonton sebuah filem barat.
whatever	apa sahaja	Pilih apa sahaja yang anda suka.
whenever	bila-bila masa	Hubungi bila-bila masa anda perlukan bantuan.
