source_headword	ML	example_ML
absolutely	തികച്ചും	ഞാൻ നിങ്ങളോട് തികച്ചും സമ്മതിക്കുന്നു.
academic	വിദ്യാഭ്യാസപരമായ	വിദ്യാഭ്യാസ വർഷം സെപ്റ്റംബറിൽ ആരംഭിക്കുന്നു.
access	പ്രവേശനം	വിദ്യാർത്ഥികൾക്ക് ഗ്രന്ഥശാലയിലേക്കുള്ള പ്രവേശനം വേണം.
accommodation	താമസസൗകര്യം	ഞങ്ങൾ സ്റ്റേഷനടുത്ത് താമസസൗകര്യം ബുക്ക് ചെയ്തു.
account	ബാങ്ക് അക്കൗണ്ട്	അവൾ പുതിയ ബാങ്ക് അക്കൗണ്ട് തുറന്നു.
achievement	നേട്ടം	കോഴ്‌സ് പൂർത്തിയാക്കിയത് വലിയ നേട്ടമായിരുന്നു.
ad	പരസ്യം	പരസ്യം പുതിയ ഫോൺ കാണിച്ചു.
addition	കൂട്ടിച്ചേർക്കൽ	കുളം ഉപകാരപ്രദമായ കൂട്ടിച്ചേർക്കലാണ്.
admire	ആദരിക്കുക	അവളുടെ ശാന്തമായ സമീപനം ഞാൻ ആദരിക്കുന്നു.
admit	സമ്മതിക്കുക	അവൻ തന്റെ തെറ്റ് സമ്മതിച്ചു.
advanced	മുന്നേറ്റമുള്ള	ഇത് മുന്നേറ്റമുള്ള ഇംഗ്ലീഷ് ക്ലാസാണ്.
advise	ഉപദേശിക്കുക	ഡോക്ടർമാർ നിത്യ വ്യായാമം ഉപദേശിക്കുന്നു.
afford	ചെലവ് വഹിക്കാൻ കഴിയുക	ഞങ്ങൾക്ക് ടാക്സി ചെലവ് വഹിക്കാൻ കഴിയില്ല.
aged	പ്രായമുള്ള	കോഴ്‌സ് പത്ത് വയസ്സുള്ള കുട്ടികൾക്കാണ്.
agent	യാത്രാ ഏജന്റ്	യാത്രാ ഏജന്റ് ഞങ്ങളുടെ ടിക്കറ്റുകൾ മാറ്റി.
agreement	കരാർ	അവർ ഇന്ന് കരാറിലെത്തി.
ahead	മുന്നിൽ	മുന്നിലുള്ള വഴി വ്യക്തമാണ്.
aim	ലക്ഷ്യമിടുക	ഞങ്ങൾ വേഗം പൂർത്തിയാക്കാൻ ലക്ഷ്യമിടുന്നു.
alarm	അലാറം	അലാറം ആറുമണിക്ക് മുഴങ്ങി.
