source_headword	SL	example_SL
strengthen	okrepiti	Nova politika bo okrepila spletno varnost.
strictly	strogo	Vstopnice so strogo omejene na dve na osebo.
striking	osupljiv	Slika ima osupljive barve.
stroke	poteza	Čez papir je potegnila eno potezo.
stunning	osupljiv	Razgled na gore je bil osupljiv.
subsequent	poznejši	Poznejši sestanek je potrdil proračun.
subsequently	pozneje	Cesta je bila zaprta; pozneje se je promet odvijal počasi.
suburb	predmestje	Živijo v mirnem predmestju.
suffering	trpljenje	Zdravilo mu je olajšalo trpljenje.
sufficient	zadosten	Ekipa ima dovolj časa.
sufficiently	dovolj	Soba je dovolj topla.
super	super	Nova tablica je super hitra.
surgeon	kirurg	Kirurg je popravil poškodovano koleno.
survival	preživetje	Čista voda je bistvena za preživetje.
survivor	preživeli	Preživeli je opisal poplavo.
suspend	začasno prekiniti	Šola lahko začasno prekine izlet.
sustainable	trajnosten	Kmetija uporablja trajnostne metode.
swallow	pogoltniti	Pogoltnite tableto z vodo.
sympathetic	sočuten	Vodja je bil sočuten do njene težave.
tackle	spopasti se	Spopasti se moramo s stanovanjskim problemom.
tag	oznaka	Torba je imala oznako s ceno.
tap	pipa	Zaprl je pipo.
technological	tehnološki	Tehnološke spremembe vplivajo na vsako delovno mesto.
teens	najstniki	Mnogi najstniki vsakodnevno uporabljajo družbena omrežja.
temple	tempelj	Tempelj je stal blizu reke.
temporarily	začasno	Pisarna je začasno zaprta.
tendency	nagnjenost	Ima nagnjenost k zamujanju.
tension	napetost	Napetost je med razpravo naraščala.
terms	pogoji	Pogoji pogodbe so bili jasni.
terribly	strašno	Otrok je bil strašno razburjen.
terrify	prestrašiti	Glasni zvoki prestrašijo psa.
territory	ozemlje	Zemljevid prikazuje novo ozemlje.
terror	teror	Po napadu se je razširil teror.
terrorism	terorizem	Terorizem ogroža javno varnost.
terrorist	terorist	Policija je včeraj aretirala terorista.
testing	testiranje	Testiranje izdelkov se začne v ponedeljek.
textbook	učbenik	Pozabila je učbenik za biologijo.
theft	tatvina	Tatvine so se na tem območju povečale.
therapist	terapevt	Terapevt mu je pomagal pri obvladovanju tesnobe.
thesis	diplomska naloga	Njena diplomska naloga preučuje spletno učenje.
thorough	temeljit	Temeljit pregled ni pokazal nobenih napak.
thoroughly	temeljito	Temeljito očistite rano.
thumb	palec	Dvignil je palec v znak odobritve.
timing	časovna uskladitev	Časovna uskladitev klica je bila popolna.
tissue	robček	Kozarec je obrisala z robčkom.
ton	tona	Tovornjak je prevažal eno tono peska.
tonne	tona	Pošiljka je tehtala eno tono.
tournament	turnir	Teniški turnir se začne jutri.
trace	izslediti	Znanstveniki lahko izsledijo vir virusa.
trading	trgovanje	Trgovanje z delnicami se je ustavilo opoldne.
tragedy	tragedija	Nesreča je bila strašna tragedija.
tragic	tragičen	Trčenje je imelo tragične posledice.
trait	lastnost	Potrpežljivost je koristna lastnost.
transmit	prenašati	Komarji lahko prenašajo bolezni.
transportation	prevoz	Javni prevoz je danes nabito poln.
trap	ujeti	Škatla lahko varno ujame žuželke.
treasure	zaklad	Stara skrinja je skrivala zaklad.
tribe	pleme	Pleme je ščitilo svoje tradicije.
trigger	sprožiti	Dim lahko sproži alarm.
trillion	bilijon	Dolg je dosegel en bilijon dolarjev.
troop	četa	Četa se je premaknila proti meji.
tsunami	cunami	Cunami je uničil obalne domove.
ultimate	končen	Končni cilj je mir.
unacceptable	nesprejemljiv	Zamuda je bila za potnike nesprejemljiva.
uncertainty	negotovost	Zaradi negotovosti so bili vlagatelji živčni.
undergo	prestati	Pacient bo jutri prestal operacijo.
undertake	izvesti	Ekipa bo izvedla anketo.
unfold	odvijati se	Drama se je začela počasi odvijati.
unfortunate	nesrečen	Napaka je bila nesrečna, a popravljiva.
unite	združiti	Voditelji so poskušali združiti stranko.
unity	enotnost	Govor je pozival k nacionalni enotnosti.
universal	univerzalen	Aplikacija uporablja univerzalen dizajn.
urgent	nujen	Bolnišnica je prejela nujen klic.
usage	uporaba	Vodič pojasnjuje pravilno uporabo.
useless	neuporaben	Pokvarjen polnilec je neuporaben.
valid	veljaven	Vaš potni list je še vedno veljaven.
variation	razlika	Obstaja velika razlika v cenah.
vertical	navpičen	Grafikon ima navpično os.
viewpoint	vidik	Njen vidik se je po razpravi spremenil.
visa	viza	Prijavil se je za študentsko vizo.
visible	viden	Znak je viden od tu.
voluntary	prostovoljen	Tečaj vključuje prostovoljne delavnice.
voting	glasovanje	Predčasno glasovanje se začne naslednji teden.
wander	tavati	Turisti tavajo po stari tržnici.
warming	segrevanje	Globalno segrevanje vpliva na gladino morja.
weekly	tedenski	Ekipa ima tedenski sestanek.
weird	čuden	Hrup je zvenel čudno.
welfare	blaginja	Program podpira blaginjo otrok.
wheat	pšenica	Kmet goji pšenico.
whoever	kdor koli	Kdor koli pride prvi, naj počaka zunaj.
widespread	razširjen	Nevihta je povzročila razširjeno škodo.
wisdom	modrost	Njena babica je delila praktično modrost.
withdraw	umakniti	Odločil se je umakniti svojo prijavo.
workforce	delovna sila	Delovna sila potrebuje nove veščine.
workplace	delovno mesto	Delovno mesto ima jasna varnostna pravila.
workshop	delavnica	Delavnica se začne ob desetih.
worm	črv	Črv se je premikal po zemlji.
wrist	zapestje	Poškodovala si je zapestje.
