source_headword	UZ	example_UZ
absorb	yutmoq	Sochiq suvni tez shimib oladi.
abstract	mavhum	Ma'ruzada mavhum g'oyalar muhokama qilindi.
accent	talaffuz	Uning aksentini tushunish oson.
accidentally	tasodifan	Men tasodifan faylni o'chirib yubordim.
accommodate	moslashmoq	Mehmonxona katta oilalarni joylashtira oladi.
accomplish	erishmoq	U iyungacha o'z maqsadiga erishdi.
accountant	hisobchi	Buxgalter hisob-fakturani tekshirdi.
accuracy	aniqlik	Test o'qish aniqligini o'lchaydi.
accurately	aniq	Xarita marshrutni aniq ko'rsatadi.
acid	kislota	Kislota metall yuzasiga zarar yetkazdi.
activate	faollashtirmoq	Signalni faollashtirish uchun tugmani bosing.
addiction	qaramlik	Uning qaramligi ishiga ta'sir qildi.
additionally	qo'shimcha ravishda	Bundan tashqari, bizga ko'proq stullar kerak.
adequate	yetarli	Xonada yetarli yorug'lik bor.
adequately	yetarlicha	Hisobot muammoni yetarlicha tushuntirdi.
adjust	moslashtirmoq	Haydashdan oldin o'rindiqni to'g'rilang.
affordable	hamyonbop	Kvartira talabalar uchun hamyonbop.
agriculture	qishloq xo'jaligi	Qishloq xo'jaligi ko'plab qishloq oilalarini boqadi.
AIDS	OITS	Shifokorlar OITSni zamonaviy tibbiyot bilan davolaydilar.
alien	o'zga sayyoralik	Filmda o'zga sayyora ko'rsatilgan.
alongside	yonida	Velosiped yo'lagi daryo bo'ylab o'tadi.
altogether	umuman	Umuman olganda, loyiha olti hafta davom etdi.
ambulance	tez yordam mashinasi	Tez yordam mashinasi bir necha daqiqada yetib keldi.
amusing	kulgili	Hikoya qiziqarli va yengil edi.
analyst	tahlilchi	Tahlilchi savdo ma'lumotlarini ko'rib chiqdi.
ancestor	ajdod	Mening ajdodim shu qishloq yaqinida yashagan.
animation	animatsiya	Animatsiya darsni tushunarliroq qildi.
annually	har yili	Festival har yili o'tkaziladi.
anticipate	oldindan ko'rmoq	Biz ertaga tirbandlik bo'lishini kutyapmiz.
anxiety	tashvish	Tashvish uxlashni qiyinlashtirishi mumkin.
apology	uzr	U chin dildan uzr so'radi.
applicant	arizachi	Nomzod yangi rezyume yubordi.
appropriately	mos ravishda	Iltimos, intervyu uchun mos kiyining.
arrow	o'q	O'q chiqish joyini ko'rsatmoqda.
artwork	san'at asari	Muzey mahalliy san'at asarlarini namoyish etdi.
aside	chetga	U o'tib ketishi uchun chetga chiqdi.
asset	aktiv	Tajriba qimmatbaho boylikdir.
assign	tayinlamoq	O'qituvchi bugun uy vazifasini topshirdi.
assistance	yordam	Iltimos, yordam uchun xodimlarga murojaat qiling.
assumption	taxmin	Bu taxmin noto'g'ri bo'lishi mumkin.
assure	ishontirmoq	Ishontirib aytamanki, eshik qulflangan.
astonishing	hayratlanarli	Qoyadan ko'rinish hayratlanarli edi.
attachment	ilova	Elektron pochtada ilova mavjud.
auction	auksion	Rasm auksionda sotildi.
audio	audio	Audio yozuv aniq eshitilmoqda.
automatic	avtomatik	Eshikda avtomatik qulf bor.
automatically	avtomatik ravishda	Chiroqlar avtomatik ravishda yonadi.
awareness	xabardorlik	Kampaniya jamoatchilik xabardorligini oshirdi.
awkward	noqulay	Jimjitlik noqulay tuyuldi.
badge	nishon	Tashrif buyuruvchilar beyjik taqishlari kerak.
balanced	muvozanatli	Muvozanatli parhez sabzavotlarni o'z ichiga oladi.
ballet	balet	U maktabdan keyin baletni o'rganadi.
