source_headword	KN	example_KN
incur	ತಗುಲು	ವಿಳಂಬದಿಂದಾಗಿ ಹೆಚ್ಚುವರಿ ವೆಚ್ಚಗಳು ತಗುಲಬಹುದು.
indicator	ಸೂಚಕ	ನಿರುದ್ಯೋಗವು ಒಂದು ಆರ್ಥಿಕ ಸೂಚಕವಾಗಿದೆ.
indictment	ದೋಷಾರೋಪಣೆ	ದೋಷಾರೋಪಣೆಯಲ್ಲಿ ಮೂರು ಆರೋಪಗಳನ್ನು ಪಟ್ಟಿ ಮಾಡಲಾಗಿದೆ.
indigenous	ಸ್ಥಳೀಯ	ಸ್ಥಳೀಯ ಸಸ್ಯಗಳು ಇಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುತ್ತವೆ.
induce	ಉಂಟುಮಾಡು	ಈ ಔಷಧಿಯು ನಿದ್ರೆಯನ್ನು ಉಂಟುಮಾಡಬಹುದು.
indulge	ತೊಡಗಿಕೊಳ್ಳು	ಅವಳು ದುಬಾರಿ ಅಭ್ಯಾಸಗಳಲ್ಲಿ ತೊಡಗಿಕೊಳ್ಳುವುದಿಲ್ಲ.
inequality	ಅಸಮಾನತೆ	ಆದಾಯದ ಅಸಮಾನತೆಯು ಪ್ರಮುಖ ಸಮಸ್ಯೆಯಾಗಿ ಉಳಿದಿದೆ.
infamous	ಕುಖ್ಯಾತ	ಆ ಜೈಲು ವಿಶ್ವಾದ್ಯಂತ ಕುಖ್ಯಾತವಾಯಿತು.
infant	ಶಿಶು	ಶಿಶುವು ತೊಟ್ಟಿಲಿನಲ್ಲಿ ಮಲಗಿತ್ತು.
infect	ಸೋಂಕು ತಗುಲಿಸು	ವೈರಸ್ ಆರೋಗ್ಯಕರ ಕೋಶಗಳಿಗೆ ಸೋಂಕು ತಗುಲಿಸಬಹುದು.
inflict	ಉಂಟುಮಾಡು	ಪ್ರಾಣಿಗಳಿಗೆ ನೋವನ್ನು ಉಂಟುಮಾಡಬೇಡಿ.
influential	ಪ್ರಭಾವಶಾಲಿ	ಅವಳು ಪ್ರಭಾವಶಾಲಿ ಕಾನೂನು ವಿದ್ವಾಂಸಳಾಗಿದ್ದಾಳೆ.
inherent	ಅಂತರ್ಗತ	ವಿನ್ಯಾಸವು ಅಂತರ್ಗತ ಅಪಾಯಗಳನ್ನು ಹೊಂದಿದೆ.
inhibit	ತಡೆಯು	ಭಯವು ಪ್ರಾಮಾಣಿಕ ಚರ್ಚೆಯನ್ನು ತಡೆಯಬಹುದು.
initiate	ಪ್ರಾರಂಭಿಸು	ವ್ಯವಸ್ಥಾಪಕರು ವಿಮರ್ಶೆಯನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತಾರೆ.
inject	ಚುಚ್ಚುಮದ್ದು ನೀಡು	ದಾದಿ ಲಸಿಕೆಯನ್ನು ಚುಚ್ಚುತ್ತಾರೆ.
injection	ಚುಚ್ಚುಮದ್ದು	ಚುಚ್ಚುಮದ್ದು ನೋವನ್ನು ಕಡಿಮೆ ಮಾಡಿತು.
injustice	ಅನ್ಯಾಯ	ತೀರ್ಪು ಸ್ಪಷ್ಟವಾದ ಅನ್ಯಾಯವನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
inmate	ಕೈದಿ	ಕೈದಿಯು ಕಾನೂನು ಸಲಹೆಯನ್ನು ಕೋರಿದನು.
insertion	ಸೇರ್ಪಡೆ	ಫಾರ್ಮ್‌ಗೆ ಒಂದು ಪಠ್ಯ ಸೇರ್ಪಡೆಯ ಅಗತ್ಯವಿದೆ.
insider	ಆಂತರಿಕ ವ್ಯಕ್ತಿ	ಆಂತರಿಕ ವ್ಯಕ್ತಿಯೊಬ್ಬರು ವರದಿಯನ್ನು ಸೋರಿಕೆ ಮಾಡಿದರು.
inspect	ಪರಿಶೀಲಿಸು	ಅಧಿಕಾರಿಗಳು ವಾರ್ಷಿಕವಾಗಿ ಸೇತುವೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಾರೆ.
inspection	ತಪಾಸಣೆ	ತಪಾಸಣೆಯು ಗಂಭೀರವಾದ ಹಾನಿಯನ್ನು ಕಂಡುಹಿಡಿಯಿತು.
inspiration	ಸ್ಫೂರ್ತಿ	ಅವಳ ಭಾಷಣವು ನನಗೆ ಸ್ಫೂರ್ತಿ ನೀಡಿತು.
instinct	ಸಹಜ ಪ್ರವೃತ್ತಿ	ಅವನ ಮೊದಲ ಸಹಜ ಪ್ರವೃತ್ತಿಯು ಸಹಾಯ ಮಾಡುವುದಾಗಿತ್ತು.
institutional	ಸಾಂಸ್ಥಿಕ	ಸಾಂಸ್ಥಿಕ ನಿಯಮಗಳು ನಿರ್ಧಾರವನ್ನು ರೂಪಿಸಿದವು.
instruct	ಸೂಚನೆ ನೀಡು	ಕೈಪಿಡಿಯು ಹೊಸ ಸಿಬ್ಬಂದಿಗೆ ಸೂಚನೆ ನೀಡುತ್ತದೆ.
instrumental	ಪ್ರಮುಖವಾದ	ಮಾತುಕತೆಗಳಲ್ಲಿ ಅವಳ ಸಲಹೆಯು ಪ್ರಮುಖವಾಗಿತ್ತು.
insufficient	ಅಸಮರ್ಪಕ	ಆರೋಪಗಳಿಗೆ ಸಾಕ್ಷ್ಯಾಧಾರಗಳು ಅಸಮರ್ಪಕವಾಗಿದ್ದವು.
insult	ಅವಮಾನ	ಅವನ ಅವಮಾನವು ಸಂಭಾಷಣೆಯನ್ನು ಕೊನೆಗೊಳಿಸಿತು.
intact	ಅಖಂಡ	ಪ್ರಾಚೀನ ಗೋಡೆಯು ಅಖಂಡವಾಗಿ ಉಳಿದಿದೆ.
intake	ಸೇವನೆ	ಸಕ್ಕರೆ ಸೇವನೆಯು ಮಿತವಾಗಿರಬೇಕು.
integral	ಅವಿಭಾಜ್ಯ	ವಿಶ್ವಾಸವು ತಂಡದ ಅವಿಭಾಜ್ಯ ಅಂಗವಾಗಿದೆ.
integrated	ಸಂಯೋಜಿತ	ಶಾಲೆಯು ಸಂಯೋಜಿತ ಬೆಂಬಲವನ್ನು ನೀಡುತ್ತದೆ.
integration	ಏಕೀಕರಣ	ಏಕೀಕರಣವು ಇಡೀ ವ್ಯವಸ್ಥೆಯನ್ನು ಸುಧಾರಿಸಿತು.
integrity	ಪ್ರಾಮಾಣಿಕತೆ	ನ್ಯಾಯಾಧೀಶರು ಹೆಚ್ಚಿನ ಪ್ರಾಮಾಣಿಕತೆಯನ್ನು ತೋರಿಸಿದರು.
intensify	ತೀವ್ರಗೊಳ್ಳು	ಚಂಡಮಾರುತವು ರಾತ್ರೋರಾತ್ರಿ ತೀವ್ರಗೊಳ್ಳಬಹುದು.
intensity	ತೀವ್ರತೆ	ತರಬೇತಿಯ ತೀವ್ರತೆ ಹೆಚ್ಚಾಯಿತು.
intensive	ತೀವ್ರವಾದ	ಅವರು ತೀವ್ರವಾದ ಭಾಷಾ ತರಬೇತಿಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದರು.
intent	ಉದ್ದೇಶ	ಅವನ ಉದ್ದೇಶವನ್ನು ಸಾಬೀತುಪಡಿಸುವುದು ಕಷ್ಟಕರವಾಗಿತ್ತು.
interactive	ಸಂವಾದಾತ್ಮಕ	ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಸಂವಾದಾತ್ಮಕ ಪ್ರದರ್ಶನಗಳನ್ನು ಹೊಂದಿದೆ.
interface	ಇಂಟರ್ಫೇಸ್	ಇಂಟರ್ಫೇಸ್ ಅನ್ನು ನ್ಯಾವಿಗೇಟ್ ಮಾಡುವುದು ಸುಲಭ.
interfere	ಹಸ್ತಕ್ಷೇಪ ಮಾಡು	ತನಿಖೆಯಲ್ಲಿ ಹಸ್ತಕ್ಷೇಪ ಮಾಡಬೇಡಿ.
interference	ಹಸ್ತಕ್ಷೇಪ	ಸಿಗ್ನಲ್ ಹಸ್ತಕ್ಷೇಪವು ಕರೆಯನ್ನು ಅಡ್ಡಿಪಡಿಸಿತು.
interim	ಮಧ್ಯಂತರ	ನಾಳೆ ಮಧ್ಯಂತರ ವರದಿ ಬರುತ್ತದೆ.
interior	ಆಂತರಿಕ	ಆಂತರಿಕ ಗೋಡೆಗಳಿಗೆ ಬಣ್ಣದ ಅಗತ್ಯವಿದೆ.
intermediate	ಮಧ್ಯಂತರ	ಅವಳು ಮಧ್ಯಂತರ ತರಗತಿಗೆ ಸೇರಿಕೊಂಡಳು.
intervene	ಮಧ್ಯಪ್ರವೇಶಿಸು	ಪೊಲೀಸರು ತ್ವರಿತವಾಗಿ ಮಧ್ಯಪ್ರವೇಶಿಸಬೇಕಾಯಿತು.
intervention	ಮಧ್ಯಸ್ಥಿಕೆ	ಆರಂಭಿಕ ಮಧ್ಯಸ್ಥಿಕೆಯು ರೋಗಿಗೆ ಸಹಾಯ ಮಾಡಿತು.
intimate	ಆತ್ಮೀಯ	ಅವರು ಆತ್ಮೀಯ ಕೌಟುಂಬಿಕ ಸಮಾರಂಭವನ್ನು ನಡೆಸಿದರು.
intriguing	ಕುತೂಹಲಕಾರಿ	ಡೇಟಾವು ಕುತೂಹಲಕಾರಿ ಮಾದರಿಯನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
investigator	ತನಿಖಾಧಿಕಾರಿ	ತನಿಖಾಧಿಕಾರಿಯು ಪ್ರತಿಯೊಬ್ಬ ಸಾಕ್ಷಿಯನ್ನು ಸಂದರ್ಶಿಸಿದರು.
invisible	ಅಗೋಚರ	ಅನಿಲವು ಅಗೋಚರ ಮತ್ತು ಅಪಾಯಕಾರಿಯಾಗಿದೆ.
invoke	ಉಲ್ಲೇಖಿಸು	ವಕೀಲರು ಹಿಂದಿನ ಉದಾಹರಣೆಯನ್ನು ಉಲ್ಲೇಖಿಸಲು ಪ್ರಯತ್ನಿಸಿದರು.
involvement	ಭಾಗವಹಿಸುವಿಕೆ	ಅವನ ಭಾಗವಹಿಸುವಿಕೆಯು ಅಸ್ಪಷ್ಟವಾಗಿಯೇ ಉಳಿದಿದೆ.
ironic	ವಿಪರ್ಯಾಸದ	ವಿಪರ್ಯಾಸದ ಕಾಮೆಂಟ್ ಎಲ್ಲರನ್ನೂ ನಗುವಂತೆ ಮಾಡಿತು.
ironically	ವಿಪರ್ಯಾಸವೆಂದರೆ	ವಿಪರ್ಯಾಸವೆಂದರೆ, ಮಾರ್ಗವು ಹೆಚ್ಚು ಸಮಯ ತೆಗೆದುಕೊಂಡಿತು.
irony	ವಿಪರ್ಯಾಸ	ವಿಪರ್ಯಾಸವು ಎಲ್ಲರಿಗೂ ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
irrelevant	ಅಪ್ರಸ್ತುತ	ಆ ವಿವರವು ಇಲ್ಲಿ ಅಪ್ರಸ್ತುತವಾಗಿದೆ.
isolation	ಪ್ರತ್ಯೇಕತೆ	ಪ್ರತ್ಯೇಕತೆಯು ಮಾನಸಿಕ ಆರೋಗ್ಯಕ್ಕೆ ಹಾನಿ ಮಾಡಬಹುದು.
judicial	ನ್ಯಾಯಾಂಗ	ನ್ಯಾಯಾಂಗ ವಿಮರ್ಶೆಯು ಸೋಮವಾರ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
junction	ಜಂಕ್ಷನ್	ಜಂಕ್ಷನ್ ಬಳಿ ಎಡಕ್ಕೆ ತಿರುಗಿ.
jurisdiction	ನ್ಯಾಯವ್ಯಾಪ್ತಿ	ನ್ಯಾಯಾಲಯವು ಸೀಮಿತ ನ್ಯಾಯವ್ಯಾಪ್ತಿಯನ್ನು ಹೊಂದಿದೆ.
just	ನ್ಯಾಯಯುತ	ನ್ಯಾಯಾಧೀಶರು ನ್ಯಾಯಯುತ ನಿರ್ಧಾರವನ್ನು ತೆಗೆದುಕೊಂಡರು.
justification	ಸಮರ್ಥನೆ	ಖರ್ಚು ಮಾಡಲು ನಮಗೆ ಸ್ಪಷ್ಟವಾದ ಸಮರ್ಥನೆ ಬೇಕು.
kidnap	ಅಪಹರಿಸು	ಅಪರಾಧಿಗಳು ರಾಜತಾಂತ್ರಿಕನನ್ನು ಅಪಹರಿಸಲು ಪ್ರಯತ್ನಿಸಿದರು.
kidney	ಮೂತ್ರಪಿಂಡ	ಅವಳ ಮೂತ್ರಪಿಂಡದ ಕಾರ್ಯವು ಸುಧಾರಿಸಿತು.
kingdom	ಸಾಮ್ರಾಜ್ಯ	ಅವನ ಆಳ್ವಿಕೆಯಲ್ಲಿ ಸಾಮ್ರಾಜ್ಯವು ವಿಸ್ತರಿಸಿತು.
lad	ಹುಡುಗ	ಯುವ ಹುಡುಗನು ಚೀಲಗಳನ್ನು ಹೊತ್ತನು.
landlord	ಮನೆಮಾಲೀಕ	ಮನೆಮಾಲೀಕರು ಹೀಟಿಂಗ್ ಅನ್ನು ದುರಸ್ತಿ ಮಾಡಿದರು.
landmark	ಹೆಗ್ಗುರುತು	ಗೋಪುರವು ನಗರದ ಹೆಗ್ಗುರುತಾಯಿತು.
lap	ತೊಡೆ	ಮಗು ಅವಳ ತೊಡೆಯ ಮೇಲೆ ಕುಳಿತಿತ್ತು.
large-scale	ಬೃಹತ್ ಪ್ರಮಾಣದ	ನಗರವು ಬೃಹತ್ ಪ್ರಮಾಣದ ದುರಸ್ತಿ ಕಾರ್ಯಗಳನ್ನು ಯೋಜಿಸಿದೆ.
laser	ಲೇಸರ್	ಲೇಸರ್ ದೂರವನ್ನು ಅಳೆಯಿತು.
latter	ಎರಡನೆಯ	ಎರಡನೆಯ ಆಯ್ಕೆಯು ಹೆಚ್ಚು ಸುರಕ್ಷಿತವೆಂದು ತೋರುತ್ತದೆ.
lawn	ಹುಲ್ಲುಹಾಸು	ಮಕ್ಕಳು ಹುಲ್ಲುಹಾಸಿನ ಮೇಲೆ ಆಡಿದರು.
lawsuit	ಮೊಕದ್ದಮೆ	ಕಂಪನಿಯು ಮೊಕದ್ದಮೆಯನ್ನು ಬಗೆಹರಿಸಿತು.
layout	ವಿನ್ಯಾಸ	ಪುಟದ ವಿನ್ಯಾಸವು ಸ್ಪಷ್ಟವಾಗಿ ಕಾಣುತ್ತದೆ.
leak	ಸೋರಿಕೆ	ಪೈಪ್ ಸೋರಿಕೆಯಿಂದ ಅಡುಗೆಮನೆ ಜಲಾವೃತವಾಯಿತು.
leap	ಜಿಗಿತ	ಮಾರಾಟದಲ್ಲಿ ಹಠಾತ್ ಜಿಗಿತ ಕಂಡುಬಂತು.
legacy	ಪರಂಪರೆ	ಅವಳ ಪರಂಪರೆಯು ವಿಶ್ವವಿದ್ಯಾಲಯವನ್ನು ರೂಪಿಸಿತು.
legendary	ಪೌರಾಣಿಕ	ಪೌರಾಣಿಕ ಗಾಯಕ ವೇದಿಕೆಗೆ ಮರಳಿದರು.
legislation	ಶಾಸನ	ಹೊಸ ಶಾಸನವು ಬಾಡಿಗೆದಾರರನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.
legislative	ಶಾಸಕಾಂಗ	ಶಾಸಕಾಂಗ ಸಮಿತಿಯು ಇಂದು ಸಭೆ ಸೇರಿತು.
legislature	ಶಾಸಕಾಂಗ	ಶಾಸಕಾಂಗವು ಬಜೆಟ್ ಅನ್ನು ಅನುಮೋದಿಸಿತು.
legitimate	ನ್ಯಾಯಸಮ್ಮತ	ಅವರು ನ್ಯಾಯಸಮ್ಮತವಾದ ಕಳವಳಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದರು.
lengthy	ದೀರ್ಘವಾದ	ದೀರ್ಘವಾದ ಚರ್ಚೆಯು ಮತದಾನವನ್ನು ವಿಳಂಬಗೊಳಿಸಿತು.
lesbian	ಲೆಸ್ಬಿಯನ್	ಲೆಸ್ಬಿಯನ್ ಕಾರ್ಯಕರ್ತೆ ವೇದಿಕೆಯಲ್ಲಿ ಮಾತನಾಡಿದರು.
lesser	ಕಡಿಮೆ	ಕಡಿಮೆ ಅಪಾಯವನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ.
lethal	ಮಾರಣಾಂತಿಕ	ರಾಸಾಯನಿಕವು ಮಾರಣಾಂತಿಕವಾಗಿರಬಹುದು.
liable	ಹೊಣೆ	ಹಾನಿಗಳಿಗೆ ಚಾಲಕರು ಹೊಣೆಯಾಗಿರುತ್ತಾರೆ.
liberal	ಉದಾರ	ಅವರು ಉದಾರವಾದ ಸಾಮಾಜಿಕ ನೀತಿಗಳನ್ನು ಬೆಂಬಲಿಸುತ್ತಾರೆ.
liberation	ವಿಮೋಚನೆ	ವಿಮೋಚನೆಯು ದೇಶದ ಭವಿಷ್ಯವನ್ನು ಬದಲಾಯಿಸಿತು.
