simplified	ML	example_ML
爱	സ്നേഹിക്കുക; ഇഷ്ടപ്പെടുക	ഞാൻ അമ്മയെ സ്നേഹിക്കുന്നു.
八	എട്ട്	എന്റെ പക്കൽ എട്ട് പുസ്തകങ്ങളുണ്ട്.
爸爸	അച്ഛൻ; പിതാവ്	അച്ഛൻ വീട്ടിലുണ്ട്.
杯子	കപ്പ്; ഗ്ലാസ്	ഈ കപ്പ് വലുതാണ്.
北京	ബെയ്ജിംഗ്	ഞാൻ ബെയ്ജിംഗിൽ ജോലി ചെയ്യുന്നു.
本	പുസ്തകങ്ങൾക്കുള്ള എണ്ണൽപദം; വാല്യം	എന്റെ പക്കൽ ഒരു പുസ്തകമുണ്ട്.
不	അല്ല; ഇല്ല	ഞാൻ ചോറ് കഴിക്കില്ല.
不客气	സാരമില്ല; പ്രശ്നമില്ല	നന്ദി. സാരമില്ല.
菜	വിഭവം; പച്ചക്കറി; ഭക്ഷണം	ഈ വിഭവം രുചികരമാണ്.
茶	ചായ	ഞാൻ ചായ കുടിക്കുന്നു.
吃	കഴിക്കുക	ഞാൻ ആപ്പിൾ കഴിക്കുന്നു.
出租车	ടാക്സി	ഞാൻ ടാക്സിയിൽ സ്കൂളിലേക്ക് പോകുന്നു.
打电话	ഫോൺ ചെയ്യുക	ഞാൻ ഫോൺ ചെയ്യുന്നു.
大	വലുത്; വലിയ	ഈ സ്കൂൾ വലുതാണ്.
的	ന്റെ; ഉടമസ്ഥത സൂചിപ്പിക്കുന്ന കണം	ഇത് എന്റെ പുസ്തകമാണ്.
点	മണി; ബിന്ദു; കുറച്ച്	ഇപ്പോൾ എട്ട് മണിയാണ്.
电脑	കമ്പ്യൂട്ടർ	എന്റെ കമ്പ്യൂട്ടർ മേശപ്പുറത്താണ്.
电视	ടെലിവിഷൻ; ടിവി	ഞാൻ ടിവി കാണുന്നു.
电影	സിനിമ	എനിക്ക് സിനിമകൾ ഇഷ്ടമാണ്.
东西	വസ്തു; സാധനം	ഇത് എന്ത് വസ്തുവാണ്?
都	എല്ലാവരും; എല്ലാം; രണ്ടും	ഞങ്ങൾ എല്ലാവരും വിദ്യാർത്ഥികളാണ്.
读	വായിക്കുക; പഠിക്കുക	ഞാൻ പുസ്തകം വായിക്കുന്നു.
对不起	ക്ഷമിക്കണം; മാപ്പ്	ക്ഷമിക്കണം, എനിക്ക് നിങ്ങളെ അറിയില്ല.
多	ധാരാളം; കൂടുതൽ	എനിക്ക് ധാരാളം സുഹൃത്തുക്കളുണ്ട്.
多少	എത്ര	ഈ കപ്പിന്റെ വില എത്ര?
儿子	മകൻ	എന്റെ മകൻ വിദ്യാർത്ഥിയാണ്.
二	രണ്ട്	ഫെബ്രുവരിയിൽ തണുപ്പായിരിക്കും.
饭馆	ഭക്ഷണശാല; റെസ്റ്റോറന്റ്	ഭക്ഷണശാല സ്കൂളിന്റെ മുന്നിലാണ്.
飞机	വിമാനം	ഞാൻ വിമാനത്തിൽ ബെയ്ജിംഗിലേക്കു പോകുന്നു.
分钟	മിനിറ്റ്	ഞാൻ അഞ്ച് മിനിറ്റ് പഠിക്കുന്നു.
高兴	സന്തോഷം	എനിക്ക് ഇന്ന് വളരെ സന്തോഷമാണ്.
个	പൊതു എണ്ണൽപദം	എനിക്ക് ഒരു സുഹൃത്തുണ്ട്.
工作	ജോലി ചെയ്യുക; ജോലി	ഞാൻ ബെയ്ജിംഗിൽ ജോലി ചെയ്യുന്നു.
狗	നായ	എനിക്ക് നായകളെ ഇഷ്ടമാണ്.
汉语	ചൈനീസ് ഭാഷ	ഞാൻ ചൈനീസ് ഭാഷ പഠിക്കുന്നു.
好	നല്ല; നന്നായി	ഇന്ന് കാലാവസ്ഥ നല്ലതാണ്.
喝	കുടിക്കുക	ഞാൻ വെള്ളം കുടിക്കുന്നു.
和	ഉം; കൂടെ	ഞാൻ സുഹൃത്തിനൊപ്പം സ്കൂളിലേക്ക് പോകുന്നു.
很	വളരെ	അവൾ വളരെ സുന്ദരിയാണ്.
后面	പിന്നിൽ	സ്കൂൾ ഭക്ഷണശാലയുടെ പിന്നിലാണ്.
回	തിരികെ വരുക; മടങ്ങുക	ഞാൻ വീട്ടിലേക്ക് മടങ്ങുന്നു.
会	ചെയ്യാൻ അറിയുക; കഴിവുണ്ടാകുക	എനിക്ക് ചൈനീസ് സംസാരിക്കാൻ അറിയാം.
火车站	റെയിൽവേ സ്റ്റേഷൻ	റെയിൽവേ സ്റ്റേഷൻ വലുതാണ്.
几	എത്ര; ചില	നിനക്ക് എത്ര സുഹൃത്തുക്കളുണ്ട്?
家	വീട്; കുടുംബം	എന്റെ വീട് ബെയ്ജിംഗിലാണ്.
叫	എന്ന് വിളിക്കുക; പേര് ആകുക	നിന്റെ പേര് എന്താണ്?
今天	ഇന്ന്	ഇന്ന് ചൂടാണ്.
九	ഒമ്പത്	ഇപ്പോൾ ഒമ്പത് മണിയാണ്.
开	തുറക്കുക; ഓൺ ചെയ്യുക	ഞാൻ കമ്പ്യൂട്ടർ ഓൺ ചെയ്യുന്നു.
看	നോക്കുക; കാണുക; വായിക്കുക	ഞാൻ പുസ്തകം വായിക്കുന്നു.
看见	കാണുക; കാണാൻ കഴിയുക	ഞാൻ അധ്യാപകനെ കാണുന്നു.
块	കഷണം; യുവാൻ	ഈ പുസ്തകത്തിന്റെ വില പത്ത് യുവാൻ ആണ്.
来	വരുക	അവൻ സ്കൂളിലേക്ക് വരുന്നു.
老师	അധ്യാപകൻ; അധ്യാപിക	അധ്യാപകൻ സ്കൂളിലുണ്ട്.
了	പൂർണ്ണത സൂചിപ്പിക്കുന്ന കണം	ഞാൻ ചോറ് കഴിച്ചു.
冷	തണുപ്പ്; തണുത്ത	ഇന്ന് തണുപ്പാണ്.
里	അകത്ത്; ൽ	കപ്പിൽ വെള്ളമുണ്ട്.
零	പൂജ്യം	പൂജ്യം ഒന്ന് അല്ല.
六	ആറ്	ഇപ്പോൾ ആറ് മണിയാണ്.
妈妈	അമ്മ; മാതാവ്	അമ്മ ചായ കുടിക്കുന്നു.
吗	അതെ-ഇല്ല ചോദ്യകണം	നീ വിദ്യാർത്ഥിയാണോ?
买	വാങ്ങുക	ഞാൻ ആപ്പിളുകൾ വാങ്ങുന്നു.
猫	പൂച്ച	പൂച്ച കസേരപ്പുറത്താണ്.
没	ഇല്ല; ചെയ്തിട്ടില്ല	എന്റെ പക്കൽ പണമില്ല.
没关系	സാരമില്ല; പ്രശ്നമില്ല	സാരമില്ല.
米饭	ചോറ്; വേവിച്ച അരി	ഞാൻ ചോറ് കഴിക്കുന്നു.
名字	പേര്	നിന്റെ പേര് എന്താണ്?
明天	നാളെ	നാളെ ഞാൻ ബെയ്ജിംഗിലേക്കു പോകുന്നു.
哪	ഏത്; എവിടെ; എങ്ങോട്ട്	നീ എങ്ങോട്ടാണ് പോകുന്നത്?
那	അത്; അവ; ആ	അതാണ് എന്റെ അധ്യാപകൻ.
呢	ചോദ്യകണം; എന്നാൽ	നിനക്കോ?
能	കഴിയുക; സാധിക്കുക	ഞാൻ പോകാമോ?
你	നീ; നിങ്ങൾ	നിനക്ക് സുഖമാണോ?
年	വർഷം	ഒരു വർഷത്തിൽ പന്ത്രണ്ട് മാസങ്ങളുണ്ട്.
女儿	മകൾ	അവളുടെ മകൾ വളരെ സുന്ദരിയാണ്.
朋友	സുഹൃത്ത്; സുഹൃത്തി	അവൻ എന്റെ സുഹൃത്താണ്.
漂亮	സുന്ദരം; മനോഹരം	അവൾ വളരെ സുന്ദരിയാണ്.
苹果	ആപ്പിൾ	എനിക്ക് ആപ്പിളുകൾ ഇഷ്ടമാണ്.
七	ഏഴ്	ഇപ്പോൾ ഏഴ് മണിയാണ്.
前面	മുന്നിൽ	ഭക്ഷണശാല കടയുടെ മുന്നിലാണ്.
钱	പണം	എന്റെ പക്കൽ പണമില്ല.
请	ദയവായി; ക്ഷണിക്കുക; ചോദിക്കുക	ദയവായി ചായ കുടിക്കൂ.
去	പോകുക	ഞാൻ സ്കൂളിലേക്ക് പോകുന്നു.
热	ചൂട്; ചൂടുള്ള	ഇന്ന് ചൂടാണ്.
人	വ്യക്തി; ആളുകൾ	സ്കൂളിൽ ധാരാളം ആളുകളുണ്ട്.
认识	അറിയുക; പരിചയമുണ്ടാകുക	എനിക്ക് അവനെ അറിയാം.
日	ദിവസം; തീയതി	ഇന്ന് മാർച്ച് ഒന്നാം തീയതി.
三	മൂന്ന്	എന്റെ പക്കൽ മൂന്ന് കപ്പുകളുണ്ട്.
商店	കട	കട സ്കൂളിന്റെ മുന്നിലാണ്.
上	മുകളിൽ; മേൽ	പുസ്തകം മേശപ്പുറത്താണ്.
上午	രാവിലെ; ഉച്ചയ്ക്ക് മുമ്പ്	രാവിലെ ഞാൻ ചൈനീസ് ഭാഷ പഠിക്കുന്നു.
少	കുറവ്; കുറച്ച്	കുറച്ച് വിദ്യാർത്ഥികളേ ഉള്ളൂ.
什么	എന്ത്; എന്താണ്	ഇത് എന്താണ്?
十	പത്ത്	എന്റെ പക്കൽ പത്ത് പുസ്തകങ്ങളുണ്ട്.
时候	സമയം; വേള	നീ എപ്പോൾ വരും?
是	ആകുക; ആണ്	ഞാൻ വിദ്യാർത്ഥിയാണ്.
书	പുസ്തകം	ഞാൻ പുസ്തകം വായിക്കുന്നു.
谁	ആർ	അവൻ ആരാണ്?
水	വെള്ളം	ഞാൻ വെള്ളം കുടിക്കുന്നു.
水果	പഴം; പഴങ്ങൾ	ഞാൻ പഴങ്ങൾ വാങ്ങുന്നു.
睡觉	ഉറങ്ങുക; കിടക്കാൻ പോകുക	ഞാൻ ഉറങ്ങാൻ പോകുന്നു.
说话	സംസാരിക്കുക	അധ്യാപകൻ സംസാരിക്കുന്നു.
四	നാല്	എനിക്ക് നാല് സുഹൃത്തുക്കളുണ്ട്.
岁	വയസ്സ്	എനിക്ക് പത്ത് വയസ്സുണ്ട്.
他	അവൻ; അദ്ദേഹം	അദ്ദേഹം അധ്യാപകനാണ്.
她	അവൾ	അവൾ വിദ്യാർത്ഥിനിയാണ്.
太	വളരെ; അത്യധികം	ഈ കപ്പ് അത്യധികം വലുതാണ്.
天气	കാലാവസ്ഥ	ഇന്ന് കാലാവസ്ഥ നല്ലതാണ്.
听	കേൾക്കുക; ശ്രദ്ധിക്കുക	അധ്യാപകൻ സംസാരിക്കുന്നത് ഞാൻ കേൾക്കുന്നു.
同学	സഹപാഠി	അവൻ എന്റെ സഹപാഠിയാണ്.
喂	ഹലോ	ഹലോ?
我	ഞാൻ; എന്നെ; എന്റെ	ഞാൻ ഡോക്ടറാണ്.
我们	ഞങ്ങൾ; നാം	ഞങ്ങൾ സ്കൂളിലേക്ക് പോകുന്നു.
五	അഞ്ച്	എന്റെ പക്കൽ അഞ്ച് ആപ്പിളുകളുണ്ട്.
喜欢	ഇഷ്ടപ്പെടുക	എനിക്ക് ചായ കുടിക്കുന്നത് ഇഷ്ടമാണ്.
下	താഴെ; അടുത്ത	പുസ്തകം മേശക്കീഴിലാണ്.
下午	ഉച്ചയ്ക്ക് ശേഷം; വൈകുന്നേരത്തിന് മുമ്പ്	ഉച്ചയ്ക്ക് ശേഷം ഞാൻ കടയിലേക്ക് പോകുന്നു.
下雨	മഴ പെയ്യുക	ഇന്ന് മഴ പെയ്യുന്നു.
先生	സാർ; ശ്രീ; ഭർത്താവ്	നമസ്കാരം, സാർ.
现在	ഇപ്പോൾ	ഇപ്പോൾ ഞാൻ സ്കൂളിലാണ്.
想	ആഗ്രഹിക്കുക; ചിന്തിക്കുക	എനിക്ക് വെള്ളം കുടിക്കണം.
小	ചെറുത്; ചെറിയ	ഈ കപ്പ് ചെറുതാണ്.
小姐	മിസ്; യുവതി	നമസ്കാരം, മിസ്.
些	ചില; കുറച്ച്	എന്റെ പക്കൽ ചില പുസ്തകങ്ങളുണ്ട്.
写	എഴുതുക	ഞാൻ അക്ഷരങ്ങൾ എഴുതുന്നു.
谢谢	നന്ദി	നന്ദി.
星期	ആഴ്ച; ആഴ്ചയിലെ ദിവസം	ഇന്ന് തിങ്കളാഴ്ചയാണ്.
学生	വിദ്യാർത്ഥി; വിദ്യാർത്ഥിനി	ഞാൻ വിദ്യാർത്ഥിയാണ്.
学习	പഠിക്കുക; അഭ്യസിക്കുക	ഞാൻ ചൈനീസ് ഭാഷ പഠിക്കുന്നു.
学校	സ്കൂൾ	സ്കൂൾ വലുതാണ്.
一	ഒന്ന്; ഒരു; ഒരാൾ	എന്റെ പക്കൽ ഒരു കപ്പുണ്ട്.
衣服	വസ്ത്രങ്ങൾ	ഞാൻ വസ്ത്രങ്ങൾ വാങ്ങുന്നു.
医生	ഡോക്ടർ; വൈദ്യൻ	അവൾ ഡോക്ടറാണ്.
医院	ആശുപത്രി	ആശുപത്രി സ്കൂളിന്റെ മുന്നിലാണ്.
椅子	കസേര	കസേര മേശയുടെ പിന്നിലാണ്.
有	ഉണ്ടാകുക; കൈവശമുണ്ടാകുക	എനിക്ക് സുഹൃത്തുക്കളുണ്ട്.
月	മാസം; ചന്ദ്രൻ	ഇന്ന് മേയ് നാലാം തീയതി.
再见	വിട; വീണ്ടും കാണാം	സാറേ, വീണ്ടും കാണാം.
在	ൽ; ഉണ്ടായിരിക്കുക	ഞാൻ വീട്ടിലുണ്ട്.
怎么	എങ്ങനെ	ഈ അക്ഷരം എങ്ങനെ വായിക്കും?
怎么样	എങ്ങനെ; എങ്ങനെയുണ്ട്	ഇന്ന് നിനക്ക് എങ്ങനെയുണ്ട്?
这	ഇത്; ഇവ; ഈ	ഇത് എന്റെ പുസ്തകമാണ്.
中国	ചൈന	ഞാൻ ചൈനയിലേക്ക് പോകുന്നു.
中午	ഉച്ച	ഉച്ചയ്ക്ക് ഞാൻ ചോറ് കഴിക്കുന്നു.
住	താമസിക്കുക; ജീവിക്കുക	ഞാൻ ബെയ്ജിംഗിൽ താമസിക്കുന്നു.
桌子	മേശ	പുസ്തകം മേശപ്പുറത്താണ്.
字	അക്ഷരം; വാക്ക്	ഈ അക്ഷരം ചെറുതാണ്.
昨天	ഇന്നലെ	ഇന്നലെ ഞാൻ സിനിമ കണ്ടു.
坐	ഇരിക്കുക; വാഹനത്തിൽ പോകുക	ഞാൻ വിമാനത്തിൽ ബെയ്ജിംഗിലേക്കു പോകുന്നു.
做	ചെയ്യുക; ഉണ്ടാക്കുക	ഞാൻ ഭക്ഷണം ഉണ്ടാക്കുന്നു.
