source_headword	AZ	example_AZ
absolutely	tamamilə	Mən sizinlə tamamilə razıyam.
academic	akademik	Akademik il sentyabrda başlayır.
access	giriş	Tələbələrə kitabxanaya giriş lazımdır.
accommodation	yaşayış yeri	Biz stansiya yaxınlığında yaşayış yeri tapdıq.
account	bank hesabı	O, yeni bank hesabı açdı.
achievement	nailiyyət	Kursu bitirmək böyük nailiyyət idi.
ad	reklam	Reklam yeni telefonu göstərdi.
addition	əlavə	Yeni otaq faydalı əlavə oldu.
admire	heyran olmaq	Mən onun sakit davranışına heyranam.
admit	etiraf etmək	O, səhvini dərhal etiraf etdi.
advanced	qabaqcıl	Bu qabaqcıl ingilis dili dərsidir.
advise	məsləhət vermək	Həkimlər müntəzəm məşq etməyi məsləhət görürlər.
afford	imkanı çatmaq	Bizim taksiyə pul ödəməyə imkanımız çatmadı.
aged	yaşında	Kurs on yaşında uşaqlar üçündür.
agent	agent	Səyahət agenti biletlərimizi dəyişdi.
agreement	razılaşma	Onlar bu gün razılaşma əldə etdilər.
ahead	irəlidə	İrəlidə yol açıqdır.
aim	məqsəd qoymaq	Biz işi tez bitirməyi məqsəd qoyuruq.
alarm	zəngli saat	Zəngli saat altıda çaldı.
album	albom	Bu albomda on mahnı var.
alcohol	spirtli içki	Otel spirtli içki satmır.
alcoholic	spirtli	Bu içki spirtli deyil.
amazed	heyrətlənmiş	O, nəticəyə çox heyrətlənmişdi.
ambition	ambisiya	Onun ambisiyası pilot olmaqdır.
ambitious	iddialı	Onun iddialı planı var.
analyse	təhlil etmək	Biz nəticələri təhlil etməliyik.
analysis	təhlil	Onun təhlili aydın idi.
announce	elan etmək	Onlar qalibi sabah elan edəcəklər.
announcement	elan	Elan hamını təəccübləndirdi.
annoy	əsəbiləşdirmək	Bu səs qonşuları əsəbiləşdirir.
annoyed	əsəbi	O, uzun növbəyə görə əsəbi idi.
annoying	bezdirici	Bu səs çox bezdiricidir.
apart	ayrı	İki ev bir-birindən ayrı durur.
apologize	üzr istəmək	O, gecikdiyi üçün üzr istədi.
application	ərizə	Ərizəni bu gün göndər.
appointment	görüş	Həkimlə görüş günortadır.
