source_headword	HI	example_HI
hunt	खोज करना	वे शरद ऋतु में मशरूम खोजते हैं.
hurricane	तूफान	तूफान ने कई घरों को नुकसान पहुँचाया.
hurry	जल्दी	आज कोई जल्दी नहीं है.
identity	पहचान	उसकी पहचान गुप्त रही.
ignore	नजरअंदाज करना	इस चेतावनी को नजरअंदाज मत करो.
illegal	गैरकानूनी	यहाँ पार्क करना गैरकानूनी है.
imaginary	काल्पनिक	कहानी में एक काल्पनिक द्वीप है.
immediate	तत्काल	हमें तत्काल उत्तर चाहिए.
immigrant	आप्रवासी	आप्रवासी ने जल्दी अंग्रेज़ी सीखी.
impact	प्रभाव	खबर का मजबूत प्रभाव पड़ा.
import	आयात करना	देश अधिक चावल आयात करेगा.
importance	महत्व	उसने नींद का महत्व समझा.
impression	छाप	उसकी पहली छाप सकारात्मक थी.
impressive	प्रभावशाली	संग्रहालय का प्रवेश द्वार प्रभावशाली है.
improvement	सुधार	इस महीने साफ सुधार हुआ.
incredibly	बेहद	परीक्षा बेहद कठिन थी.
indeed	सचमुच	वह सचमुच अजीब दिन था.
indicate	संकेत करना	संकेत निकास दिखाएगा.
indirect	अप्रत्यक्ष	उसने अप्रत्यक्ष उत्तर दिया.
indoor	इनडोर	होटल में इनडोर पूल है.
indoors	अंदर	तूफान के दौरान हम अंदर रहे.
influence	प्रभाव	उसके शिक्षक का मजबूत प्रभाव था.
ingredient	सामग्री	आटा मुख्य सामग्री है.
injure	घायल करना	अपनी पीठ को घायल मत करो.
injured	घायल	घायल खिलाड़ी मैदान छोड़ गया.
innocent	निर्दोष	बच्चा बिल्कुल निर्दोष लगा.
intelligence	बुद्धिमत्ता	उसने कक्षा में बड़ी बुद्धिमत्ता दिखाई.
intend	इरादा करना	मेरा इरादा विदेश में पढ़ने का है.
intention	इरादा	उसका इरादा मदद करना था.
invest	निवेश करना	वे शिक्षा में पैसा निवेश करते हैं.
investigate	जाँच करना	पुलिस दुर्घटना की जाँच करेगी.
involved	शामिल	कई छात्र शामिल थे.
iron	लोहा	फाटक लोहे का बना है.
issue	मुद्दा	यह गंभीर मुद्दा है.
IT	आईटी	वह आईटी में काम करती है.
journal	डायरी	वह डायरी में लिखता है.
judge	न्यायाधीश	न्यायाधीश ने ध्यान से सुना.
keen	उत्सुक	वह सीखने के लिए उत्सुक है.
keyboard	कीबोर्ड	मेरा कीबोर्ड काम करना बंद कर गया.
kick	लात मारना	गेंद को धीरे से लात मारो.
killing	हत्या	हत्या ने गाँव को चौंका दिया.
kind (caring)	दयालु	यह करना दयालु बात थी.
kiss	चुंबन	उसने बच्चे को चुंबन दिया.
label	लेबल	उपयोग से पहले लेबल पढ़ो.
laboratory	प्रयोगशाला	प्रयोगशाला आज बंद है.
lack	कमी	नींद की कमी याददाश्त को नुकसान पहुँचाती है.
latest	नवीनतम	क्या तुमने नवीनतम रिपोर्ट पढ़ी है?
lay	रखना	किताब मेज पर रखो.
layer	परत	रंग की एक और परत जोड़ो.
leading	अग्रणी	वह अग्रणी वैज्ञानिक है.
leaf	पत्ता	एक पत्ता मेरे कोट पर गिरा.
leather	चमड़ा	उसका बैग चमड़े का बना है.
legal	कानूनी	हमें कानूनी सलाह चाहिए.
leisure	अवकाश	पढ़ना मेरी पसंदीदा अवकाश गतिविधि है.
length	लंबाई	कमरे की लंबाई मापो.
lie2 (tell a lie)	झूठ बोलना	अपने माता-पिता से झूठ मत बोलो.
limit	सीमा	गति सीमा पचास है.
lip	होंठ	उसने अपना होंठ काट लिया.
liquid	तरल	पानी साफ तरल है.
literature	साहित्य	वह फ्रांसीसी साहित्य पढ़ती है.
live2	लाइव	बैंड ने कल रात लाइव बजाया.
living	जीवित	जीवित पौधों को रोशनी चाहिए.
locate	ढूँढना	क्या तुम फाइल ढूँढ सकते हो?
located	स्थित	कार्यालय शहर के केंद्र में स्थित है.
location	स्थान	यह अच्छा स्थान है.
lonely	अकेला	स्थान बदलने के बाद वह अकेला महसूस करता था.
loss	नुकसान	नुकसान सबके लिए कठिन था.
luxury	विलासिता	होटल असली विलासिता देता है.
mad	नाराज़	वह देरी से नाराज़ थी.
magic	जादू	शो जादू से भरा था.
mainly	मुख्यतः	समूह मुख्यतः छात्रों का है.
mall	मॉल	हम मॉल में मिले.
management	प्रबंधन	अच्छा प्रबंधन समय बचाता है.
marketing	विपणन	विपणन उत्पाद बेचने में मदद करता है.
marriage	विवाह	उनका विवाह तीस साल चला.
meanwhile	इसी बीच	इसी बीच मैंने रात का खाना बनाया.
measure	मापना	मेज को सावधानी से मापो.
medium	मध्यम	मैंने मध्यम पिज्जा मंगाया.
mental	मानसिक	तनाव मानसिक स्वास्थ्य को प्रभावित करता है.
mess	गंदगी	यह गंदगी साफ करो.
mild	हल्का	सूप का स्वाद हल्का है.
mine (hole in the ground)	खदान	खदान पिछले साल बंद हुई.
mix	मिलाना	अंडों को दूध के साथ मिलाओ.
mixture	मिश्रण	मिश्रण गाढ़ा हो गया.
mood	मूड	संगीत ने उसका मूड बदल दिया.
mud	कीचड़	उसके जूते कीचड़ से ढके थे.
murder	हत्या	हत्या रात में हुई.
muscle	मांसपेशी	व्यायाम मांसपेशी बनाता है.
mystery	रहस्य	पुराना घर एक रहस्य है.
nail	नाखून	मेरा नाखून टूट गया.
narrative	कथा	उपन्यास में स्पष्ट कथा है.
nation	राष्ट्र	पूरे राष्ट्र ने जश्न मनाया.
native	मातृ	स्पेनिश उसकी मातृ भाषा है.
naturally	स्वाभाविक रूप से	बच्चे खेल के द्वारा स्वाभाविक रूप से सीखते हैं.
necessarily	जरूरी	महंगा खाना जरूरी नहीं कि बेहतर हो.
needle	सुई	सुई बहुत तेज है.
neighbourhood	पड़ोस	वे शांत पड़ोस में रहते हैं.
net	जाल	मछुआरे ने अपना जाल सुधारा.
nor	न ही	वह न मुस्कुराया न ही बोला.
northern	उत्तरी	उन्होंने उत्तरी तट देखा.
nuclear	परमाणु	बहस परमाणु ऊर्जा पर थी.
obvious	स्पष्ट	उत्तर स्पष्ट था.
obviously	स्पष्ट रूप से	स्पष्ट रूप से हमें और समय चाहिए.
occasion	अवसर	यह विशेष अवसर है.
occur	होना	दुर्घटनाएँ कहीं भी हो सकती हैं.
odd	अजीब	वह अजीब सवाल था.
official	आधिकारिक	आधिकारिक परिणाम आज आया.
old-fashioned	पुराने ढंग का	उसका फोन पुराने ढंग का दिखता है.
operation	ऑपरेशन	ऑपरेशन दो घंटे चला.
organized	व्यवस्थित	उसकी मेज बहुत व्यवस्थित है.
organizer	आयोजक	आयोजक ने मेहमानों का स्वागत किया.
originally	मूल रूप से	वह मूल रूप से कनाडा से आई थी.
ought modal	चाहिए	तुम्हें आराम करना चाहिए.
ours	हमारा	यह मेज हमारी है.
outdoor	बाहरी	हमने बाहरी फर्नीचर खरीदा.
outdoors	बाहर	बच्चों को बाहर खेलना चाहिए.
package	पैकेज	पैकेज आज सुबह आया.
painful	दर्दनाक	कट दर्दनाक था.
pale	पीला	उसका चेहरा पीला दिखा.
pan	पैन	पहले पैन गरम करो.
participate	भाग लेना	हर कोई भाग ले सकता है.
particularly	विशेष रूप से	मुझे यह गीत विशेष रूप से पसंद है.
passion	जुनून	संगीत उसका जुनून है.
path	रास्ता	पार्क के रास्ते पर चलो.
payment	भुगतान	भुगतान कल देय है.
peaceful	शांतिपूर्ण	बगीचा शांतिपूर्ण है.
percentage	प्रतिशत	छोटा प्रतिशत सहमत हुआ.
perfectly	पूरी तरह	योजना पूरी तरह सफल हुई.
performance	प्रदर्शन	उसका प्रदर्शन उत्कृष्ट था.
personally	व्यक्तिगत रूप से	व्यक्तिगत रूप से मुझे चाय पसंद है.
persuade	मनाना	क्या तुम उसे शामिल होने के लिए मना सकते हो?
photographer	फोटोग्राफर	फोटोग्राफर ने कई तस्वीरें लीं.
photography	फोटोग्राफी	फोटोग्राफी उसका पसंदीदा शौक है.
pin	पिन	नक्शे पर पिन लगाओ.
pipe	पाइप	पाइप पानी ले जाता है.
planning	योजना	योजना बनाने में समय लगता है.
pleasant	सुखद	हमारी शाम सुखद रही.
pleasure	खुशी	तुमसे मिलकर खुशी हुई.
plenty	बहुत	हमारे पास बहुत समय है.
plot	कथानक	कथानक समझना आसान था.
plus1	प्लस	दो प्लस तीन पाँच होते हैं.
poem	कविता	उसने छोटी कविता लिखी.
poet	कवि	कवि ने जोर से पढ़ा.
poetry	कविता	उसे आधुनिक कविता पसंद है.
poison	जहर	जहर बच्चों से दूर रखो.
poisonous	जहरीला	कुछ मशरूम जहरीले होते हैं.
policy	नीति	कंपनी ने अपनी नीति बदली.
political	राजनीतिक	भाषण राजनीतिक था.
politician	राजनीतिज्ञ	राजनीतिज्ञ ने सवालों के जवाब दिए.
politics	राजनीति	राजनीति जटिल हो सकती है.
port	बंदरगाह	जहाज बंदरगाह में आया.
portrait	चित्र	चित्र हॉल में टंगा है.
possibly	शायद	वह शायद देर से आएगी.
pot	गमला	पौधे को बड़ा गमला चाहिए.
pour	डालना	दूध धीरे से डालो.
poverty	गरीबी	कई परिवार गरीबी में रहते हैं.
powder	पाउडर	पाउडर पानी में डालो.
powerful	शक्तिशाली	इंजन शक्तिशाली है.
practical	व्यावहारिक	यह व्यावहारिक समाधान है.
pray	प्रार्थना करना	वे हर सुबह प्रार्थना करते हैं.
prayer	प्रार्थना	उसने शांत प्रार्थना की.
prediction	भविष्यवाणी	उसकी भविष्यवाणी सही थी.
prepared	तैयार	मैं परीक्षा के लिए तैयार हूँ.
presentation	प्रस्तुति	उसकी प्रस्तुति स्पष्ट थी.
press	दबाना	बटन एक बार दबाओ.
pressure	दबाव	दबाव स्वास्थ्य को प्रभावित कर सकता है.
pretend	दिखावा करना	सोने का दिखावा मत करो.
previous	पिछला	पिछला पाठ आसान था.
previously	पहले	हम पहले रोम में रहते थे.
priest	पुजारी	पुजारी धीरे बोला.
primary	मुख्य	स्वास्थ्य हमारी मुख्य चिंता है.
prince	राजकुमार	राजकुमार ने स्कूल का दौरा किया.
princess	राजकुमारी	राजकुमारी ने नीली पोशाक पहनी.
printing	छपाई	रिपोर्ट की छपाई में मिनट लगे.
prisoner	कैदी	कैदी रात में भाग गया.
private	निजी	यह निजी बातचीत है.
producer	निर्माता	निर्माता को फिल्म पसंद आई.
production	उत्पादन	उत्पादन अगले सप्ताह शुरू होगा.
profession	पेशा	शिक्षण सम्मानित पेशा है.
profit	लाभ	दुकान ने लाभ कमाया.
promote	बढ़ावा देना	वे स्वस्थ भोजन को बढ़ावा देते हैं.
proper	उचित	पैदल यात्रा के लिए उचित जूते पहनो.
properly	ठीक से	दरवाजा ठीक से बंद करो.
property	संपत्ति	उन्होंने नदी के पास संपत्ति खरीदी.
protest	विरोध	विरोध शांतिपूर्वक समाप्त हुआ.
proud	गर्वित	उसे अपने बेटे पर गर्व हुआ.
prove	साबित करना	क्या तुम अपना उत्तर साबित कर सकते हो?
punish	दंड देना	शिक्षक ने उसे दंड नहीं दिया.
punishment	दंड	दंड उचित लगा.
qualification	योग्यता	इस नौकरी के लिए योग्यता चाहिए.
qualified	योग्य	वह योग्य नर्स है.
qualify	योग्य होना	हमारी टीम योग्य हो सकती है.
queue	कतार	हम लंबी कतार में इंतजार करते रहे.
quit	छोड़ना	उसने धूम्रपान छोड़ने का फैसला किया.
quotation	उद्धरण	निबंध उद्धरण से शुरू होता है.
quote	उद्धृत करना	क्या मैं तुम्हारे शब्द उद्धृत कर सकता हूँ?
race (people)	नस्ल	फॉर्म नस्ल के बारे में पूछता है.
racing	दौड़	वहाँ घुड़दौड़ लोकप्रिय है.
