source_headword	TL	example_TL
crawl	gumapang	Nagsimulang gumapang ang sanggol sa ibabaw ng karpet.
creator	tagalikha	Nagpasalamat ang tagalikha sa lahat para sa kanilang suporta.
credibility	kredibilidad	Nawalan ng kredibilidad ang saksi habang tinatanong.
credible	kapani-paniwala	Nag-alok ang ulat ng kapani-paniwalang ebidensya.
creep	gumapang	Nagsimulang gumapang ang hamog sa lambak.
critique	kritika	Nagbigay ang propesor ng isang detalyadong kritika.
crown	korona	Nagsuot ang reyna ng isang pilak na korona.
crude	magaspang	Magaspang ngunit malinaw ang iginuhit.
crush	durugin	Maaaring durugin ng mabibigat na bato ang tubo.
crystal	kristal	Sinasalamin ng kristal ang liwanag ng umaga.
cult	kulto	Inibukod ng kulto ang mga miyembro nito.
cultivate	linangin	Nagtatanim ang mga magsasaka ng palay sa rehiyong ito.
curiosity	pag-uusisa	Dinala siya ng pag-uusisa sa agham.
custody	kustodiya	Nanatili ang bata sa kustodiya ng kanyang ama.
cutting	ginupit na artikulo	Nag-publish ang pahayagan ng isang ginupit na artikulo tungkol sa kanya.
cynical	sinikal	Ang kanyang sinikal na komento ay ikinagalit ng pangkat.
dam	dam	Pinipigilan ng dam ang tubig sa ilog.
damaging	nakakapinsala	Sinira ng nakakapinsalang artikulo ang kampanya.
dawn	madaling-araw	Umalis kami sa nayon nang madaling-araw.
debris	mga guho	Hinarangan ng mga guho mula sa bagyo ang kalsada.
debut	pasinaya	Umakit ng pambansang pansin ang kanyang pasinaya.
decision-making	paggawa ng desisyon	Ang mahusay na paggawa ng desisyon ay nangangailangan ng malinaw na impormasyon.
decisive	mapagpasya	Pinigilan ng kanyang mapagpasyang aksyon ang karagdagang pinsala.
declaration	deklarasyon	Binasa ng ministro ang isang pormal na deklarasyon.
dedicated	dedikado	Nagtrabaho magdamag ang dedikadong nars.
dedication	dedikasyon	Ang kanyang dedikasyon ay nagbigay-inspirasyon sa mga nakababatang manlalaro.
deed	gawa	Iniligtas ng matapang na gawa ang dalawang buhay.
deem	ituring	Maaaring ituring ng korte na walang bisa ang kontrata.
default	default	Gamitin muna ang default na seting sa ngayon.
defect	depekto	Nakahanap ng seryosong depekto ang mga inspektor.
defensive	depensibo	Nagulat ang lahat sa kanyang depensibong tono.
