source_headword	PL	example_PL
absolutely	absolutnie	Absolutnie się z tobą zgadzam.
academic	akademicki	Rok akademicki zaczyna się we wrześniu.
access	dostęp	Uczniowie potrzebują dostępu do biblioteki.
accommodation	zakwaterowanie	Zarezerwowaliśmy zakwaterowanie blisko stacji.
account	konto	Ona otworzyła nowe konto bankowe.
achievement	osiągnięcie	Ukończenie kursu było dużym osiągnięciem.
ad	reklama	Reklama pokazała nowy telefon.
addition	dodatek	Basen jest użytecznym dodatkiem.
admire	podziwiać	Podziwiam jej spokojne nastawienie.
admit	przyznać	On przyznał się do błędu.
advanced	zaawansowany	To jest zaawansowana klasa angielskiego.
advise	radzić	Lekarze radzą regularne ćwiczenia.
afford	stać	Kogoś nie stać na taksówkę.
aged	w wieku	Kurs jest dla dzieci w wieku dziesięciu lat.
agent	agent	Agent podróży zmienił nasze bilety.
agreement	porozumienie	Oni osiągnęli porozumienie dzisiaj.
ahead	przed nami	Droga przed nami jest czysta.
aim	dążyć	Dążymy do szybkiego zakończenia.
alarm	alarm	Alarm zadzwonił o szóstej.
album	album	Ten album ma dziesięć piosenek.
alcohol	alkohol	Hotel nie podaje alkoholu.
alcoholic	alkoholowy	Ten napój nie jest alkoholowy.
amazed	zachwycony	Ona była zachwycona wynikiem.
ambition	ambicja	Jego ambicją jest zostać pilotem.
ambitious	ambitny	Ona ma ambitny plan.
analyse	analizować	Musimy przeanalizować wyniki.
analysis	analiza	Jej analiza była jasna i staranna.
announce	ogłosić	Oni ogłoszą zwycięzcę jutro.
announcement	ogłoszenie	Ogłoszenie zaskoczyło wszystkich.
annoy	denerwować	Głośna muzyka może denerwować sąsiadów.
annoyed	zirytowany	On wyglądał na zirytowanego po opóźnieniu.
annoying	irytujący	Ten dźwięk jest naprawdę irytujący.
apart	oddzielnie	Domy stoją dwa metry od siebie.
apologize	przeprosić	Przepraszam za spóźnienie.
application	wniosek	Proszę wypełnić wniosek online.
appointment	wizyta	Mam jutro wizytę u dentysty.
appreciate	doceniać	Doceniam twoją pomoc.
approximately	około	Spacer zajmuje około dwudziestu minut.
arrest	aresztować	Policja aresztowała kierowcę.
arrival	przyjazd	Nasz przyjazd był późniejszy niż oczekiwano.
assignment	zadanie	Zadanie jest na piątek.
assist	pomagać	Pielęgniarki pomagają lekarzowi.
atmosphere	atmosfera	Kawiarnia ma spokojną atmosferę.
attach	załączyć	Załącz plik do e-maila.
attitude	nastawienie	Jej nastawienie zmieniło się po spotkaniu.
attract	przyciągać	Jasne kwiaty przyciągają pszczoły.
attraction	atrakcja	Zamek jest popularną atrakcją.
authority	władza	Lokalna władza naprawiła drogę.
aware	świadomy	Ona jest świadoma ryzyka.
backwards	do tyłu	On ostrożnie szedł do tyłu.
bake	piec	Piekę chleb w każdą niedzielę.
balance	równowaga	Dobre buty pomagają utrzymać równowagę.
ban	zakazać	Miasto zakaże samochodów.
bank (river)	brzeg rzeki	Siedzieliśmy na brzegu rzeki.
base	baza	Zespół wrócił do bazy.
basic	podstawowy	Każdy potrzebuje podstawowych umiejętności komputerowych.
basis	podstawa	Zaufanie jest podstawą przyjaźni.
battery	bateria	Bateria mojego telefonu jest słaba.
battle	bitwa	Bitwa trwała całą noc.
beauty	piękno	Podziwialiśmy piękno gór.
bee	pszczoła	Pszczoła usiadła na kwiatku.
belief	przekonanie	Jego przekonanie dodało mu odwagi.
bell	dzwonek	Szkolny dzwonek zabrzmiał głośno.
bend	zginać	Zegnij kolana, gdy podnosisz.
bite	gryźć	Pies może gryźć obcych.
block	blok	Powalone drzewo zablokowało drogę.
bomb	bomba	Bomba uszkodziła kilka budynków.
border	granica	Oni przekroczyli granicę nocą.
bother	przeszkadzać	Proszę, nie przeszkadzaj siostrze.
branch	gałąź	Gałąź złamała się podczas burzy.
brand	marka	Ta marka jest popularna wśród studentów.
brave	odważny	Odważny mężczyzna uratował dziecko.
breath	oddech	Weź głęboki oddech.
breathe	oddychać	Nie mogę oddychać w tym dymie.
breathing	oddychanie	Jej oddychanie było powolne.
bride	panna młoda	Panna młoda miała białą suknię.
bubble	bańka	Bańka unosiła się nad szklanką.
bury	zakopać	Oni zakopali pudełko w piasku.
calm	spokojny	Zachowaj spokój podczas egzaminu.
campaign	kampania	Kampania zebrała pieniądze dla szkół.
campus	kampus	Studenci mieszkają blisko kampusu.
candidate	kandydat	Każdy kandydat odpowiedział na trzy pytania.
cap	czapka	On nosił czapkę baseballową.
captain	kapitan	Kapitan mówił do zespołu.
careless	nieostrożny	Nieostrożny błąd kosztował nas czas.
category	kategoria	Wybierz właściwą kategorię.
ceiling	sufit	Sufit pomalowano na biało.
celebration	uroczystość	Uroczystość trwała cały wieczór.
central	centralny	Hotel ma centralną lokalizację.
ceremony	ceremonia	Ceremonia zaczęła się w południe.
chain	łańcuch	Ona nosiła srebrny łańcuch.
challenge	wyzwanie	Ten projekt jest prawdziwym wyzwaniem.
champion	mistrz	Mistrz podziękował swojej trenerce.
channel	kanał	Proszę, zmień kanał.
chapter	rozdział	Przeczytaj następny rozdział dziś wieczorem.
charge	opłata	Nie ma opłaty za dzieci.
cheat	oszukiwać	Nie oszukuj na teście.
cheerful	pogodny	Ona brzmiała pogodnie tego ranka.
chemical	chemiczny	Chemiczny zapach był silny.
chest	klatka piersiowa	Bolała go klatka piersiowa po biegu.
childhood	dzieciństwo	Pamiętam dom z dzieciństwa.
claim	twierdzić	Oni twierdzą, że produkt jest bezpieczny.
clause	klauzula	Ta klauzula zmienia znaczenie.
click	kliknąć	Kliknij niebieski przycisk.
client	klient	Klient poprosił o więcej szczegółów.
cloth	ściereczka	Wytrzyj stół tą ściereczką.
clue	wskazówka	Wskazówka pomogła nam to rozwiązać.
coal	węgiel	Stary pociąg używał węgla.
coin	moneta	On znalazł monetę na podłodze.
collection	kolekcja	Jej kolekcja znaczków jest duża.
coloured	kolorowy	Ona nosiła kolorowy szalik.
combine	połączyć	Połącz mąkę i wodę.
commercial	komercyjny	Przerwa reklamowa trwała pięć minut.
commit	zobowiązać się	Musimy zobowiązać się do planu.
communication	komunikacja	Dobra komunikacja zapobiega błędom.
comparison	porównanie	To porównanie jest użyteczne.
competitive	konkurencyjny	Rynek jest bardzo konkurencyjny.
competitor	konkurent	Nasz główny konkurent obniżył ceny.
complaint	skarga	Ona złożyła skargę na hałas.
complex	złożony	Instrukcje są zbyt złożone.
concentrate	skoncentrować się	Nie mogę się skoncentrować przy muzyce.
conclude	zakończyć	Teraz zakończymy spotkanie.
conclusion	wniosek	Jego wniosek wydawał się rozsądny.
confident	pewny siebie	Ona czuła się pewna siebie przed rozmową.
confirm	potwierdzić	Proszę potwierdzić swój adres e-mail.
confuse	mylić	Te dwa imiona mnie mylą.
confused	zdezorientowany	Czułem się zdezorientowany przez mapę.
connection	połączenie	Połączenie internetowe jest wolne.
consequence	konsekwencja	Brak snu ma konsekwencję.
consist	składać się	Posiłek składa się z trzech dań.
consume	zużywać	Duże samochody zużywają więcej paliwa.
consumer	konsument	Konsument chce jasnych informacji.
contact	skontaktować się	Skontaktuj się ze mną po lunchu.
container	pojemnik	Włóż zupę do pojemnika.
content1	treść	Treść kursu jest użyteczna.
continuous	ciągły	Maszyna wydawała ciągły hałas.
contrast	kontrast	Kontrast między nimi jest jasny.
convenient	wygodny	Stacja jest bardzo wygodna.
convince	przekonać	Ona przekonała go, żeby spróbował ponownie.
costume	kostium	On miał kostium pirata.
cottage	domek	Wynajęli mały domek.
cotton	bawełna	Ta koszula jest z bawełny.
countryside	wieś	Spacerowaliśmy przez wieś.
court	sąd	Sprawa trafiła do sądu.
covered	pokryty	Stół był pokryty papierami.
cruel	okrutny	Śmianie się było okrutne.
cultural	kulturalny	Muzeum oferuje wydarzenia kulturalne.
currency	waluta	Lokalną walutą jest euro.
current	obecny	Obecna sytuacja jest trudna.
currently	obecnie	Ona obecnie studiuje za granicą.
curtain	zasłona	Zamknij zasłonę w nocy.
custom	zwyczaj	Ten zwyczaj jest bardzo stary.
damage	uszkodzenie	Burza spowodowała poważne uszkodzenia.
decade	dekada	Oni mieszkali tam przez dekadę.
decorate	dekorować	Dekorujemy pokój razem.
define	zdefiniować	Czy możesz zdefiniować ten termin?
definite	konkretny	Potrzebujemy konkretnej odpowiedzi.
definition	definicja	Napisz definicję w zeszycie.
deliver	dostarczać	Oni dostarczają jedzenie do naszego domu.
departure	odjazd	Godzina odjazdu się zmieniła.
despite	pomimo	Pomimo deszczu szliśmy dalej.
destination	cel	Paryż był ich ostatecznym celem.
determine	określać	Testy określają twój poziom.
determined	zdeterminowany	Ona była zdeterminowana, żeby odnieść sukces.
development	rozwój	Rozwój miasta był szybki.
diagram	diagram	Narysuj prosty diagram.
diamond	diament	Pierścionek miał mały diament.
difficulty	trudność	On miał trudność z otwarciem drzwi.
directly	bezpośrednio	Proszę mówić bezpośrednio do mnie.
dirt	brud	Jego buty były pokryte brudem.
disadvantage	wada	Długa podróż jest wadą.
disappointed	rozczarowany	Ona była rozczarowana wynikiem.
disappointing	rozczarowujący	Zakończenie było rozczarowujące.
discount	zniżka	Studenci dostają tutaj zniżkę.
dislike	nie lubić	Nie lubię bardzo głośnej muzyki.
divide	podzielić	Podziel ciasto na kawałki.
documentary	dokument	Oglądaliśmy dokument o kosmosie.
donate	oddać	Wiele osób oddaje stare ubrania.
doubt	wątpliwość	Nie mam co do tego wątpliwości.
dressed	ubrany	On był ubrany na czarno.
drum	bęben	Bęben brzmiał w całym pokoju.
drunk	pijany	Kierowca był pijany.
due	należny	Raport jest należny jutro.
dust	kurz	Kurz pokrył stare książki.
duty	obowiązek	Moim obowiązkiem jest pomagać.
earthquake	trzęsienie ziemi	Trzęsienie ziemi uszkodziło most.
eastern	wschodni	Wschodnie wybrzeże jest wietrzne.
economic	gospodarczy	Kraj ma problemy gospodarcze.
economy	gospodarka	Gospodarka wzrosła w tym roku.
edge	krawędź	Stań z dala od krawędzi.
editor	redaktor	Redaktor sprawdził artykuł.
educate	edukować	Szkoły edukują młodych ludzi.
educated	wykształcony	Ona jest wysoko wykształcona.
educational	edukacyjny	Gra jest edukacyjna.
effective	skuteczny	Ten lek jest skuteczny.
effectively	skutecznie	Ona skutecznie wyjaśniła zasadę.
effort	wysiłek	Twój wysiłek zrobił różnicę.
election	wybory	Wynik wyborów był bliski.
element	element	Zaufanie jest ważnym elementem.
embarrassed	zawstydzony	On poczuł się zawstydzony po upadku.
embarrassing	krępujący	To był krępujący błąd.
emergency	nagły wypadek	Zadzwoń pod ten numer w nagłym wypadku.
emotion	emocja	Strach jest silną emocją.
employment	zatrudnienie	Zatrudnienie wzrosło w tym miesiącu.
encourage	zachęcać	Nauczyciele zachęcają uczniów do czytania.
enemy	wróg	Te dwa kraje były wrogami.
engaged	zaręczony	Oni zaręczyli się zeszłej wiosny.
engineering	inżynieria	Ona studiuje inżynierię na uniwersytecie.
entertain	bawić	Piosenkarz będzie bawić gości.
entertainment	rozrywka	Miasto oferuje wieczorną rozrywkę.
entrance	wejście	Spotkaj się ze mną przy wejściu.
entry	wstęp	Wstęp jest darmowy dla dzieci.
environmental	środowiskowy	Rozmawialiśmy o problemach środowiskowych.
episode	odcinek	Ostatni odcinek był ekscytujący.
equal	równy	Oni otrzymują równą płacę.
equally	równo	Praca jest dzielona równo.
escape	uciec	Więźniowie próbowali uciec.
essential	niezbędny	Woda jest niezbędna do życia.
eventually	w końcu	W końcu znaleźliśmy hotel.
examine	badać	Lekarz zbadał moje ramię.
exchange	wymiana	Zrobiliśmy wymianę w sklepie.
excitement	podekscytowanie	Gra była pełna podekscytowania.
exhibition	wystawa	Wystawa sztuki otwiera się jutro.
expand	rozszerzać	Firma planuje się rozszerzać.
expected	oczekiwany	Oczekiwany koszt jest wysoki.
expedition	wyprawa	Wyprawa przeszła przez pustynię.
experienced	doświadczony	Ona jest doświadczoną pielęgniarką.
explode	eksplodować	Butelka może eksplodować pod wpływem ciepła.
explore	zwiedzać	Zwiedzaliśmy stare miasto.
explosion	eksplozja	Eksplozja wybiła kilka okien.
export	eksport	Kawa jest ważnym eksportem.
fairly	dość	Test był dość łatwy.
familiar	znajomy	Jej twarz wyglądała znajomo.
fancy	mieć ochotę	Masz ochotę na kawę?
fascinating	fascynujący	Historia była fascynująca.
fashionable	modny	Te buty są modne.
fasten	zapiąć	Zapnij pas bezpieczeństwa.
favour	przysługa	Czy możesz wyświadczyć mi przysługę?
fence	płot	Płot otacza ogród.
fighting	walka	Walka ustała o świcie.
file	plik	Zapisz plik przed zamknięciem.
financial	finansowy	Ona potrzebuje porady finansowej.
fitness	kondycja	Bieganie poprawia twoją kondycję.
fixed	stały	Cena jest stała.
flag	flaga	Flaga powiewała nad szkołą.
flood	powódź	Powódź uszkodziła wiele domów.
flour	mąka	Dodaj mąkę do miski.
flow	płynąć	Rzeka płynie przez miasto.
fold	złożyć	Złóż papier na pół.
folk	ludowy	Muzyka ludowa wypełniła salę.
force	siła	Wiatr miał wielką siłę.
forever	na zawsze	Będę to pamiętać na zawsze.
frame	ramka	Zdjęcie potrzebuje ramki.
freeze	zamarzać	Woda zamarznie przez noc.
frequently	często	On często odwiedza rodziców.
friendship	przyjaźń	Ich przyjaźń trwała przez lata.
frighten	przestraszyć	Głośne dźwięki przestraszą dziecko.
frightened	przestraszony	Dziecko wyglądało na przestraszone.
frightening	przerażający	Burza była przerażająca.
frozen	zamarznięty	Jezioro było zamarznięte.
fry	smażyć	Smaż cebulę przez pięć minut.
fuel	paliwo	Samochód potrzebuje więcej paliwa.
function	funkcja	Ten przycisk ma jedną funkcję.
fur	futro	Kot ma miękkie futro.
garage	garaż	Samochód jest w garażu.
gather	zebrać się	Zebraliśmy się wokół stołu.
generally	ogólnie	Ona ogólnie przychodzi wcześnie.
generation	pokolenie	Każde pokolenie mierzy się z nowymi problemami.
generous	hojny	On jest hojny ze swoim czasem.
gentle	łagodny	Użyj łagodnego głosu.
gentleman	dżentelmen	Dżentelmen otworzył drzwi.
ghost	duch	Historia wspomina ducha.
giant	olbrzymi	Olbrzymi ekran wypełnił scenę.
glad	zadowolony	Cieszę się, że przyszedłeś.
global	globalny	Zmiana klimatu jest globalnym problemem.
glove	rękawiczka	Zgubiłem jedną rękawiczkę.
goods	towary	Towary dotarły późno.
grade	ocena	Ona dostała wysoką ocenę.
graduate	absolwent	On jest niedawnym absolwentem.
grain	ziarno	Ziarno ryżu spadło.
grateful	wdzięczny	Jestem wdzięczny za twoje wsparcie.
growth	wzrost	Roślina pokazała stały wzrost.
guard	strażnik	Strażnik sprawdził nasze bilety.
guilty	winny	On czuł się winny z powodu kłamstwa.
hang	powiesić	Powieś tutaj płaszcz.
happiness	szczęście	Pieniądze nie kupią szczęścia.
hardly	prawie nie	Prawie nie mogłem cię usłyszeć.
headline	nagłówek	Nagłówek przyciągnął moją uwagę.
heating	ogrzewanie	Ogrzewanie przestało działać.
heavily	mocno	Deszcz padał mocno całą noc.
helicopter	helikopter	Helikopter wylądował w pobliżu.
highlight	podkreślić	Podkreśl główną myśl.
highly	bardzo	Ona jest bardzo szanowana.
hire	wynająć	Musimy wynająć samochód.
historic	historyczny	Odwiedziliśmy historyczny budynek.
historical	historyczny	Ona kocha powieści historyczne.
honest	szczery	Proszę, daj szczerą odpowiedź.
horrible	okropny	Zapach był okropny.
horror	horror	On lubi horrory.
host	gospodarz	Gospodarz powitał każdego gościa.
