source_headword	CS	example_CS
abolish	zrušit	Zákon zruší starý poplatek.
abortion	potrat	Potrat zůstává citlivým lékařským problémem.
absence	nepřítomnost	Její nepřítomnost zdržela konečné rozhodnutí.
absent	nepřítomný	Dva členové byli z hodiny nepřítomní.
absurd	absurdní	To tvrzení znělo všem absurdně.
abundance	hojnost	Údolí má hojnost vody.
abuse	zneužití	Zpráva popisovala zneužití na pracovišti.
academy	akademie	Akademie školí mladé hudebníky.
accelerate	urychlit	Nové financování urychlí výzkum.
acceptance	přijetí	Jeho přijetí kritiky na mě udělalo dojem.
accessible	přístupný	Muzeum je přístupné vozíčkářům.
accomplishment	úspěch	Dokončení knihy byl skutečný úspěch.
accordance	soulad	Práce byla provedena v souladu s politikou.
accordingly	podle toho	Důkazy se změnily a my jsme podle toho jednali.
accountability	odpovědnost	Zásady zvyšují odpovědnost manažerů.
accountable	odpovědný	Manažeři jsou odpovědní za bezpečnost.
accumulate	hromadit se	Za obrazovkou se může hromadit prach.
accumulation	hromadění	Hromadění dat trvalo měsíce.
accusation	obvinění	Obvinění šokovalo komisi.
accused	obviněný	Obviněný se dostavil k soudu.
acquisition	akvizice	Akvizice společnost rychle rozšířila.
acre	akr	Farma se rozkládá na jednom akru.
activation	aktivace	Aktivace karty trvá několik minut.
activist	aktivista	Aktivista promluvil na shromáždění.
acute	akutní	Po běhu cítila akutní bolest.
adaptation	adaptace	Adaptace změnila konec románu.
adhere	dodržovat	Zaměstnanci musí dodržovat bezpečnostní pravidla.
adjacent	přilehlý	Hotel je přilehlý k nádraží.
adjustment	úprava	Malá úprava problém vyřešila.
administer	podávat	Zdravotní sestry podávají vakcínu opatrně.
administrative	administrativní	Administrativní personál vyřizuje formuláře.
administrator	administrátor	Administrátor mi resetoval heslo.
admission	vstupné	Vstupné do muzea je zdarma.
adolescent	dospívající	Dospívající potřeboval zvláštní podporu.
adoption	adopce	Adopce poskytla dítěti stabilní domov.
adverse	nepříznivý	Lék způsobil nepříznivé účinky.
advocate	zastánce	Zastánce hájil práva nájemníků.
aesthetic	estetický	Místnost má klidný estetický styl.
affection	náklonnost	Projevila náklonnost ke své rodině.
aftermath	následky	Následky bouře byly těžké.
aggression	agrese	Učitel si všiml agrese o přestávce.
