source_headword	AZ	example_AZ
absorb	mənimsəmə	Dəsmal suyu tez hopdurur.
abstract	mücərrəd	Mühazirədə mücərrəd ideyalar müzakirə olundu.
accent	ləhcə	Onun ləhcəsini başa düşmək asandır.
accidentally	təsadüfən	Mən faylı təsadüfən sildim.
accommodate	uyğunlaşdırmaq	Otel böyük ailələri yerləşdirə bilər.
accomplish	tamamlamaq	O, iyun ayından əvvəl məqsədinə nail oldu.
accountant	mühasib	Mühasib qaiməni yoxladı.
accuracy	dəqiqlik	Test oxuma dəqiqliyini ölçür.
accurately	dəqiqliklə	Xəritə marşrutu dəqiq göstərir.
acid	turşu	Turşu metal səthini zədələdi.
activate	aktivləşdirmək	Siqnalizasiyanı aktivləşdirmək üçün düyməni basın.
addiction	asılılıq	Onun asılılığı işinə təsir etdi.
additionally	əlavə olaraq	Əlavə olaraq bizim daha çox stula ehtiyacımız var.
adequate	yetərli	Otaqda kifayət qədər işıq var.
adequately	yetərincə	Hesabat problemi lazımi səviyyədə izah etdi.
adjust	tənzimləmək	Maşını sürməzdən əvvəl oturacağı tənzimləyin.
affordable	sərfəli	Mənzil tələbələr üçün sərfəlidir.
agriculture	kənd təsərrüfatı	Kənd təsərrüfatı bir çox kəndli ailəsini dolandırır.
AIDS	QİÇS	Həkimlər QİÇS-i müasir təbabətlə müalicə edirlər.
alien	yadplanetli	Film yad planeti göstərir.
alongside	yanında	Velosiped yolu çayın kənarı ilə uzanır.
altogether	tamamilə	Ümumilikdə, layihə altı həftə çəkdi.
ambulance	təcili yardım	Təcili yardım bir neçə dəqiqə ərzində gəldi.
amusing	əyləncəli	Hekayə əyləncəli və yüngül idi.
analyst	analitik	Analitik satış məlumatlarını nəzərdən keçirdi.
ancestor	əcdad	Mənim əcdadım bu kəndin yaxınlığında yaşayıb.
animation	animasiya	Animasiya dərsi daha aydın etdi.
annually	illik olaraq	Festival hər il keçirilir.
anticipate	qabaqcadan görmək	Biz sabah güclü tıxac olacağını gözləyirik.
anxiety	təşviş	Narahatlıq yatmağı çətinləşdirə bilər.
apology	üzr	O, səmimi şəkildə üzr istədi.
