source_headword	LV	example_LV
prey	medījums	Pūces medī medījumu naktī.
privatization	privatizācija	Privatizācija mainīja dzelzceļa sistēmu.
privilege	privilēģija	Izglītībai nevajadzētu būt privilēģijai.
probe	izmeklēšana	Izmeklēšana atklāja nopietnas kļūdas.
problematic	problemātisks	Vienošanās joprojām ir problemātiska.
proceedings	tiesvedība	Tiesvedība sākās pirmdien.
proceeds	ieņēmumi	Ieņēmumi atbalstīs vietējās skolas.
processing	apstrāde	Attēlu apstrāde aizņem laiku.
processor	procesors	Procesors testēšanas laikā sabojājās.
proclaim	pasludināt	Līderi pārāk agri pasludina uzvaru.
productive	produktīvs	Sanāksme bija produktīva.
productivity	produktivitāte	Pēc apmācībām produktivitāte uzlabojās.
profitable	ienesīgs	Šogad veikals kļuva ienesīgs.
profound	dziļš	Runai bija dziļa ietekme.
projection	prognoze	Prognoze uzrāda stabilu izaugsmi.
prominent	ievērojams	Viņa kļuva par ievērojamu zinātnieci.
pronounced	izteikts	Viņa akcents kļuva izteiktāks.
propaganda	propaganda	Kampaņā tiešsaistē tika izmantota propaganda.
proposition	priekšlikums	Priekšlikums ir riskants pasākums.
prosecute	saukt pie kriminālatbildības	Amatpersonas sauc pie kriminālatbildības par nopietniem krāpšanas gadījumiem.
prosecution	apsūdzība	Apsūdzība iesniedza jaunus pierādījumus.
prosecutor	prokurors	Prokurors nopratināja liecinieku.
prospective	potenciāls	Potenciālie studenti apskatīja universitātes pilsētiņu.
prosperity	labklājība	Tirdzniecība reģionam atnesa labklājību.
protective	aizsargājošs	Viņa valkāja aizsargcimdus.
protocol	protokols	Protokols pieprasa rakstisku apstiprinājumu.
province	province	Province ieguldīja transportā.
provincial	provinces	Provinces amatpersonas paziņoja par plānu.
provision	noteikums	Līgumā ir iekļauts drošības noteikums.
provoke	izprovocēt	Runa var izprovocēt spēcīgas reakcijas.
psychiatric	psihiatrisks	Slimnīca atvēra psihiatrisko nodaļu.
pulse	pulss	Māsiņa pārbaudīja viņa pulsu.
pump	sūknis	Sūknis pārvieto ūdeni uz augšu.
punch	sitiens	Viņš dusmās izdarīja sitienu.
query	jautājums	Nosūtiet savu jautājumu atbalsta dienestam.
quest	meklējumi	Viņu taisnīguma meklējumi turpinājās.
quota	kvota	Komanda izpildīja savu pārdošanas kvotu.
radar	radars	Vētra parādījās radarā.
radical	radikāls	Grupa ierosināja radikālas reformas.
rage	dusmas	Viņa dusmas ātri izzuda.
raid	reids	Policija rītausmā veica reidu.
rally	mītiņš	Atbalstītāji pievienojās mītiņam pilsētas centrā.
ranking	reitings	Universitāte uzlaboja savu reitingu.
rape	izvarošana	Izvarošanas gadījumiem nepieciešama rūpīga izmeklēšana.
ratio	attiecība	Klasē ir zema skolotāju attiecība.
rational	racionāls	Viņas lēmums bija racionāls.
ray	stars	Iespīdēja saules stars.
readily	labprāt	Viņš labprāt pieņēma piedāvājumu.
realization	apziņa	Apziņa mainīja viņas plānus.
realm	joma	Šis jautājums pieder citai jomai.
rear	aizmugurējs	Šodien izmantojiet aizmugurējo ieeju.
reasoning	spriešana	Viņa spriešana bija skaidra.
reassure	nomierināt	Ārsts centās viņu nomierināt.
rebel	nemiernieks	Nemiernieku līderis izbēga no sagūstīšanas.
rebellion	sacelšanās	Sacelšanās beidzās pēc sarunām.
recipient	saņēmējs	Saņēmējs parakstīja veidlapu.
