source_headword	NL	example_NL
toss	gooien	Ze gooide de sleutels op tafel.
total	bedragen	De reparaties bedragen meer dan verwacht.
toxic	giftig	De giftige rook dwong iedereen naar buiten.
trademark	het handelsmerk	Het logo werd het handelsmerk van het bedrijf.
trail	het pad	Het pad leidde door het bos.
trailer	de trailer	De trailer toonde het einde van de film.
transaction	de transactie	De transactie verscheen op mijn bankafschrift.
transcript	de cijferlijst	De student vroeg een officiële cijferlijst aan.
transformation	de transformatie	De stad onderging een grote transformatie.
transit	het transport	Het pakket raakte beschadigd tijdens het transport.
transmission	de transmissie	De transmissie van gegevens was veilig.
transparency	de transparantie	Het rapport pleitte voor meer transparantie.
transparent	transparant	Het proces moet voor iedereen transparant zijn.
trauma	het trauma	Het ongeluk liet een diep trauma achter.
treaty	het verdrag	De landen ondertekenden een vredesverdrag.
tremendous	enorm	Het team heeft enorme vooruitgang geboekt.
tribal	tribaal	Het museum toonde tribale kunst.
tribunal	het tribunaal	Het tribunaal hoorde de hele week bewijsmateriaal aan.
tribute	het eerbetoon	Het concert was een eerbetoon aan haar.
trio	het trio	Het trio trad op tijdens het festival.
triumph	de triomf	De overwinning was een persoonlijke triomf.
trophy	de trofee	De aanvoerder hief de trofee trots op.
troubled	noodlijdend	Het noodlijdende bedrijf had nieuw leiderschap nodig.
trustee	de beheerder	De beheerder beheert het beurzenfonds.
tuition	het collegegeld	Haar collegegeld is dit jaar verhoogd.
turnout	de opkomst	De opkomst van de kiezers was hoger dan verwacht.
turnover	het verloop	Het personeelsverloop daalde na de veranderingen.
twist	draaien	Ze draaide het deksel open.
undergraduate	de bachelorstudent	De bachelorstudent sloot zich aan bij een onderzoeksproject.
underlying	onderliggend	Het rapport legde de onderliggende oorzaken uit.
undermine	ondermijnen	Het schandaal ondermijnde het publieke vertrouwen.
undoubtedly	ongetwijfeld	Ze is ongetwijfeld de beste kandidaat.
unify	verenigen	Het plan is bedoeld om de teams te verenigen.
unprecedented	ongekend	De storm veroorzaakte ongekende schade.
unveil	onthullen	Het bedrijf zal het ontwerp morgen onthullen.
upcoming	aankomend	De aankomende verkiezing trok de publieke aandacht.
