source_headword	ES	example_ES
fridge	el refrigerador; la nevera	La leche está en el refrigerador.
frog	la rana	Una rana saltó al estanque.
furniture	los muebles; el mobiliario	Estos muebles son viejos pero resistentes.
further	más; adicional	Necesitamos más información.
gallery	la galería	La galería está abierta hoy.
gap	el hueco; la brecha	Hay un hueco en la pared.
gas	la gasolina; el gas	El coche necesita gasolina.
gate	la puerta; la verja	Cierra la puerta, por favor.
general	general	Esta es una regla general.
gift	el regalo	Ella compró un regalo.
goal	la meta; el gol	Nuestra meta es simple.
god	Dios; el dios	Muchas personas rezan a Dios.
gold	el oro; dorado	El anillo es de oro.
golf	el golf	Él juega al golf hoy.
government	el gobierno	El gobierno cambió la ley.
grass	la hierba; el césped	El césped está mojado.
greet	saludar	Saluda a cada invitado con cortesía.
ground	el suelo; la tierra	Siéntate en el suelo.
guest	el invitado; la invitada	Nuestro invitado llegó temprano.
guide	el guía; la guía; guiar	El guía nos mostró el museo.
gun	el arma; la pistola	La policía encontró una pistola.
guy	el tipo; el chico	Ese chico es mi hermano.
habit	el hábito	Leer a diario es un buen hábito.
hall	el pasillo; el salón	Espera en el pasillo.
happily	felizmente; contento	Vivieron felizmente juntos.
headache	el dolor de cabeza	Tengo dolor de cabeza.
heart	el corazón	Su corazón late rápido.
heat	calentar; el calor	Calienta la sopa lentamente.
heavy	pesado	Esta bolsa es pesada.
height	la altura	Mide la altura de la mesa.
helpful	útil	Tu consejo fue útil.
hero	el héroe; la heroína	Él es mi héroe.
hers	suyo; de ella	El abrigo azul es suyo.
herself	ella misma; sí misma	Ella preparó la cena ella misma.
hide	esconder; ocultar	Esconde la llave debajo de la caja.
hill	la colina	Subimos la colina.
himself	él mismo; sí mismo	Él lo arregló él mismo.
hit	golpear; el golpe	No golpees la puerta.
hockey	el hockey	Vimos hockey anoche.
hold	sostener; sujetar	Sostén mi mano.
hole	el agujero	Hay un agujero en mi calcetín.
huge	enorme	La habitación es enorme.
human	el ser humano; humano	Todo ser humano necesita agua.
hurt	doler; lastimar	Me duele la rodilla.
ideal	ideal	Esta habitación es ideal para estudiar.
identify	identificar	¿Puedes identificar este pájaro?
ill	enfermo	Ella se siente enferma hoy.
illness	la enfermedad	La enfermedad duró una semana.
image	la imagen	La imagen es clara.
immediately	inmediatamente	Ven aquí inmediatamente.
impossible	imposible	Este rompecabezas parece imposible.
included	incluido	El desayuno está incluido.
including	incluyendo	Vinieron diez personas, incluyéndome a mí.
increase	aumentar; el aumento	Los precios aumentan en verano.
incredible	increíble	La vista fue increíble.
independent	independiente	Mi hermana es independiente.
individual	el individuo; individual	Cada individuo tiene un número.
industry	la industria	La industria local está creciendo.
informal	informal	Este correo es informal.
injury	la lesión	Su lesión no es grave.
insect	el insecto	Un insecto cayó en la taza.
inside	dentro; en el interior	Espera dentro de la casa.
instead	en cambio; en su lugar	Bebe agua en su lugar.
instruction	la instrucción	Lee cada instrucción con cuidado.
instructor	el instructor; la instructora	El instructor explicó el ejercicio.
instrument	el instrumento	Ella toca un instrumento.
intelligent	inteligente	Él es un estudiante inteligente.
international	internacional	Este es un aeropuerto internacional.
introduction	la introducción; la presentación	La introducción fue corta.
invent	inventar	Los niños pueden inventar juegos nuevos.
invention	el invento; la invención	El invento ahorró tiempo.
invitation	la invitación	Recibí una invitación.
invite	invitar	Invita también a tu amigo.
involve	incluir; implicar	El trabajo incluirá viajes.
item	el artículo; el objeto	Elige un artículo.
itself	por sí mismo; sí mismo	La máquina se apaga sola.
jam	la mermelada	Pon mermelada en el pan.
jazz	el jazz	El jazz suena muy bien esta noche.
jewellery	las joyas	Ella guarda las joyas en una caja.
joke	el chiste; la broma	Cuéntame un chiste.
journalist	el periodista; la periodista	El periodista hizo preguntas.
jump	saltar; el salto	Salta sobre la línea.
kid	el niño; la niña	El niño se está riendo.
kill	matar	No mates al insecto.
king	el rey	El rey vivía en un palacio.
knee	la rodilla	Me duele la rodilla.
knife	el cuchillo	Usa un cuchillo afilado.
knock	golpear; llamar a la puerta	Llama antes de entrar.
knowledge	el conocimiento	El conocimiento crece con la práctica.
lab	el laboratorio	El laboratorio está cerrado.
lady	la señora; la dama	La señora nos sonrió.
lake	el lago	El lago está tranquilo.
lamp	la lámpara	Enciende la lámpara.
laptop	la computadora portátil; el portátil	Mi portátil es nuevo.
last1 (taking time)	durar	La película dura dos horas.
laughter	la risa	Oímos risas afuera.
law	la ley	La ley cambió ayer.
lawyer	el abogado; la abogada	El abogado me llamó.
lazy	perezoso	No seas perezoso.
lead1	liderar; guiar	Los buenos líderes guían con el ejemplo.
leader	el líder; la líder	Ella es la líder del equipo.
learning	el aprendizaje	El aprendizaje lleva tiempo.
least	el menos; la menor cantidad	Elige la opción menos cara.
lecture	la conferencia; la clase	La conferencia empieza a las diez.
lemon	el limón	Añade limón al té.
lend	prestar	¿Puedes prestarme cinco dólares?
less	menos	Come menos azúcar.
level	el nivel	Este nivel es fácil.
lifestyle	el estilo de vida	Él tiene un estilo de vida saludable.
lift	levantar; el ascensor	Levanta la caja con cuidado.
light	encender	Enciende la vela con cuidado.
light (not heavy)	ligero	Esta bolsa es ligera.
likely	probable	Es probable que llueva mañana.
link	el enlace	Envíame el enlace.
listener	el oyente; la oyente	Sé un buen oyente.
lock	cerrar con llave; la cerradura	Cierra la puerta con llave.
lorry	el camión	El camión llevaba cajas.
lost	perdido	Estamos perdidos.
loud	fuerte; ruidoso	La música está fuerte.
loudly	en voz alta; fuertemente	Por favor, no hables en voz alta.
lovely	encantador; precioso	¡Qué jardín tan precioso!
low	bajo	La silla es baja.
luck	la suerte	Buena suerte en el examen.
lucky	afortunado	Hoy tienes suerte.
mail	el correo	Recibí correo esta mañana.
major	principal; importante	Este es un problema importante.
male	masculino; el macho	El pájaro macho es brillante.
manage	manejar; lograr	¿Puedes manejar esta tarea?
manager	el gerente; la gerente	El gerente está ocupado.
manner	la manera; el modo	Habla de manera educada.
mark	marcar; la nota	Marca la respuesta claramente.
marry	casarse	Ellos se casarán en junio.
material	el material	Este material es suave.
mathematics	las matemáticas	Las matemáticas son mi materia favorita.
maths	las matemáticas	Las matemáticas me resultan difíciles.
matter	importar; el asunto	No importa.
