simplified	TE	example_TE
挨	తట్టుకోవడం; సహించడం	అతడు రాత్రంతా తట్టుకుని చివరకు తెల్లవారే వరకు వేచి ఉన్నాడు.
癌症	క్యాన్సర్	క్యాన్సర్‌ను ప్రారంభ దశలో గుర్తించడం చాలా ముఖ్యము.
暧昧	అస్పష్టమైన; ద్వంద్వార్థమైన	అతని సమాధానం చాలా అస్పష్టంగా ఉంది.
爱不释手	విడిచిపెట్టలేనంత ఇష్టపడటం	ఆమెకు ఆ పుస్తకం అంతగా నచ్చింది, చేతిలోంచి పెట్టలేకపోయింది.
爱戴	ప్రేమతో గౌరవించడం	ఈ ఉపాధ్యాయుడిని విద్యార్థులు ఎంతో ప్రేమతో గౌరవిస్తారు.
安宁	ప్రశాంతమైన	ఇక్కడి రాత్రులు చాలా ప్రశాంతంగా ఉంటాయి.
安详	శాంతమైన	ఆ వృద్ధుడి ముఖభావం ఎంతో శాంతంగా ఉంది.
安置	స్థిరపరచడం; పునరావాసం కల్పించడం	ప్రభుత్వం విపత్తు బాధితులను పునరావాసం కల్పించింది.
按摩	మర్దన	నేను ఒక మర్దనకు ముందుగా సమయం బుక్ చేసుకున్నాను.
暗示	సూచించడం; సంకేతం ఇవ్వడం	ఇక అడగవద్దని ఆమె నాకు సంకేతం ఇచ్చింది.
案件	కేసు	పోలీసులు ఈ కేసును దర్యాప్తు చేస్తున్నారు.
案例	ప్రతినిధి ఉదాహరణ	ఈ కేసు చాలా ప్రతినిధి ఉదాహరణగా ఉంది.
昂贵	చాలా ఖరీదైన	ఈ పరికరం చాలా ఖరీదైనది.
凹凸	ఎగుడుదిగుడు	ఈ రహదారి ఉపరితలం ఎగుడుదిగుడుగా ఉంది.
熬	కష్టాన్ని తట్టుకోవడం; మెల్లగా మరిగించడం	అతడు మూడు రోజులు కష్టపడి చివరకు నివేదికను పూర్తిచేశాడు.
奥秘	రహస్యం	శాస్త్రవేత్త ఈ రహస్యాన్ని వెలికి తీయాలని కోరుతున్నాడు.
巴不得	ఆత్రుతగా ఎదురుచూడటం	నేను వెంటనే బయలుదేరాలని ఆత్రుతగా ఉన్నాను.
巴结	ప్రసన్నం చేసుకోవడం	నాయకులను ప్రసన్నం చేసుకోవడానికి అతనికి ఇష్టం లేదు.
扒	పట్టుకుని వేలాడటం; తొలగించడం	బాలుడు తలుపును పట్టుకుని బయటికి చూశాడు.
疤	మచ్చ	అతని చేతిపై ఒక మచ్చ ఉంది.
拔苗助长	అతిగా తొందరపడి పనిని చెడగొట్టడం	పిల్లవాడిని ఇలా బలవంతంగా చదివించడం తొందరపడి పనిని చెడగొట్టడమే అవుతుంది.
把关	పరిశీలించి నియంత్రించడం	ఈ ఒప్పందాన్ని న్యాయవాది పరిశీలించి నియంత్రించాలి.
把手	తలుపు పట్టీ	తలుపు పట్టీ పాడైంది.
罢工	సమ్మె చేయడం	కార్మికులు రేపు సమ్మె చేయాలని నిర్ణయించారు.
霸道	ఆధిపత్యంగా ప్రవర్తించే	అతను మాట్లాడే తీరు చాలా ఆధిపత్యంగా ఉంది.
掰	చేతితో విరగగొట్టడం	ఆమె రొట్టెను రెండు భాగాలుగా చేతితో విరగగొట్టింది.
摆脱	విడిపోవడం; తొలగించుకోవడం	అతడు చివరకు చెడు అలవాటును వదిలించుకున్నాడు.
拜访	సందర్శించడం	మేము వారాంతంలో ఉపాధ్యాయుడిని సందర్శిస్తాము.
拜年	నూతన సంవత్సర శుభాకాంక్షలు చెప్పడం	వసంతోత్సవం సమయంలో మేము తాతమ్మలను సందర్శించి శుభాకాంక్షలు చెబుతాము.
拜托	దయచేసి అప్పగించడం; నమ్మి కోరడం	ఈ విషయాన్ని నీపై నమ్మి అప్పగిస్తున్నాను.
败坏	చెడ్డ పేరు తెచ్చడం; దెబ్బతీయడం	ఇలాంటి ప్రవర్తన కంపెనీ పేరును దెబ్బతీస్తుంది.
斑	మచ్చ; చార	పిల్లి శరీరంపై ఒక నల్ల మచ్చ ఉంది.
颁布	ప్రకటించడం; జారీ చేయడం	కొత్త నిబంధనలు వచ్చే వారం జారీ అవుతాయి.
颁发	ప్రదానం చేయడం	పాఠశాల ప్రతిభావంతులైన విద్యార్థులకు సర్టిఫికెట్లు ప్రదానం చేసింది.
版本	సంస్కరణ	ఈ సాఫ్ట్‌వేర్‌కు కొత్త సంస్కరణ ఉంది.
伴侣	సహచరుడు; భాగస్వామి	ఆమె కుక్కను తన సహచరుడిగా భావిస్తుంది.
伴随	తోడుగా ఉండటం; కలసి రావడం	విజయంతో ఒత్తిడి తరచుగా తోడుగా వస్తుంది.
半途而废	మధ్యలోనే వదిలేయడం	పరిశోధన చేస్తూ మధ్యలోనే వదిలేయకూడదు.
扮演	పాత్ర పోషించడం	అతడు సినిమాలో వైద్యుడి పాత్ర పోషిస్తాడు.
榜样	ఆదర్శం	తల్లిదండ్రులు పిల్లలకు ఆదర్శం.
绑架	కిడ్నాప్ చేయడం	పోలీసులు ఒక కిడ్నాప్ కేసును అడ్డుకున్నారు.
磅	పౌండు; తూకం వేయడం	ఈ పెట్టె ఇరవై పౌండ్ల బరువు ఉంది.
包庇	దాచిపెట్టి రక్షించడం	ఎవరూ నేరాన్ని దాచిపెట్టి రక్షించకూడదు.
包袱	భారం; కట్ట	అతడు ఆ భారాన్ని వదిలిన తర్వాత చాలా తేలికగా అనిపించింది.
包围	చుట్టుముట్టడం	వార్తా ప్రతినిధులు నటుడిని చుట్టుముట్టారు.
包装	ప్యాకేజింగ్; చుట్టడం	ఈ బహుమతి ప్యాకేజింగ్ చాలా అందంగా ఉంది.
保管	భద్రంగా ఉంచడం	ఈ పత్రాలు నా వద్ద భద్రంగా ఉంచబడ్డాయి.
保密	రహస్యంగా ఉంచడం	సమావేశ విషయాలను తప్పనిసరిగా రహస్యంగా ఉంచాలి.
保姆	పిల్లల సంరక్షకురాలు	వారు ఒక పిల్లల సంరక్షకురాలిని నియమించారు.
保守	సాంప్రదాయవాది; జాగ్రత్తగల	అతని ఆలోచనలు కొంత సాంప్రదాయవాదిగా ఉన్నాయి.
保卫	రక్షించడం	సైనికులు సరిహద్దును రక్షిస్తారు.
保养	నిర్వహణ చేయడం; జాగ్రత్తగా చూసుకోవడం	ఈ కారుకు క్రమమైన నిర్వహణ అవసరం.
保障	హామీ ఇవ్వడం; రక్షించడం	చట్టం పౌరుల హక్కులను రక్షిస్తుంది.
保重	జాగ్రత్తగా ఉండటం	విదేశంలో ఉన్నప్పుడు దయచేసి మీ ఆరోగ్యం జాగ్రత్తగా చూసుకోండి.
饱和	సంతృప్త స్థితి; పూర్తిగా నిండిన	ఈ మార్కెట్ ఇప్పటికే సంతృప్త స్థితికి దగ్గరగా ఉంది.
饱经沧桑	ఎన్నో మార్పులు, కష్టాలు అనుభవించిన	ఈ వృద్ధుడు ఎన్నో కష్టాలు, మార్పులు అనుభవించాడు.
报酬	ప్రతిఫలం; పారితోషికం	అతనికి సరైన పారితోషికం లభించింది.
报仇	ప్రతీకారం తీర్చుకోవడం	అతనికి ప్రతీకారం వద్దు, మళ్లీ ప్రారంభించాలనుకుంటున్నాడు.
报答	ప్రతిఫలం చెల్లించడం	నీ సహాయానికి నేను నా చర్యలతో ప్రతిఫలం చెల్లిస్తాను.
报复	ప్రతీకారం	ప్రతీకారం విభేదాన్ని మరింత లోతుగా చేస్తుంది.
报警	పోలీసులకు సమాచారం ఇవ్వడం	మంటలు కనిపిస్తే వెంటనే పోలీసులకు సమాచారం ఇవ్వాలి.
报销	ఖర్చు తిరిగి పొందడం	ప్రయాణ ఖర్చులను తిరిగి పొందవచ్చు.
抱负	ఆకాంక్ష; ఆశయం	అతనికి చిన్నప్పటి నుంచే గొప్ప ఆశయాలు ఉన్నాయి.
暴力	హింస	మేము ఏ రూపంలోనైనా హింసను వ్యతిరేకిస్తాము.
暴露	బయటపడటం; బహిర్గతం చేయడం	ఈ సమస్య క్రమంగా బయటపడింది.
曝光	బయటపడటం; వెలుగులోకి రావడం	ఈ ఫోటో వెలుగులోకి వచ్చిన తర్వాత అది దృష్టిని ఆకర్షించింది.
爆发	చెలరేగడం; పేలడం	అగ్నిపర్వతం అకస్మాత్తుగా చెలరేగింది.
爆炸	పేలుడు	ప్రయోగశాలలో పేలుడు జరిగింది.
卑鄙	హీనమైన; నీచమైన	ఇలాంటి నీచమైన పద్ధతి కోపం తెప్పిస్తుంది.
悲哀	దుఃఖభరితమైన	ఈ వార్త విన్న తర్వాత అతనికి చాలా దుఃఖంగా అనిపించింది.
悲惨	విషాదకరమైన	అది చరిత్రలో ఒక విషాదకరమైన కాలం.
北极	ఉత్తర ధ్రువం	శాస్త్రవేత్తలు ఉత్తర ధ్రువ ప్రాంతంలో పరిశోధనలు చేస్తున్నారు.
备份	బ్యాకప్	ముందుగా ముఖ్యమైన ఫైళ్లకు బ్యాకప్ తీసుకోండి.
备忘录	మెమో; గమనిక పత్రం	ఆమె మెమోలో ముఖ్యమైన అంశాలను రాసింది.
背叛	ద్రోహం చేయడం	స్నేహితుడి ద్రోహాన్ని అతడు అంగీకరించలేకపోయాడు.
背诵	కంఠస్థంగా చెప్పడం	విద్యార్థులు పాఠాన్ని కంఠస్థంగా చెబుతున్నారు.
被动	నిష్క్రియమైన	చర్చల్లో మనం చాలా నిష్క్రియంగా ఉండకూడదు.
被告	ప్రతివాది	ప్రతివాది అన్ని ఆరోపణలను తిరస్కరించాడు.
贝壳	శంఖపు చిప్ప	బాలుడు సముద్ర తీరంలో శంఖపు చిప్పలు ఏరుకున్నాడు.
奔波	ఇక్కడక్కడా పరుగులు తీయడం	అతడు పని కోసం ఎన్నో చోట్ల పరుగులు తీస్తాడు.
奔驰	వేగంగా పరిగెత్తడం	కారు రహదారిపై వేగంగా దూసుకుపోయింది.
本能	సహజ ప్రవృత్తి	పిల్లలను రక్షించడం తల్లిదండ్రుల సహజ ప్రవృత్తి.
本钱	మూలధనం	వ్యాపారం చేయడానికి మూలధనం అవసరం.
本人	నేనే; స్వయంగా	నేనే బాధ్యత తీసుకోవడానికి సిద్ధంగా ఉన్నాను.
本身	స్వయంగా; తనంతట తాను	ఈ ప్రణాళికలో స్వయంగా సమస్య లేదు.
本事	సామర్థ్యం; నైపుణ్యం	అతనికి మంచి సామర్థ్యం ఉంది.
笨拙	అసహజంగా కదిలే; అజాగ్రత్తైన	అతని కదలికలు కొంచెం అసహజంగా ఉన్నాయి.
崩溃	కూలిపోవడం; విఫలమవడం	వ్యవస్థ అకస్మాత్తుగా విఫలమైంది.
甭	అవసరం లేదు	ఈ విషయం గురించి నువ్వు ఆందోళన పడాల్సిన అవసరం లేదు.
蹦	ఎగరడం; గంతులు వేయడం	చిన్న కుక్క పచ్చికలో అటూ ఇటూ గంతులు వేసింది.
迸发	ఒక్కసారిగా ఉప్పొంగడం	జనసమూహం నుంచి చప్పట్లు ఒక్కసారిగా ఉప్పొంగాయి.
逼迫	బలవంతం చేయడం	వారు అతనిని ఒప్పందంపై సంతకం చేయడానికి బలవంతం చేశారు.
鼻涕	ముక్కు కారడం	పిల్లవాడికి జలుబు వచ్చింది, ముక్కు నిరంతరం కారుతోంది.
比方	ఉదాహరణ	ఉదాహరణకు, మనం ముందుగా ఒక నెల ప్రయత్నించవచ్చు.
比喻	ఉపమానం; రూపకం	ఈ రూపకం చాలా స్పష్టంగా ఉంది.
比重	నిష్పత్తి	సేవా రంగం నిష్పత్తి మరింత పెరుగుతోంది.
鄙视	తక్కువగా చూడటం	ఇతరుల శ్రమను తక్కువగా చూడకండి.
弊病	లోపం; సమస్య	ఈ వ్యవస్థలో ఎన్నో లోపాలు ఉన్నాయి.
弊端	వ్యవస్థాపక లోపం	కొత్త ప్రణాళిక పాత వ్యవస్థలోని లోపాలను పరిష్కరించింది.
臂	చేయి	అతని కుడి చేయి గాయపడింది.
闭塞	వేరుపడిన; మూసుకుపోయిన	ఈ కొండ గ్రామంలో రవాణా గతంలో చాలా వేరుపడిపోయింది.
编织	నేయడం; అల్లడం	అమ్మమ్మ ఒక స్వెటర్ అల్లుతోంది.
边疆	సరిహద్దు ప్రాంతం	చాలా మంది సైనికులు దేశ సరిహద్దు ప్రాంతాన్ని కాపాడుతున్నారు.
边界	సరిహద్దు	రెండు దేశాలు సరిహద్దును మళ్లీ నిర్ణయించాయి.
边境	సరిహద్దు ప్రాంతం	సరిహద్దు ప్రాంతాల్లో భద్రతా తనిఖీలు బలపడ్డాయి.
边缘	అంచు	కప్పు మెజ్జ అంచుపై ఉంచబడి ఉంది.
鞭策	ప్రోత్సహించి ముందుకు నడిపించడం	ఉపాధ్యాయుడి మాటలు ఎప్పుడూ నన్ను ముందుకు నడిపించాయి.
扁	చప్పటి	ఈ పెట్టె వెడల్పుగా, చప్పటిగా ఉంది.
贬低	తక్కువ చేసి చూపడం	ఇతరుల శ్రమను ఎటువంటి కారణం లేకుండా తక్కువ చేసి చూపకండి.
贬义	ప్రతికూల భావం	ఈ పదానికి ఇక్కడ ప్రతికూల భావం ఉంది.
便利	సౌకర్యవంతమైన	మెట్రో ప్రయాణాన్ని మరింత సౌకర్యవంతం చేసింది.
便条	చిన్న గమనిక	అతడు మెజ్జపై ఒక చిన్న గమనిక వదిలాడు.
便于	ఉపయోగించడానికి సులభమైన	ఈ రూపకల్పన వృద్ధులు ఉపయోగించడానికి సులభంగా ఉంది.
变故	అనుకోని దుర్ఘటన	ఇంట్లో అకస్మాత్తుగా అనుకోని దుర్ఘటన జరిగింది.
变迁	మార్పులు	నగరంలోని మార్పులు అతనిని లోతుగా ఆలోచింపజేశాయి.
变质	చెడిపోవడం	పాలను ఎక్కువసేపు ఉంచితే అవి చెడిపోతాయి.
辨认	గుర్తించడం	ఫోటోలో ఉన్న వ్యక్తిని గుర్తించమని పోలీసులు అతనిని అడిగారు.
辩护	పక్షంగా వాదించడం; రక్షణ వాదన చేయడం	న్యాయవాది ప్రతివాదికి రక్షణ వాదన చేశాడు.
辩解	సమర్థించుకోవడం	అతడు తన తప్పును సమర్థించుకోవడానికి ప్రయత్నించాడు.
辩证	ద్వంద్వాత్మకంగా	మనం ఈ సమస్యను ద్వంద్వాత్మకంగా చూడాలి.
辫子	జడ	చిన్న అమ్మాయి రెండు జడలు వేసుకుంది.
遍布	అంతటా వ్యాపించడం	ఈ మొక్క దేశమంతటా కనిపిస్తుంది.
标本	నమూనా	సంగ్రహాలయంలో జంతు నమూనాలు ప్రదర్శించబడ్డాయి.
标记	గుర్తు పెట్టడం; గుర్తు	దయచేసి ముఖ్యమైన పేరాల పక్కన గుర్తులు పెట్టండి.
标题	శీర్షిక	ఈ వ్యాసం శీర్షిక చాలా ఆకర్షణీయంగా ఉంది.
表决	ఓటింగ్ ద్వారా నిర్ణయించడం	ప్రతినిధులు ప్రతిపాదనపై ఓటు వేయనున్నారు.
表态	తన వైఖరిని ప్రకటించడం	అతడు ఇంకా బహిరంగంగా తన వైఖరిని ప్రకటించలేదు.
表彰	ప్రశంసించి సత్కరించడం	కంపెనీ ఉత్తమ ఉద్యోగులను ప్రశంసించి సత్కరించింది.
憋	అణచిపెట్టడం	అతడు నవ్వును అణచిపెట్టి ఏమీ మాట్లాడలేదు.
别墅	విల్లా	వారు నగర శివారులో ఒక విల్లా కొనుగోలు చేశారు.
别致	విభిన్నమైన; ప్రత్యేకమైన	ఈ కేఫ్ అలంకరణ చాలా ప్రత్యేకంగా ఉంది.
别扭	సహజంగా లేని; ఇబ్బందికరమైన	ఈ వాక్యం కొంచెం సహజంగా లేనట్టు వినిపిస్తుంది.
濒临	అంచున ఉండటం	ఈ జంతువు అంతరించిపోవడానికి అంచున ఉంది.
冰雹	వడగళ్ల వాన	నిన్న మధ్యాహ్నం బలమైన వడగళ్ల వాన పడింది.
丙	మూడవది	మూడవ గుంపు పోటీ మధ్యాహ్నం ప్రారంభమవుతుంది.
并非	అలా కాదు	విషయం నువ్వు అనుకున్నట్టు కాదు.
并列	సమాన స్థానంలో ఉండడం	ఈ రెండు ప్రాజెక్టులు మొదటి స్థానంలో సమానంగా ఉన్నాయి.
剥削	దోపిడీ చేయడం	పాత సమాజంలో తీవ్రమైన దోపిడీ ఉండేది.
拨	డయల్ చేయడం; కేటాయించడం	దయచేసి ఈ ఫోన్ నంబర్ డయల్ చేయండి.
播种	విత్తనాలు వేయడం	రైతులు వసంతకాలంలో విత్తనాలు వేయడం ప్రారంభిస్తారు.
波浪	అల	సముద్రంపై భారీ అలలు ఎగసాయి.
波涛	ఉగ్ర అలలు	పడవ ఉగ్ర అలల మధ్య ముందుకు సాగింది.
伯母	పెద్దమ్మ	నేను వారాంతంలో పెద్దమ్మను చూసేందుకు వెళ్తాను.
博大精深	విశాలమైన, లోతైన	చైనా సంస్కృతి విశాలమైనది, లోతైనది.
博览会	ప్రదర్శన మేళా	అంతర్జాతీయ ప్రదర్శన మేళా అనేక కంపెనీలను ఆకర్షించింది.
搏斗	పోరాటం చేయడం	పోలీసులు నేరస్తుడితో పోరాటం చేశారు.
薄弱	బలహీనమైన	అతని వ్యాకరణ పునాది కొంత బలహీనంగా ఉంది.
不顾	పట్టించుకోకుండా	అతడు ప్రమాదాన్ని పట్టించుకోకుండా లోపలికి దూసుకెళ్లాడు.
