source_headword	TL	example_TL
abandon	iwan	Kahapon iniwan nila ang plano.
absolute	ganap	Kailangan dito ang ganap na katapatan.
acceptable	katanggap-tanggap	Mukhang katanggap-tanggap ang solusyong ito.
accompany	samahan	Sinamahan ng musika ang buong eksena.
accurate	tumpak	Kailangang tumpak ang ulat.
accuse	akusahan	Inakusahan nila siya ng pagkakamali.
acknowledge	kilalanin	Kinikilala niya nang hayagan ang problema.
acquire	makakuha	Nakakuha ang kumpanya ng bagong kasanayan.
actual	tunay	Mas mababa ang tunay na presyo.
adapt	umangkop	Kailangan naming umangkop nang mabilis.
additional	karagdagan	Dumating ang karagdagang impormasyon mamaya.
administration	administrasyon	Binago ng administrasyon ang mga patakaran.
adopt	magpatibay	Nagpatibay sila ng bagong patakaran.
advance	umusad	Dahan-dahang umusad ang proyekto.
affair	usapin	Nanatiling pribado ang usaping iyon.
afterwards	pagkatapos	Pagkatapos, gumaan ang pakiramdam ng lahat.
agency	ahensiya	Naglabas ang ahensiya ng bagong ulat.
agenda	agenda	Puno na ang agenda.
aggressive	agresibo	Masyadong agresibo ang tono niya.
aid	tulong	Mabilis na nakatanggap ng tulong ang nayon.
aircraft	eroplano	Lumapag ang eroplano sa gabi.
alter	baguhin	Binago ng maliit na detalye ang resulta.
anger	galit	Malinaw na nakikita ang galit niya.
angle	anggulo	Kinuha ang larawan mula sa mababang anggulo.
anniversary	anibersaryo	Ipinagdiwang nila ang anibersaryo sa bahay.
annual	taunan	Ginaganap sa Mayo ang taunang pagpupulong.
anxious	balisa	Balisa siya bago ang pagsusulit.
apparent	halata	Halata agad ang pagkakamali.
apparently	mukhang	Mukhang nahuli ang tren.
appeal	panawagan	Umabot ang panawagan sa maraming tao.
approach	paraan	Mas gumana ang paraang ito.
appropriate	angkop	Piliin ang angkop na sagot.
approval	pag-apruba	Nakuha ng plano ang pag-apruba ng manager.
approve	aprubahan	Inaprubahan ng komite ang badyet.
arise	lumitaw	Lumitaw ang tanong sa pagpupulong.
armed	armado	Nanatili ang armadong bantay sa pinto.
arms	armas	Itinago ang mga armas sa nakakandadong aparador.
artificial	artipisyal	Masyadong artipisyal ang lasa.
artistic	masining	May malakas siyang masining na pananaw.
ashamed	nahihiya	Nahihiya siya dahil sa mga sinabi niya.
aspect	aspeto	Kailangan ng higit na pansin ang aspetong ito.
assess	suriin	Sinuri ng guro ang trabaho namin.
assessment	pagtatasa	Handa na ang pagtatasa pagkatapos ng pagsusulit.
associate	iugnay	Iniuugnay ng marami ang amoy na ito sa tag-init.
associated	kaugnay	Kaugnay ng proyekto ang mga panganib na ito.
association	samahan	Nagdaos ng bukas na talakayan ang samahan.
assume	ipagpalagay	Ipinagpapalagay kong darating siya.
attempt	pagtatangka	Nabigo ang unang pagtatangka.
bacteria	bakterya	Kumakalat ang bakterya sa maligamgam na tubig.
barrier	hadlang	Malaking hadlang ang wika.
basically	talaga	Talaga, simple ang plano.
bear (deal with)	tiisin	Hindi ko matiis ang ingay na ito.
beg	makiusap	Taos-puso siyang nakiusap para sa tulong.
being	nilalang	Mabagal gumalaw ang nilalang na iyon.
bent	baluktot	Madaling naputol ang baluktot na alambre.
bet	pusta	Nanalo siya sa maliit na pusta.
beyond	lagpas	Nagpatuloy ang daan lagpas sa bahay.
bitter	mapait	Masyadong mapait ang kape.
blame	sisihin	Huwag mo siyang sisihin sa lahat.
blind	bulag	Nakilala ng bulag na lalaki ang pinto.
bond	ugnayan	Lumakas ang ugnayan sa paglipas ng mga taon.
breast	dibdib	Maingat na sinuri ng doktor ang dibdib.
brief	maikli	Maikli ang pagpupulong.
broad	malapad	Malapad at tahimik ang kalye.
broadcast	i-broadcast	Ibinroadcast ng channel ang laro.
budget	badyet	Maliit ang badyet ngayong taon.
bullet	bala	Tumama ang bala sa metal na plato.
bunch	bungkos	May bungkos ng bulaklak sa mesa.
bush	palumpong	Tumubo ang palumpong sa ilalim ng bintana.
cable	kable	Napunta ang kable sa likod ng mesa.
calculate	kalkulahin	Awtomatikong kinakalkula ng programa ang kabuuan.
cancel	kanselahin	Kinansela nila ang flight sa umaga.
cancer	kanser	Kailangan ng maagang paggamot ang kanser.
capable	may kakayahan	May kakayahan siyang gawin ito.
capacity	kakayahan	Limitado ang kapasidad ng bulwagan.
