simplified	ES-419	example_ES-419
啊	la partícula modal de afirmación o consentimiento	Está bien, vámonos ahora.
阿姨	la tía; la señora cuidadora	La tía trabaja en el supermercado.
矮	bajo; de poca altura	Esta mesa es un poco baja.
爱好	la afición; el interés	Mi afición es escuchar música.
安静	tranquilo; silencioso	En la biblioteca hay mucho silencio.
把	agarrar; el marcador de objeto	Por favor, cierra la puerta.
搬	mudarse; trasladar	Nos mudamos mañana.
班	la clase; el grupo	En nuestra clase hay veinte estudiantes.
办法	el método; la solución	Este método es muy bueno.
办公室	la oficina	El gerente está en la oficina.
半	medio; la mitad	Esperé media hora.
帮忙	ayudar; echar una mano	¿Puedes ayudarme?
包	el bolso; envolver; cubrir	Ella compró un bolso nuevo.
饱	lleno; satisfecho después de comer	Ya estoy lleno.
北方	el norte	El invierno en el norte es muy frío.
被	la partícula pasiva; por	Mi bicicleta fue tomada prestada por un amigo.
鼻子	la nariz	Su nariz está un poco roja.
比较	comparar; bastante	Hoy hace bastante calor.
比赛	el partido; la competición	Este partido es muy importante.
笔记本	el cuaderno	Puse el cuaderno sobre la mesa.
必须	deber; tener que	Debes repasar con cuidado.
变化	el cambio; cambiar	Esta ciudad ha cambiado mucho.
别人	los demás; otras personas	No tomes las cosas de otras personas.
冰箱	el refrigerador; la nevera	La fruta está en la nevera.
不但…而且…	no solo... sino también...	Él no solo es inteligente, sino también trabajador.
菜单	el menú	Por favor, deme un menú.
参加	participar; asistir	Quiero asistir a esta reunión.
草	la hierba; el césped	El perrito corre sobre la hierba.
层	el piso; la capa	Este edificio tiene tres pisos.
差	malo; faltar; diferir	Hoy hace mal tiempo.
超市	el supermercado	Voy al supermercado a comprar pan.
衬衫	la camisa; la blusa	Esta camisa está muy limpia.
城市	la ciudad	Pekín es una gran ciudad.
成绩	la nota; el resultado	Sus notas de matemáticas son muy buenas.
迟到	llegar tarde	No llegues tarde a clase.
除了	además de; aparte de	Además de café, también quiero té.
船	el barco; la nave	Vamos a esa ciudad en barco.
春	la primavera	En primavera hay muchas flores.
词典	el diccionario	Este diccionario es muy útil.
聪明	inteligente	Este niño es muy inteligente.
打扫	limpiar; barrer	Limpio la habitación el fin de semana.
打算	planear; tener la intención	¿Qué planes tienes para mañana?
带	traer; llevar consigo	Por favor, trae tu pasaporte.
担心	preocuparse; preocupado	No te preocupes, yo te ayudaré.
蛋糕	el pastel; la tarta	Este pastel es muy dulce.
当然	por supuesto; naturalmente	Por supuesto que puedes.
地	la partícula adverbial -mente	Él sonrió felizmente.
灯	la lámpara; la luz	Por favor, enciende la luz.
地方	el lugar; la zona	Este lugar es muy tranquilo.
地铁	el metro	Tomo el metro para ir al trabajo todos los días.
地图	el mapa	Busco la escuela en el mapa.
电梯	el ascensor	El ascensor está a la izquierda.
电子邮件	el correo electrónico	Le envío un correo electrónico al profesor.
东	el este	El sol sale por el este.
冬	el invierno	En invierno me gusta beber té caliente.
动物	el animal	El panda es un animal famoso en China.
短	corto	Estos pantalones son demasiado cortos.
段	el párrafo; la sección	Por favor, lee este párrafo.
锻炼	hacer ejercicio	Hago ejercicio todas las mañanas.
多么	qué; cuánto	¡Qué bueno es el ambiente aquí!
饿	tener hambre; hambriento	Tengo hambre y quiero comer pan.
耳朵	la oreja; el oído	Me duele un poco la oreja.
发	enviar; emitir	Envío correos electrónicos por la noche.
发烧	tener fiebre	Él tiene fiebre y no puede ir a la escuela.
发现	descubrir; darse cuenta de	Descubrí que este método es bueno.
方便	conveniente; práctico	Tomar el metro es conveniente.
放	poner; soltar	Por favor, pon el libro sobre la mesa.
放心	quedarse tranquilo; no preocuparse	No te preocupes, llegaré a tiempo.
分	dividir; repartir	Por favor, reparte el pastel entre todos.
复习	repasar; revisar	Necesito repasar antes del examen.
附近	cerca; los alrededores	Hay un restaurante cerca.
干净	limpio; aseado	Esta habitación está muy limpia.
感冒	resfriarse; el resfriado	Estoy resfriado y quiero descansar.
感兴趣	estar interesado	Me interesa mucho el chino.
刚才	hace un momento; recién	¿Quién te llamó hace un momento?
个子	la estatura	Él es alto.
根据	según; de acuerdo con	Según el mapa, la escuela está al este.
跟	con; seguir	Voy al parque con un amigo.
更	más; aún más	Hoy hace aún más frío que ayer.
公斤	el kilogramo	Estas manzanas pesan un kilogramo.
公园	el parque público	Los niños juegan en el parque.
故事	el cuento; la historia	El abuelo me cuenta una historia.
刮风	hacer viento	Hoy hace viento; no vayas en bicicleta.
关	cerrar; apagar	Por favor, cierra la puerta.
关系	la relación	Tengo una buena relación con mi colega.
关心	preocuparse por; interesarse por	Mamá se preocupa mucho por mi salud.
关于	sobre; acerca de	Este libro trata sobre la cultura china.
国家	el país; la nación	China es un país muy grande.
过	haber hecho alguna vez; partícula de experiencia	He estado en Pekín.
过去	el pasado; antes	Antes aquí no había metro.
还是	o; todavía	¿Bebes té o café?
害怕	tener miedo	No tengo miedo del examen.
黑板	la pizarra	El profesor escribe caracteres en la pizarra.
后来	después; más tarde	Después fuimos al parque.
护照	el pasaporte	Por favor, trae tu pasaporte.
96:花	gastar; costar	Comprar el celular costó dos mil yuanes.
97:花	la flor	Hay una flor sobre la mesa.
画	dibujar; el dibujo; la pintura	A mi hermana menor le gusta dibujar pandas.
坏	malo; roto	Mi computadora está rota.
欢迎	dar la bienvenida; bienvenido	Bienvenido a mi casa.
环境	el ambiente; el entorno	El entorno de esta escuela es muy bueno.
还	devolver; volver	Por favor, devuélveme mi libro mañana.
换	cambiar; intercambiar	Quiero cambiar una camisa.
黄河	el Río Amarillo	El Río Amarillo es muy largo.
回答	responder; la respuesta	Por favor, responde a mi pregunta.
会议	la reunión; la conferencia	La reunión empieza a las nueve.
或者	o; quizá	Puedes tomar el metro o el autobús.
几乎	casi	Él hace ejercicio casi todos los días.
机会	la oportunidad	Esta es una buena oportunidad.
极	extremadamente; muy	Ella está extremadamente feliz.
季节	la estación del año	El otoño es mi estación favorita.
记得	recordar	¿Te acordaste de traer la tarjeta de crédito?
检查	revisar; examinar	El médico me examina.
简单	sencillo; simple	Esta frase es muy sencilla.
健康	la salud; sano	Hacer ejercicio es bueno para la salud.
见面	verse; encontrarse	Nos veremos mañana en la escuela.
讲	explicar; hablar	El profesor explica con mucha claridad.
教	enseñar	Él me enseña a escribir caracteres chinos.
脚	el pie; la pierna	Me duele un poco el pie.
角	la esquina; el ángulo	La tienda está en la esquina de la calle.
接	retomar; recibir; contestar	Voy al aeropuerto a retomar a un amigo.
街道	la calle	Esta calle está muy limpia.
结婚	casarse	Ellos se casarán el año que viene.
结束	terminar; acabar	El partido ya ha terminado.
节目	el programa; el espectáculo	Este programa de televisión es muy bueno.
节日	la fiesta; el festival	La Fiesta de la Primavera es una fiesta china importante.
解决	resolver; solucionar	Este problema ya se ha resuelto.
借	pedir prestado; prestar	Quiero pedir prestado tu diccionario.
经常	a menudo; frecuentemente	Voy a menudo a la biblioteca.
经过	pasar por; atravesar	Paso por este parque todos los días.
经理	el gerente; el director	El gerente está en una reunión.
久	mucho tiempo; largo	Vivo aquí desde hace mucho tiempo.
旧	viejo; usado	Esta prenda es muy vieja.
句子	la frase; la oración	Por favor, escribe una frase.
决定	decidir; la decisión	Decidí estudiar chino.
可爱	adorable; lindo	Este gato es muy lindo.
渴	tener sed	Tengo sed y quiero beber agua.
刻	el cuarto de hora; momento	Son las ocho y cuarto.
客人	el invitado; el cliente	Hoy vino un invitado a nuestra casa.
空调	el aire acondicionado	Por favor, enciende el aire acondicionado.
口	la boca; clasificador para personas o animales	Él tomó un sorbo de agua.
哭	llorar	¿Por qué llora el niño?
裤子	los pantalones	Estos pantalones son nuevos.
筷子	los palillos	Sé comer con palillos.
蓝	azul	El cielo es azul.
老	viejo; mayor	Mi profesor no es mayor.
离开	irse; salir	Él se va de Pekín mañana.
礼物	el regalo	Este es un regalo para ti.
历史	la historia	Me gusta la historia china.
脸	la cara; el rostro	Su cara está muy roja.
练习	practicar; el ejercicio	Por favor, practica más hablar chino.
辆	clasificador para vehículos	Hay un taxi en la puerta.
