source_headword	DE	example_DE
absolutely	absolut	Ich stimme dir absolut zu.
academic	akademisch	Das akademische Jahr beginnt im September.
access	der Zugang	Studierende brauchen Zugang zur Bibliothek.
accommodation	die Unterkunft	Wir buchten eine Unterkunft nahe dem Bahnhof.
account	das Konto	Sie eröffnete ein neues Bankkonto.
achievement	die Leistung	Der Kursabschluss war eine große Leistung.
ad	die Anzeige	Die Anzeige zeigte ein neues Telefon.
addition	die Ergänzung	Der Pool ist eine nützliche Ergänzung.
admire	bewundern	Ich bewundere ihre ruhige Haltung.
admit	zugeben	Er gab seinen Fehler zu.
advanced	fortgeschritten	Das ist ein fortgeschrittener Englischkurs.
advise	raten	Ärzte raten zu regelmäßiger Bewegung.
afford	sich leisten können	Wir können uns kein Taxi leisten.
aged	im Alter von	Der Kurs ist für Kinder im Alter von zehn Jahren.
agent	der Reiseberater	Der Reiseberater änderte unsere Tickets.
agreement	die Vereinbarung	Sie erreichten heute eine Vereinbarung.
ahead	voraus	Die Straße voraus ist frei.
aim	abzielen	Wir zielen darauf ab, bald fertig zu werden.
alarm	der Alarm	Der Alarm klingelte um sechs.
album	das Album	Dieses Album hat zehn Lieder.
alcohol	der Alkohol	Das Hotel serviert keinen Alkohol.
alcoholic	alkoholisch	Dieses Getränk ist nicht alkoholisch.
amazed	erstaunt	Sie war über das Ergebnis erstaunt.
ambition	der Ehrgeiz	Sein Ehrgeiz ist, Pilot zu werden.
ambitious	ehrgeizig	Sie hat einen ehrgeizigen Plan.
analyse	analysieren	Wir müssen die Ergebnisse analysieren.
analysis	die Analyse	Ihre Analyse war klar und sorgfältig.
announce	ankündigen	Sie werden morgen den Gewinner ankündigen.
announcement	die Ankündigung	Die Ankündigung überraschte alle.
annoy	ärgern	Laute Musik kann Nachbarn ärgern.
annoyed	verärgert	Nach der Verzögerung sah er verärgert aus.
annoying	nervig	Dieses Geräusch ist wirklich nervig.
apart	auseinander	Die Häuser stehen zwei Meter auseinander.
apologize	sich entschuldigen	Ich entschuldige mich für meine Verspätung.
application	die Bewerbung	Bitte füllen Sie die Bewerbung online aus.
appointment	der Termin	Ich habe morgen einen Zahnarzttermin.
appreciate	schätzen	Ich schätze deine Hilfe.
approximately	ungefähr	Der Spaziergang dauert ungefähr zwanzig Minuten.
arrest	festnehmen	Die Polizei nahm den Fahrer fest.
arrival	die Ankunft	Unsere Ankunft war später als erwartet.
assignment	die Aufgabe	Die Aufgabe ist am Freitag fällig.
assist	helfen	Pflegekräfte helfen dem Arzt.
atmosphere	die Atmosphäre	Das Cafe hat eine entspannte Atmosphäre.
attach	anhängen	Hängen Sie die Datei an Ihre E-Mail an.
attitude	die Haltung	Ihre Haltung änderte sich nach dem Treffen.
attract	anziehen	Helle Blumen ziehen Bienen an.
attraction	die Sehenswürdigkeit	Die Burg ist eine beliebte Sehenswürdigkeit.
authority	die Behörde	Die örtliche Behörde reparierte die Straße.
aware	bewusst	Sie ist sich des Risikos bewusst.
backwards	rückwärts	Er ging vorsichtig rückwärts.
bake	backen	Ich backe jeden Sonntag Brot.
balance	das Gleichgewicht	Gute Schuhe helfen deinem Gleichgewicht.
ban	verbieten	Die Stadt wird Autos verbieten.
bank (river)	das Flussufer	Wir saßen am Flussufer.
base	die Basis	Das Team kehrte zur Basis zurück.
basic	grundlegend	Jeder braucht grundlegende Computerkenntnisse.
basis	die Grundlage	Vertrauen ist die Grundlage von Freundschaft.
battery	die Batterie	Der Akku meines Telefons ist schwach.
battle	die Schlacht	Die Schlacht dauerte die ganze Nacht.
beauty	die Schönheit	Wir bewunderten die Schönheit der Berge.
bee	die Biene	Eine Biene landete auf der Blume.
belief	der Glaube	Sein Glaube gab ihm Mut.
bell	die Glocke	Die Schulglocke läutete laut.
bend	beugen	Beuge die Knie, wenn du hebst.
bite	beißen	Der Hund könnte Fremde beißen.
block	blockieren	Ein umgestürzter Baum blockierte die Straße.
bomb	die Bombe	Die Bombe beschädigte mehrere Gebäude.
border	die Grenze	Sie überquerten nachts die Grenze.
bother	stören	Bitte störe deine Schwester nicht.
branch	der Ast	Ein Ast brach im Sturm.
brand	die Marke	Diese Marke ist bei Studierenden beliebt.
brave	mutig	Der mutige Mann rettete das Kind.
breath	der Atem	Hol tief Atem.
breathe	atmen	Ich kann in diesem Rauch nicht atmen.
breathing	die Atmung	Ihre Atmung war langsam.
bride	die Braut	Die Braut trug ein weißes Kleid.
bubble	die Blase	Eine Blase schwebte über dem Glas.
bury	vergraben	Sie vergruben die Kiste im Sand.
calm	ruhig	Bleib während der Prüfung ruhig.
campaign	die Kampagne	Die Kampagne sammelte Geld für Schulen.
campus	der Campus	Studierende wohnen nahe dem Campus.
candidate	der Kandidat	Jeder Kandidat beantwortete drei Fragen.
cap	die Kappe	Er trug eine Baseballkappe.
captain	der Kapitän	Der Kapitän sprach mit dem Team.
careless	achtlos	Ein achtloser Fehler kostete uns Zeit.
category	die Kategorie	Wähle die richtige Kategorie.
ceiling	die Decke	Die Decke wurde weiß gestrichen.
celebration	die Feier	Die Feier dauerte den ganzen Abend.
central	zentral	Das Hotel hat eine zentrale Lage.
ceremony	die Zeremonie	Die Zeremonie begann um Mittag.
chain	die Kette	Sie trug eine silberne Kette.
challenge	die Herausforderung	Dieses Projekt ist eine echte Herausforderung.
champion	der Champion	Der Champion dankte seinem Trainer.
channel	der Kanal	Wechsle bitte den Kanal.
chapter	das Kapitel	Lies heute Abend das nächste Kapitel.
charge	die Gebühr	Für Kinder gibt es keine Gebühr.
cheat	betrügen	Betrüge nicht beim Test.
cheerful	fröhlich	Sie klang heute Morgen fröhlich.
chemical	chemisch	Der chemische Geruch war stark.
chest	die Brust	Seine Brust tat nach dem Laufen weh.
childhood	die Kindheit	Ich erinnere mich an mein Elternhaus aus der Kindheit.
claim	behaupten	Sie behaupten, das Produkt sei sicher.
clause	der Satzteil	Dieser Satzteil verändert die Bedeutung.
click	klicken	Klicke auf den blauen Knopf.
client	der Kunde	Der Kunde bat um mehr Details.
cloth	das Tuch	Wisch den Tisch mit diesem Tuch ab.
clue	der Hinweis	Der Hinweis half uns, es zu lösen.
coal	die Kohle	Der alte Zug benutzte Kohle.
coin	die Münze	Er fand eine Münze auf dem Boden.
collection	die Sammlung	Ihre Briefmarkensammlung ist groß.
coloured	farbig	Sie trug einen farbigen Schal.
combine	kombinieren	Kombiniere das Mehl und das Wasser.
commercial	der Werbespot	Die Werbepause dauerte fünf Minuten.
commit	sich verpflichten	Wir müssen uns dem Plan verpflichten.
communication	die Kommunikation	Gute Kommunikation verhindert Fehler.
