source_headword	HR	example_HR
toss	baciti	Bacila je ključeve na stol.
total	iznositi	Popravci ukupno iznose više od očekivanog.
toxic	otrovni	Otrovni dim potjerao je sve van.
trademark	zaštitni znak	Logotip je postao zaštitni znak tvrtke.
trail	staza	Staza je vodila kroz šumu.
trailer	najava	Najava je prikazala kraj filma.
transaction	transakcija	Transakcija se pojavila na mom bankovnom izvodu.
transcript	prijepis ocjena	Student je zatražio službeni prijepis ocjena.
transformation	preobrazba	Grad je doživio veliku preobrazbu.
transit	transport	Paket je oštećen tijekom transporta.
transmission	prijenos	Prijenos podataka bio je siguran.
transparency	transparentnost	Izvješće je pozvalo na veću transparentnost.
transparent	transparentan	Proces bi trebao biti transparentan svima.
trauma	trauma	Nesreća je ostavila duboku traumu.
treaty	sporazum	Zemlje su potpisale mirovni sporazum.
tremendous	ogroman	Tim je ostvario ogroman napredak.
tribal	plemenski	Muzej je izložio plemensku umjetnost.
tribunal	sud	Sud je cijeli tjedan slušao dokaze.
tribute	počast	Koncert je bio počast njoj.
trio	trio	Trio je nastupio na festivalu.
triumph	trijumf	Pobjeda je bila osobni trijumf.
trophy	trofej	Kapetan je ponosno podigao trofej.
troubled	problematičan	Problematičnoj tvrtki trebalo je novo vodstvo.
trustee	povjerenik	Povjerenik upravlja fondom za stipendije.
tuition	školarina	Njena školarina se ove godine povećala.
turnout	odaziv	Odaziv birača bio je veći od očekivanog.
turnover	fluktuacija	Fluktuacija osoblja pala je nakon promjena.
twist	zakrenuti	Zakrenula je poklopac da ga otvori.
undergraduate	student preddiplomskog studija	Student se pridružio istraživačkom projektu.
underlying	temeljni	Izvješće je objasnilo temeljne uzroke.
undermine	potkopati	Skandal je potkopao povjerenje javnosti.
undoubtedly	nesumnjivo	Ona je nesumnjivo najbolja kandidatkinja.
unify	ujediniti	Plan ima za cilj ujediniti timove.
unprecedented	nezapamćen	Oluja je prouzročila nezapamćenu štetu.
unveil	otkriti	Tvrtka će sutra otkriti dizajn.
upcoming	nadolazeći	Nadolazeći izbori privukli su pozornost javnosti.
upgrade	nadograditi	Sinoć smo nadogradili softver.
uphold	podržati	Podržavamo izvornu odluku.
utility	komunalija	Stan uključuje sve troškove komunalija.
utilize	iskoristiti	Tim je iskoristio dostupne podatke.
utterly	potpuno	Objašnjenje je bilo potpuno zbunjujuće.
vacuum	praznina	Praznina u vodstvu stvorila je napetost.
vague	nejasan	Njegov odgovor bio je nejasan i slab.
validity	valjanost	Studija je dovela u pitanje valjanost testa.
vanish	nestati	Datoteka je nestala iz mape.
variable	varijabla	Cijena je jedna važna varijabla.
varied	raznolik	Tečaj nudi raznolike zadatke.
vein	vena	Medicinska sestra je brzo pronašla venu.
venture	pothvat	Novi pothvat privukao je investitore.
verbal	usmeni	Postigli su usmeni dogovor.
verdict	presuda	Porota je donijela svoju presudu.
verify	potvrditi	Molimo potvrdite svoju adresu e-pošte.
verse	stih	Citirala je stih iz pjesme.
versus	protiv	Rasprava je bila o privatnosti protiv sigurnosti.
vessel	plovilo	Plovilo je prevozilo žito preko mora.
veteran	veteran	Veteran je obučio novo osoblje.
viable	održiv	Prijedlog je financijski održiv.
vibrant	živopisan	Grad ima živopisnu umjetničku scenu.
vice	mana	Pohlepa je bila njegova najveća mana.
vicious	okrutan	Okrutni napad šokirao je grad.
villager	seljanin	Seljanin nas je odveo do rijeke.
violate	prekršiti	Tvrtka bi mogla prekršiti sigurnosna pravila.
violation	kršenje	Inspektor je prijavio ozbiljno kršenje.
virtue	vrlina	Strpljenje je važna vrlina.
vocal	glasan	Bila je glasna oko te odluke.
vow	zavjetovati se	Zavjetovao se da će završiti posao.
vulnerability	ranjivost	Revizija je otkrila sigurnosnu ranjivost.
vulnerable	ranjiv	Djeca su ranjiva tijekom ekstremnih vrućina.
ward	odjel	Pacijent je preseljen na drugi odjel.
warehouse	skladište	Skladište čuva rezervne dijelove.
warfare	ratovanje	Moderno ratovanje oslanja se na tehnologiju.
warrant	nalog	Policija je pokazala nalog za pretres.
warrior	ratnik	Ratnik je zaštitio selo.
weaken	oslabiti	Ozljeda je oslabila njegov stisak.
weave	tkati	Naučila je plesti košare.
weed	korov	Korov je izrastao između kamenja.
well	bunar	Seoski bunar je presušio.
well-being	blagostanje	San je ključan za blagostanje.
whatsoever	uopće	Nije pokazao apsolutno nikakvo zanimanje.
whereby	prema kojem	Zakon je stvorio sustav prema kojem su se obitelji mogle žaliti.
whilst	dok	Ona je radila dok je on odmarao.
whip	šibati	Vjetar može šibati zastave.
wholly	potpuno	Odluka je bila potpuno neočekivana.
widen	proširiti	Grad planira proširiti cestu.
widow	udovica	Udovica živi blizu škole.
width	širina	Izmjerite širinu vrata.
willingness	spremnost	Njena spremnost da pomogne sve je impresionirala.
wipe	obrisati	Obrišite zaslon krpom.
wit	duhovitost	Njegova duhovitost učinila je govor živahnim.
withdrawal	povlačenje	Povlačenje financiranja odgodilo je projekt.
workout	trening	Trening je trajao četrdeset minuta.
worship	bogoslužje	Ljudi su se okupili na bogoslužju u zoru.
worthwhile	vrijedan truda	Putovanje je bilo vrijedno truda.
worthy	dostojan	Dobrotvorna organizacija dostojna je podrške.
yell	vikati	Nemojte vikati na osoblje.
yield	prinos	Prinos farme poboljšao se ove sezone.
youngster	mlada osoba	Mlada osoba postavila je mnogo pitanja.
