source_headword	SK	example_SK
crawl	plaziť sa	Dieťa sa začalo plaziť po koberci.
creator	tvorca	Tvorca sa poďakoval všetkým za podporu.
credibility	dôveryhodnosť	Svedok stratil dôveryhodnosť počas výsluchu.
credible	dôveryhodný	Správa poskytla dôveryhodné dôkazy.
creep	plížiť sa	Hmla sa začala vkrádať do údolia.
critique	kritika	Profesor podal podrobnú kritiku.
crown	koruna	Kráľovná mala striebornú korunu.
crude	primitívny	Kresba bola primitívna, ale jasná.
crush	rozdrviť	Ťažké skaly môžu rozdrviť potrubie.
crystal	kryštál	Kryštál odrážal ranné svetlo.
cult	kult	Kult izoloval svojich členov.
cultivate	pestovať	Poľnohospodári v tomto regióne pestujú ryžu.
curiosity	zvedavosť	Zvedavosť ju priviedla k vede.
custody	opatera	Dieťa zostalo v opatere otca.
cutting	výstrižok	Noviny o ňom uverejnili výstrižok.
cynical	cynický	Jeho cynická poznámka rozrušila tím.
dam	priehrada	Priehrada zadržiava vodu z rieky.
damaging	škodlivý	Škodlivý článok ublížil kampani.
dawn	úsvit	Odišli sme z dediny na úsvite.
debris	trosky	Trosky z búrky zablokovali cestu.
debut	debut	Jej debut pritiahol celonárodnú pozornosť.
decision-making	rozhodovanie	Dobré rozhodovanie si vyžaduje jasné informácie.
decisive	rozhodný	Jej rozhodné konanie zabránilo ďalším škodám.
declaration	vyhlásenie	Minister prečítal oficiálne vyhlásenie.
dedicated	oddaný	Oddaná zdravotná sestra pracovala cez noc.
dedication	oddanosť	Jeho oddanosť inšpirovala mladších hráčov.
deed	skutok	Statočný skutok zachránil dva životy.
deem	považovať	Súd môže považovať zmluvu za neplatnú.
default	predvolená hodnota	Zatiaľ použite predvolené nastavenie.
defect	nedostatok	Inšpektori našli vážny nedostatok.
defensive	defenzívny	Jeho defenzívny tón všetkých prekvapil.
deficiency	nedostatok	Nedostatok železa môže ovplyvniť zdravie.
deficit	deficit	Rozpočtový deficit znepokojil úradníkov.
defy	vzoprieť sa	Protestujúci sa rozhodli vzoprieť sa zákazu.
delegate	delegát	Každý delegát dostal hlasovací lístok.
delegation	delegácia	Delegácia dorazila pred poludním.
delicate	krehký	Krehké sklo sa ľahko rozbilo.
demon	démon	Príbeh opisuje starovekého démona.
denial	popretie	Jeho popretie obete nahnevalo.
denounce	odsúdiť	Lídri odsudzujú násilie na školách.
dense	hustý	Hustý les blokoval slnečné svetlo.
density	hustota	Hustota obyvateľstva je v centre mesta vysoká.
dependence	závislosť	Závislosť krajiny od ropy klesla.
depict	znázorniť	Nástenná maľba znázorňuje život v dedine.
deploy	nasadiť	Armáda nasadí ďalších zamestnancov.
deployment	nasadenie	Nasadenie vojakov sa začalo v pondelok.
deprive	pripraviť o	Nedostatok spánku môže študentov pripraviť o sústredenie.
deputy	zástupca	Zástupca podpísal dohodu.
descend	klesať	Cesta začala prudko klesať.
descent	klesanie	Lietadlo začalo klesať.
designate	vyznačiť	Mesto určí nový park.
desirable	žiaduci	Dobré osvetlenie je v triedach žiaduce.
desktop	pracovná plocha	Súbor je na mojej pracovnej ploche.
destructive	ničivý	Búrka mala ničivú silu.
detain	zadržať	Polícia môže podozrivých zadržať cez noc.
detection	odhalenie	Včasné odhalenie zlepšuje liečbu rakoviny.
detention	väzba	Študenti protestovali proti podmienkam vo väzbe.
deteriorate	zhoršiť sa	Jeho zdravotný stav sa začal zhoršovať.
devastate	zničiť	Zemetrasenie môže zničiť pobrežné mestá.
devil	diabol	Dieťa nakreslilo usmievavého diabla.
devise	navrhnúť	Inžinieri navrhujú bezpečnejšie dopravné systémy.
diagnose	diagnostikovať	Lekári diagnostikujú chorobu pomocou krvných testov.
diagnosis	diagnóza	Diagnóza vysvetlila jej príznaky.
dictate	určovať	Zmluva bude určovať platobné podmienky.
dictator	diktátor	Diktátor kontroloval médiá.
differentiate	rozlíšiť	Viete rozlíšiť fakt od názoru?
dignity	dôstojnosť	Každý si v práci zaslúži dôstojnosť.
dilemma	dilema	Manažér čelil vážnej dileme.
dimension	rozmer	Problém má politický rozmer.
diminish	zmierniť	Bolesť by sa mala pomaly zmenšovať.
dip	klesnúť	Teploty môžu klesnúť pod bod mrazu.
diplomat	diplomat	Diplomat sa stretol so zahraničnými lídrami.
diplomatic	diplomatický	Diplomatické rozhovory pokračovali cez noc.
directory	adresár	Vyhľadajte jeho číslo v adresári.
disastrous	katastrofálny	Katastrofálna povodeň zničila niekoľko mostov.
discard	vyhodiť	Nevyhadzujte užitočné záznamy.
discharge	prepustiť	Nemocnica ho zajtra prepustí.
disclose	zverejniť	Úradníci odmietli zverejniť čísla.
disclosure	odhalenie	Odhalenie šokovalo predstavenstvo.
discourse	diskurz	Verejný diskurz sa stal slušnejším.
discretion	diskrétnosť	V citlivých prípadoch použite diskrétnosť.
discrimination	diskriminácia	Zákon zakazuje diskrimináciu pri prijímaní do zamestnania.
dismissal	prepustenie	Jeho prepustenie vyvolalo hnev verejnosti.
displace	vysídliť	Vojna môže vysídliť tisíce ľudí.
disposal	likvidácia	Likvidácia odpadu zostáva lokálnym problémom.
dispose	zlikvidovať	Spoločnosť musí bezpečne zlikvidovať chemikálie.
dispute	spor	Spor trval mesiace.
disrupt	narušiť	Hluk môže narušiť sústredenie.
disruption	narušenie	Štrajk spôsobil veľké narušenie.
dissolve	rozpustiť sa	Cukor sa rozpustí v horúcom čaji.
distinction	rozdiel	Rozdiel medzi nimi je dôležitý.
distinctive	charakteristický	Má charakteristický hlas.
distort	skresliť	Zrkadlo môže skresliť váš odraz.
distress	úzkosť	Hovor spôsobil vážnu úzkosť.
disturbing	znepokojujúci	Dokument ukázal znepokojujúce scény.
divert	odkloniť	Polícia musela odkloniť dopravu.
divine	božský	Kaplnka má božskú atmosféru.
doctrine	doktrína	Strana odmietla starú doktrínu.
documentation	dokumentácia	Pred spustením vyplňte dokumentáciu.
domain	doména	Webová stránka používa zabezpečenú doménu.
dominance	dominancia	Tímová dominancia trvala desaťročie.
donor	darca	Darca dnes daroval krv.
dose	dávka	Vezmite si jednu dávku po raňajkách.
drain	odtiecť	Voda odtečie do rieky.
drift	vznášať sa	Dym sa začal vznášať cez cestu.
driving	hnací	Dážď bol hnacím faktorom meškaní.
drown	utopiť	Nikdy neplávajte tam, kde vás prúdy môžu utopiť.
dual	duálny	Zariadenie má duálnu funkciu.
dub	nazvať	Kritici nazývajú mesto kultúrnym hlavným mestom.
dumb	hlúpy	To bola hlúpa chyba.
duo	duo	Komediálne duo absolvovalo turné po Európe.
eager	dychtivý	Študenti boli dychtiví začať.
earnings	príjmy	Príjmy spoločnosti prudko vzrástli.
ease	uľahčiť	Nová cesta uľahčí dopravu.
echo	ozývať sa	Jej hlas sa ozýval v hale.
ecological	ekologický	Ekologický dopad zostáva neistý.
