simplified	HI	example_HI
哎	अरे	अरे, तुम कैसे आ गए?
唉	हाय; आह	हाय, मैं फिर देर से आया।
爱护	संभालना; रक्षा करना	हमें पर्यावरण की रक्षा करनी चाहिए।
爱惜	क़द्र करना; सँभालकर रखना	कृपया अपने समय की क़द्र करें।
爱心	दयालुता; करुणा	वह बहुत दयालु है।
安慰	सांत्वना देना; दिलासा देना	दोस्त ने मुझे दिलासा दिया।
安装	लगाना; स्थापित करना	मज़दूर एयर कंडीशनर लगा रहा है।
岸	किनारा	नाव धीरे-धीरे किनारे के पास आ रही है।
暗	अँधेरा	कमरे में बहुत अँधेरा है।
熬夜	देर रात तक जागना	देर रात तक जागना शरीर के लिए अच्छा नहीं है।
把握	भरोसा; यक़ीन	मुझे यक़ीन नहीं है कि मैं यह काम अच्छी तरह कर पाऊँगा।
摆	लगाना; सजाना	कृपया कुर्सियों को साफ़-सुथरे ढंग से लगा दें।
办理	निपटाना; प्रक्रिया पूरी करना	मैं बैंक में कुछ काम निपटाने जा रहा हूँ।
傍晚	शाम	शाम को हम टहलने जाएँगे।
包裹	पार्सल	मुझे एक पार्सल मिला।
包含	शामिल होना	कीमत में नाश्ता शामिल है।
包括	शामिल करना	शुल्क में दोपहर का खाना शामिल है।
薄	पतला	यह किताब बहुत पतली है।
保持	बनाए रखना	कृपया शांति बनाए रखें।
保存	सहेजना	कृपया यह फ़ाइल सहेज लें।
保留	आरक्षित रखना	कृपया मेरे लिए एक सीट आरक्षित रखें।
保险	बीमा	मैंने यात्रा बीमा खरीदा।
宝贝	अनमोल चीज़; प्यारा बच्चा	यह मेरी अनमोल चीज़ है।
宝贵	बहुमूल्य	समय बहुत बहुमूल्य है।
报到	रिपोर्ट करना; पंजीकरण कराना	नए छात्र आज स्कूल में रिपोर्ट करने आए।
报道	रिपोर्ट करना; ख़बर देना	समाचार ने इस घटना की रिपोर्ट की।
报告	रिपोर्ट; प्रस्तुति	वह रिपोर्ट प्रस्तुत कर रहा है।
报社	अख़बार का दफ़्तर	वह अख़बार के दफ़्तर में काम करती है।
抱怨	शिकायत करना	वह हमेशा शिकायत करता है कि काम बहुत ज़्यादा है।
悲观	निराशावादी	इतना निराशावादी मत बनो।
背	पीठ	वह दरवाज़े की ओर पीठ करके बैठा है।
背景	पृष्ठभूमि	कृपया अपनी पृष्ठभूमि संक्षेप में बताइए।
被子	रज़ाई	रज़ाई बहुत गर्म है।
本科	स्नातक स्तर	वह स्नातक स्तर का छात्र है।
本领	कौशल	उसने एक नया कौशल सीख लिया।
本质	मूल स्वभाव; सार	समस्या का सार बहुत सरल है।
彼此	एक-दूसरे	हमें एक-दूसरे का सम्मान करना चाहिए।
比例	अनुपात	पुरुषों और महिलाओं का अनुपात लगभग समान है।
必然	अनिवार्य रूप से	मेहनत का फल अनिवार्य रूप से मिलेगा।
必要	ज़रूरत; आवश्यकता	चिंता करने की कोई ज़रूरत नहीं है।
毕竟	आख़िरकार	आख़िरकार वह अभी भी बच्चा है।
避免	बचना	कृपया देर से आने से बचें।
编辑	संपादित करना	वह इस लेख को संपादित करने का ज़िम्मेदार है।
