source_headword	KK	example_KK
toss	лақтыру	Ол кілттерді үстелдің үстіне лақтырды.
total	жалпы құрау	Жөндеу жұмыстары күткеннен де көп болды.
toxic	улы	Улы түтін барлығын далаға шығуға мәжбүр етті.
trademark	сауда белгісі	Логотип компанияның сауда белгісіне айналды.
trail	соқпақ	Соқпақ орман арқылы өтті.
trailer	трейлер	Трейлер фильмнің соңын көрсетті.
transaction	транзакция	Транзакция менің банк үзіндісінде пайда болды.
transcript	транскрипт	Студент ресми транскрипт сұрады.
transformation	түрлену	Қала үлкен түрленуді бастан өткерді.
transit	транзит	Жолда сәлемдеме зақымдалған.
transmission	тасымалдау	Деректерді тасымалдау қауіпсіз болды.
transparency	ашықтық	Есеп көбірек ашықтықты талап етті.
transparent	ашық	Процесс барлығына ашық болуы керек.
trauma	жарақат	Апат терең жарақат қалдырды.
treaty	келісімшарт	Елдер бейбітшілік келісімшартына қол қойды.
tremendous	зор	Команда зор жетістіктерге жетті.
tribal	тайпалық	Мұражай тайпалық өнерді көрсетті.
tribunal	трибунал	Трибунал апта бойы дәлелдемелерді тыңдады.
tribute	құрмет	Концерт оған құрмет болды.
trio	трио	Трио фестивальде өнер көрсетті.
triumph	триумф	Жеңіс жеке триумф болды.
trophy	кубок	Капитан кубокты мақтанышпен көтерді.
troubled	проблемалы	Проблемалы компанияға жаңа басшылық қажет болды.
trustee	қамқоршы	Қамқоршы стипендиялық қорды басқарады.
tuition	оқу ақысы	Оның оқу ақысы биыл өсті.
turnout	келушілер	Сайлаушылардың келуі күткеннен де жоғары болды.
turnover	кадрлардың ауысуы	Өзгерістерден кейін кадрлардың ауысуы төмендеді.
twist	бұрау	Ол қақпақты бұрап ашты.
undergraduate	бакалавр	Бакалавр зерттеу жобасына қосылды.
underlying	негізгі	Есеп негізгі себептерді түсіндірді.
undermine	нұқсан келтіру	Жанжал қоғамдық сенімге нұқсан келтірді.
undoubtedly	сөзсіз	Ол сөзсіз ең жақсы үміткер.
unify	біріктіру	Жоспар командаларды біріктіруге бағытталған.
unprecedented	бұрын-соңды болмаған	Дауыл бұрын-соңды болмаған зиян келтірді.
unveil	таныстыру	Компания ертең дизайнды таныстырады.
upcoming	алдағы	Алдағы сайлау жұртшылық назарын аударды.
upgrade	жаңарту	Біз кеше түнде бағдарламалық жасақтаманы жаңарттық.
uphold	қолдау	Біз бастапқы шешімді қолдаймыз.
utility	коммуналдық	Пәтер барлық коммуналдық шығындарды қамтиды.
utilize	пайдалану	Команда қолда бар деректерді пайдаланды.
utterly	мүлдем	Түсіндірме мүлдем түсініксіз болды.
vacuum	вакуум	Басшылықтағы вакуум шиеленіс тудырды.
vague	түсініксіз	Оның жауабы түсініксіз және әлсіз болды.
validity	жарамдылық	Зерттеу тесттің жарамдылығына күмән келтірді.
vanish	жоғалып кету	Файл қалтадан жоғалып кетті.
variable	айнымалы	Баға бір маңызды айнымалы болып табылады.
varied	әртүрлі	Курс әртүрлі тапсырмаларды ұсынады.
vein	тамыр	Мейірбике тамырды тез тапты.
venture	кәсіпорын	Жаңа кәсіпорын инвесторларды тартты.
verbal	ауызша	Олар ауызша келісімге келді.
verdict	үкім	Алқабилер өз үкімін шығарды.
verify	растау	Электрондық пошта мекенжайыңызды растаңыз.
verse	өлең	Ол өлеңнен бір шумақ келтірді.
versus	қарсы	Пікірталас құпиялылық пен қауіпсіздікке қатысты болды.
vessel	кеме	Кеме теңіз арқылы астық тасымалдады.
veteran	ардагер	Ардагер жаңа қызметкерлерді оқытты.
viable	өміршең	Ұсыныс қаржылық тұрғыдан өміршең.
vibrant	жарқын	Қалада жарқын өнер сахнасы бар.
vice	кемшілік	Ашкөздік оның ең үлкен кемшілігі болды.
vicious	қатыгез	Қатыгез шабуыл қаланы дүр сілкіндірді.
villager	ауыл тұрғыны	Ауыл тұрғыны бізге өзенге жол көрсетті.
violate	бұзу	Компания қауіпсіздік ережелерін бұзуы мүмкін.
violation	бұзушылық	Инспектор елеулі бұзушылық туралы хабарлады.
virtue	қасиет	Шыдамдылық - маңызды қасиет.
vocal	дауысты	Ол шешім туралы ашық айтты.
vow	ант ету	Ол жұмысты аяқтауға ант етті.
vulnerability	осалдық	Аудит қауіпсіздіктің осалдығын анықтады.
vulnerable	осал	Қатты ыстық кезінде балалар осал болады.
ward	палата	Науқас басқа палатаға ауыстырылды.
warehouse	қойма	Қоймада қосалқы бөлшектер сақталады.
warfare	соғыс	Қазіргі соғыс технологияға сүйенеді.
warrant	ордер	Полиция тінту ордерін көрсетті.
warrior	жауынгер	Жауынгер ауылды қорғады.
weaken	әлсірету	Жарақат оның ұстауын әлсіретті.
weave	тоқу	Ол себет тоқуды үйренді.
weed	арамшөп	Тастардың арасында арамшөп өсті.
well	құдық	Ауыл құдығы құрғап қалды.
well-being	әл-ауқат	Ұйқы әл-ауқат үшін өте маңызды.
whatsoever	мүлдем	Ол мүлдем қызығушылық танытпады.
whereby	сол арқылы	Заң отбасылардың шағымдануына мүмкіндік беретін жүйені құрды.
whilst	кезінде	Ол демалып жатқанда ол жұмыс істеді.
whip	қамшылау	Жел жалауларды желбіретуі мүмкін.
wholly	толығымен	Шешім толығымен күтпеген болды.
widen	кеңейту	Қала жолды кеңейтуді жоспарлап отыр.
widow	жесір	Жесір әйел мектептің жанында тұрады.
width	ені	Есіктің енін өлшеңіз.
willingness	дайындық	Оның көмектесуге дайындығы барлығын таң қалдырды.
wipe	сүрту	Экранды шүберекпен сүртіңіз.
wit	тапқырлық	Оның тапқырлығы сөзді жандандырды.
withdrawal	қайтарып алу	Қаржыландыруды қайтарып алу жобаны кешіктірді.
workout	жаттығу	Жаттығу қырық минутқа созылды.
worship	ғибадат	Адамдар таңертең ғибадат етуге жиналды.
worthwhile	тұрарлық	Сапарға баруға тұрарлық болды.
worthy	лайықты	Қайырымдылық қолдауға лайық.
yell	айғайлау	Қызметкерлерге айғайламаңыз.
yield	өнім	Бұл маусымда ферманың өнімі артты.
youngster	жасөспірім	Жасөспірім көп сұрақ қойды.
