hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
1004:安检	安检	安检	ආරක්ෂක පරීක්ෂාව	දුම්රිය ස්ථානයට ඇතුළු වීමට පෙර මගීන් සියලු දෙනාට ආරක්ෂක පරීක්ෂාවට යා යුතුය.	பாதுகாப்பு சோதனை	நிலையத்திற்குள் செல்லும் முன், பயணிகள் அனைவரும் பாதுகாப்பு சோதனையை கடக்க வேண்டும்.
1006:按	按	按	ඔබන්න; අනුව	දොර විවෘත කිරීමට කොළ බොත්තම ඔබන්න.	அழுத்து; படி	கதவைத் திறக்க பச்சை பொத்தானை அழுத்துங்கள்.
1009:白酒	白酒	白酒	බයිජියු; චීන මත්පැන්	ඔහු බයිජියු බොන්නේ නැහැ, තේ පමණක් බොනවා.	பைஜியு; சீன மதுபானம்	அவர் பைஜியு குடிப்பதில்லை; தேநீர் மட்டும் குடிக்கிறார்.
1010:办公	办公	办公	කාර්යාල වැඩ කිරීම	ඇය අද නිවසේ සිට කාර්යාල වැඩ කරයි.	அலுவலக வேலை செய்தல்	அவள் இன்று வீட்டிலிருந்து அலுவலக வேலை செய்கிறாள்.
1012:办事	办事	办事	වැඩකටයුතු කරගැනීම	මම අද දවල් බැංකුවට වැඩකටයුතු කරගැනීමට යනවා.	வேலைகளை செய்து முடித்தல்	நான் இன்று பிற்பகல் வங்கிக்கு ஒரு வேலை செய்து முடிக்கச் செல்கிறேன்.
1017:报考	报考	报考	විභාගයකට අයදුම් කිරීම	ඔහු චීන භාෂා විභාගයට අයදුම් කිරීමට සූදානම් වෙමින් සිටී.	தேர்வுக்கு விண்ணப்பித்தல்	அவர் சீன மொழித் தேர்வுக்கு விண்ணப்பிக்கத் தயாராகிறார்.
1021:背包	背包	背包	පසුම්බිය	මගේ පසුම්බිය දොර අසල තබා ඇත.	முதுகுப்பை	என் முதுகுப்பை கதவின் அருகில் இருக்கிறது.
1022:北部	北部	北部	උතුරු කොටස	මෙම නගරයේ උතුරු කොටසේ කන්දක් තිබේ.	வடக்கு பகுதி	இந்த நகரின் வடக்கு பகுதியில் ஒரு மலை உள்ளது.
1028:笔试	笔试	笔试	ලිඛිත පරීක්ෂණය	හෙට උදෑසන ලිඛිත පරීක්ෂණයක් ඇත.	எழுத்துத் தேர்வு	நாளை காலை ஒரு எழுத்துத் தேர்வு உள்ளது.
1030:毕业生	毕业生	毕业生	උපාධිධාරියා	බොහෝ උපාධිධාරීන් රැකියා සොයමින් සිටිති.	பட்டதாரி	பல பட்டதாரிகள் வேலை தேடிக் கொண்டிருக்கிறார்கள்.
1033:表	表	表	පෝරමය; වගුව; ඔරලෝසුව	කරුණාකර මෙම පෝරමය පුරවා අවසන් කරන්න.	படிவம்; அட்டவணை; கடிகாரம்	இந்த படிவத்தை நிரப்பி முடிக்கவும்.
1039:并	并	并	තවද; ඇත්තෙන්ම	මට ඇත්තෙන්ම වෙහෙසක් දැනෙන්නේ නැහැ.	மேலும்; உண்மையில்	எனக்கு உண்மையில் சோர்வு இல்லை.
1043:不必	不必	不必	අවශ්‍ය නැත	ඔබ දැන් පිළිතුරු දීමට අවශ්‍ය නැත.	தேவையில்லை	நீங்கள் இப்போது பதில் சொல்ல தேவையில்லை.
1044:不便	不便	不便	අපහසු	මෙහි වාහනය නවත්වීම අපහසුය.	சிரமமானது	இங்கே வாகனம் நிறுத்துவது சிரமமாக உள்ளது.
1046:不够	不够	不够	ප්‍රමාණවත් නොවන	මෙම පුටු සියලු දෙනාට වාඩිවීමට ප්‍රමාණවත් නැත.	போதாது	இந்த நாற்காலிகள் எல்லோரும் உட்கார போதாது.
1048:不论	不论	不论	කෙසේ වුවත්; නොසලකා	කාලගුණය කෙසේ වුවත්, අපි පිටත් වෙමු.	எப்படியிருந்தாலும்; பொருட்படுத்தாமல்	வானிலை எப்படி இருந்தாலும், நாம் புறப்படுவோம்.
1049:步	步	步	පියවර	ඔහු ඉදිරියට එක් පියවරක් තැබීය.	அடி; படி	அவர் முன்னால் ஒரு அடி வைத்தார்.
1050:部	部	部	චිත්‍රපට හෝ පොත් සඳහා ගණන පදය; දෙපාර්තමේන්තුව	මෙම චිත්‍රපටය ඉතා රසවත්ය.	திரைப்படம் அல்லது புத்தகத்திற்கான எண்ணுபெயர்; துறை	இந்த திரைப்படம் மிகவும் சுவாரஸ்யமாக உள்ளது.
1054:不光	不光	不光	පමණක් නොව	ළමයින් පමණක් නොව, වැඩිහිටියන්ටත් මෙම ක්‍රීඩාව කැමතියි.	மட்டுமல்ல	குழந்தைகள் மட்டுமல்ல, பெரியவர்களும் இந்த விளையாட்டை விரும்புகிறார்கள்.
1056:不满	不满	不满	අසතුටු	ඔහු මෙම ප්‍රතිඵලය ගැන ඉතා අසතුටුයි.	அதிருப்தி	அவர் இந்த முடிவில் மிகவும் அதிருப்தியடைந்துள்ளார்.
1063:参赛	参赛	参赛	තරගයකට සහභාගි වීම	අපේ පන්තියේ පස් දෙනෙක් තරගයට සහභාගි වෙති.	போட்டியில் பங்கேற்பது	எங்கள் வகுப்பிலிருந்து ஐந்து பேர் போட்டியில் பங்கேற்கிறார்கள்.
1067:查看	查看	查看	පරීක්ෂා කිරීම; බලීම	ගුරුතුමා ශිෂ්‍ය ලැයිස්තුව පරීක්ෂා කරමින් සිටී.	சரிபார்த்தல்; பார்வையிடுதல்	ஆசிரியர் மாணவர் பட்டியலைச் சரிபார்த்து வருகிறார்.
1068:茶叶	茶叶	茶叶	තේ කොළ	මෙම වෙළඳසැලේ තේ කොළ ඉතා නැවුම්ය.	தேயிலை இலைகள்	இந்த கடையின் தேயிலை இலைகள் மிகவும் புதியவை.
