source_headword	KO	example_KO
abolish	폐지하다	그 법은 오래된 수수료를 폐지할 것입니다.
abortion	낙태	낙태는 여전히 민감한 의료 문제입니다.
absence	부재	그녀의 부재로 인해 최종 결정이 지연되었습니다.
absent	결석한	두 명의 회원이 수업에 결석했습니다.
absurd	터무니없는	그 주장은 모든 사람에게 터무니없이 들렸습니다.
abundance	풍부함	그 계곡에는 물이 풍부합니다.
abuse	학대	그 보고서는 직장 내 학대를 묘사했습니다.
academy	아카데미	그 아카데미는 젊은 음악가들을 양성합니다.
accelerate	가속하다	새로운 자금은 연구를 가속할 것입니다.
acceptance	수용	그가 비판을 수용하는 모습은 나에게 깊은 인상을 주었습니다.
accessible	접근 가능한	그 박물관은 휠체어 사용자가 접근할 수 있습니다.
accomplishment	성취	책을 끝낸 것은 진정한 성취였습니다.
accordance	일치	그 작업은 정책에 따라 수행되었습니다.
accordingly	그에 따라	증거가 변경되었고 우리는 그에 따라 행동했습니다.
accountability	책임	이 정책은 관리자의 책임을 강화합니다.
accountable	책임이 있는	관리자는 안전에 대한 책임이 있습니다.
accumulate	축적되다	화면 뒤에 먼지가 쌓일 수 있습니다.
accumulation	축적	데이터의 축적에는 몇 달이 걸렸습니다.
accusation	고발	그 고발은 위원회에 충격을 주었습니다.
accused	피고인	피고인이 법정에 출두했습니다.
acquisition	인수	그 인수로 회사가 빠르게 확장되었습니다.
acre	에이커	그 농장의 면적은 1에이커입니다.
activation	활성화	카드를 활성화하는 데 몇 분이 걸립니다.
activist	활동가	그 활동가는 집회에서 연설했습니다.
acute	극심한	그녀는 달린 후 극심한 통증을 느꼈습니다.
adaptation	각색	그 각색은 소설의 결말을 바꿨습니다.
adhere	준수하다	직원은 안전 규칙을 준수해야 합니다.
adjacent	인접한	그 호텔은 역에 인접해 있습니다.
adjustment	조정	약간의 조정으로 문제가 해결되었습니다.
administer	투여하다	간호사가 백신을 주의 깊게 투여합니다.
administrative	행정의	행정 직원이 양식을 처리합니다.
administrator	관리자	관리자가 내 비밀번호를 재설정했습니다.
admission	입장	박물관 입장은 무료입니다.
adolescent	청소년	그 청소년은 추가적인 지원이 필요했습니다.
adoption	입양	입양은 그 아이에게 안정적인 가정을 제공했습니다.
adverse	해로운	그 약은 부정적인 영향을 일으켰습니다.
advocate	옹호자	그 옹호자는 세입자의 권리를 보호했습니다.
aesthetic	미적인	그 방은 차분한 미적 스타일을 가지고 있습니다.
affection	애정	그녀는 가족에 대한 애정을 보였습니다.
aftermath	여파	폭풍의 여파는 힘들었습니다.
aggression	공격성	선생님은 쉬는 시간에 공격적인 행동을 알아챘습니다.
agricultural	농업의	올해 농업 수출이 증가했습니다.
aide	보좌관	보좌관이 장관의 일정을 정리했습니다.
albeit	비록 ~일지라도	그 계획은 비록 느리긴 했지만 성공했습니다.
alert	알리다	즉시 직원에게 알려주세요.
align	정렬하다	화살표가 도로와 정렬되어 있습니다.
alignment	정렬	휠 정렬로 자동차의 핸들링이 향상되었습니다.
alike	비슷하게	그 쌍둥이는 주말에 비슷하게 옷을 입습니다.
allegation	혐의	그 혐의는 신문에 실렸습니다.
allege	주장하다	그들은 자금이 손실되었다고 주장합니다.
allegedly	전하는 바에 따르면	전하는 바에 따르면 운전자는 경고를 무시했습니다.
alliance	연합	정당들은 임시 연합을 형성했습니다.
allocate	할당하다	시는 학교에 자금을 할당할 것입니다.
allocation	할당	좌석 할당은 불공평했습니다.
allowance	용돈	그녀의 용돈은 점심과 교통비를 충당합니다.
ally	동맹국	캐나다는 긴밀한 동맹국이 되었습니다.
aluminium	알루미늄	프레임은 알루미늄으로 만들어졌습니다.
amateur	아마추어의	아마추어 사진작가가 그 사진을 찍었습니다.
ambassador	대사	대사는 지역 학생들을 만났습니다.
amend	개정하다	의회는 법을 개정하기로 투표했습니다.
amendment	수정안	그 수정안은 한 단락을 변경했습니다.
amid	~가운데	그 연설은 긴장이 고조되는 가운데 나왔습니다.
analogy	비유	선생님은 간단한 비유를 사용했습니다.
anchor	닻	배는 섬 근처에 닻을 내렸습니다.
angel	천사	아이는 천사 분장을 했습니다.
anonymous	익명의	그 불만은 익명이었습니다.
apparatus	기구	실험실 기구는 청소가 필요합니다.
appealing	매력적인	그 제안은 학생들에게 매력적으로 보입니다.
appetite	식욕	운동은 그의 식욕을 증가시켰습니다.
applaud	박수갈채를 보내다	관객들은 큰 소리로 박수갈채를 보내기 시작했습니다.
applicable	적용되는	그 할인은 오늘 적용됩니다.
appoint	임명하다	이사회는 이사를 임명할 것입니다.
appreciation	감사	그녀는 그들의 도움에 감사를 표했습니다.
arbitrary	자의적인	그 마감일은 직원들에게 자의적으로 보였습니다.
architectural	건축적인	그 도시는 건축 유산을 보호합니다.
archive	기록 보관소	그 기록 보관소는 오래된 사진들을 저장합니다.
arena	무대	토론은 공공 무대로 옮겨갔습니다.
arguably	주장하건대	이것은 주장하건대 그의 최고의 소설입니다.
arm	무장시키다	경비원들은 호송대를 무장시킬 것입니다.
array	다양함	그 가게는 다양한 도구를 제공합니다.
articulate	분명히 표현하다	그녀는 복잡한 아이디어를 분명하게 표현할 수 있습니다.
ash	재	화재 후 재가 차를 덮었습니다.
aspiration	포부	그녀의 포부는 외과 의사가 되는 것입니다.
aspire	열망하다	많은 학생들이 유학을 열망합니다.
assassination	암살	그 암살은 나라의 정치를 바꿨습니다.
assault	폭행	그 폭행은 역 근처에서 발생했습니다.
assemble	조립하다	작업자들은 손으로 가구를 조립합니다.
assembly	집회	학교 집회는 9시에 시작됩니다.
assert	확고히 하다	그는 자신의 권위를 확고히 하려고 노력했습니다.
assertion	주장	그녀의 주장은 패널을 놀라게 했습니다.
