part_of_speech	source_lemma	display_ES	display_ES_419	article_ES	article_ES_419	gender	number_policy	verb_infinitive	verb_group	meaning_note	semantic_scene	topic_domain	example_ES	example_ES_419
determiner	el	el	el	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	the masculine singular	before a noun	grammar_function_words	El libro está aquí.	El libro está aquí.
determiner	la	la	la	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	the feminine singular	before a noun	grammar_function_words	La mesa está limpia.	La mesa está limpia.
determiner	los	los	los	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	the masculine plural	before plural nouns	grammar_function_words	Los niños juegan en casa.	Los niños juegan en casa.
determiner	las	las	las	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	the feminine plural	before plural nouns	grammar_function_words	Las llaves están en la bolsa.	Las llaves están en la bolsa.
determiner	un	un	un	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	a or one masculine	before a masculine noun	grammar_function_words	Tengo un cuaderno nuevo.	Tengo un cuaderno nuevo.
determiner	una	una	una	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	a or one feminine	before a feminine noun	grammar_function_words	Quiero una manzana.	Quiero una manzana.
determiner	unos	unos	unos	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	some masculine plural	before plural nouns	grammar_function_words	Compro unos tomates.	Compro unos tomates.
determiner	unas	unas	unas	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	some feminine plural	before plural nouns	grammar_function_words	Necesito unas sillas.	Necesito unas sillas.
conjunction	y	y	y	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	and	linking words	grammar_function_words	Café y pan están en la mesa.	Café y pan están en la mesa.
conjunction	o	o	o	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	or	choosing one thing	grammar_function_words	¿Quieres té o café?	¿Quieres té o café?
conjunction	pero	pero	pero	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	but	contrasting ideas	grammar_function_words	Quiero ir, pero estoy cansado.	Quiero ir, pero estoy cansado.
conjunction	porque	porque	porque	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	because	giving a reason	grammar_function_words	No salgo porque llueve.	No salgo porque llueve.
conjunction	si	si	si	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	if	condition in a sentence	grammar_function_words	Si tienes tiempo, ven a casa.	Si tienes tiempo, ven a casa.
conjunction	cuando	cuando	cuando	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	when	linking time	grammar_function_words	Llamo cuando llego.	Llamo cuando llego.
pronoun	qué	qué	qué	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	what	asking about a thing	grammar_function_words	¿Qué comes hoy?	¿Qué comes hoy?
pronoun	cuál	cuál	cuál	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	which or what one	asking for a choice	grammar_function_words	¿Cuál es tu mochila?	¿Cuál es tu mochila?
adverb	dónde	dónde	dónde	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	where	asking about place	grammar_function_words	¿Dónde está la estación?	¿Dónde está la estación?
adverb	cuándo	cuándo	cuándo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	when	asking about time	grammar_function_words	¿Cuándo empieza la clase?	¿Cuándo empieza la clase?
adverb	cómo	cómo	cómo	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	how	asking manner or state	grammar_function_words	¿Cómo estás hoy?	¿Cómo estás hoy?
adverb	cuánto	cuánto	cuánto	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	how much	asking quantity or price	grammar_function_words	¿Cuánto cuesta el billete?	¿Cuánto cuesta el boleto?
preposition	a	a	a	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	to or at	direction or time	grammar_function_words	Voy a la farmacia.	Voy a la farmacia.
preposition	de	de	de	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	of or from	origin or possession	grammar_function_words	Soy de Colombia.	Soy de Colombia.
preposition	en	en	en	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	in or on	location	grammar_function_words	El vaso está en la mesa.	El vaso está en la mesa.
preposition	con	con	con	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	with	together with someone	grammar_function_words	Ceno con mi familia.	Ceno con mi familia.
preposition	sin	sin	sin	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	without	lacking something	grammar_function_words	Tomo té sin azúcar.	Tomo té sin azúcar.
preposition	para	para	para	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	for or in order to	purpose	grammar_function_words	Este pan es para Ana.	Este pan es para Ana.
preposition	por	por	por	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	through by or because of	reason or route	grammar_function_words	Camino por el parque.	Camino por el parque.
preposition	sobre	sobre	sobre	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	on or about	location on top	grammar_function_words	El mapa está sobre la cama.	El mapa está sobre la cama.
preposition	entre	entre	entre	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	between	position between things	grammar_function_words	La silla está entre dos mesas.	La silla está entre dos mesas.
preposition	hasta	hasta	hasta	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	until or as far as	end point	grammar_function_words	Trabajo hasta las cinco.	Trabajo hasta las cinco.
preposition	desde	desde	desde	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	from	starting point	grammar_function_words	El tren sale desde la estación.	El tren sale desde la estación.
preposition	durante	durante	durante	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	during	time period	grammar_function_words	Leo durante la tarde.	Leo durante la tarde.
preposition	contra	contra	contra	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	against	touching or opposing	grammar_function_words	La mesa está contra la pared.	La mesa está contra la pared.
determiner	este	este	este	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	this masculine	near masculine noun	grammar_function_words	Este plato está limpio.	Este plato está limpio.
determiner	esta	esta	esta	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	this feminine	near feminine noun	grammar_function_words	Esta puerta está abierta.	Esta puerta está abierta.
determiner	estos	estos	estos	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	these masculine	near plural nouns	grammar_function_words	Estos libros son nuevos.	Estos libros son nuevos.
